frame,value
0,9
0.000286,7
0.000545,11
0.000829,12
0.001093,8
0.00136,5
0.001617,6
0.001906,5
0.002161,6
0.002419,5
0.002672,6
0.002926,6
0.003182,7
0.003507,7
0.003809,5
0.004097,7
0.004375,6
0.004635,5
0.00489,5
0.005187,3
0.005473,5
0.005773,4
0.006047,3
0.00631,5
0.006637,3
0.006932,3
0.007255,3
0.007541,3
0.007793,5
0.00811,8
0.008393,7
0.008678,8
0.008991,5
0.009244,7
0.009528,6
0.009826,8
0.010106,9
0.010408,7
0.010681,7
0.010984,6
0.011285,7
0.01154,7
0.01179,7
0.012087,6
0.01234,7
0.012602,7
0.012873,7
0.013178,6
0.013438,5
0.013757,5
0.01407,5
0.01435,4
0.014602,4
0.014856,5
0.015114,5
0.015369,4
0.015648,5
0.015909,5
0.016222,3
0.016502,4
0.016762,4
0.017044,4
0.017297,4
0.017579,4
0.017898,3
0.018152,5
0.018459,6
0.018742,6
0.019018,6
0.019311,5
0.019603,4
0.01987,4
0.020172,1
0.020435,2
0.020739,2
0.021187,2
0.021461,2
0.021771,2
0.022032,1
0.022374,1
0.022721,1
0.022982,1
0.023441,1
0.023887,1
0.02442,1
0.024886,1
0.025272,1
0.025943,1
0.026211,2
0.026495,2
0.027212,1
0.027577,1
0.027969,1
0.028825,1
0.029153,2
0.029621,1
0.030409,1
0.031018,1
0.031337,1
0.031754,1
0.032245,1
0.032537,1
0.033042,1
0.033335,1
0.033913,1
0.034169,1
0.034629,1
0.03512,2
0.035557,1
0.036053,1
0.036463,1
0.036936,1
0.037484,2
0.037979,1
0.038511,1
0.039017,2
0.039359,2
0.039771,1
0.040643,2
0.041004,2
0.041387,1
0.041991,1
0.042323,1
0.042776,1
0.043269,1
0.043648,1
0.044114,1
0.044379,1
0.045038,1
0.04542,1
0.046171,2
0.046618,1
0.047081,1
0.047489,1
0.048489,1
0.048739,1
0.049127,1
0.049553,1
0.049943,1
0.050274,1
0.051173,2
0.05165,1
0.052027,1
0.052307,1
0.052989,2
0.053362,2
0.054055,2
0.054409,2
0.054928,2
0.055259,2
0.055687,1
0.056199,2
0.056563,2
0.056919,2
0.057689,1
0.057957,1
0.058664,2
0.059026,1
0.059347,1
0.05999,2
0.060387,1
0.06093,1
0.061242,1
0.061761,2
0.062142,2
0.062704,1
0.063082,1
0.063511,1
0.063877,1
0.064366,1
0.064709,1
0.065219,1
0.065486,1
0.065768,1
0.066371,1
0.066623,2
0.066963,2
0.067645,1
0.067908,1
0.068237,1
0.068874,2
0.069247,2
0.0696,1
0.069874,1
0.070874,2
0.071823,1
0.072278,1
0.072762,1
0.073263,2
0.0736,2
0.073927,1
0.074253,1
0.0746,1
0.07516,2
0.075528,2
0.076202,2
0.076635,1
0.077032,1
0.077694,2
0.078052,2
0.078872,2
0.079267,2
0.079757,1
0.080266,1
0.080649,1
0.081268,2
0.081674,2
0.082027,2
0.08254,1
0.082952,1
0.08347,2
0.083844,2
0.084244,1
0.084596,1
0.085143,1
0.085551,1
0.086143,1
0.086455,1
0.086767,1
0.087508,2
0.087922,1
0.088223,1
0.088885,1
0.08932,1
0.089701,1
0.090147,1
0.09048,1
0.09148,2
0.09187,2
0.09287,2
0.093542,1
0.094367,1
0.094652,1
0.09536,1
0.095784,1
0.096243,1
0.096767,1
0.09707,1
0.097627,1
0.098146,1
0.098464,1
0.099237,2
0.099674,1
0.100249,1
0.100656,1
0.101112,1
0.101521,1
0.101882,1
0.102621,2
0.103012,2
0.103543,1
0.104212,1
0.104512,1
0.104965,1
0.105442,1
0.105845,1
0.106234,1
0.10687,2
0.107282,1
0.107601,1
0.108149,1
0.108553,1
0.10927,2
0.109756,1
0.110258,1
0.110999,2
0.111519,1
0.112519,2
0.112903,2
0.113329,1
0.114048,1
0.114622,1
0.115365,2
0.115781,2
0.11629,1
0.116951,1
0.117204,1
0.117719,1
0.11798,1
0.118245,1
0.118736,1
0.119264,1
0.119703,1
0.120239,1
0.120853,2
0.121251,2
0.121969,1
0.122261,1
0.122681,1
0.123403,1
0.123707,1
0.124021,1
0.124983,2
0.125773,1
0.126052,2
0.126466,1
0.126779,1
0.127541,2
0.12807,1
0.128907,1
0.12956,1
0.130071,1
0.130474,1
0.131264,1
0.131548,1
0.131849,1
0.132586,1
0.132979,1
0.133621,1
0.133928,1
0.13426,1
0.13526,2
0.135678,1
0.135948,1
0.136282,1
0.136859,1
0.137173,1
0.137673,1
0.138135,1
0.138723,1
0.139355,2
0.13976,2
0.140679,2
0.141144,1
0.141468,1
0.141774,1
0.142075,1
0.142586,1
0.143229,1
0.143901,1
0.144221,1
0.144624,1
0.145547,2
0.146045,1
0.146832,2
0.147353,1
0.148353,2
0.149033,1
0.149627,1
0.149975,1
0.150784,1
0.153641,2
0.159124,1
0.162423,2
0.165712,2
0.170083,2
0.172901,2
0.177384,2
0.180888,2
0.183636,2
0.186451,2
0.191171,1
0.195036,1
0.201656,1
0.210866,1
0.215791,1
0.218315,1
0.224554,1
0.230982,2
0.237421,2
0.242366,1
0.246815,2
0.253467,1
0.259295,1
0.263218,1
0.270075,1
0.275399,2
0.2805,1
0.286335,1
0.29633,2
0.29997,1
0.302949,1
0.309524,2
0.312898,2
0.322898,2
0.325954,2
0.328723,1
0.334359,2
0.338586,1
0.347053,1
0.357053,1
0.364849,2
0.367847,2
0.377847,1
0.387847,1
0.392301,1
0.395967,1
0.399858,1
0.407749,2
0.412126,1
0.422126,1
0.425218,1
0.431389,1
0.441389,2
0.449603,1
0.45243,2
0.460676,1
0.463636,2
0.472656,1
0.476878,1
0.480994,1
0.489563,1
0.494829,2
0.504829,1
0.509248,1
0.514002,1
0.524002,2
0.534002,1
0.544002,1
0.549663,1
0.553018,1
0.556003,2
0.561577,1
0.566088,1
0.570031,1
0.576275,1
0.580442,1
0.586438,1
0.590028,2
0.595362,1
0.603436,1
0.608894,1
0.614848,1
0.618216,2
0.62356,1
0.631159,1
0.638596,1
0.64249,1
0.647178,1
0.651712,1
0.656142,1
0.663009,1
0.665789,1
0.671454,2
0.674765,2
0.679864,1
0.6825,1
0.685001,2
0.692557,2
0.696816,1
0.706816,2
0.709942,2
0.713313,2
0.717834,1
0.722166,2
0.726625,1
0.73037,1
0.74037,1
0.742931,1
0.74774,1
0.755653,1
0.760541,1
0.766909,1
0.770005,1
0.776814,2
0.784352,1
0.794276,2
0.797943,2
0.802399,1
0.804973,1
0.807815,2
0.812843,1
0.816073,2
0.825382,2
0.830153,2
0.833882,2
0.842539,2
0.851071,2
0.853795,2
0.858059,1
0.862422,1
0.868986,1
0.873229,2
0.8775,2
0.8875,2
0.891099,2
0.896463,1
0.902761,2
0.905871,2
0.908928,2
0.913287,1
0.917644,1
0.92383,1
0.926932,1
0.929891,1
0.939891,1
0.942706,1
0.945375,1
0.948169,1
0.958169,2
0.96273,1
0.969543,2
0.973277,2
0.977818,1
0.984809,1
0.987686,2
0.991513,2
0.998441,1
1.001036,1
1.004804,1
1.009336,1
1.013944,2
1.018067,1
1.025511,2
1.028973,2
1.034775,1
1.039501,1
1.043285,1
1.046924,1
1.054077,1
1.056618,1
1.0614,1
1.069117,2
1.073222,1
1.07731,1
1.08731,2
1.090865,2
1.100865,2
1.104397,2
1.112092,2
1.115635,2
1.1183,2
1.121484,1
1.124713,1
1.13232,1
1.139551,1
1.142096,1
1.147054,1
1.149901,1
1.157456,2
1.160794,2
1.167161,1
1.172172,2
1.175831,2
1.185831,2
1.190386,2
1.194734,1
1.203299,1
1.20634,2
1.21469,1
1.217561,2
1.224588,2
1.234588,1
1.240831,2
1.246332,1
1.251883,2
1.255067,2
1.2631,1
1.269245,1
1.273166,1
1.281312,1
1.284317,2
1.291251,2
1.296615,1
1.303854,1
1.308604,1
1.31249,1
1.315131,1
1.320975,1
1.324918,1
1.330142,1
1.335327,1
1.338234,1
1.344047,1
1.348268,1
1.35157,2
1.356804,1
1.364657,1
1.36901,2
1.375436,2
1.381707,1
1.38615,1
1.392469,1
1.397135,1
1.401814,1
1.409067,1
1.411925,2
1.415325,3
1.421306,1
1.427416,1
1.430841,2
1.435195,2
1.439363,1
1.442224,1
1.447223,1
1.451944,1
1.456545,1
1.463586,2
1.469839,1
1.474795,1
1.478324,2
1.483736,1
1.4915,2
1.495079,2
1.498864,1
1.502059,2
1.506701,1
1.510595,2
1.514761,2
1.518062,1
1.521212,2
1.527225,2
1.531391,2
1.53692,1
1.539635,2
1.544655,1
1.547558,1
1.552131,1
1.554733,1
1.559842,1
1.564286,1
1.567374,2
1.572028,1
1.576114,1
1.581177,1
1.588936,1
1.592543,1
1.596552,1
1.599989,1
1.602859,2
1.607055,2
1.612461,1
1.615715,1
1.619384,1
1.623328,1
1.627657,1
1.630932,1
1.63434,1
1.63895,1
1.642108,1
1.646289,2
1.649804,2
1.653998,2
1.658002,2
1.660887,2
1.663965,2
1.666515,2
1.669364,2
1.67188,2
1.675372,1
1.679262,1
1.682673,2
1.685662,2
1.691097,3
1.694397,2
1.697453,1
1.701185,2
1.70428,2
1.706895,2
1.71129,2
1.714495,2
1.718427,1
1.724749,2
1.728675,2
1.73147,2
1.73513,1
1.73837,1
1.743079,1
1.74596,1
1.75,3
1.755602,3
1.761266,3
1.765229,2
1.768448,2
1.771527,1
1.77687,3
1.780041,3
1.783189,1
1.785957,3
1.794145,2
1.796956,2
1.801711,2
1.804481,3
1.809174,2
1.811883,3
1.814515,4
1.822384,3
1.825243,2
1.83175,2
1.837701,2
1.841464,1
1.845081,1
1.848719,1
1.85209,1
1.856894,1
1.860018,1
1.864226,1
1.867744,2
1.871405,2
1.875792,1
1.879928,1
1.884037,1
1.89071,1
1.893764,1
1.897758,1
1.903039,1
1.905859,2
1.910166,1
1.913466,2
1.917016,2
1.921859,1
1.928673,2
1.932921,1
1.93639,1
1.940816,1
1.94499,1
1.951578,1
1.95495,1
1.960385,1
1.965849,1
1.970143,1
1.972735,1
1.976481,2
1.980994,2
1.985647,1
1.989987,1
1.992856,1
1.997952,1
2.002368,1
2.005031,1
2.010115,1
2.016084,2
2.021121,1
2.023632,1
2.027584,1
2.031391,1
2.034307,2
2.039105,1
2.042453,1
2.047567,2
2.053179,2
2.058071,1
2.062094,2
2.065768,2
2.06896,2
2.073769,2
2.077837,2
2.081998,1
2.085255,2
2.088693,1
2.091275,2
2.095469,2
2.099869,1
2.102965,1
2.108056,1
2.111656,2
2.1148,2
2.118973,2
2.124158,2
2.129022,1
2.132538,2
2.138374,3
2.14183,2
2.1451,1
2.148309,1
2.153817,1
2.156799,2
2.160712,1
2.163493,2
2.166755,3
2.17048,2
2.173678,1
