frame,value
0,6
0.002698,6
0.005401,6
0.007909,8
0.010539,12
0.013075,6
0.015632,6
0.018458,6
0.021094,5
0.024178,5
0.027259,6
0.02993,6
0.032666,6
0.035186,6
0.038122,5
0.041067,5
0.044306,4
0.046873,5
0.049523,4
0.052328,3
0.054901,5
0.058087,4
0.061078,4
0.063661,3
0.066203,3
0.068959,4
0.071866,3
0.074638,4
0.077688,5
0.080478,5
0.083174,6
0.086044,7
0.089565,7
0.092699,9
0.095207,7
0.098076,7
0.100652,9
0.103178,11
0.10591,6
0.108635,9
0.111231,4
0.113923,6
0.116654,6
0.119554,5
0.122155,4
0.124842,5
0.127912,3
0.130711,3
0.133613,3
0.136208,3
0.139029,3
0.142841,2
0.145528,2
0.148563,2
0.151568,2
0.156591,2
0.161614,2
0.167736,2
0.174637,1
0.181852,1
0.187265,2
0.195528,1
0.200669,2
0.211442,2
0.220131,2
0.233214,1
0.240246,1
0.2492,1
0.263426,1
0.271429,1
0.277947,1
0.284038,1
0.290453,1
0.296182,2
0.306993,1
0.319442,1
0.332114,1
0.343328,1
0.356643,1
0.369815,1
0.38093,1
0.40093,1
0.406914,2
0.416951,1
0.431573,2
0.442723,1
0.458069,1
0.466901,1
0.479857,2
0.493336,1
0.502672,1
0.520207,1
0.525532,2
0.536857,1
0.547989,1
0.55779,1
0.567769,1
0.574805,1
0.588848,1
0.595214,2
0.606634,1
0.620521,2
0.63108,1
0.646664,1
0.652892,1
0.668568,2
0.676698,2
0.688698,1
0.698319,1
0.705306,1
0.711882,1
0.718151,2
0.726786,1
0.73273,1
0.740171,1
0.749692,1
0.762534,1
0.770861,1
0.779198,1
0.7922,2
0.800996,2
0.811054,1
0.820147,1
0.827987,1
0.843498,1
0.848522,1
0.856194,1
0.875782,2
0.88734,1
0.898901,1
0.904633,1
0.91724,1
0.924678,1
0.936999,1
0.945428,1
0.957917,1
0.967136,1
0.973857,1
0.984423,1
0.99074,1
1.001881,1
1.009159,1
1.019449,1
1.029977,1
1.035451,1
1.041607,1
1.052129,1
1.05866,1
1.069675,1
1.075833,1
1.084012,1
1.099271,1
1.105303,1
1.115981,1
1.123341,1
1.141995,1
1.147675,2
1.155542,1
1.1673,1
1.173355,2
1.193355,2
1.205195,2
1.212313,2
1.225087,1
1.234457,2
1.244275,1
1.25676,1
1.262858,1
1.268095,1
1.273713,1
1.281678,1
1.298177,1
1.303603,2
1.323603,1
1.331166,1
1.345958,1
1.353636,1
1.373636,1
1.380088,1
1.387261,1
1.403511,1
1.410045,1
1.415373,1
1.427526,1
1.43645,1
1.44254,2
1.451858,1
1.458993,1
1.468136,1
1.474032,2
1.484599,1
1.492893,2
1.505839,1
1.512896,1
1.521103,1
1.526947,1
1.532533,2
1.542124,2
1.5476,1
1.553473,2
1.563283,2
1.573015,3
1.582575,2
1.589778,1
1.596479,2
1.603739,2
1.611647,1
1.617893,2
1.6278,1
1.633506,1
1.638788,2
1.645015,2
1.655405,2
1.662449,3
1.668434,2
1.675498,3
1.681917,1
1.690473,1
1.697899,2
1.703627,1
1.709224,2
1.715402,2
1.723032,2
1.728797,2
1.737387,1
1.748052,2
1.753641,1
1.762147,2
1.767148,2
1.775153,2
1.780532,2
1.786172,1
1.794039,3
1.80162,1
1.811772,2
1.819942,2
1.825866,2
1.835715,3
1.840843,3
1.84643,2
1.851461,2
1.856843,3
1.86245,2
1.87253,2
1.878088,1
1.883339,1
1.889303,1
1.896775,1
1.905159,1
1.912,1
1.918829,1
1.92484,1
1.935831,1
1.948441,1
1.954184,1
1.960893,1
1.966017,1
1.973423,2
1.98274,1
1.990322,1
1.996185,1
2.003682,1
2.013343,2
2.022625,1
2.029177,1
2.037186,2
2.044414,2
2.050305,2
2.05939,2
2.072558,2
2.077832,2
2.085048,2
2.092865,4
2.099372,3
2.107159,2
2.113607,3
2.119781,3
2.125832,3
2.132826,3
2.139129,3
2.145026,3
2.150993,2
2.156395,2
2.16323,2
2.170081,7
2.175202,7
2.180994,5
2.187418,2
2.19612,2
2.201396,2
2.207256,2
2.216004,1
2.221357,3
2.231307,1
2.239319,2
2.246289,2
2.253825,2
2.259427,3
2.268505,1
2.274837,2
2.281922,2
2.287028,3
2.292583,2
2.298744,2
2.304541,2
2.310691,2
2.316718,2
2.325081,2
2.331593,2
2.342977,1
2.347984,2
2.353144,2
2.359604,1
2.364642,1
2.372117,2
2.378432,2
2.387459,1
2.392561,2
2.400481,1
2.405507,3
2.415648,3
2.421515,3
2.427488,3
2.433466,2
2.440301,1
2.446844,2
2.453614,2
2.459005,2
2.467436,1
2.472919,1
2.478932,1
2.486728,1
2.495042,1
2.500926,1
2.508859,1
2.51757,1
2.524436,1
2.531239,1
2.53848,2
2.544446,2
2.551442,1
2.556781,1
2.562511,1
2.570026,2
2.575979,2
2.582683,2
2.592217,2
2.598129,1
2.604413,2
2.610618,2
2.616751,3
2.625413,2
2.635184,1
2.641678,1
2.651162,1
2.6564,1
2.667443,2
2.674217,2
2.685719,1
2.69602,1
2.703588,1
2.712484,3
2.719307,3
2.726283,4
2.731349,3
2.736376,3
2.741414,5
2.74721,4
2.752604,4
2.75937,4
2.765454,5
2.771923,4
2.776943,4
2.782176,3
2.788499,3
2.797297,1
2.804784,2
2.817088,2
2.823898,2
2.831379,1
2.83767,1
2.844858,2
2.851048,1
2.860581,1
2.866488,1
2.872011,1
2.881408,1
2.886611,1
2.892481,1
2.898299,2
2.907753,2
2.915503,1
2.921821,2
2.927532,1
2.93412,2
2.941284,2
2.947884,2
2.9538,2
2.960199,1
2.9657,1
2.971846,2
2.977468,3
2.983801,3
2.99042,3
2.997232,3
3.005252,1
3.010765,1
3.019152,3
3.02937,3
3.038285,3
3.043355,1
3.05023,1
3.056675,1
3.063214,3
3.073785,3
3.078963,3
3.084462,1
3.089739,1
3.09668,1
3.102542,2
3.109098,2
3.11434,2
3.121604,2
3.126953,2
3.13307,2
3.140508,2
3.148446,2
3.154558,2
3.162457,2
3.168835,2
3.176425,1
3.182975,1
3.191682,1
3.196685,1
3.20233,1
3.211649,1
3.221353,1
3.236143,1
3.248134,1
3.264377,1
3.280291,1
3.300291,1
3.320038,1
3.340038,1
3.354904,1
3.369364,1
3.384823,1
3.396235,1
3.416235,1
3.425442,1
3.445442,1
3.460943,1
3.472454,1
3.492454,1
3.507221,1
3.519094,1
3.539094,1
3.551384,1
3.567799,1
3.587799,1
3.601076,1
3.621076,1
3.626096,2
3.643347,1
3.663347,2
3.674992,1
3.694992,1
3.701483,1
3.709898,1
3.727205,2
3.740881,1
3.760881,1
3.766087,2
3.779764,1
3.799764,2
3.810275,1
3.820359,1
3.840359,1
3.847155,1
3.855184,1
3.875184,1
3.880259,1
3.885352,2
3.8972,1
3.9172,1
3.926582,1
3.933822,1
3.950303,1
3.956379,1
3.962686,1
3.96865,2
3.981551,1
