frame,value
0,1
0.002698,1
0.005401,1
0.007909,1
0.010539,1
0.013075,1
0.015632,1
0.018458,1
0.021094,1
0.024178,1
0.027259,1
0.02993,1
0.032666,1
0.035186,1
0.038122,1
0.041067,1
0.044306,1
0.046873,1
0.049523,1
0.052328,1
0.054901,1
0.058087,1
0.061078,1
0.063661,1
0.066203,1
0.068959,1
0.071866,1
0.074638,1
0.077688,1
0.080478,1
0.083174,1
0.086044,1
0.089565,1
0.092699,1
0.095207,1
0.098076,1
0.100652,1
0.103178,1
0.10591,1
0.108635,1
0.111231,1
0.113923,1
0.116654,1
0.119554,1
0.122155,1
0.124842,1
0.127912,1
0.130711,1
0.133613,1
0.136208,1
0.139029,1
0.142841,1
0.145528,1
0.148563,1
0.151568,1
0.156591,1
0.161614,1
0.167736,1
0.174637,1
0.181852,1
0.187265,1
0.195528,1
0.200669,1
0.211442,1
0.220131,1
0.233214,1
0.240246,1
0.2492,1
0.263426,1
0.271429,1
0.277947,1
0.284038,1
0.290453,1
0.296182,1
0.306993,1
0.319442,1
0.332114,1
0.343328,1
0.356643,1
0.369815,1
0.38093,1
0.40093,1
0.406914,1
0.416951,1
0.431573,1
0.442723,1
0.458069,1
0.466901,1
0.479857,1
0.493336,1
0.502672,1
0.520207,1
0.525532,1
0.536857,1
0.547989,1
0.55779,1
0.567769,1
0.574805,1
0.588848,1
0.595214,1
0.606634,1
0.620521,1
0.63108,1
0.646664,1
0.652892,1
0.668568,1
0.676698,1
0.688698,1
0.698319,1
0.705306,1
0.711882,1
0.718151,1
0.726786,1
0.73273,1
0.740171,1
0.749692,1
0.762534,1
0.770861,1
0.779198,1
0.7922,1
0.800996,1
0.811054,1
0.820147,1
0.827987,1
0.843498,1
0.848522,1
0.856194,1
0.875782,1
0.88734,1
0.898901,1
0.904633,1
0.91724,1
0.924678,1
0.936999,1
0.945428,1
0.957917,1
0.967136,1
0.973857,1
0.984423,1
0.99074,1
1.001881,1
1.009159,1
1.019449,1
1.029977,1
1.035451,1
1.041607,1
1.052129,1
1.05866,1
1.069675,1
1.075833,1
1.084012,1
1.099271,1
1.105303,1
1.115981,1
1.123341,1
1.141995,1
1.147675,1
1.155542,1
1.1673,1
1.173355,1
1.193355,1
1.205195,1
1.212313,1
1.225087,1
1.234457,1
1.244275,1
1.25676,1
1.262858,1
1.268095,1
1.273713,1
1.281678,1
1.298177,1
1.303603,1
1.323603,1
1.331166,1
1.345958,1
1.353636,1
1.373636,1
1.380088,1
1.387261,1
1.403511,1
1.410045,1
1.415373,1
1.427526,1
1.43645,1
1.44254,1
1.451858,1
1.458993,1
1.468136,1
1.474032,1
1.484599,1
1.492893,1
