frame,value
0,0.01
0.002691,0.01
0.005401,0.01
0.008061,0.01
0.011042,0.01
0.013647,0.01
0.016296,0.01
0.019131,0.01
0.02189,0.01
0.02469,0.01
0.027201,0.01
0.030377,0.01
0.033061,0.01
0.035776,0.01
0.038664,0.01
0.041229,0.01
0.043746,0.01
0.046437,0.01
0.049115,0.01
0.051753,0.01
0.054323,0.01
0.057037,0.01
0.060061,0.01
0.063564,0.01
0.066296,0.01
0.069097,0.01
0.071732,0.01
0.074334,0.01
0.077186,0.01
0.080171,0.01
0.083405,0.01
0.085914,0.01
0.088619,0.01
0.091316,0.01
0.094246,0.01
0.096761,0.01
0.099582,0.01
0.102273,0.01
0.105417,0.01
0.10826,0.01
0.110871,0.01
0.113528,0.01
0.11652,0.01
0.119514,0.01
0.122391,0.01
0.12495,0.01
0.127915,0.01
0.130997,0.01
0.133788,0.01
0.137243,0.01
0.140566,0.01
0.143116,0.01
0.14592,0.01
0.149753,0.01
0.153219,0.027
0.162024,0.027
0.171094,0.027
0.180584,0.027
0.191421,0.027
0.200597,0.027
0.211337,0.027
0.220347,0.027
0.230522,0.027
0.242504,0.027
0.25316,0.027
0.265279,0.027
0.277039,0.027
0.28685,0.027
0.297766,0.027
0.316822,0.027
0.331444,0.027
0.339235,0.027
0.353906,0.027
0.373051,0.027
0.384686,0.027
0.397786,0.027
0.41438,0.027
0.424206,0.027
0.436205,0.027
0.44431,0.027
0.458913,0.027
0.478989,0.027
0.490537,0.027
0.504981,0.027
0.528695,0.027
0.541047,0.027
0.551495,0.027
0.578495,0.027
0.587317,0.027
0.594222,0.027
0.610483,0.027
0.618412,0.027
0.636959,0.027
0.644426,0.027
0.656409,0.027
0.666477,0.027
0.681042,0.027
0.693283,0.027
0.708847,0.027
0.718168,0.027
0.725116,0.027
0.733801,0.027
0.756883,0.027
0.767683,0.027
0.77716,0.027
0.78733,0.027
0.800213,0.027
0.810197,0.027
0.823274,0.027
0.83669,0.027
0.843507,0.027
0.853774,0.027
0.866975,0.027
0.875762,0.027
0.888028,0.027
0.910974,0.027
0.922583,0.027
0.932688,0.027
0.945688,0.027
0.959699,0.027
0.969782,0.027
0.994125,0.027
1.001335,0.027
1.010804,0.027
1.032018,0.027
1.041633,0.027
1.061766,0.027
1.068629,0.027
1.076436,0.027
1.093229,0.027
1.112045,0.027
1.123821,0.027
1.13377,0.027
1.16077,0.027
1.168884,0.027
1.177031,0.027
1.189766,0.027
1.201228,0.027
1.208346,0.027
1.221937,0.027
1.233346,0.027
1.244504,0.027
1.258873,0.027
1.273739,0.027
1.284359,0.027
1.295825,0.027
1.30765,0.027
1.33465,0.027
1.349427,0.027
1.363054,0.027
1.378061,0.027
1.393637,0.027
1.401428,0.027
1.417252,0.027
1.431581,0.027
1.447617,0.027
1.461429,0.027
1.468937,0.027
1.482304,0.027
1.494827,0.027
1.508752,0.027
1.516336,0.027
1.526998,0.027
1.537163,0.027
1.548146,0.027
1.555402,0.027
1.565785,0.027
1.573546,0.027
1.581242,0.027
1.594397,0.027
1.607026,0.027
1.618914,0.027
1.628681,0.027
1.635862,0.027
1.645667,0.027
1.653483,0.027
1.663531,0.027
1.671135,0.027
1.68193,0.027
1.691655,0.027
1.700685,0.027
1.713868,0.027
1.721652,0.027
1.728641,0.027
1.737035,0.027
1.746206,0.027
1.753652,0.027
1.762864,0.027
1.77176,0.027
1.781968,0.027
1.789368,0.027
1.797414,0.027
1.809395,0.027
1.817186,0.027
1.826087,0.027
1.833814,0.027
1.842088,0.027
1.850368,0.027
1.859161,0.027
1.870948,0.027
1.87825,0.027
1.886254,0.027
1.896895,0.027
1.907722,0.027
1.917197,0.027
1.930948,0.027
1.940641,0.027
1.950289,0.027
1.959542,0.027
1.968816,0.027
1.977024,0.027
1.985024,0.027
1.992807,0.027
2.005615,0.027
2.020723,0.027
2.028789,0.027
2.044266,0.027
2.060654,0.027
2.067502,0.027
2.074633,0.027
2.088216,0.027
2.095594,0.027
2.104094,0.027
2.110877,0.027
2.119829,0.027
2.126921,0.027
2.137964,0.027
2.146785,0.027
2.154671,0.027
2.162783,0.027
2.170109,0.027
2.17702,0.027
2.18425,0.027
2.191776,0.027
2.202585,0.027
2.214029,0.027
2.22078,0.027
2.230208,0.027
2.240986,0.027
2.249607,0.027
2.259392,0.027
2.266685,0.027
2.274333,0.027
2.281883,0.027
2.290474,0.027
2.299613,0.027
2.306508,0.027
2.316822,0.027
2.32533,0.027
2.332166,0.027
2.341292,0.027
2.348593,0.027
2.356791,0.027
2.364608,0.027
2.373579,0.027
2.383744,0.027
2.392992,0.027
2.400632,0.027
2.407416,0.027
2.416984,0.027
2.4239,0.027
2.433415,0.027
2.44144,0.027
2.452841,0.027
2.461798,0.027
2.469641,0.027
2.478053,0.027
2.486631,0.027
2.495535,0.027
2.503343,0.027
2.511198,0.027
2.51887,0.027
2.526628,0.027
2.541301,0.027
2.55033,0.027
2.557086,0.027
2.564949,0.027
2.578021,0.027
2.585279,0.027
2.592764,0.027
2.60654,0.027
2.618413,0.027
2.625429,0.027
2.633141,0.027
2.642795,0.027
2.650826,0.027
2.664966,0.027
2.673974,0.027
2.681291,0.027
2.688468,0.027
2.698873,0.027
2.707505,0.027
2.718946,0.027
2.729132,0.027
2.737412,0.027
2.746861,0.027
2.75375,0.027
2.761232,0.027
2.768323,0.027
2.775188,0.027
2.782063,0.027
2.789299,0.027
2.803844,0.027
2.814164,0.027
2.82288,0.027
2.833278,0.027
2.845371,0.027
2.853746,0.027
2.862811,0.027
2.873598,0.027
2.880704,0.027
2.889562,0.027
2.896855,0.027
2.90395,0.027
2.915299,0.027
2.925705,0.027
2.936661,0.027
2.946676,0.027
2.956231,0.027
2.965521,0.027
2.974012,0.027
2.981502,0.027
2.991828,0.027
2.99864,0.027
3.008139,0.027
3.015115,0.027
3.025512,0.027
3.036114,0.027
3.04361,0.027
3.053223,0.027
3.063496,0.027
3.073734,0.027
3.086714,0.027
3.095041,0.027
3.102244,0.027
3.109518,0.027
3.117242,0.027
3.125372,0.027
3.138744,0.027
3.147744,0.027
3.155829,0.027
3.164039,0.027
3.173314,0.027
3.182465,0.027
3.197281,0.027
3.214072,0.027
3.228012,0.027
3.245465,0.027
3.257079,0.027
3.280285,0.027
3.293033,0.027
3.320033,0.027
3.33789,0.027
3.347003,0.027
3.358438,0.027
3.383546,0.027
3.390546,0.027
3.40881,0.027
3.421309,0.027
3.446725,0.027
3.458329,0.027
3.476106,0.027
3.501348,0.027
3.518169,0.027
3.536615,0.027
3.546612,0.027
3.558774,0.027
3.580785,0.027
3.597753,0.027
3.624753,0.027
3.633059,0.027
3.647436,0.027
3.674436,0.027
3.685838,0.027
3.694266,0.027
3.702981,0.027
3.710647,0.027
3.726044,0.027
3.753044,0.027
3.760396,0.027
3.787396,0.027
3.802386,0.027
3.811652,0.027
3.824156,0.027
3.843052,0.027
3.856856,0.027
3.870114,0.027
3.892705,0.027
3.911234,0.027
3.926249,0.027
3.948231,0.027
3.963391,0.027
3.980906,0.027
