frame,value
0,2
0,3
0,3
0,4
0,4
0,4
0,2
0.002691,5
0.002691,5
0.002691,5
0.002691,5
0.002691,5
0.002691,5
0.002691,5
0.002691,5
0.002691,2
0.005388,5
0.005388,5
0.005388,5
0.005388,5
0.005388,5
0.005388,5
0.005388,5
0.005388,5
0.005388,5
0.005388,2
0.008236,6
0.008236,5
0.008236,5
0.008236,5
0.008236,5
0.008236,5
0.008236,5
0.008236,2
0.010953,5
0.010953,5
0.010953,5
0.010953,5
0.010953,5
0.010953,5
0.010953,5
0.010953,5
0.010953,5
0.010953,2
0.013468,6
0.013468,5
0.013468,5
0.013468,5
0.013468,5
0.013468,4
0.013468,2
0.016049,4
0.016049,4
0.016049,4
0.016049,4
0.016049,4
0.016049,2
0.018679,4
0.018679,4
0.018679,3
0.018679,3
0.018679,3
0.018679,1
0.021287,4
0.021287,3
0.021287,3
0.021287,3
0.021287,3
0.021287,1
0.024253,3
0.024253,3
0.024253,3
0.024253,3
0.024253,3
0.024253,1
0.026869,3
0.026869,3
0.026869,3
0.026869,3
0.026869,3
0.026869,1
0.029423,4
0.029423,4
0.029423,4
0.029423,4
0.029423,4
0.029423,3
0.029423,2
0.032398,4
0.032398,3
0.032398,3
0.032398,3
0.032398,3
0.032398,3
0.032398,3
0.032398,2
0.035363,3
0.035363,3
0.035363,3
0.035363,2
0.035363,1
0.037895,3
0.037895,3
0.037895,3
0.037895,3
0.037895,1
0.040437,2
0.040437,2
0.040437,2
0.040437,2
0.040437,2
0.040437,1
0.043751,2
0.043751,2
0.043751,2
0.043751,2
0.043751,2
0.043751,1
0.04634,2
0.04634,2
0.04634,2
0.04634,2
0.04634,2
0.04634,2
0.04634,2
0.04634,2
0.049676,2
0.049676,2
0.049676,2
0.049676,2
0.049676,2
0.049676,1
0.05275,2
0.05275,2
0.05275,2
0.05275,2
0.05275,2
0.055298,2
0.055298,2
0.055298,2
0.055298,2
0.055298,2
0.057908,2
0.057908,2
0.057908,2
0.057908,2
0.057908,2
0.061261,2
0.061261,2
0.061261,2
0.061261,2
0.061261,2
0.064665,2
0.064665,2
0.064665,2
0.064665,2
0.064665,1
0.067496,2
0.067496,2
0.067496,2
0.067496,2
0.067496,1
0.070485,2
0.070485,2
0.070485,2
0.070485,2
0.070485,2
0.070485,2
0.073924,2
0.073924,2
0.073924,2
0.073924,2
0.073924,2
0.073924,1
0.076602,3
0.076602,2
0.076602,2
0.076602,2
0.076602,2
0.076602,2
0.079705,3
0.079705,2
0.079705,2
0.079705,2
0.079705,2
0.079705,2
0.079705,2
0.079705,2
0.082404,2
0.082404,2
0.082404,2
0.082404,2
0.082404,2
0.082404,2
0.085085,3
0.085085,2
0.085085,2
0.085085,2
0.085085,2
0.085085,2
0.085085,2
0.085085,2
0.087836,3
0.087836,3
0.087836,3
0.087836,3
0.087836,3
0.087836,3
0.087836,3
0.087836,2
0.090887,2
0.090887,3
0.090887,3
0.090887,3
0.090887,3
0.090887,3
0.090887,2
0.09344,3
0.09344,3
0.09344,3
0.09344,3
0.09344,3
0.09344,3
0.09344,3
0.09344,3
0.09344,3
0.09344,2
0.096141,3
0.096141,3
0.096141,3
0.096141,3
0.096141,3
0.096141,3
0.096141,3
0.096141,3
0.096141,2
0.098849,3
0.098849,3
0.098849,3
0.098849,3
0.098849,3
0.098849,2
0.101558,3
0.101558,3
0.101558,3
0.101558,3
0.101558,3
0.101558,3
0.101558,3
0.101558,2
0.104588,3
0.104588,3
0.104588,4
0.104588,4
0.104588,3
0.104588,3
0.104588,3
