frame,value
0,0
0.002691,6.2591
0.005388,6.639483
0.008236,6.281699
0.010953,6.111866
0.013468,5.586601
0.016049,4.735363
0.018679,3.945149
0.021287,3.472368
0.024253,3.241133
0.026869,3.091131
0.029423,2.937397
0.032398,2.443196
0.035363,2.133257
0.037895,2.201185
0.040437,1.840026
0.043751,1.815861
0.04634,1.798976
0.049676,1.777418
0.05275,1.757095
0.055298,2.133139
0.057908,1.776993
0.061261,1.773279
0.064665,1.913448
0.067496,1.935616
0.070485,1.910218
0.073924,2.056575
0.076602,2.177272
0.079705,2.194737
0.082404,1.932991
0.085085,1.980186
0.087836,1.782635
0.090887,1.769745
0.09344,1.633946
0.096141,1.844561
0.098849,1.915757
0.101558,1.973891
0.104588,1.693202
0.107471,2.193439
0.110286,1.949474
0.112968,1.964731
0.115932,2.172087
0.118804,2.355724
0.121635,2.311596
0.124595,2.363982
0.127539,2.778787
0.13011,2.741031
0.132623,2.061958
0.13514,2.358189
0.138114,2.264017
0.140659,2.599602
0.143566,2.373759
0.146366,2.457988
0.149747,2.288872
0.153056,2.31472
0.161783,0.7202966
0.17278,0.6343049
0.18194,0.6127694
0.193306,0.4920952
0.203883,0.4211464
0.212732,0.3622988
0.221298,0.342407
0.231965,0.3037122
0.242846,0.284753
0.25676,0.2477013
0.267057,0.1984934
0.281274,0.1934825
0.29316,0.1928969
0.311301,0.2114462
0.3202,0.2201876
0.335263,0.2312038
0.351863,0.2034248
0.364405,0.1700177
0.382759,0.1644682
0.392799,0.1695101
0.40699,0.1735659
0.426094,0.1564112
0.434922,0.1588561
0.446233,0.1603098
0.455928,0.1585125
0.466285,0.1513024
0.477628,0.1462011
0.486726,0.1854808
0.496192,0.1648445
0.504737,0.1947087
0.518871,0.2178413
0.537739,0.1763946
0.545735,0.2075157
0.561486,0.2123564
0.581598,0.1784296
0.590063,0.2145808
0.605378,0.1638464
0.618213,0.1503478
0.636116,0.1580994
0.644007,0.1977284
0.653109,0.1733401
0.671998,0.1513613
0.684902,0.1795198
0.695218,0.1574691
0.706036,0.1688917
0.719366,0.1301238
0.730246,0.2086882
0.754921,0.1106569
0.767846,0.1654906
0.776801,0.1965612
0.794785,0.1295625
0.801828,0.2805194
0.814273,0.1369622
0.82175,0.1739505
0.831758,0.1457268
0.858463,0.113585
0.868307,0.2331568
0.879271,0.1834298
0.890737,0.1320027
0.906102,0.1522398
0.914637,0.1519957
0.930342,0.1422735
0.947281,0.1322374
0.959094,0.1861923
0.96945,0.1470937
0.990157,0.1564477
1.005821,0.1569725
1.020839,0.1228656
1.030098,0.1845678
1.057427,0.1173702
1.073543,0.1787395
1.081924,0.2040696
1.090695,0.1482641
1.118695,0.132357
1.12838,0.2585696
1.154445,0.1279763
1.162189,0.2292503
1.176808,0.1580532
1.196552,0.1330077
1.204746,0.2214416
1.218297,0.1373169
1.233276,0.1643311
