frame,value
0,80
0,94
0,92
0,96
0,97
0,94
0,63
0.002691,139
0.002691,81
0.002691,88
0.002691,90
0.002691,90
0.002691,96
0.002691,94
0.002691,87
0.002691,39
0.005388,95
0.005388,106
0.005388,87
0.005388,92
0.005388,90
0.005388,95
0.005388,96
0.005388,118
0.005388,83
0.005388,36
0.008236,81
0.008236,98
0.008236,87
0.008236,98
0.008236,81
0.008236,90
0.008236,69
0.008236,35
0.010953,66
0.010953,75
0.010953,72
0.010953,74
0.010953,81
0.010953,91
0.010953,97
0.010953,99
0.010953,98
0.010953,42
0.013468,81
0.013468,77
0.013468,69
0.013468,80
0.013468,80
0.013468,77
0.013468,34
0.016049,73
0.016049,62
0.016049,63
0.016049,65
0.016049,65
0.016049,39
0.018679,61
0.018679,60
0.018679,60
0.018679,60
0.018679,68
0.018679,39
0.021287,72
0.021287,75
0.021287,69
0.021287,61
0.021287,62
0.021287,40
0.024253,62
0.024253,64
0.024253,61
0.024253,62
0.024253,67
0.024253,43
0.026869,66
0.026869,71
0.026869,64
0.026869,63
0.026869,59
0.026869,39
0.029423,68
0.029423,70
0.029423,69
0.029423,70
0.029423,64
0.029423,67
0.029423,42
0.032398,70
0.032398,60
0.032398,63
0.032398,60
0.032398,59
0.032398,53
0.032398,55
0.032398,38
0.035363,57
0.035363,55
0.035363,53
0.035363,54
0.035363,37
0.037895,56
0.037895,59
0.037895,57
0.037895,56
0.037895,36
0.040437,58
0.040437,57
0.040437,59
0.040437,55
0.040437,57
0.040437,32
0.043751,56
0.043751,54
0.043751,60
0.043751,51
0.043751,53
0.043751,35
0.04634,49
0.04634,58
0.04634,49
0.04634,63
0.04634,53
0.04634,51
0.04634,57
0.04634,32
0.049676,51
0.049676,52
0.049676,57
0.049676,52
0.049676,62
0.049676,31
0.05275,47
0.05275,45
0.05275,49
0.05275,50
0.05275,36
0.055298,47
0.055298,51
0.055298,55
0.055298,49
0.055298,32
0.057908,55
0.057908,51
0.057908,50
0.057908,54
0.057908,31
0.061261,50
0.061261,52
0.061261,55
0.061261,52
0.061261,35
0.064665,49
0.064665,51
0.064665,52
0.064665,44
0.064665,30
0.067496,45
0.067496,46
0.067496,46
0.067496,50
0.067496,31
0.070485,49
0.070485,47
0.070485,47
0.070485,44
0.070485,47
0.070485,28
0.073924,44
0.073924,46
0.073924,49
0.073924,50
0.073924,50
0.073924,30
0.076602,48
0.076602,46
0.076602,46
0.076602,44
0.076602,48
0.076602,31
0.079705,47
0.079705,48
0.079705,51
0.079705,47
0.079705,50
0.079705,40
0.079705,44
0.079705,32
0.082404,47
0.082404,47
0.082404,53
0.082404,46
0.082404,48
0.082404,27
0.085085,45
0.085085,44
0.085085,51
0.085085,50
0.085085,52
0.085085,56
0.085085,57
0.085085,32
0.087836,60
0.087836,47
0.087836,49
0.087836,45
0.087836,52
0.087836,51
0.087836,50
0.087836,31
0.090887,56
0.090887,54
0.090887,57
0.090887,67
0.090887,62
0.090887,65
0.090887,26
0.09344,48
0.09344,52
0.09344,55
0.09344,65
0.09344,67
0.09344,62
0.09344,72
0.09344,40
0.09344,39
0.09344,33
0.096141,44
0.096141,56
0.096141,40
0.096141,45
0.096141,49
0.096141,50
0.096141,46
0.096141,44
0.096141,32
0.098849,56
0.098849,40
0.098849,45
0.098849,39
0.098849,42
0.098849,22
0.101558,41
0.101558,44
0.101558,49
0.101558,38
0.101558,49
0.101558,46
0.101558,41
0.101558,29
0.104588,44
0.104588,43
0.104588,49
0.104588,52
0.104588,52
0.104588,53
0.104588,55
0.104588,26
0.107471,42
0.107471,45
0.107471,42
0.107471,46
0.107471,42
0.107471,46
0.107471,43
0.107471,47
0.107471,31
0.110286,54
0.110286,39
0.110286,45
0.110286,43
0.110286,47
0.110286,51
0.110286,33
0.112968,61
0.112968,69
0.112968,82
0.112968,84
0.112968,47
0.112968,48
0.112968,49
0.112968,43
0.112968,37
0.112968,34
0.112968,22
0.115932,38
0.115932,43
0.115932,41
0.115932,40
0.115932,40
0.115932,40
0.115932,39
0.115932,27
0.118804,41
0.118804,38
0.118804,36
0.118804,43
0.118804,38
0.118804,37
0.118804,25
0.121635,37
0.121635,39
0.121635,42
0.121635,43
0.121635,37
0.121635,28
0.124595,42
0.124595,43
0.124595,43
0.124595,38
0.124595,26
0.127539,39
0.127539,40
0.127539,41
0.127539,26
0.13011,43
0.13011,41
0.13011,43
0.13011,29
0.132623,44
0.132623,45
0.132623,43
0.132623,25
0.13514,38
0.13514,37
0.13514,33
0.13514,24
0.138114,38
0.138114,41
0.138114,21
0.140659,42
0.140659,41
0.140659,20
0.143566,40
0.143566,41
0.143566,18
0.146366,37
0.146366,41
0.146366,42
0.146366,22
0.149747,40
0.149747,38
0.149747,19
0.153056,64
0.153056,67
0.153056,37
0.161783,67
0.161783,69
0.161783,69
0.161783,42
0.17278,63
0.17278,63
0.17278,37
0.18194,61
0.18194,64
0.18194,41
0.193306,57
0.193306,60
0.193306,63
0.193306,41
0.203883,59
0.203883,38
0.212732,62
0.212732,36
0.221298,61
0.221298,67
0.221298,41
0.231965,64
0.231965,64
0.231965,42
0.242846,63
0.242846,46
0.25676,59
0.25676,42
0.267057,63
0.267057,49
0.281274,63
0.281274,42
0.29316,64
0.29316,56
0.311301,61
0.311301,38
0.3202,66
0.3202,50
0.335263,62
0.335263,55
0.351863,63
0.351863,45
0.364405,65
0.364405,57
0.382759,65
0.382759,41
0.392799,66
0.392799,48
0.40699,64
0.40699,50
0.426094,59
0.426094,34
0.434922,68
0.434922,39
0.446233,59
0.446233,32
0.455928,64
0.455928,39
0.466285,65
0.466285,37
0.477628,66
0.477628,36
0.486726,67
0.486726,39
0.496192,70
0.496192,35
0.504737,67
0.504737,70
0.504737,47
0.518871,66
0.518871,56
0.537739,69
0.537739,38
0.545735,71
0.545735,66
0.545735,48
0.561486,65
0.561486,58
0.581598,67
0.581598,36
0.590063,69
0.590063,50
0.605378,67
0.605378,43
0.618213,62
0.618213,58
0.636116,62
0.636116,33
0.644007,66
0.644007,35
0.653109,61
0.653109,60
0.671998,66
0.671998,62
0.671998,44
0.684902,70
0.684902,39
0.695218,67
0.695218,44
0.706036,68
0.706036,52
0.719366,67
0.719366,71
0.719366,42
0.730246,66
0.730246,67
0.730246,73
0.754921,67
0.754921,65
0.754921,49
0.767846,69
0.767846,36
0.776801,70
0.776801,61
0.794785,71
0.794785,29
0.801828,67
0.801828,71
0.801828,45
0.814273,65
0.814273,33
0.82175,69
0.82175,41
0.831758,66
0.831758,77
0.858463,65
0.858463,65
0.858463,39
0.868307,67
0.868307,68
0.868307,42
0.879271,69
0.879271,37
0.890737,62
0.890737,48
0.906102,60
0.906102,31
0.914637,64
0.914637,50
0.930342,64
0.930342,46
0.947281,65
0.947281,42
0.959094,67
0.959094,41
0.96945,64
0.96945,54
0.990157,64
0.990157,65
0.990157,48
1.005821,67
1.005821,51
1.020839,62
1.020839,37
1.030098,61
1.030098,66
1.057427,63
1.057427,62
1.057427,52
1.073543,62
1.073543,30
1.081924,63
1.081924,32
1.090695,61
1.090695,68
1.118695,60
1.118695,60
1.118695,36
1.12838,58
1.12838,61
1.12838,64
1.154445,62
1.154445,32
1.162189,66
1.162189,67
1.162189,44
