frame,value
0,0.03269214
0,0.04446144
0,0.05572584
0,0.05460276
0,0.05568757
0,0.05749171
0,0.03006338
0.002691,0.06131601
0.002691,0.05865213
0.002691,0.05726859
0.002691,0.05674496
0.002691,0.05531876
0.002691,0.05446582
0.002691,0.05393168
0.002691,0.05212637
0.002691,0.05177896
0.002691,0.02385068
0.005546,0.0543464
0.005546,0.05388505
0.005546,0.05303166
0.005546,0.05301439
0.005546,0.05192462
0.005546,0.05202328
0.005546,0.0517881
0.005546,0.0513013
0.005546,0.02086622
0.008101,0.05461833
0.008101,0.05295398
0.008101,0.05298161
0.008101,0.05151195
0.008101,0.05081556
0.008101,0.04934755
0.008101,0.04955195
0.008101,0.04771174
0.008101,0.0192913
0.010604,0.05344393
0.010604,0.0526188
0.010604,0.05039502
0.010604,0.05019339
0.010604,0.04821974
0.010604,0.0466531
0.010604,0.0437069
0.010604,0.04374129
0.010604,0.04255796
0.010604,0.02199062
0.01339,0.04840247
0.01339,0.04698059
0.01339,0.04331763
0.01339,0.04180402
0.01339,0.03881906
0.01339,0.03553107
0.01339,0.01709291
0.015895,0.04038101
0.015895,0.03649862
0.015895,0.03567107
0.015895,0.03327435
0.015895,0.03292195
0.015895,0.03082407
0.015895,0.01796004
0.01872,0.0319695
0.01872,0.03033996
0.01872,0.02851882
0.01872,0.02865307
0.01872,0.02949718
0.01872,0.01877461
0.021236,0.03029937
0.021236,0.02826903
0.021236,0.02782038
0.021236,0.02580087
0.021236,0.0254835
0.021236,0.01779116
0.024119,0.02677528
0.024119,0.02453662
0.024119,0.02500249
0.024119,0.02283383
0.024119,0.02281694
0.024119,0.01693448
0.026908,0.02262353
0.026908,0.02153446
0.026908,0.02144029
0.026908,0.02121695
0.026908,0.02087501
0.026908,0.01668251
0.029826,0.0218147
0.029826,0.02091484
0.029826,0.02074648
0.029826,0.01936578
0.029826,0.01905621
0.029826,0.01636085
0.032774,0.01935885
0.032774,0.01815019
0.032774,0.01799436
