frame,value
0,0
1,5655
2,2558
3,1802
4,1745
5,2159
6,2694
7,2677
8,1335
9,905
10,486
11,344
12,259
13,135
14,251
15,133
16,215
17,223
18,253
19,140
20,136
21,145
22,143
23,253
24,142
25,144
26,207
27,206
28,213
29,279
30,135
31,124
32,345
33,137
34,121
35,209
36,135
37,129
38,156
39,130
41,287
42,258
43,280
44,133
45,156
46,130
47,146
48,336
49,235
50,228
51,148
53,442
54,344
55,214
56,134
57,268
59,163
60,261
61,157
62,118
63,134
64,150
65,216
66,125
67,136
68,134
69,276
70,126
71,132
72,141
73,245
74,143
75,137
76,135
77,271
78,125
79,134
80,143
81,251
82,131
84,295
85,127
86,213
87,277
88,206
89,343
90,131
91,260
92,369
93,225
94,328
95,351
96,216
97,198
98,327
99,205
100,397
101,323
102,399
103,408
104,204
105,403
106,324
107,329
108,201
109,407
110,193
111,418
112,508
113,133
114,417
115,143
116,327
117,355
118,218
119,339
120,217
121,138
122,280
123,133
124,355
125,499
126,612
127,444
128,294
129,1029
130,1906
131,8147
132,1520
133,212
134,431
135,423
136,342
137,422
138,220
139,450
140,241
141,468
142,311
143,556
144,419
145,574
146,295
147,415
148,480
149,188
150,347
151,244
152,120
153,248
154,417
155,206
156,344
157,209
158,354
159,140
160,257
161,275
162,217
163,222
164,738
165,1405
166,1168
167,863
168,127
169,323
170,398
171,332
172,217
173,350
174,363
175,240
176,469
177,140
178,269
179,510
180,214
181,335
182,431
183,480
184,419
185,291
186,256
187,245
188,392
189,371
190,190
191,430
192,204
193,135
194,152
195,142
197,148
199,295
200,242
201,126
202,149
203,220
204,146
205,135
207,140
208,250
210,218
211,323
213,137
214,256
215,136
216,124
217,128
218,138
220,198
221,125
222,134
224,199
225,250
226,130
228,135
229,122
230,221
232,258
233,120
234,200
235,133
236,194
238,142
239,119
240,240
