frame,value
0,0.02991995
0,0.03792306
0,0.06123891
0,0.05732359
0,0.06428279
0,0.05420917
0,0.03600445
0.002691,0.05649083
0.002691,0.04305009
0.002691,0.01660166
0.002691,0.04501884
0.002691,0.02628162
0.002691,0.01746544
0.002691,0.04364191
0.002691,0.01192969
0.002691,0.0646039
0.002691,0.03713657
0.00552,0.01956192
0.00552,0.05836594
0.00552,0.01202449
0.00552,0.06713217
0.00552,0.01702871
0.00552,0.06628708
0.00552,0.008479446
0.00552,0.01953308
0.00552,0.0326368
0.00552,0.0256529
0.008176,0.04786443
0.008176,0.02302514
0.008176,0.08930136
0.008176,0.01600757
0.008176,0.08500386
0.008176,0.02747386
0.008176,0.0570603
0.010686,0.01160918
0.010686,0.02865993
0.010686,0.06332068
0.010686,0.02560009
0.010686,0.04783323
0.010686,0.05055494
0.010686,0.05667294
0.010686,0.09060321
0.010686,0.0620444
0.013251,0.01579097
0.013251,0.04662177
0.013251,0.06188975
0.013251,0.0647897
0.013251,0.06453373
0.013251,0.05830709
0.013251,0.07905779
0.013251,0.06650539
0.016288,0.0470514
0.016288,0.05524633
0.016288,0.04759406
0.016288,0.05789391
0.016288,0.08210709
0.016288,0.04396765
0.016288,0.08583968
0.018891,0.02586237
0.018891,0.05810504
0.018891,0.03354785
0.018891,0.1113625
0.018891,0.02142722
0.018891,0.1369423
0.018891,0.01971184
0.02178,0.1276513
0.02178,0.01883482
0.02178,0.1161346
0.02178,0.01792474
0.02178,0.1138526
0.02178,0.01702909
0.024963,0.1133523
0.024963,0.02978859
0.024963,0.1105435
0.024963,0.01508656
0.024963,0.1623907
0.024963,0.01565589
0.028255,0.05999197
0.028255,0.02910476
0.028255,0.1298324
0.028255,0.01439109
0.028255,0.08537193
0.028255,0.02643418
0.031096,0.0879433
0.031096,0.01938844
0.031096,0.08584946
0.031096,0.01879567
0.031096,0.06226445
0.031096,0.02585734
0.031096,0.1179703
0.033679,0.02329535
0.033679,0.0772817
0.033679,0.02126657
0.033679,0.07003675
0.033679,0.02442658
0.033679,0.09713354
0.033679,0.0252264
0.036224,0.1262474
0.036224,0.01804687
0.036224,0.1193371
0.036224,0.02225582
0.036224,0.1198192
0.038771,0.02154097
0.038771,0.1379348
0.038771,0.02878906
0.038771,0.1268266
0.038771,0.02898581
0.038771,0.1141892
0.038771,0.02471305
0.041948,0.1430933
0.041948,0.02933584
0.041948,0.1165083
0.041948,0.02526278
0.041948,0.152832
0.041948,0.01394196
0.045336,0.02081301
0.045336,0.1025939
0.045336,0.04479495
0.045336,0.03402176
0.045336,0.04133192
0.045336,0.03255652
0.045336,0.05197166
0.045336,0.04416088
0.048207,0.04564162
0.048207,0.03018105
0.048207,0.1066043
0.048207,0.02374376
0.048207,0.1337935
0.048207,0.0137537
0.051202,0.03924155
0.051202,0.09136101
0.051202,0.0176585
0.051202,0.1910771
0.051202,0.06446578
0.05416,0.0395913
0.05416,0.1357556
0.05416,0.01871478
0.05416,0.06958693
0.05416,0.04474627
0.05416,0.1058624
0.056921,0.07014905
0.056921,0.04165033
0.056921,0.1310242
0.056921,0.04200463
0.056921,0.1059895
0.056921,0.07439811
0.059945,0.06100131
0.059945,0.08998509
0.059945,0.04821205
0.059945,0.1447657
0.059945,0.09505989
0.062887,0.05944731
0.062887,0.1435128
0.062887,0.0315656
0.062887,0.1412072
0.062887,0.1245118
0.065923,0.06614602
0.065923,0.08916494
0.065923,0.05570723
0.065923,0.1813314
0.065923,0.1829736
0.065923,0.09285607
0.069069,0.07101251
0.069069,0.06059574
0.069069,0.0516461
0.069069,0.04718464
0.069069,0.03341689
0.069069,0.06457178
0.069069,0.05551906
0.071939,0.02256841
0.071939,0.1632121
0.071939,0.04951656
0.071939,0.03439147
0.071939,0.05313358
0.071939,0.04476169
0.074831,0.06392211
0.074831,0.03272546
0.074831,0.205645
0.074831,0.05919523
0.074831,0.04274869
0.074831,0.02503221
0.077397,0.04831882
0.077397,0.02165405
0.077397,0.1896897
0.077397,0.02746115
0.077397,0.06671693
0.077397,0.01336914
0.080277,0.1325243
0.080277,0.03751464
0.080277,0.04146097
0.080277,0.03881693
0.080277,0.04383323
0.080277,0.04041716
0.082921,0.05683915
0.082921,0.02850675
0.082921,0.02780989
0.082921,0.02286553
0.082921,0.03766372
0.082921,0.01653304
0.082921,0.1690843
0.082921,0.02838282
0.085884,0.07428266
0.085884,0.0148386
0.085884,0.07977299
0.085884,0.01172316
0.085884,0.0243841
0.085884,0.05328928
0.085884,0.01577103
0.085884,0.2245016
0.085884,0.06486027
0.089141,0.02043956
0.089141,0.06287529
0.089141,0.01379133
0.089141,0.05614686
0.089141,0.01680393
0.089141,0.1731751
0.089141,0.02451167
0.089141,0.07633597
0.091805,0.03236444
0.091805,0.01266277
0.091805,0.09985753
0.091805,0.01294471
0.091805,0.05942454
0.091805,0.01522552
0.091805,0.154233
0.091805,0.01319195
0.095003,0.05815522
0.095003,0.01836217
0.095003,0.08032446
0.095003,0.01000219
0.095003,0.01978056
0.095003,0.03351294
0.095003,0.01040661
0.095003,0.1135849
0.095003,0.03932573
0.098008,0.01026485
0.098008,0.1318722
0.098008,0.01953467
0.098008,0.05041707
0.098008,0.01098493
0.098008,0.1755932
0.098008,0.03662078
0.100617,0.02909123
0.100617,0.03627094
0.100617,0.0119568
0.100617,0.1882104
0.100617,0.0359404
0.100617,0.02476934
0.100617,0.0800669
0.100617,0.01268246
0.103549,0.03916179
0.103549,0.009830436
0.103549,0.1044117
0.103549,0.03468768
0.103549,0.01861738
0.103549,0.1472558
0.103549,0.01027966
0.106642,0.03941184
0.106642,0.03806024
0.106642,0.01737026
0.106642,0.05749606
0.106642,0.04541254
0.106642,0.02040897
0.106642,0.1483619
0.106642,0.04958175
0.109244,0.01319618
0.109244,0.03480779
0.109244,0.0322857
0.109244,0.03877121
0.109244,0.0242386
0.109244,0.05301777
0.109244,0.01448416
0.109244,0.138649
0.109244,0.05905653
0.111942,0.03884309
0.111942,0.03179854
0.111942,0.05678563
0.111942,0.02481919
0.111942,0.05856051
0.111942,0.01717755
0.111942,0.07004446
0.111942,0.02992028
0.114576,0.04787925
0.114576,0.01788971
0.114576,0.1063616
0.114576,0.02737979
0.114576,0.1376695
0.114576,0.04092441
0.117286,0.02086351
0.117286,0.1591647
0.117286,0.04055406
0.117286,0.03865464
0.117286,0.02454197
0.117286,0.1534521
0.117286,0.03459476
0.120722,0.09776477
0.120722,0.06971596
0.120722,0.07539713
0.120722,0.04521825
0.120722,0.1637592
0.120722,0.05047222
0.123913,0.1229801
0.123913,0.036451
0.123913,0.1243002
0.123913,0.1300644
0.126513,0.05859704
0.126513,0.1959551
0.126513,0.1968367
0.126513,0.2001908
0.126513,0.1104642
0.129951,0.08936127
0.129951,0.1143211
0.129951,0.09594824
0.129951,0.07237909
0.132659,0.1270091
0.132659,0.1951729
0.132659,0.160169
0.132659,0.07386775
0.136259,0.1524157
0.136259,0.1229398
0.136259,0.1376699
0.136259,0.1367876
0.139637,0.1989308
0.139637,0.1140504
0.139637,0.1328193
0.142382,0.208402
0.142382,0.1339323
0.142382,0.1796165
0.145327,0.1321009
0.145327,0.1940029
0.145327,0.1689143
0.148332,0.2021234
0.148332,0.2331605
0.148332,0.1806738
0.148332,0.155048
0.15156,0.2009452
0.15156,0.1842741
0.15156,0.199796
0.161588,0.2365385
0.161588,0.2123444
0.161588,0.1300663
0.161588,0.1642031
0.169325,0.1786092
0.169325,0.20546
0.169325,0.1614273
0.169325,0.1337404
0.179033,0.1818085
0.179033,0.2161336
0.179033,0.2717904
0.189362,0.26446
0.189362,0.2193683
0.196979,0.1284662
0.196979,0.200368
0.196979,0.345856
0.205708,0.1363704
0.205708,0.3431594
0.205708,0.2918156
0.218171,0.1737647
0.218171,0.3782444
0.218171,0.1353401
0.232176,0.7142569
0.232176,0.26477
0.239432,0.3558536
0.239432,0.1131652
0.249681,0.293389
0.249681,0.1561082
0.25813,0.3918622
0.25813,0.1295188
0.269416,0.5316344
0.269416,0.2779732
0.269416,0.5142477
0.281974,0.1008321
0.281974,0.7431054
0.281974,0.1290404
0.300225,0.6231502
0.300225,0.1364926
0.315548,1
0.315548,0.1391693
0.331236,0.5946079
0.331236,0.1301776
0.34836,0.729353
0.34836,0.1570901
0.362576,0.5832666
0.362576,0.1986579
0.371961,0.6174798
0.371961,0.1389457
0.386667,0.5469638
0.386667,0.1419177
0.402419,0.2276057
0.402419,0.2318026
0.402419,0.1352595
0.414131,0.402865
0.414131,0.09299649
0.425555,1
0.425555,0.2734788
0.437445,0.2772852
0.437445,0.3512066
0.44543,0.1228019
0.44543,0.6360751
0.44543,0.06341527
0.465036,0.2035804
0.465036,0.1969614
0.465036,0.411809
0.475417,0.0874089
0.475417,0.5980955
0.475417,0.4358602
0.490983,0.2569924
0.490983,0.3123979
0.498384,0.114678
0.498384,0.8992478
0.498384,0.1321698
0.522257,0.1846965
0.522257,0.1708121
0.522257,0.3850292
0.531587,0.4233779
0.531587,0.2870665
0.54378,0.2123704
0.54378,0.3011013
0.54378,0.1234321
0.556727,0.9892625
0.556727,0.1707377
0.572623,0.3166423
0.572623,0.1358472
0.581743,0.5560943
0.581743,0.1045947
0.597758,0.7147573
0.597758,0.1632145
0.618343,0.2892921
0.618343,0.2688466
0.626675,0.2540871
0.626675,0.2264338
0.633993,0.229817
0.633993,0.1870049
0.633993,0.4209713
0.644759,0.1521683
0.644759,0.3436976
0.644759,0.1638551
0.657534,0.508386
0.657534,0.1119618
0.672176,0.4285153
0.672176,0.1308382
0.684517,0.5231776
0.684517,0.1128756
0.699584,0.3072124
0.699584,0.2472797
0.708432,0.2208462
0.708432,0.1828974
0.708432,0.4317071
0.718897,0.1258231
0.718897,0.5001537
0.718897,0.1915341
0.735112,0.3757536
0.735112,0.1626646
0.745934,0.3039961
0.745934,0.2081759
0.754689,0.2568028
0.754689,0.1887669
0.762085,0.3838253
0.762085,0.1122491
0.773139,0.7440836
0.773139,0.1693095
0.794569,0.3037751
0.794569,0.1623831
0.803317,0.361811
0.803317,0.1392335
0.813738,0.5634084
0.813738,0.1022581
0.829964,0.2692056
0.829964,0.1724739
0.837717,0.4141835
0.837717,0.1122818
0.849645,1
0.849645,0.2217778
0.878445,0.320862
0.878445,0.1991778
0.887686,0.2527971
0.887686,0.1259659
0.894967,0.5860556
0.894967,0.1035912
0.911845,0.3311766
0.911845,0.166027
0.921383,0.3497725
0.921383,0.1197674
0.931456,0.7209299
0.931456,0.1344385
0.952219,0.2784241
0.952219,0.2550659
0.960238,0.1892466
0.960238,0.1973313
0.960238,0.2304799
0.970296,0.1905345
0.970296,0.2675
0.970296,0.168896
0.982019,0.4211742
0.982019,0.1551493
0.994149,0.6299148
0.994149,0.1075036
1.012291,0.286857
1.012291,0.1205842
1.020552,1
1.020552,0.1146215
1.039692,0.2702799
1.039692,0.161704
1.047477,0.546322
1.047477,0.08116002
1.063211,0.4406087
1.063211,0.1203624
1.0759,0.7410653
1.0759,0.1454447
1.097243,0.3348269
1.097243,0.1145627
1.106886,1
1.106886,0.234159
1.135686,0.2717018
1.135686,0.27584
1.143511,0.2136869
1.143511,0.142186
1.143511,0.3468309
1.152885,0.09074891
1.152885,1
1.152885,0.2245901
1.174857,0.2950081
1.174857,0.442041
1.183353,0.1181477
1.183353,0.429996
1.183353,0.1325517
1.197677,0.4989696
1.197677,0.09365519
1.212047,0.484633
1.212047,0.09319273
1.226005,0.5007705
1.226005,0.1043202
1.240427,0.4924535
1.240427,0.0855267
1.25461,0.4352955
1.25461,0.1398704
1.267146,0.6485831
1.267146,0.1125259
1.285825,0.4516808
1.285825,0.14819
1.298834,0.8903848
1.298834,0.2192611
1.324477,0.2518464
1.324477,0.3375278
1.33173,0.1734755
1.33173,0.435993
1.33173,0.1972596
1.347104,0.5371426
1.347104,0.1301286
1.362574,0.9422246
1.362574,0.3278651
1.38971,0.2635604
1.38971,0.2793657
1.397301,0.3002891
1.397301,0.1982814
1.405949,0.4531731
1.405949,0.1867001
1.415064,0.3960617
1.415064,0.2372289
1.423134,0.382393
1.423134,0.1631323
1.434147,0.9337657
1.434147,0.191944
1.446308,0.4796317
1.446308,0.1961999
1.458899,0.8594376
1.458899,0.8860493
1.458899,0.7722598
1.470812,0.6304144
1.470812,0.8511792
1.470812,0.4144568
1.485403,0.7870298
1.485403,0.7730614
1.492722,0.5824365
1.492722,0.4289765
1.504969,0.2253553
1.504969,0.5431451
1.504969,0.1558926
1.523577,0.3683422
1.523577,0.1719356
1.534059,0.3949831
1.534059,0.1562372
1.543338,0.4032469
1.543338,0.2429744
1.543338,0.2078524
1.555499,0.3547562
1.555499,0.4549922
1.555499,0.240636
1.569546,0.2588471
1.569546,0.2462263
1.577001,0.3115711
1.577001,0.2494281
1.585102,0.2764652
1.585102,0.1265676
1.585102,0.6609424
1.585102,0.4453025
1.597326,0.3544495
1.597326,0.3120466
1.605753,0.3203711
1.605753,0.4270934
1.614794,0.1256208
1.614794,0.7533776
1.614794,0.1098227
1.628407,0.4675686
1.628407,0.09451984
1.63929,0.3851294
1.63929,0.1218342
1.63929,0.2718695
1.648741,0.2084485
1.648741,0.3111993
1.648741,0.4217876
1.656894,0.316982
1.656894,0.1740792
1.656894,0.3051354
1.664847,0.3406262
1.664847,0.3042833
1.664847,0.2687467
1.673623,0.1504965
1.673623,0.09179222
1.673623,0.2405587
1.673623,0.09612425
1.685549,0.4399915
1.685549,0.1561484
1.685549,0.1020164
1.694405,0.4332895
1.694405,0.07348085
1.702146,0.3205731
1.702146,0.09440379
1.702146,0.1468068
1.710226,0.1458995
1.710226,0.1057004
1.710226,0.3307633
1.710226,0.05981217
1.724305,0.3223436
1.724305,0.07202911
1.724305,0.288409
1.724305,0.0460944
1.737528,0.4108217
1.737528,0.08458383
1.745386,0.5119303
1.745386,0.2687474
1.745386,0.1400608
1.756277,0.1726427
1.756277,0.0829459
1.756277,0.5222481
1.756277,0.0538509
1.768916,0.3340839
1.768916,0.04593755
1.776982,0.4262899
1.776982,0.04912341
1.787478,0.209762
1.787478,0.06726582
1.787478,0.3052154
1.79505,0.0769004
1.79505,0.533564
1.79505,0.07338703
1.79505,0.2228013
1.80362,0.05988927
1.80362,0.9791867
1.80362,0.04695001
1.814989,0.4775986
1.814989,0.0615186
1.823246,0.552398
1.823246,0.04818581
1.834147,0.6432618
1.834147,0.05867418
1.847584,0.3208449
1.847584,0.06800324
1.847584,0.344809
1.856095,0.09426998
1.856095,0.5019629
1.856095,0.06083591
1.871903,0.4466428
1.871903,0.09565028
1.879461,0.5702827
1.879461,0.0793837
1.889469,0.626537
1.889469,0.09058075
1.898863,0.682528
1.898863,0.08729083
1.911202,0.3703077
1.911202,0.09909295
1.919793,0.4034131
1.919793,0.1558518
1.919793,0.3582395
1.928635,0.2742617
1.928635,0.3279167
1.936534,0.1478191
1.936534,0.2305986
1.936534,0.1980347
1.945182,0.36942
1.945182,0.115017
1.955789,0.4123067
1.955789,0.1530015
1.964304,0.4261804
1.964304,0.1862961
1.973194,0.3526264
1.973194,0.2730231
1.983285,0.1897219
1.983285,0.4641038
1.983285,0.5049291
1.993419,0.325392
1.993419,0.3567702
2.001173,0.3702812
2.001173,0.3039242
2.011838,0.2243223
2.011838,0.3173111
2.011838,0.3412234
2.024111,0.1771276
2.024111,0.771566
2.024111,0.1088842
2.041788,0.5508859
2.041788,0.1626158
2.054494,0.7959634
2.054494,1
2.054494,0.3919294
2.065457,0.2211144
