frame,value
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.002691,0
0.002691,0
0.002691,3
0.002691,3
0.002691,3
0.002691,3
0.002691,3
0.002691,4
0.002691,4
0.002691,5
0.00552,10
0.00552,11
0.00552,15
0.00552,16
0.00552,13
0.00552,14
0.00552,29
0.00552,29
0.00552,35
0.00552,39
0.008176,44
0.008176,57
0.008176,65
0.008176,80
0.008176,79
0.008176,94
0.008176,95
0.010686,103
0.010686,106
0.010686,103
0.010686,104
0.010686,118
0.010686,135
0.010686,147
0.010686,159
0.010686,167
0.013251,166
0.013251,167
0.013251,175
0.013251,193
0.013251,224
0.013251,277
0.013251,306
0.013251,363
0.016288,360
0.016288,385
0.016288,421
0.016288,437
0.016288,451
0.016288,489
0.016288,515
0.018891,516
0.018891,506
0.018891,525
0.018891,543
0.018891,607
0.018891,621
0.018891,673
0.02178,684
0.02178,704
0.02178,717
0.02178,739
0.02178,747
0.02178,811
0.024963,810
0.024963,841
0.024963,861
0.024963,933
0.024963,957
0.024963,1093
0.028255,1092
0.028255,1083
0.028255,1087
0.028255,1125
0.028255,1134
0.028255,1170
0.031096,1175
0.031096,1211
0.031096,1216
0.031096,1258
0.031096,1265
0.031096,1296
0.031096,1302
0.033679,1314
0.033679,1321
0.033679,1322
0.033679,1328
0.033679,1325
0.033679,1323
0.033679,1336
0.036224,1343
0.036224,1374
0.036224,1383
0.036224,1415
0.036224,1429
0.038771,1468
0.038771,1484
0.038771,1524
0.038771,1530
0.038771,1560
0.038771,1571
0.038771,1600
0.041948,1615
0.041948,1663
0.041948,1681
0.041948,1709
0.041948,1716
0.041948,1784
0.045336,1788
0.045336,1777
0.045336,1855
0.045336,1887
0.045336,1902
0.045336,1940
0.045336,1953
0.045336,1980
0.048207,1994
0.048207,2038
0.048207,2051
0.048207,2159
0.048207,2148
0.048207,2198
0.051202,2199
0.051202,2199
0.051202,2250
0.051202,2258
0.051202,2386
0.05416,2407
0.05416,2394
0.05416,2475
0.05416,2501
0.05416,2527
0.05416,2545
0.056921,2573
0.056921,2623
0.056921,2635
0.056921,2722
0.056921,2783
0.056921,2788
0.059945,2823
0.059945,2838
0.059945,2870
0.059945,2882
0.059945,2952
0.062887,2979
0.062887,3005
0.062887,2984
0.062887,2988
0.062887,3061
0.065923,3188
0.065923,3177
0.065923,3170
0.065923,3159
0.065923,3151
0.065923,3160
0.069069,3216
0.069069,3218
0.069069,3217
0.069069,3217
0.069069,3208
0.069069,3209
0.069069,3239
0.071939,3254
0.071939,3251
0.071939,3224
0.071939,3257
0.071939,3285
0.071939,3285
0.074831,3318
0.074831,3297
0.074831,3276
0.074831,3229
0.074831,3203
0.074831,3205
