frame,value
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.002689,0
0.002689,0
0.002689,0
0.002689,0
0.002689,0
0.002689,0
0.002689,0
0.002689,0
0.002689,0
0.002689,0
0.005686,0
0.005686,0
0.005686,0
0.005686,1
0.005686,3
0.005686,3
0.005686,3
0.005686,3
0.005686,3
0.005686,6
0.005686,7
0.008322,7
0.008322,7
0.008322,10
0.008322,10
0.008322,11
0.008322,12
0.008322,12
0.01086,13
0.01086,15
0.01086,16
0.01086,16
0.01086,33
0.01086,37
0.01086,37
0.01086,35
0.01086,33
0.013459,33
0.013459,33
0.013459,36
0.013459,42
0.013459,39
0.013459,39
0.013459,39
0.013459,37
0.016277,38
0.016277,38
0.016277,39
0.016277,46
0.016277,44
0.016277,43
0.016277,44
0.018826,45
0.018826,43
0.018826,45
0.018826,44
0.018826,44
0.018826,43
0.02152,43
0.02152,40
0.02152,42
0.02152,41
0.02152,46
0.02152,43
0.02152,40
0.024055,40
0.024055,40
0.024055,42
0.024055,44
0.024055,46
0.024055,48
0.024055,42
0.027266,44
0.027266,46
0.027266,53
0.027266,48
0.027266,43
0.027266,43
0.030394,43
0.030394,42
0.030394,44
0.030394,48
0.030394,48
0.030394,51
0.032995,51
0.032995,50
0.032995,50
0.032995,51
0.032995,53
0.032995,52
0.035564,52
0.035564,48
0.035564,52
0.035564,58
0.035564,56
0.038128,54
0.038128,54
0.038128,52
0.038128,47
0.038128,52
0.038128,50
0.040687,48
0.040687,46
0.040687,48
0.040687,48
0.040687,56
0.040687,55
0.0432,55
0.0432,57
0.0432,55
0.0432,54
0.0432,55
0.046159,55
0.046159,55
0.046159,57
0.046159,63
0.048812,83
0.048812,63
0.048812,60
0.048812,59
0.05189,58
0.05189,55
0.05189,60
0.05189,54
0.05189,54
0.05189,57
0.055412,59
0.055412,59
0.055412,63
0.055412,55
0.055412,58
0.055412,59
0.05812,58
0.05812,58
0.05812,60
0.05812,57
0.05812,51
0.061297,51
0.061297,48
0.061297,50
0.061297,50
0.061297,48
0.064367,49
0.064367,46
0.064367,45
0.064367,49
0.067288,49
0.067288,50
0.067288,50
0.067288,51
0.067288,51
0.070421,50
0.070421,50
0.070421,50
0.070421,50
0.070421,54
0.070421,56
0.070421,59
0.07315,57
0.07315,54
0.07315,55
0.07315,60
0.07315,60
0.075847,57
0.075847,55
0.075847,59
0.075847,59
0.075847,57
0.075847,56
0.078604,56
0.078604,56
0.078604,56
0.078604,52
0.078604,52
0.078604,54
0.081875,56
0.081875,55
0.081875,55
0.081875,57
0.081875,55
0.081875,53
0.081875,57
0.081875,53
0.084453,53
0.084453,55
0.084453,56
0.084453,56
0.084453,56
0.084453,56
