frame,value
0,0.2689016
0.002689,0.2996884
0.005686,0.2636474
0.008322,0.2537138
0.01086,0.2599096
0.013459,0.281819
0.016277,0.2549247
0.018826,0.269422
0.02152,0.2534814
0.024055,0.3211272
0.027266,0.3128097
0.030394,0.2600111
0.032995,0.2569844
0.035564,0.2563962
0.038128,0.2558832
0.040687,0.2512983
0.0432,0.2959187
0.046159,0.2653051
0.048812,0.3077287
0.05189,0.3522536
0.055412,0.270775
0.05812,0.3177347
0.061297,0.3069626
0.064367,0.292107
0.067288,0.313316
0.070421,0.2729182
0.07315,0.2696677
0.075847,0.2756899
0.078604,0.3271127
0.081875,0.2577677
0.084453,0.271362
0.087166,0.2692711
0.089859,0.2608361
0.092467,0.2710638
0.095178,0.2534692
0.097713,0.2799871
0.100513,0.2552133
0.103065,0.2697589
0.105762,0.2724483
0.108487,0.2516565
0.111003,0.2505403
0.113509,0.2512863
0.116022,0.2929486
0.118951,0.2862907
0.121814,0.2836629
0.124651,0.3080905
0.127732,0.2744992
0.130477,0.3155111
0.133632,0.3809279
0.137441,0.2609804
0.140051,0.2965094
0.143016,0.3360056
0.146376,0.2811857
0.149188,0.2966053
0.152154,0.2662818
0.160089,0.3301676
0.169928,0.3556792
0.180527,0.2730116
0.188663,0.3440699
0.198916,0.4335091
0.211835,0.3598456
0.222558,0.2823152
0.230971,0.3426248
0.241181,0.3840895
0.252627,0.5075368
0.267752,0.7297694
0.289499,0.3948708
0.301266,0.3490448
0.311668,0.6979153
0.332466,0.4340978
0.345402,0.3719999
0.356487,0.4201836
0.369009,0.5875806
0.386519,0.7347201
0.408413,0.674137
0.428503,0.3891274
0.440099,0.3120026
0.449396,0.3637964
0.460237,0.5775206
0.477448,0.4812856
0.49179,0.270665
0.499856,0.3356432
0.509858,0.3283116
0.519642,0.2677297
0.52762,0.5051896
0.542675,0.5548736
0.55921,0.7186848
0.580627,0.5986881
0.598468,0.4405152
0.611595,0.6265208
0.630265,0.3814622
0.641633,0.3428118
0.651849,0.4597386
0.665549,0.7267876
0.687207,0.3265331
0.696938,0.4152097
0.709311,0.2689045
0.717324,0.7347497
0.73922,0.3677671
0.750179,0.3371878
0.760228,0.2921592
0.768934,0.4730438
0.783031,0.583954
0.800432,0.3050025
0.809521,0.350989
0.819981,1
0.849781,0.3835926
0.861212,0.4897206
0.875806,0.6192061
0.894258,0.4004655
0.906192,0.8208845
0.930654,0.4006863
0.942595,0.3560071
0.953204,0.5135569
0.968508,0.3792643
0.97981,0.8815116
1.006079,0.3974476
1.017923,0.4328235
1.030821,0.6976659
1.051611,0.4744638
1.06575,0.3296741
1.075575,1
1.105375,0.2503119
1.112834,0.4395236
