frame,value
0,0.02991556
0,0.03792643
0,0.06124663
0,0.05732115
0,0.06418988
0,0.05407873
0,0.03598538
0.002689,0.05888485
0.002689,0.03916925
0.002689,0.01720939
0.002689,0.04454107
0.002689,0.01697762
0.002689,0.02867756
0.002689,0.01134364
0.002689,0.06308001
0.002689,0.0674891
0.002689,0.01473706
0.005686,0.03547932
0.005686,0.01390956
0.005686,0.06645924
0.005686,0.02826254
0.005686,0.02111949
0.005686,0.01905248
0.005686,0.02136279
0.005686,0.02350686
0.005686,0.01662515
0.005686,0.05422069
0.005686,0.02483431
0.008322,0.05841367
0.008322,0.02536396
0.008322,0.06719734
0.008322,0.01827351
0.008322,0.08730828
0.008322,0.02703234
0.008322,0.0488476
0.01086,0.0369021
0.01086,0.0641668
0.01086,0.01401426
0.01086,0.05255323
0.01086,0.03147647
0.01086,0.04096074
0.01086,0.02743526
0.01086,0.02697191
0.01086,0.06356912
0.013459,0.01651551
0.013459,0.04274695
0.013459,0.03148029
0.013459,0.02637508
0.013459,0.07411931
0.013459,0.06659005
0.013459,0.06392203
0.013459,0.07991274
0.016277,0.03481276
0.016277,0.04492563
0.016277,0.04700357
0.016277,0.04155883
0.016277,0.04836313
0.016277,0.07012747
0.016277,0.04833085
0.018826,0.06660269
0.018826,0.02979842
0.018826,0.06293918
0.018826,0.02993304
0.018826,0.1124996
0.018826,0.01776747
0.02152,0.07665084
0.02152,0.02862716
0.02152,0.06505911
0.02152,0.02583377
0.02152,0.0435493
0.02152,0.04454788
0.02152,0.08567084
0.024055,0.01819478
0.024055,0.09560996
0.024055,0.01914952
0.024055,0.1050449
0.024055,0.01624439
0.024055,0.1146479
0.024055,0.01684816
0.027266,0.03182073
0.027266,0.07363766
0.027266,0.1323692
0.027266,0.01386222
0.027266,0.1044955
0.027266,0.02779721
0.030394,0.0946706
0.030394,0.01744789
0.030394,0.098869
0.030394,0.01791796
0.030394,0.06000125
0.030394,0.02669092
0.032995,0.04607113
0.032995,0.03687914
0.032995,0.09211429
0.032995,0.01773418
0.032995,0.09313855
0.032995,0.02021409
0.035564,0.1336718
0.035564,0.01670191
0.035564,0.1058627
0.035564,0.02373059
0.035564,0.09786887
0.038128,0.02228736
0.038128,0.1250704
0.038128,0.02101283
0.038128,0.08253105
0.038128,0.03152515
0.038128,0.09710567
0.040687,0.02630086
0.040687,0.09382927
0.040687,0.02931973
0.040687,0.09966102
0.040687,0.02906142
0.040687,0.07222424
0.0432,0.0234182
0.0432,0.1365098
0.0432,0.06671412
0.0432,0.1053729
0.0432,0.03532603
0.046159,0.1056429
0.046159,0.03392582
0.046159,0.1496737
0.046159,0.02867139
0.048812,0.1811268
0.048812,0.02954687
0.048812,0.1288657
0.048812,0.03814284
0.05189,0.06778514
0.05189,0.04876294
0.05189,0.119742
0.05189,0.02242832
0.05189,0.1511292
0.05189,0.06737074
0.055412,0.043463
0.055412,0.08780108
0.055412,0.05597363
0.055412,0.07498579
0.055412,0.04294321
0.055412,0.09749974
0.05812,0.06036987
0.05812,0.09177257
0.05812,0.04624926
0.05812,0.161763
0.05812,0.04937942
0.061297,0.1057037
0.061297,0.07496379
0.061297,0.07068224
0.061297,0.09852795
0.061297,0.05610461
0.064367,0.1759074
0.064367,0.0450012
0.064367,0.1005256
0.064367,0.05811693
0.067288,0.1020555
0.067288,0.05348388
0.067288,0.05838476
0.067288,0.1419631
0.067288,0.07182069
0.070421,0.06269348
0.070421,0.08530866
0.070421,0.03684825
0.070421,0.04374734
0.070421,0.02812148
0.070421,0.05256874
0.070421,0.009022003
0.07315,0.1369572
0.07315,0.04617305
0.07315,0.048733
0.07315,0.06735548
0.07315,0.02748315
0.075847,0.07088481
0.075847,0.043043
0.075847,0.02283295
0.075847,0.1323487
0.075847,0.03916568
0.075847,0.01927448
0.078604,0.1328449
0.078604,0.03840052
0.078604,0.04982862
0.078604,0.02015538
0.078604,0.1332533
0.078604,0.01898923
0.081875,0.07157154
0.081875,0.01736385
0.081875,0.05575388
0.081875,0.03425346
0.081875,0.06047279
0.081875,0.02795026
0.081875,0.02309477
0.081875,0.01875914
0.084453,0.02255004
0.084453,0.04600091
0.084453,0.0127975
0.084453,0.06796035
0.084453,0.02193614
0.084453,0.1317166
0.084453,0.06339097
0.087166,0.03965028
0.087166,0.0334382
0.087166,0.02286873
0.087166,0.06237813
0.087166,0.01813971
0.087166,0.08667533
0.087166,0.04183185
0.087166,0.01457509
0.089859,0.08959104
0.089859,0.03892257
0.089859,0.03377397
0.089859,0.0156136
0.089859,0.03206599
0.089859,0.01024447
0.089859,0.07289734
0.089859,0.01907873
0.092467,0.1122798
0.092467,0.02107521
0.092467,0.08084811
0.092467,0.01331972
0.092467,0.07508813
0.092467,0.01383622
0.095178,0.008623683
0.095178,0.03889944
0.095178,0.016648
0.095178,0.1032214
0.095178,0.04587371
0.095178,0.0213285
0.095178,0.02487827
0.095178,0.02423672
0.095178,0.02471252
0.097713,0.01308689
0.097713,0.1115593
0.097713,0.01747722
0.097713,0.0995245
0.097713,0.01750789
0.097713,0.05530999
0.097713,0.01147647
0.100513,0.0248882
0.100513,0.01429533
0.100513,0.104821
0.100513,0.01346784
0.100513,0.02902032
0.100513,0.01310401
0.100513,0.08435301
0.100513,0.01131769
0.103065,0.04378431
0.103065,0.01043967
0.103065,0.06163283
0.103065,0.01968854
0.103065,0.02936146
0.103065,0.01348527
0.103065,0.07866788
0.103065,0.0172682
0.103065,0.0323486
0.103065,0.03085828
0.105762,0.03603161
0.105762,0.02104188
0.105762,0.0670719
0.105762,0.01450023
0.105762,0.07220287
0.105762,0.02186465
0.105762,0.07598228
0.105762,0.02361398
0.108487,0.06639648
0.108487,0.01517089
0.108487,0.05748517
0.108487,0.01164484
0.108487,0.08770968
0.108487,0.04226943
0.108487,0.02126484
0.111003,0.0542218
0.111003,0.03582335
0.111003,0.02983255
0.111003,0.04625199
0.111003,0.02122249
0.111003,0.04287696
0.111003,0.03274177
0.111003,0.01977038
0.111003,0.02328928
0.113509,0.03301864
0.113509,0.07183288
0.113509,0.0348674
0.113509,0.02692923
0.113509,0.03673188
0.113509,0.02341855
0.113509,0.05575554
0.113509,0.0423219
0.116022,0.02308464
0.116022,0.01172574
0.116022,0.04876831
0.116022,0.04610302
0.116022,0.06381357
0.116022,0.03506317
0.116022,0.1065556
0.116022,0.03021663
0.118951,0.0781384
0.118951,0.03624956
0.118951,0.06309924
0.118951,0.02189968
0.118951,0.05225591
0.118951,0.07504
0.118951,0.05389879
0.121814,0.04315823
0.121814,0.08906773
0.121814,0.02449554
0.121814,0.08272526
0.121814,0.0815352
0.121814,0.08233733
0.124651,0.05430765
0.124651,0.04702756
0.124651,0.08412808
0.124651,0.1617292
0.124651,0.060318
0.127732,0.1209386
0.127732,0.05131575
0.127732,0.1300445
0.127732,0.1544915
0.130477,0.07017639
0.130477,0.1274238
0.130477,0.06934546
0.130477,0.09348715
0.130477,0.07684238
0.133632,0.09409811
0.133632,0.09910141
0.133632,0.0758218
0.133632,0.1792168
0.133632,0.1435988
0.137441,0.1613873
0.137441,0.1187594
0.137441,0.1262857
0.140051,0.1325833
0.140051,0.188982
0.140051,0.08544488
0.143016,0.1168215
0.143016,0.1117839
0.143016,0.1535578
0.143016,0.09480511
0.146376,0.1184328
0.146376,0.1846177
0.146376,0.1290595
0.149188,0.1429654
0.149188,0.1792692
0.149188,0.2001994
0.152154,0.1281395
0.152154,0.1584454
0.152154,0.1640344
0.160089,0.1463626
0.160089,0.2153197
0.160089,0.1420371
0.169928,0.1332795
0.169928,0.1135401
0.169928,0.1613823
0.169928,0.1671109
0.180527,0.133244
0.180527,0.1612536
0.180527,0.2220064
0.188663,0.2084023
0.188663,0.1713845
0.188663,0.2016952
0.198916,0.159427
0.198916,0.3260657
0.198916,0.1316262
0.211835,0.1234937
0.211835,0.07875253
0.211835,0.2072187
0.211835,0.4817666
