frame,value
0,1
0.002688,1.014258
0.005655,1.023155
0.008202,1.026477
0.010995,1.028799
0.013636,1.031045
0.016181,1.032965
0.019014,1.035016
0.021566,1.035426
0.02453,1.035567
0.027046,1.036051
0.029976,1.035272
0.0326,1.034488
0.036069,1.033343
0.039431,1.032196
0.042856,1.031022
0.045548,1.030065
0.048086,1.029323
0.050797,1.028365
0.054157,1.027164
0.056671,1.02642
0.059784,1.025436
0.062662,1.024642
0.065668,1.02391
0.068409,1.023432
0.071032,1.023083
0.073711,1.02262
0.076214,1.02228
0.079424,1.021914
0.082,1.021734
0.08476,1.02154
0.08745,1.021546
0.089952,1.021414
0.0925,1.021497
0.095098,1.021537
0.098284,1.021898
0.10094,1.022357
0.103664,1.022952
0.10682,1.024158
0.109344,1.024869
0.112067,1.025905
0.114779,1.026358
0.117596,1.027158
0.120655,1.027703
0.123517,1.028592
0.126362,1.029096
0.129111,1.030373
0.131859,1.031784
0.134635,1.031694
0.13782,1.031343
0.140563,1.03092
0.143448,1.03087
0.146112,1.03047
0.149766,1.029432
0.152798,1.028518
0.163003,1.026447
0.17305,1.025164
0.186305,1.023925
0.19692,1.022856
0.209853,1.021755
0.218865,1.021297
0.227311,1.020904
0.239366,1.020464
0.252909,1.020134
0.273458,1.01997
0.285934,1.019373
0.300552,1.018846
0.312387,1.018545
0.331815,1.018318
0.34921,1.018088
0.362545,1.017915
0.380611,1.017759
0.389276,1.01761
0.40264,1.017472
0.419249,1.017384
0.436723,1.017259
0.451223,1.016885
0.468976,1.016674
0.493009,1.016596
0.510674,1.016447
0.521397,1.016183
0.531944,1.015999
0.541156,1.015917
0.551025,1.015951
0.568979,1.01588
0.577436,1.015845
0.587308,1.01583
0.599472,1.015825
0.613416,1.015855
0.626727,1.015879
0.641322,1.015907
0.673322,1.015806
0.690263,1.015958
0.718123,1.016084
0.732421,1.016095
0.743303,1.016102
0.760153,1.016144
0.773634,1.016163
0.784648,1.016184
0.810502,1.016196
0.818766,1.016206
0.832221,1.016239
0.843407,1.01627
0.867999,1.016362
0.88103,1.016407
0.893587,1.016454
0.911707,1.016559
0.923575,1.01658
0.93289,1.016595
0.955601,1.016577
0.964823,1.016602
0.977448,1.016636
1.007875,1.016462
1.016062,1.016561
1.028382,1.016658
1.038743,1.016734
1.070743,1.016686
1.086021,1.016819
1.108557,1.016968
1.122712,1.016953
1.146795,1.017025
1.159205,1.016937
1.1912,1.016753
1.200212,1.016788
1.212865,1.016796
1.239668,1.016734
1.248382,1.016742
1.27419,1.016754
1.284095,1.016766
1.294666,1.01679
1.324457,1.016619
1.339159,1.016716
1.352359,1.016775
1.384359,1.016477
1.397493,1.016634
1.409252,1.016727
1.423025,1.016871
1.440298,1.017533
1.457428,1.0176
1.469801,1.01776
1.482475,1.017879
1.491599,1.018008
1.514104,1.018585
1.527646,1.018412
1.542085,1.018051
1.554282,1.017692
1.565582,1.01742
1.579955,1.017598
1.589107,1.018046
1.600336,1.019
1.61375,1.019881
1.630189,1.020776
1.639367,1.02148
1.64803,1.022209
1.656846,1.023027
1.669098,1.023196
1.678076,1.023478
1.688609,1.023468
1.698256,1.023324
1.709432,1.022926
1.719585,1.022493
1.728272,1.02246
1.738204,1.022251
1.752128,1.021791
1.761398,1.021646
1.772339,1.021413
1.781488,1.021345
1.79322,1.020929
1.801929,1.020704
1.810793,1.020548
1.823905,1.020499
1.836504,1.020501
1.85227,1.020544
1.862212,1.020361
1.870845,1.020126
1.881746,1.020102
1.891315,1.019639
1.904786,1.019542
1.914713,1.019376
1.923081,1.019555
1.934023,1.019994
1.943178,1.020127
1.954394,1.020599
1.964974,1.020689
1.977978,1.021523
1.988068,1.021763
1.999664,1.022061
2.008588,1.022313
2.01866,1.022354
2.034952,1.021531
2.044416,1.021116
2.058387,1.020662
2.072703,1.019834
2.085296,1.019655
2.093694,1.019476
2.103432,1.019671
2.111609,1.019722
2.124242,1.019562
2.135692,1.019825
2.144441,1.020036
2.152507,1.02044
2.160723,1.02111
2.168934,1.022092
2.177026,1.023903
2.185039,1.023809
2.193132,1.024114
2.202744,1.023906
2.210967,1.023818
2.220627,1.024159
2.228723,1.024396
2.238972,1.024088
2.250356,1.023799
2.261743,1.023769
2.270365,1.02381
2.281536,1.023672
2.291174,1.023317
2.301235,1.022822
2.310625,1.022491
2.326653,1.021737
2.33522,1.021575
2.347011,1.021066
2.355826,1.020905
2.367791,1.020578
2.376745,1.020544
2.386302,1.020208
2.396219,1.019898
2.405028,1.019858
2.417855,1.019474
2.432765,1.019935
2.443509,1.02002
2.454184,1.02026
2.472998,1.020829
2.482015,1.021433
2.491098,1.021627
2.500052,1.022047
2.511321,1.022351
2.520412,1.022291
2.530448,1.022712
2.539178,1.022356
2.552039,1.022221
2.562219,1.022041
2.572976,1.021827
2.582068,1.021844
2.593433,1.021646
2.604389,1.021995
2.61354,1.021966
2.622667,1.021949
2.635472,1.021981
2.645451,1.021686
2.657391,1.02161
2.667544,1.021289
2.675947,1.021238
2.69061,1.020829
2.699514,1.020457
