frame,value
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.002688,0
0.002688,0
0.002688,0
0.002688,0
0.002688,0
0.002688,0
0.002688,0
0.002688,0
0.002688,0
0.002688,0
0.002688,3e-07
0.005655,7e-07
0.005655,8e-07
0.005655,1.2e-06
0.005655,1.5e-06
0.005655,1.9e-06
0.005655,2.2e-06
0.005655,2.2e-06
0.005655,2.2e-06
0.005655,2.8e-06
0.008202,3.6e-06
0.008202,3.5e-06
0.008202,5.6e-06
0.008202,5.8e-06
0.008202,6.5e-06
0.008202,8e-06
0.008202,9.1e-06
0.008202,9.6e-06
0.008202,1.03e-05
0.010995,1.07e-05
0.010995,1.09e-05
0.010995,1.6e-05
0.010995,2.2e-05
0.010995,2.61e-05
0.010995,3.04e-05
0.010995,3.41e-05
0.010995,3.79e-05
0.010995,4.32e-05
0.013636,4.63e-05
0.013636,4.74e-05
0.013636,5.16e-05
0.013636,6.5e-05
0.013636,7.55e-05
0.013636,9.48e-05
0.013636,0.0001139
0.016181,0.0001208
0.016181,0.0001255
0.016181,0.0001362
0.016181,0.000152
0.016181,0.0001644
0.016181,0.0001726
0.016181,0.0001864
0.019014,0.0001894
0.019014,0.0001916
0.019014,0.0002082
0.019014,0.0002207
0.019014,0.0002551
0.021566,0.0002686
0.021566,0.0002921
0.021566,0.0003039
0.021566,0.0003005
0.021566,0.0003044
0.021566,0.0003175
0.02453,0.0003219
0.02453,0.0003421
0.02453,0.0003504
0.02453,0.0003713
0.02453,0.0003764
0.027046,0.0003792
0.027046,0.0003865
0.027046,0.0004007
0.027046,0.0004126
0.027046,0.0004186
0.027046,0.0004224
0.027046,0.0004311
0.029976,0.0004353
0.029976,0.0004472
0.029976,0.0004525
0.029976,0.0004698
0.029976,0.0004782
0.029976,0.0004883
0.029976,0.0004932
0.0326,0.0004949
0.0326,0.0004945
0.0326,0.0004989
0.0326,0.0005108
0.0326,0.0005201
0.0326,0.0005188
0.0326,0.0005342
0.036069,0.0005448
0.036069,0.0005552
0.036069,0.0005663
0.036069,0.000596
0.036069,0.0006097
0.036069,0.0006194
0.039431,0.0006244
0.039431,0.000627
0.039431,0.000628
0.039431,0.0006409
0.039431,0.0006478
0.039431,0.0006742
0.042856,0.0006853
0.042856,0.0006976
0.042856,0.0007076
0.042856,0.000712
0.042856,0.0007157
0.045548,0.000715
0.045548,0.000727
0.045548,0.0007343
0.045548,0.0007483
0.045548,0.0007568
0.045548,0.0007765
0.048086,0.0007996
0.048086,0.0008212
0.048086,0.0008233
0.048086,0.0008447
0.050797,0.0008592
0.050797,0.0008751
0.050797,0.000886
0.050797,0.0008952
0.050797,0.0009325
0.054157,0.0009453
