frame,value
0,1143
0,1355
0,1429
0,1474
0,1436
0,1356
0,601
0.002698,1396
0.002698,1351
0.002698,1331
0.002698,1331
0.002698,1402
0.002698,1377
0.002698,613
0.005376,1467
0.005376,1350
0.005376,1608
0.005376,1252
0.005376,1267
0.005376,1373
0.005376,1157
0.005376,611
0.00788,1329
0.00788,1347
0.00788,1515
0.00788,1101
0.00788,1076
0.00788,1059
0.00788,1022
0.00788,1232
0.00788,1392
0.00788,458
0.010626,1076
0.010626,1175
0.010626,1085
0.010626,1087
0.010626,1139
0.010626,1085
0.010626,1169
0.010626,1268
0.010626,1339
0.010626,1460
0.010626,1470
0.010626,785
0.013144,1283
0.013144,1096
0.013144,945
0.013144,962
0.013144,958
0.013144,937
0.013144,583
0.015831,1016
0.015831,945
0.015831,943
0.015831,949
0.015831,924
0.015831,917
0.015831,905
0.015831,508
0.018608,933
0.018608,916
0.018608,908
0.018608,916
0.018608,958
0.018608,949
0.018608,577
0.021554,948
0.021554,990
0.021554,1034
0.021554,897
0.021554,895
0.021554,590
0.024636,1013
0.024636,886
0.024636,882
0.024636,871
0.024636,873
0.024636,640
0.027567,909
0.027567,909
0.027567,918
0.027567,891
0.027567,912
0.027567,597
0.030536,873
0.030536,875
0.030536,880
0.030536,880
0.030536,923
0.030536,576
0.033092,904
0.033092,869
0.033092,944
0.033092,863
0.033092,863
0.033092,833
0.033092,594
0.035797,817
0.035797,865
0.035797,792
0.035797,847
0.035797,771
0.035797,821
0.035797,566
0.038758,833
0.038758,776
0.038758,788
0.038758,736
0.038758,822
0.038758,514
0.04172,784
0.04172,767
0.04172,780
0.04172,760
0.04172,747
0.04172,441
0.044387,883
0.044387,758
0.044387,710
0.044387,802
0.044387,814
0.044387,528
0.047089,872
0.047089,876
0.047089,859
0.047089,917
0.047089,782
0.047089,878
0.047089,492
0.05032,756
0.05032,714
0.05032,844
0.05032,704
0.05032,812
0.05032,869
0.05032,505
0.053255,898
0.053255,860
0.053255,853
0.053255,806
0.053255,851
0.053255,777
0.053255,859
0.053255,456
0.056677,781
0.056677,789
0.056677,749
0.056677,791
0.056677,706
0.056677,399
0.059521,737
0.059521,762
0.059521,759
0.059521,729
0.059521,757
0.059521,467
0.062254,808
0.062254,690
0.062254,700
0.062254,718
0.062254,441
0.06547,732
0.06547,726
0.06547,725
0.06547,390
0.068045,729
0.068045,715
0.068045,719
0.068045,719
0.068045,452
0.071044,738
0.071044,710
0.071044,689
0.071044,451
0.073986,723
0.073986,699
0.073986,693
0.073986,731
0.073986,438
0.07757,715
0.07757,702
0.07757,707
0.07757,689
0.07757,450
0.080181,689
0.080181,769
0.080181,701
0.080181,672
0.080181,419
0.082889,678
0.082889,746
0.082889,739
0.082889,771
0.082889,638
0.082889,686
0.082889,421
0.085818,640
0.085818,655
