frame,value
0,0
1,5548
2,2795
3,2065
4,2236
5,1763
6,2519
7,2305
8,1597
9,1306
10,797
11,352
12,398
13,212
14,398
15,222
16,233
17,251
18,121
19,127
20,355
21,138
22,225
23,247
24,118
25,371
26,330
27,325
28,104
29,207
30,228
32,344
33,278
34,227
35,277
36,216
37,285
38,294
39,232
40,208
41,231
42,361
43,116
44,323
45,215
46,287
47,225
48,214
49,294
50,230
51,172
52,368
53,168
54,446
55,225
56,113
57,457
58,173
59,232
60,208
61,232
62,286
63,397
64,232
65,116
66,222
67,217
68,220
69,214
70,231
71,216
72,270
73,177
75,216
76,272
77,263
79,226
80,286
81,204
82,120
83,220
84,209
85,291
86,107
87,284
88,313
89,212
90,220
91,217
92,278
93,289
94,284
95,444
96,362
97,171
98,341
99,514
100,342
101,385
102,286
103,220
104,376
105,209
106,496
107,357
108,364
109,543
110,449
111,450
112,517
113,215
114,338
115,312
116,219
117,277
118,173
119,385
120,278
121,209
122,318
123,288
124,216
125,453
126,633
127,401
128,567
129,403
130,337
131,1331
132,644
133,392
134,288
135,238
136,510
137,542
138,354
139,503
140,261
141,441
142,402
143,510
144,356
145,650
146,397
147,216
148,432
149,308
150,273
151,458
152,208
153,382
154,207
155,212
156,320
157,214
158,220
159,215
160,223
161,276
162,339
163,363
164,525
165,1024
166,979
167,593
168,363
169,338
170,275
171,308
172,268
173,448
174,279
175,342
176,320
177,453
178,347
179,618
180,560
181,372
182,511
183,614
184,362
185,376
186,328
187,289
188,281
189,447
190,279
191,367
192,287
193,229
194,126
195,117
196,243
197,101
198,207
199,116
200,111
201,229
202,108
203,100
204,214
205,100
206,226
207,110
208,106
210,212
211,205
212,101
213,198
214,95
215,184
216,249
217,195
218,193
219,99
220,103
221,103
222,102
224,202
225,225
226,99
227,246
228,90
229,104
230,86
231,202
232,94
234,204
235,198
236,95
237,101
238,194
239,88
240,103
