frame,value
0,0
0.002694,6.27167
0.005627,6.815118
0.008156,6.456859
0.010984,6.229999
0.013917,5.318651
0.016594,4.590007
0.019521,3.774071
0.022437,3.277729
0.025227,2.99506
0.027879,2.575536
0.030761,2.390688
0.03336,2.401221
0.036035,2.271219
0.038641,1.848626
0.041301,1.765635
0.044292,1.740368
0.046863,1.720767
0.049669,1.659076
0.052188,1.759029
0.055013,1.910211
0.057732,2.006323
0.06027,1.917901
0.063001,1.931944
0.066011,2.118378
0.068662,1.750605
0.071422,1.842179
0.074193,1.769561
0.076898,2.523217
0.079973,2.221446
0.082887,2.189897
0.08604,2.279944
0.088946,1.677836
0.092158,1.903463
0.094732,2.055534
0.097462,1.794883
0.100309,1.964585
0.10288,1.868644
0.105656,1.734249
0.108211,2.207205
0.11088,2.233392
0.113734,2.670837
0.116561,2.286887
0.119146,2.538817
0.1219,2.633441
0.124728,2.7392
0.127479,2.518739
0.130503,2.732683
0.133333,2.201173
0.136149,2.511954
0.139007,2.375412
0.142749,2.734928
0.14559,2.492971
0.148653,2.240681
0.151509,1.91757
0.158928,0.9965178
0.165954,0.6307365
0.172558,0.4974902
0.179163,0.5109716
0.189363,0.4059124
0.198367,0.3750242
0.206553,0.3590375
0.216192,0.3512589
0.230209,0.3196957
0.241393,0.2876042
0.255797,0.2843735
0.266446,0.2463007
0.281964,0.3069384
0.291221,0.342981
0.303102,0.3595599
0.312403,0.3212851
0.325331,0.2613166
0.336957,0.2473985
0.347714,0.256952
0.362083,0.2750649
0.38046,0.2791457
0.391684,0.28843
0.400685,0.3186928
0.410179,0.3280899
0.419323,0.2637052
0.427049,0.2132404
0.439989,0.2153257
0.460262,0.1678207
0.473298,0.1423874
0.486603,0.1598658
0.502217,0.1549843
0.52032,0.1400277
0.535596,0.129274
0.553314,0.1247409
0.570603,0.1352385
0.581775,0.1929775
0.594434,0.1465318
0.604777,0.1885128
0.614085,0.2025319
0.620884,0.1992629
0.627499,0.1969899
0.6342,0.1991996
0.642558,0.2069317
0.652392,0.2204072
0.666266,0.2291004
0.673101,0.2234121
0.68107,0.219465
0.687918,0.2135367
0.694173,0.2095796
0.70455,0.2119278
0.715368,0.2097668
0.722197,0.2018571
0.732301,0.1985164
0.74335,0.1909507
