frame,value
0,0
0,0
0,0
0.000844,0
0.000844,0
0.000844,0
0.001917,0
0.001917,0
0.001917,0
0.002672,0
0.002672,0
0.002672,0
0.003609,0
0.003609,0
0.003609,0
0.004568,0
0.004568,1e-07
0.004568,1e-07
0.004568,1e-07
0.005483,3e-07
0.005483,3e-07
0.005483,3e-07
0.005483,3e-07
0.005483,3e-07
0.006471,5e-07
0.006471,2e-07
0.006471,5e-07
0.006471,5e-07
0.006471,5e-07
0.006471,8e-07
0.00742,7e-07
0.00742,7e-07
0.00742,1.6e-06
0.00742,1.2e-06
0.00742,1.5e-06
0.008441,1.2e-06
0.008441,1.2e-06
0.008441,1.4e-06
0.008441,1.9e-06
0.008441,1.7e-06
0.009218,2.6e-06
0.009218,3.6e-06
0.009218,2.8e-06
0.009218,2.8e-06
0.009218,2.5e-06
0.009994,2.4e-06
0.009994,2.3e-06
0.009994,3.1e-06
0.009994,3.1e-06
0.009994,3.2e-06
0.009994,3.3e-06
0.010815,3e-06
0.010815,3.4e-06
0.010815,3.4e-06
0.010815,3.5e-06
0.010815,3.6e-06
0.010815,3.9e-06
0.01164,3.8e-06
0.01164,3.8e-06
0.01164,3.8e-06
0.01164,4.1e-06
0.01164,5.2e-06
0.01164,5.2e-06
0.01164,5.4e-06
0.01164,5.5e-06
0.012596,5.4e-06
0.012596,5.4e-06
0.012596,5.7e-06
0.012596,5.8e-06
0.012596,5.9e-06
0.012596,6.2e-06
0.012596,6.2e-06
0.012596,6.9e-06
0.013375,6.5e-06
0.013375,7.6e-06
0.013375,7.4e-06
0.013375,7.9e-06
0.013375,8e-06
0.013375,8.6e-06
0.014288,8e-06
0.014288,8.2e-06
0.014288,8.7e-06
0.014288,8.8e-06
0.014288,9.4e-06
0.014288,9.3e-06
0.014288,9.2e-06
0.014288,9.3e-06
0.014288,1.02e-05
0.015145,1.18e-05
0.015145,1.07e-05
0.015145,1.13e-05
0.015145,1.08e-05
0.015145,1.14e-05
0.015145,1.17e-05
0.015145,1.39e-05
0.015145,1.19e-05
0.015926,1.21e-05
0.015926,1.19e-05
0.015926,1.38e-05
0.015926,1.3e-05
0.015926,1.44e-05
0.015926,1.39e-05
0.015926,1.49e-05
0.016773,1.52e-05
0.016773,1.54e-05
0.016773,1.5e-05
0.016773,1.61e-05
0.016773,1.51e-05
0.016773,1.55e-05
0.017649,1.49e-05
0.017649,1.68e-05
0.017649,1.61e-05
0.017649,1.74e-05
0.017649,1.74e-05
0.017649,1.96e-05
0.017649,1.84e-05
0.018417,1.9e-05
0.018417,1.83e-05
0.018417,1.87e-05
0.018417,1.78e-05
0.018417,2.03e-05
0.018417,1.95e-05
0.018417,2.01e-05
