frame,value
0,0
0.000844,10.10377
0.001917,11.30574
0.002672,10.78141
0.003609,10.33867
0.004568,9.98083
0.005483,10.05538
0.006471,9.953135
0.00742,9.592103
0.008441,9.522293
0.009218,9.106897
0.009994,9.025516
0.010815,9.024492
0.01164,8.815737
0.012596,8.964394
0.013375,8.415973
0.014288,8.205443
0.015145,8.318367
0.015926,8.414754
0.016773,8.166073
0.017649,7.773237
0.018417,7.722727
0.019186,7.930851
0.020022,7.664875
0.020922,7.605642
0.021706,7.567834
0.022615,7.539094
0.023368,7.614974
0.024207,7.734516
0.025036,7.961356
0.025909,8.101737
0.026813,8.113554
0.027743,8.414244
0.028498,8.657294
0.029324,8.949259
0.030225,8.987045
0.031,8.778065
0.031833,8.662791
0.032608,8.58067
0.033362,8.483811
0.034147,8.808958
0.034917,9.3008
0.035701,8.434425
0.036545,9.690345
0.037393,11.82244
0.038181,13.19468
0.039066,14.34559
0.03982,14.14853
0.040589,13.3706
0.041465,12.72023
0.042236,11.60771
0.043033,10.53172
0.043836,9.668332
0.044593,8.7523
0.045362,8.835908
0.046246,9.440734
0.047064,8.492807
0.047871,7.692748
0.048686,6.845583
0.049552,5.970572
0.05031,5.579566
0.051095,4.661915
0.05188,6.364978
0.052647,8.258945
0.053438,7.421281
0.05427,8.26562
0.055052,9.57985
0.055855,10.0576
0.056605,6.553861
0.057391,6.779933
0.058288,4.682609
0.059089,3.915797
0.059842,5.642161
0.06068,3.573943
0.061576,3.354627
0.062371,3.134951
0.063158,3.394091
0.06403,2.987596
0.064816,3.065401
0.065605,3.148494
0.066505,3.281937
0.067272,3.281765
0.068184,3.250305
0.068962,3.321544
0.070091,3.509271
0.070865,3.680436
0.071626,5.768327
0.072528,4.40628
0.073461,4.10567
0.074418,4.276064
0.075315,4.499071
0.076251,4.645306
0.077028,4.593775
0.077855,4.853902
0.078663,4.905336
0.07948,5.14854
0.080387,5.31761
0.081234,5.413412
0.0821,5.457819
0.082854,5.415379
0.083685,5.736062
0.08444,6.720889
0.085224,7.296234
0.085997,7.360144
0.086831,7.51615
0.087581,8.510818
0.088429,8.743347
0.089182,8.969618
0.089987,7.645096
0.090803,6.728836
0.09159,6.336501
0.092351,5.710897
0.093169,4.754375
0.093989,3.326289
0.094883,3.020906
0.095668,3.191261
0.096525,2.431739
0.097278,2.581534
0.098048,2.791995
0.098858,2.550504
0.099696,2.511439
0.100542,2.449584
0.101339,3.133127
0.102136,2.520291
0.103053,2.593116
0.103822,4.806595
0.105036,2.692118
0.105822,2.866534
0.107591,2.838648
0.108465,2.730847
0.109286,2.770211
0.110051,2.667982
0.111339,2.705309
0.112139,2.678097
0.113135,2.886573
0.114143,2.818815
0.1152,2.970545
0.116118,2.871478
0.117182,3.312113
0.118003,3.55577
0.118775,3.340366
0.11973,3.370093
0.12048,3.737772
0.121408,3.806237
0.122242,4.250067
0.123031,4.134852
0.123949,4.355821
0.124857,4.321032
0.125628,4.971082
0.126445,4.808775
0.127196,5.377918
0.127967,5.27289
0.128779,5.607864
0.129642,4.979082
0.130397,5.073333
0.131148,6.907873
0.132076,5.594707
0.132843,4.975005
0.133626,6.208603
0.134556,6.038116
0.135551,5.395694
0.136407,6.576849
0.137242,6.114828
0.138015,7.547963
0.138812,6.624436
0.139571,5.630298
0.140346,6.4531
0.141292,8.909574
0.142096,7.147597
0.142877,6.912463
0.143666,6.078119
0.144557,6.686877
0.145324,8.075757
0.146208,8.020501
0.146973,8.688228
0.147893,6.809018
0.148677,7.62376
0.149457,8.169108
0.150236,7.319343
0.151025,7.689332
0.151862,5.976977
0.152639,4.734288
0.153389,4.388772
0.15431,2.748227
0.155347,2.66878
0.156166,2.944668
0.156969,3.318979
0.157729,2.581218
0.158485,2.650657
0.159276,3.345744
0.160044,2.692364
0.16084,3.330129
0.16164,2.742836
0.162418,2.744033
0.163239,2.768607
0.164101,2.808734
0.164971,2.866475
0.165807,2.900642
0.166651,2.954098
0.167519,2.991357
0.168388,3.06799
0.16926,3.172551
0.170205,3.105391
0.171216,3.081893
0.171975,4.202352
0.17296,3.494509
0.173833,3.135949
