frame,value
0,567
0,773
0,364
0.000844,808
0.000844,792
0.000844,408
0.001917,848
0.001917,811
0.001917,303
0.002672,822
0.002672,813
0.002672,359
0.003609,833
0.003609,806
0.003609,387
0.004568,784
0.004568,754
0.004568,762
0.004568,333
0.005483,818
0.005483,755
0.005483,764
0.005483,753
0.005483,363
0.006471,791
0.006471,738
0.006471,736
0.006471,715
0.006471,703
0.006471,320
0.00742,740
0.00742,728
0.00742,724
0.00742,732
0.00742,372
0.008441,788
0.008441,745
0.008441,747
0.008441,758
0.008441,314
0.009218,794
0.009218,755
0.009218,761
0.009218,749
0.009218,311
0.009994,788
0.009994,794
0.009994,745
0.009994,746
0.009994,749
0.009994,314
0.010815,756
0.010815,740
0.010815,745
0.010815,756
0.010815,739
0.010815,341
0.01164,747
0.01164,764
0.01164,741
0.01164,748
0.01164,722
0.01164,734
0.01164,742
0.01164,340
0.012596,758
0.012596,736
0.012596,756
0.012596,707
0.012596,773
0.012596,683
0.012596,747
0.012596,349
0.013375,709
0.013375,798
0.013375,715
0.013375,765
0.013375,713
0.013375,334
0.014288,756
0.014288,705
0.014288,785
0.014288,715
0.014288,780
0.014288,708
0.014288,792
0.014288,716
0.014288,358
0.015145,755
0.015145,771
0.015145,701
0.015145,767
0.015145,768
0.015145,763
0.015145,684
0.015145,305
0.015926,726
0.015926,745
0.015926,733
0.015926,745
0.015926,723
0.015926,715
0.015926,327
0.016773,750
0.016773,752
0.016773,758
0.016773,736
0.016773,707
0.016773,325
0.017649,751
0.017649,716
0.017649,746
0.017649,741
0.017649,742
0.017649,740
0.017649,313
0.018417,752
0.018417,728
0.018417,747
0.018417,737
0.018417,727
0.018417,729
0.018417,315
0.019186,741
0.019186,748
0.019186,753
0.019186,750
0.019186,751
0.019186,751
0.019186,741
0.019186,742
0.019186,350
0.020022,745
0.020022,731
0.020022,737
0.020022,730
0.020022,726
0.020022,339
0.020922,727
0.020922,724
0.020922,725
0.020922,723
0.020922,725
0.020922,717
0.020922,727
0.020922,720
0.020922,729
0.020922,322
0.021706,745
0.021706,716
0.021706,721
0.021706,729
0.021706,728
0.021706,726
0.021706,727
0.021706,357
0.022615,740
0.022615,738
0.022615,730
0.022615,756
0.022615,750
0.022615,747
0.022615,322
0.023368,750
0.023368,748
0.023368,740
0.023368,744
0.023368,750
0.023368,734
0.023368,332
0.024207,746
0.024207,765
0.024207,748
0.024207,730
0.024207,738
0.024207,743
0.024207,742
0.024207,340
0.025036,764
0.025036,727
0.025036,732
0.025036,746
0.025036,771
0.025036,751
0.025036,774
0.025036,732
0.025036,351
0.025909,752
0.025909,721
0.025909,725
0.025909,737
0.025909,759
0.025909,736
0.025909,740
0.025909,356
0.026813,751
0.026813,732
0.026813,749
0.026813,762
0.026813,761
0.026813,742
0.026813,750
0.026813,371
0.027743,747
0.027743,779
0.027743,768
0.027743,770
0.027743,780
0.027743,343
0.028498,763
0.028498,820
0.028498,807
0.028498,806
0.028498,805
0.028498,796
0.028498,810
0.028498,373
0.029324,783
0.029324,792
0.029324,851
0.029324,806
0.029324,801
0.029324,800
0.029324,802
0.029324,818
0.029324,819
0.029324,398
0.030225,780
0.030225,843
0.030225,847
0.030225,850
0.030225,850
0.030225,838
0.030225,849
0.030225,846
0.030225,848
0.030225,375
0.031,821
0.031,821
0.031,824
0.031,832
0.031,836
0.031,847
0.031,825
0.031,389
0.031833,813
0.031833,818
0.031833,821
0.031833,822
0.031833,817
0.031833,823
0.031833,821
0.031833,821
0.031833,369
0.032608,801
0.032608,806
0.032608,812
0.032608,818
0.032608,822
0.032608,814
0.032608,815
0.032608,817
0.032608,813
0.032608,365
0.033362,796
0.033362,817
0.033362,809
0.033362,803
0.033362,818
0.033362,825
0.033362,789
0.033362,778
0.033362,784
0.033362,835
0.033362,372
0.034147,801
0.034147,793
0.034147,823
0.034147,832
0.034147,824
0.034147,819
0.034147,828
0.034147,832
0.034147,828
0.034147,828
0.034147,822
0.034147,385
0.034917,810
0.034917,809
0.034917,820
0.034917,788
0.034917,795
0.034917,798
0.034917,803
0.034917,805
0.034917,798
0.034917,797
0.034917,375
0.035701,803
0.035701,759
0.035701,769
0.035701,771
0.035701,778
0.035701,774
0.035701,778
0.035701,776
0.035701,774
0.035701,393
0.036545,748
0.036545,757
0.036545,756
0.036545,782
0.036545,784
0.036545,771
0.036545,760
0.036545,723
0.036545,737
0.036545,411
0.037393,756
0.037393,752
0.037393,758
0.037393,757
0.037393,738
0.037393,734
0.037393,731
0.037393,722
0.037393,729
0.037393,381
0.038181,740
0.038181,735
0.038181,722
0.038181,720
0.038181,715
0.038181,725
0.038181,720
0.038181,736
0.038181,742
0.038181,412
0.039066,745
0.039066,719
0.039066,723
0.039066,714
0.039066,711
0.039066,683
0.039066,703
0.039066,739
0.039066,727
0.039066,767
0.039066,389
0.03982,700
0.03982,701
0.03982,722
0.03982,742
0.03982,774
0.03982,756
0.03982,766
0.03982,763
0.03982,747
0.03982,745
0.03982,343
0.040589,697
0.040589,692
0.040589,699
0.040589,780
0.040589,781
0.040589,788
0.040589,750
0.040589,823
0.040589,814
0.040589,787
0.040589,788
0.040589,386
0.041465,730
0.041465,700
0.041465,709
0.041465,750
0.041465,746
0.041465,776
0.041465,778
0.041465,774
0.041465,797
0.041465,802
0.041465,354
0.042236,758
0.042236,734
0.042236,773
0.042236,776
0.042236,800
0.042236,804
0.042236,785
0.042236,798
0.042236,798
0.042236,783
0.042236,349
0.043033,756
0.043033,751
0.043033,763
0.043033,839
0.043033,847
0.043033,840
0.043033,834
0.043033,839
0.043033,832
0.043033,810
0.043033,800
0.043033,362
0.043836,756
0.043836,776
0.043836,827
0.043836,831
0.043836,829
0.043836,812
0.043836,813
0.043836,817
0.043836,805
0.043836,803
0.043836,826
0.043836,420
0.044593,725
0.044593,738
0.044593,814
0.044593,779
0.044593,820
0.044593,831
0.044593,829
