frame,value
0,0
0.001082,10.82026
0.002177,12.99501
0.002999,11.61449
0.003822,12.2149
0.004619,11.61314
0.005556,11.20408
0.006369,10.17066
0.007249,10.37097
0.008067,10.16823
0.008853,9.98954
0.009639,10.04299
0.010457,11.94143
0.011213,10.33593
0.012001,9.227327
0.01288,8.877772
0.013804,8.872128
0.014745,8.629555
0.015514,8.432817
0.016302,8.276264
0.01709,8.146843
0.017856,8.542808
0.018703,8.332629
0.019518,7.873664
0.02033,7.787763
0.021093,7.940847
0.021852,8.146749
0.022606,8.15766
0.0234,8.328733
0.024155,8.080898
0.024962,8.117813
0.025718,9.013103
0.026487,8.249352
0.027238,9.587245
0.028107,9.937695
0.02887,9.352735
0.02968,9.260058
0.030496,10.23952
0.031272,9.51333
0.032086,9.335761
0.032847,9.066467
0.033601,8.573526
0.034399,8.555694
0.03515,8.289207
0.035939,9.281875
0.036725,10.05507
0.037498,11.05701
0.038284,13.63601
0.039063,15.09453
0.039826,16.02374
0.040584,16.34042
0.04136,16.08944
0.042111,15.47898
0.042874,14.12904
0.04364,12.67017
0.0444,11.42539
0.045153,9.965495
0.045907,8.730249
0.04666,8.934268
0.047454,8.913027
0.048246,8.233116
0.049013,7.644894
0.049801,7.017365
0.050676,6.601464
0.051426,6.487036
0.052182,6.111612
0.052935,6.63923
0.053741,4.87289
0.054493,4.841605
0.055259,4.377709
0.056021,4.695121
0.056826,5.452913
0.057576,4.030974
0.058378,3.983723
0.059153,6.414108
0.05991,3.526341
0.060686,5.047225
0.061472,6.198527
0.062237,6.462456
0.063011,5.321635
0.063816,6.329514
0.064584,6.085125
0.065346,7.576491
0.066102,7.411307
0.066888,6.117704
0.067687,7.361747
0.068485,7.326653
0.069293,7.962804
0.070148,6.747164
0.07091,12.71681
0.071692,13.10803
0.072464,15.95212
0.073222,11.89491
0.073994,12.30272
0.074756,8.802927
0.075615,10.6717
0.076448,9.876843
0.07721,9.474695
0.078004,11.20754
0.078798,5.899409
0.079599,7.990438
0.080393,5.655375
0.081154,4.923048
0.081906,5.083251
0.082749,5.558655
0.083511,6.161814
0.08433,6.198713
0.085138,5.994397
0.085893,7.285408
0.08666,8.182813
0.087439,7.378163
0.088202,8.55901
0.089143,7.927385
0.089934,8.406838
0.090695,8.315124
0.091482,8.590529
0.092245,8.580197
0.093127,6.1879
0.093896,4.433379
0.094707,3.864808
0.09546,3.33081
0.096218,2.606733
0.096979,2.499025
0.098055,2.567575
0.098815,2.555504
0.099745,2.450023
0.100497,3.92371
0.101271,3.585721
0.102098,2.418609
0.103041,2.537706
0.103814,2.464038
0.104589,2.499036
0.105372,2.52913
0.106969,2.470797
0.107727,2.59149
0.10852,2.60097
0.109422,2.695424
0.110195,3.313163
0.111601,2.768217
0.112375,2.719555
0.11351,2.933129
0.114459,2.891845
0.115753,3.016497
0.116526,2.846376
0.117379,2.723826
0.118156,2.896896
0.119017,2.969427
0.1198,3.167527
0.120598,3.370034
0.121428,3.497537
0.122224,3.490001
0.122977,3.870015
0.12417,4.192512
0.125198,4.378411
0.126019,4.311724
0.12689,4.732691
0.127648,5.130219
0.128405,5.667145
0.129178,5.665252
0.129995,5.401571
0.130978,5.134399
0.13179,5.442856
0.13254,4.748734
0.133475,5.835074
0.134236,6.644605
0.134997,5.564043
0.135752,7.544543
0.136559,5.941253
0.137371,5.834651
0.138127,5.608758
0.13892,5.285842
0.139692,5.843878
0.140533,6.54749
0.141381,6.6513
0.142137,6.783221
0.142912,6.421151
0.143678,6.806244
0.144448,6.857539
0.145262,6.388789
0.146069,5.986354
0.146861,7.000893
0.147637,6.43433
0.14839,7.249631
0.149156,7.793906
0.149952,7.629071
0.150778,8.533075
0.151629,8.170125
0.152419,7.705582
0.153261,8.434111
0.154041,6.779054
0.154864,6.273211
0.155698,5.903181
0.156466,3.669478
0.157402,2.638113
0.158161,2.847975
0.159047,2.59313
0.159844,2.630677
0.160668,2.726139
0.161427,2.982809
0.162215,2.811638
0.163335,2.912087
0.16409,2.814147
0.16488,2.790144
0.165713,2.922883
0.166475,2.869058
0.167288,2.949274
0.168108,3.012497
0.168911,3.071231
0.16973,3.131655
0.170552,3.177921
0.171312,3.529171
0.172089,3.350902
0.17288,3.262242
0.173681,3.258718
0.174549,3.319728
0.175357,3.330676
0.176169,3.39763
0.176939,3.982621
0.177739,3.488724
0.178827,3.749293
0.179853,3.905232
0.180735,3.981684
0.181529,3.932083
0.182295,3.742499
0.183122,3.862273
0.184078,4.077473
0.185142,4.123431
0.185938,4.470866
0.186797,4.232359
0.187568,4.181734
0.188337,4.737454
0.18912,4.897825
0.18999,4.132365
0.190779,4.451664
0.191552,5.068057
0.192331,4.60146
0.193131,4.744968
0.193893,4.638154
0.194703,4.96048
0.195463,5.36665
0.196218,5.480446
0.197052,5.443379
0.197844,6.0243
0.198715,5.828864
0.199489,5.711235
0.200265,6.47875
0.201057,6.481209
0.201845,6.265385
0.202605,7.016716
0.203483,7.229177
0.204265,7.416131
0.20506,6.981532
0.205939,6.860547
0.206719,7.331041
0.207531,7.159162
0.208377,7.378718
0.209306,7.133531
0.210157,8.002892
0.210932,7.161576
0.211863,6.460385
0.21262,5.148958
0.213446,5.226416
0.214286,3.818094
0.215211,3.671175
0.216433,2.32321
0.217382,1.793737
0.218268,1.713151
0.219328,1.562107
0.220157,1.202092
0.221532,1.760436
0.223013,1.361548
0.224257,1.296656
0.225259,1.512948
0.226698,1.056982
0.228048,1.041581
0.229267,1.26168
0.230271,1.84849
0.231652,1.186681
0.232439,0.8911296
0.233886,0.9065078
0.234936,0.7300551
0.236295,0.9156898
0.238097,0.8240077
0.239708,0.782802
0.241507,0.8155786
0.243321,0.5832644
0.245388,0.5236057
0.248104,0.6312184
0.250394,0.484532
0.253023,0.553364
0.253884,0.9823987
0.255634,0.8213958
0.257444,0.6984089
0.25847,0.7588441
0.25978,0.628886
0.261364,0.5379554
0.262384,0.853999
0.263377,0.5801928
0.264374,0.7820507
0.26536,0.873722
0.266357,0.828379
0.267353,0.7176269
0.268354,0.5985932
0.269357,0.5848186
0.270362,0.5886372
0.27137,0.5136577
0.272381,1.014179
0.273394,0.8322428
0.276042,0.6462823
0.277209,0.5846416
0.278229,0.7884527
0.279713,1.016982
0.280733,0.8061467
0.281777,0.7304627
0.28282,0.679107
0.28385,0.5599664
0.284892,0.5163557
0.285932,1.038299
0.286977,1.722339
0.288023,1.414506
0.289073,0.8722378
0.290124,0.541824
0.291178,0.4105048
0.292234,0.3648823
0.293292,0.4589337
0.294352,0.3569385
0.295415,0.3613422
0.296479,0.3981101
0.297546,0.4191192
0.298615,0.4083921
0.299687,0.3905776
0.300761,0.3846191
0.301838,0.3861017
0.302918,0.3852361
0.304003,0.4475421
0.305091,0.5814251
0.306183,0.7516331
0.307277,0.6779804
0.308375,0.4779034
0.309476,0.4543425
0.310303,0.3765626
0.3116,0.4581988
0.313925,0.4482717
0.315049,0.3067716
0.31617,0.3320623
0.317309,0.3958771
0.318438,0.4893991
0.319578,0.595476
0.320717,0.6256926
0.321863,0.3907948
0.323011,0.4359089
0.324165,0.4507634
0.325323,0.4036763
0.326486,0.4857684
0.327655,0.4613522
0.328828,0.4061397
0.330008,0.3524516
0.331196,0.3446311
0.332392,0.3712944
0.333595,0.3729761
0.334805,0.3397197
0.33602,0.2926891
0.33724,0.2486032
0.338464,0.273693
0.339694,0.3429525
0.340928,0.4157925
0.342165,0.5087102
0.343406,0.4756385
0.344651,0.4420669
0.345902,0.4699121
0.347156,0.4935141
0.348413,0.4997315
0.349674,0.4712905
0.350941,0.3989547
0.362908,0.3328764
0.373107,0.5655549
0.386555,0.7454906
0.397542,0.8148915
0.408364,0.8679186
0.419192,0.8955697
0.429775,0.9596805
0.442598,1.045586
0.453865,1.115072
0.464533,1.092217
0.475565,1.131703
0.48776,1.110019
0.500503,1.070644
0.511472,0.9847053
0.522244,0.9330503
0.532403,0.9384922
0.54351,0.9386598
0.559373,0.9250343
0.57394,0.7798609
0.584407,0.7825578
0.594713,0.8001704
0.607903,0.8253963
0.618694,0.842774
0.629403,0.8610688
0.640521,0.8330275
0.654189,0.7576284
0.668554,0.6702086
0.680764,0.6518745
0.698607,0.6425788
0.709057,0.627535
0.726892,0.6145393
0.745021,0.5937077
0.758541,0.6077964
0.776044,0.6052727
0.78625,0.5837145
0.796286,0.578548
0.810305,0.5589422
0.8205,0.534952
0.831068,0.5225434
0.852538,0.5079265
0.870791,0.5094836
0.889413,0.5335093
0.901159,0.5392652
0.912288,0.5275393
0.926159,0.5233061
0.948241,0.4768107
0.965779,0.4161592
0.97877,0.3886624
0.989162,0.3515469
1.003059,0.3313984
1.024298,0.2948079
1.035397,0.2800676
1.048397,0.276965
1.059649,0.2770748
1.07549,0.2521679
1.088217,0.2394176
1.102818,0.2353664
1.113403,0.235003
1.124589,0.2394761
1.145155,0.250163
1.1563,0.2435196
1.175365,0.208144
1.192383,0.1762613
1.205284,0.165021
1.225096,0.1585737
1.241542,0.1549844
1.252123,0.2022367
1.264737,0.1844479
1.276067,0.2121503
1.288224,0.1714002
1.300881,0.1698
1.315117,0.1608206
1.331612,0.1484832
1.355133,0.1365933
1.385091,0.135144
1.397732,0.5495872
1.410231,0.7936406
1.420763,1.090735
1.430959,1.370982
1.44201,1.311562
1.453832,1.146265
1.46537,1.169045
1.475595,1.01331
1.486909,0.9543697
1.497007,1.504659
1.507746,2.075563
1.518131,2.132363
1.528625,2.227827
1.539244,2.023588
1.55233,2.013381
1.563309,1.934541
1.574277,1.738675
1.584595,1.726644
1.59592,1.549104
1.606271,1.428315
1.619811,1.240674
1.63227,1.096837
1.642273,1.001564
1.652407,0.9539588
1.66495,0.9453547
1.676668,0.9320086
1.688684,0.9516733
1.700267,0.949164
1.7107,0.9495475
1.722465,0.9356407
1.73486,0.9163156
1.744984,0.8741019
1.755395,0.8312613
1.765804,0.8254147
1.778121,0.8489147
1.788966,0.7430479
1.799894,0.6647219
1.811058,0.6118942
1.82356,0.7680795
1.835934,0.7634367
1.847534,0.7299739
1.858949,0.7812159
1.87143,0.8023515
1.88151,0.7832162
1.893409,0.8069251
1.905245,0.8141137
1.918379,0.8057518
1.928589,0.8163877
1.940462,0.8149188
1.952643,0.8666059
1.964131,0.9018601
1.978558,1.099493
1.991869,1.246167
2.003774,1.517768
2.015632,1.661841
2.026189,1.597023
2.036745,1.697876
2.049086,1.766497
2.05919,1.887596
2.071373,1.852711
2.081463,2.073383
2.092322,1.957993
2.105778,1.992607
2.117632,1.804233
2.127645,1.761555
2.137686,1.723792
2.147749,1.621248
2.157891,1.516158
2.16814,1.394452
2.178434,1.256728
2.189319,1.150712
2.200634,1.079888
2.211523,1.04861
2.222599,0.9935045
2.234112,0.9342413
2.246553,0.8482221
2.256687,0.7262069
