frame,value
0,1
0,2
0,2
0,1
0.001082,2
0.001082,2
0.001082,2
0.002177,2
0.002177,2
0.002177,1
0.002993,2
0.002993,2
0.002993,2
0.002993,1
0.003817,2
0.003817,2
0.003817,1
0.004591,2
0.004591,2
0.004591,2
0.004591,2
0.004591,2
0.005599,2
0.005599,2
0.005599,2
0.005599,2
0.005599,2
0.005599,2
0.006353,3
0.006353,2
0.006353,2
0.006353,2
0.006353,2
0.007227,3
0.007227,3
0.007227,3
0.007227,2
0.007227,2
0.007227,2
0.008029,3
0.008029,3
0.008029,3
0.008029,2
0.008029,2
0.008029,2
0.008792,3
0.008792,3
0.008792,3
0.008792,3
0.008792,3
0.008792,2
0.008792,2
0.008792,2
0.009717,3
0.009717,3
0.009717,2
0.009717,2
0.009717,2
0.009717,2
0.009717,2
0.009717,2
0.010476,3
0.010476,3
0.010476,3
0.010476,3
0.010476,3
0.010476,2
0.010476,2
0.010476,2
0.011246,3
0.011246,3
0.011246,3
0.011246,3
0.011246,3
0.011246,2
0.011246,3
0.011246,2
0.011246,3
0.011246,2
0.011246,3
0.011246,2
0.012099,3
0.012099,3
0.012099,3
0.012099,3
0.012099,3
0.012099,3
0.012099,3
0.012099,2
0.012947,3
0.012947,3
0.012947,3
0.012947,3
0.012947,3
0.012947,3
0.012947,3
0.012947,3
0.012947,2
0.013708,3
0.013708,3
0.013708,3
0.013708,3
0.013708,3
0.013708,3
0.013708,3
0.013708,3
0.013708,3
0.013708,3
0.013708,3
0.013708,2
0.014494,3
0.014494,3
0.014494,3
0.014494,3
0.014494,3
0.014494,3
0.014494,3
0.014494,3
0.014494,3
0.014494,2
0.015289,3
0.015289,3
0.015289,3
0.015289,3
0.015289,3
0.015289,3
0.015289,3
0.015289,3
0.015289,3
0.015289,3
0.015289,3
0.015289,2
0.01614,3
0.01614,3
0.01614,3
0.01614,3
0.01614,3
0.01614,3
0.01614,3
0.01614,3
0.01614,2
0.016906,3
0.016906,3
0.016906,3
0.016906,3
0.016906,3
0.016906,3
0.016906,3
0.016906,3
0.016906,3
0.016906,3
0.016906,3
0.016906,3
0.016906,3
0.016906,2
0.01767,3
0.01767,3
0.01767,3
0.01767,3
0.01767,3
0.01767,3
0.01767,3
0.01767,3
0.01767,3
0.01767,3
0.01767,2
0.018448,3
0.018448,3
0.018448,3
0.018448,3
0.018448,3
0.018448,3
0.018448,3
0.018448,3
0.018448,3
0.018448,2
0.019296,3
0.019296,3
0.019296,3
0.019296,3
0.019296,3
0.019296,3
0.019296,3
0.019296,3
0.019296,3
0.019296,3
0.019296,3
0.019296,3
0.02015,3
0.02015,3
0.02015,3
0.02015,3
0.02015,3
0.02015,3
0.02015,3
0.02015,3
0.02015,3
0.02015,3
0.020929,3
0.020929,3
0.020929,3
0.020929,3
0.020929,3
0.020929,3
0.020929,3
0.020929,3
0.020929,3
0.020929,3
0.020929,3
0.021682,4
0.021682,3
0.021682,4
0.021682,4
0.021682,4
0.021682,4
0.021682,3
0.021682,4
0.021682,4
0.021682,4
0.021682,3
0.021682,4
0.021682,3
0.022454,4
0.022454,4
0.022454,4
0.022454,4
0.022454,4
0.022454,3
0.022454,3
0.022454,3
0.022454,3
0.022454,3
0.022454,3
0.022454,3
0.022454,3
0.023321,3
0.023321,3
0.023321,4
0.023321,4
0.023321,4
0.023321,4
0.023321,4
0.023321,4
0.023321,4
0.023321,4
0.023321,4
0.023321,4
0.024075,4
0.024075,4
0.024075,4
0.024075,5
0.024075,4
0.024075,4
0.024075,4
0.024075,4
0.024075,4
0.024075,4
0.024075,3
0.024075,4
0.024075,3
0.024896,4
0.024896,4
0.024896,4
0.024896,4
0.024896,4
0.024896,4
0.024896,4
0.024896,4
0.024896,4
0.024896,4
0.024896,4
0.024896,4
0.024896,4
0.024896,4
0.024896,3
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,4
0.025649,3
0.026416,4
0.026416,4
0.026416,4
0.026416,4
0.026416,4
0.026416,4
0.026416,4
0.026416,5
0.026416,4
0.026416,4
0.026416,4
0.026416,4
0.026416,3
0.027192,4
0.027192,4
0.027192,4
0.027192,4
0.027192,4
0.027192,4
0.027192,4
0.027192,4
0.027192,4
0.027192,4
0.027192,4
0.027192,4
0.027192,4
0.027192,5
0.027192,5
0.027192,4
0.027947,4
0.027947,4
0.027947,5
0.027947,5
0.027947,5
0.027947,5
0.027947,5
0.027947,5
0.027947,5
0.027947,5
0.027947,5
0.027947,5
0.027947,4
0.027947,4
0.027947,4
0.028704,4
0.028704,5
0.028704,5
0.028704,6
0.028704,6
0.028704,5
0.028704,5
0.028704,5
0.028704,6
0.028704,6
0.028704,5
0.028704,5
0.028704,5
0.028704,5
0.028704,5
0.028704,4
0.029454,4
0.029454,5
0.029454,5
0.029454,5
0.029454,5
0.029454,5
0.029454,5
0.029454,5
0.029454,6
0.029454,5
0.029454,5
0.029454,5
0.029454,5
0.029454,5
0.029454,4
0.030266,5
0.030266,5
0.030266,5
0.030266,5
0.030266,5
0.030266,5
0.030266,5
0.030266,5
0.030266,5
0.030266,5
0.030266,5
0.030266,5
0.030266,4
0.031039,5
0.031039,5
0.031039,5
0.031039,5
0.031039,5
0.031039,5
0.031039,5
0.031039,5
0.031039,6
0.031039,5
0.031039,6
0.031039,5
0.031039,5
0.031039,5
0.031039,5
0.031039,4
0.031792,5
0.031792,5
0.031792,5
0.031792,5
0.031792,5
0.031792,5
0.031792,5
0.031792,5
0.031792,5
0.031792,5
0.031792,6
0.031792,6
0.031792,6
0.031792,6
0.031792,5
0.031792,4
0.032556,5
0.032556,5
0.032556,5
0.032556,5
0.032556,5
0.032556,6
0.032556,5
0.032556,5
0.032556,5
0.032556,5
0.032556,5
0.032556,6
0.032556,5
0.032556,5
0.032556,5
0.032556,5
0.032556,5
0.032556,3
0.033383,4
0.033383,5
0.033383,5
0.033383,5
0.033383,5
0.033383,5
0.033383,5
0.033383,5
0.033383,5
0.033383,5
0.033383,5
0.033383,5
0.033383,5
0.033383,5
0.033383,3
0.034203,5
0.034203,5
0.034203,5
0.034203,5
0.034203,5
0.034203,5
0.034203,4
0.034203,4
0.034203,5
0.034203,5
0.034203,5
0.034203,4
0.034203,5
0.034203,5
0.034203,4
0.034203,4
0.034203,4
0.034203,4
0.035026,5
0.035026,5
0.035026,5
0.035026,5
0.035026,5
0.035026,5
0.035026,4
0.035026,4
0.035026,4
0.035026,5
0.035026,5
0.035026,5
0.035026,5
0.035026,5
0.035026,3
0.035865,4
0.035865,5
0.035865,5
0.035865,5
0.035865,5
0.035865,5
0.035865,5
0.035865,5
0.035865,5
0.035865,5
0.035865,5
0.035865,5
0.035865,5
0.035865,5
0.035865,5
0.035865,4
0.036687,4
0.036687,4
0.036687,4
0.036687,5
0.036687,5
0.036687,5
0.036687,5
0.036687,5
