frame,value
0,451
0,1060
0,1065
0,609
0.001082,1167
0.001082,1192
0.001082,610
0.002176,1240
0.002176,1213
0.002176,532
0.003003,1216
0.003003,1236
0.003003,1093
0.003003,511
0.003825,1203
0.003825,1135
0.003825,523
0.004624,1238
0.004624,1043
0.004624,1032
0.004624,1023
0.004624,598
0.005564,1036
0.005564,1048
0.005564,1119
0.005564,1067
0.005564,1065
0.005564,531
0.006369,1140
0.006369,1124
0.006369,1150
0.006369,1128
0.006369,513
0.007252,1112
0.007252,1110
0.007252,1107
0.007252,1085
0.007252,1098
0.007252,481
0.008068,1154
0.008068,1092
0.008068,1090
0.008068,1097
0.008068,1089
0.008068,526
0.008891,1110
0.008891,1117
0.008891,1108
0.008891,1086
0.008891,1087
0.008891,515
0.009734,1122
0.009734,1091
0.009734,1092
0.009734,1097
0.009734,1085
0.009734,1062
0.009734,1064
0.009734,542
0.0106,1081
0.0106,1072
0.0106,1083
0.0106,1078
0.0106,1067
0.0106,1080
0.0106,1050
0.0106,1095
0.0106,1061
0.0106,1127
0.0106,488
0.011354,1071
0.011354,1190
0.011354,1094
0.011354,1054
0.011354,1064
0.011354,1045
0.011354,1039
0.011354,1037
0.011354,1050
0.011354,1027
0.011354,1036
0.011354,1019
0.011354,536
0.012171,944
0.012171,1083
0.012171,1049
0.012171,1063
0.012171,1044
0.012171,1056
0.012171,1067
0.012171,1041
0.012171,449
0.012951,1045
0.012951,1035
0.012951,1045
0.012951,1106
0.012951,1052
0.012951,1034
0.012951,1033
0.012951,455
0.013711,1031
0.013711,1046
0.013711,1028
0.013711,1047
0.013711,1041
0.013711,1042
0.013711,1021
0.013711,1054
0.013711,1051
0.013711,470
0.014486,1058
0.014486,1061
0.014486,1070
0.014486,1080
0.014486,1065
0.014486,1044
0.014486,1034
0.014486,1065
0.014486,1052
0.014486,503
0.015352,1033
0.015352,1065
0.015352,1074
0.015352,1036
0.015352,998
0.015352,1031
0.015352,1031
0.015352,1017
0.015352,1010
0.015352,1034
0.015352,1008
0.015352,474
0.016163,1021
0.016163,1033
0.016163,1027
0.016163,1069
0.016163,1024
0.016163,1025
0.016163,1047
0.016163,1036
0.016163,482
0.016951,1154
0.016951,1164
0.016951,1211
0.016951,1203
0.016951,1208
0.016951,1237
0.016951,1199
0.016951,1190
0.016951,1198
0.016951,534
0.017777,1194
0.017777,1204
0.017777,1203
0.017777,1206
0.017777,1227
0.017777,1215
0.017777,1202
0.017777,1165
0.017777,1205
0.017777,526
0.018594,1175
0.018594,1178
0.018594,1191
0.018594,1174
0.018594,1135
0.018594,1172
0.018594,1186
0.018594,1181
0.018594,1117
0.018594,1110
0.018594,1110
0.018594,499
0.019414,1152
0.019414,1152
0.019414,1149
0.019414,1151
0.019414,1157
0.019414,1154
0.019414,1147
0.019414,1150
0.019414,1147
0.019414,1161
0.019414,1152
0.019414,509
0.020228,1151
0.020228,1150
0.020228,1165
0.020228,1161
0.020228,1161
0.020228,1167
0.020228,1163
0.020228,1162
0.020228,1169
0.020228,1127
0.020228,558
0.021073,1167
0.021073,1181
0.021073,1189
0.021073,1218
0.021073,1186
0.021073,1199
0.021073,1200
0.021073,1206
0.021073,1146
0.021073,1147
0.021073,1145
0.021073,1135
0.021073,1148
0.021073,508
0.02184,1188
0.02184,1169
0.02184,1191
0.02184,1168
0.02184,1179
0.02184,1173
0.02184,1187
0.02184,1158
0.02184,1201
0.02184,1167
0.02184,1169
0.02184,1169
0.02184,572
0.022716,1190
0.022716,1187
0.022716,1213
0.022716,1199
0.022716,1199
0.022716,1195
0.022716,1230
0.022716,1219
0.022716,1246
0.022716,1230
0.022716,1247
0.022716,1255
0.022716,1243
0.022716,555
0.023516,1225
0.023516,1223
0.023516,1223
0.023516,1197
0.023516,1200
0.023516,1224
0.023516,1163
0.023516,1213
0.023516,1164
0.023516,1165
0.023516,1161
0.023516,1173
0.023516,547
0.024272,1220
0.024272,1213
0.024272,1159
0.024272,1146
0.024272,1158
0.024272,1158
0.024272,1148
0.024272,1139
0.024272,1154
0.024272,1140
0.024272,1155
0.024272,1138
0.024272,512
0.025029,1203
0.025029,1165
0.025029,1136
0.025029,1143
0.025029,1181
0.025029,1159
0.025029,1146
0.025029,1138
0.025029,1142
0.025029,1124
0.025029,1119
0.025029,1128
0.025029,1165
0.025029,1117
0.025029,494
0.02578,1214
0.02578,1132
0.02578,1159
0.02578,1133
0.02578,1147
0.02578,1145
0.02578,1136
0.02578,1142
0.02578,1144
0.02578,1147
0.02578,1186
0.02578,1146
0.02578,1186
0.02578,1182
0.02578,1156
0.02578,1178
0.02578,520
0.026539,1239
0.026539,1238
0.026539,1242
0.026539,1252
0.026539,1251
0.026539,1273
0.026539,1270
0.026539,1253
0.026539,1268
0.026539,1264
0.026539,1270
0.026539,1253
