frame,value
0,309
0.001082,278
0.002176,278
0.003003,379
0.003825,271
0.004624,460
0.005564,551
0.006369,476
0.007252,563
0.008068,563
0.008891,561
0.009734,759
0.0106,1066
0.011354,1255
0.012171,839
0.012951,746
0.013711,936
0.014486,949
0.015352,1119
0.016163,835
0.016951,1057
0.017777,1066
0.018594,1250
0.019414,1249
0.020228,1147
0.021073,1490
0.02184,1396
0.022716,1549
0.023516,1416
0.024272,1388
0.025029,1575
0.02578,1815
0.026539,1845
0.027294,1618
0.028074,1398
0.028931,1702
0.02972,1544
0.030485,1999
0.031255,1757
0.032042,1869
0.032858,2057
0.033645,1768
0.034414,1832
0.035174,1585
0.036004,1818
0.036791,1836
0.037664,1897
0.03847,2093
0.039229,2062
0.039989,2172
0.040772,2170
0.041533,2663
0.042284,2668
0.043049,2426
0.043812,2498
0.044584,2345
0.045377,2326
0.046133,2283
0.046905,2035
0.047747,2726
0.048549,2018
0.049315,2245
0.050095,1947
0.050921,2137
0.051675,1996
0.052426,2050
0.053189,1980
0.05402,2090
0.054803,1908
0.055584,2054
0.056368,2001
0.05715,2093
0.057909,2064
0.058693,2068
0.059465,2055
0.060223,1979
0.061021,1974
0.061776,1931
0.06256,1669
0.063332,1822
0.064082,1781
0.064842,1558
0.065595,1741
0.06641,1575
0.067188,1255
0.067945,1423
0.068728,1178
0.069494,1198
0.070254,1375
0.071051,1073
0.071806,956
0.072611,1047
0.07345,808
0.074407,708
0.075158,1088
0.075915,779
0.076668,1061
0.077436,959
0.078195,959
0.078987,1047
0.079764,1160
0.080522,949
0.081276,1075
0.082118,917
0.082898,915
0.083733,972
0.0845,1035
0.08542,1003
0.086171,1000
0.086936,932
0.08769,1179
0.088509,1374
0.089282,1401
0.090176,1026
0.090988,1051
0.091828,922
0.092638,855
0.09346,842
0.094246,665
0.095021,1050
0.095888,987
0.096766,984
0.097802,666
0.098656,594
0.099437,459
0.100195,648
0.100951,660
0.101709,533
0.102501,922
0.103275,792
0.104175,584
0.104941,506
0.105696,524
0.106469,706
0.107426,653
0.108262,637
0.109146,512
0.109901,770
0.110838,571
0.112073,696
0.113142,626
0.114348,704
0.115142,572
0.116165,501
0.117192,424
0.118094,904
0.119191,505
0.119957,658
0.120776,457
0.121596,601
0.122382,786
0.123203,666
0.123971,645
0.124772,696
0.125642,453
0.126428,452
0.127356,522
0.128121,440
0.128917,710
0.129724,593
0.130527,805
0.131413,591
0.132227,534
0.133031,548
0.13384,809
0.134775,914
0.135597,653
0.136364,652
0.137209,592
0.137965,548
0.13872,869
0.139527,707
0.140555,639
0.141311,915
0.142177,794
0.143021,862
0.143797,669
0.144579,661
0.145339,676
0.146162,626
0.146921,925
0.147677,819
0.148483,752
0.149285,751
0.150066,790
0.150839,828
0.151627,823
0.152438,902
0.153262,763
0.154049,848
0.154809,950
0.155585,918
0.15636,856
0.157138,1012
0.158014,936
0.158833,1034
0.159597,1036
0.160371,1076
0.161164,1118
0.161976,1092
0.162782,1056
0.163571,1024
0.164338,1002
0.165115,992
0.165905,998
0.166708,988
0.167531,955
0.168298,983
0.169094,907
0.169872,905
0.170662,908
0.171461,901
0.172271,901
0.173076,905
0.173899,891
0.174658,943
0.175416,928
0.176192,972
0.177004,980
0.177813,977
0.178612,781
0.179365,927
0.180352,888
0.181108,835
0.181939,735
0.182708,629
0.18354,675
0.184326,691
0.185103,921
0.185941,697
0.186736,529
0.187502,573
0.188448,773
0.1892,636
0.19,690
0.190811,832
0.191604,824
0.19236,772
0.193121,794
0.193902,629
0.194669,695
0.195482,672
0.196393,612
0.197176,448
0.197952,513
0.19876,377
0.199582,393
0.200336,359
0.201105,310
0.20188,298
0.202813,288
0.203745,243
0.204669,247
0.205519,250
0.206331,314
0.207152,377
0.207927,379
0.208706,326
0.209583,446
0.2104,467
0.211189,435
0.211957,452
0.212857,388
0.213707,389
0.214564,317
0.215543,238
0.216565,170
0.217323,170
0.218208,177
0.219407,109
0.220383,184
0.221744,110
0.222678,118
0.224325,111
0.225348,111
0.22649,110
0.227614,177
0.228949,111
0.229951,111
0.231099,114
0.232281,113
0.233582,100
0.234441,109
0.236096,109
0.237744,112
0.239648,114
0.24168,117
0.244392,108
0.245945,115
0.248593,107
0.250072,105
0.251502,160
0.25261,113
0.255257,108
0.256938,98
0.257911,169
0.259865,110
0.262075,94
0.263034,95
0.264054,94
0.265029,94
0.265989,94
0.266959,94
0.267924,94
0.268897,93
0.269871,94
0.27085,95
0.27183,94
0.272813,94
0.273798,94
0.274786,94
0.275776,95
0.276768,95
0.277763,95
0.27876,95
0.279759,95
0.28076,95
0.281764,95
0.28277,95
0.283778,111
0.286628,96
0.287698,95
0.288774,95
0.289775,97
0.290874,97
0.29208,95
0.293111,95
0.294151,95
0.295194,95
0.296236,95
0.297281,96
0.298327,95
0.299375,95
0.300424,95
0.301476,95
0.302531,96
0.303588,95
0.304649,96
0.305712,96
0.306778,96
0.307847,95
0.308919,95
0.309995,95
0.311073,105
0.3132,96
0.314269,96
0.315378,96
0.316489,95
0.317586,95
0.318696,96
0.319807,97
0.320923,97
0.322043,97
0.323167,97
0.324294,97
0.325424,97
0.326559,98
0.327697,97
0.328839,98
0.329984,98
0.331134,97
0.332288,97
0.333446,99
0.334748,97
0.335902,98
0.337069,97
0.338245,97
0.339423,97
0.340606,97
0.341793,96
0.342985,97
0.34418,97
0.345381,97
0.346586,97
0.347795,97
0.349009,97
0.350228,602
0.365903,838
0.379187,854
0.396258,1313
0.410017,1565
0.423224,1080
0.436828,1050
0.450166,1106
0.463026,1142
0.479075,1184
0.494644,1228
0.509163,1287
0.5234,1041
0.538284,1098
0.553107,1112
0.570804,1445
0.584766,1503
0.603214,812
0.616417,822
0.629023,839
0.643149,830
0.658963,810
0.672317,1473
0.688924,1425
0.7059,1089
0.72477,794
0.744249,773
0.761398,759
0.776752,468
0.79176,778
0.808226,823
0.826541,825
0.848402,771
0.865112,443
0.878286,455
0.895745,781
0.915695,463
0.931766,798
0.958975,716
0.971673,748
0.993043,413
1.007248,443
1.028166,685
1.050557,421
1.071061,668
1.094183,667
1.113322,655
1.131857,662
1.148456,670
1.16816,397
1.182627,671
1.202411,410
1.218684,416
1.236437,421
1.255557,697
1.282354,426
1.304173,394
1.3191,424
1.34019,401
1.355565,413
1.375104,403
1.391168,881
1.404977,1101
1.41846,1545
1.431023,1827
1.446227,2221
1.459259,2422
1.472431,2163
1.485461,2171
1.498586,2434
1.512829,3821
1.526493,2762
1.539408,1362
1.553647,1364
1.566301,2066
1.581468,2017
1.594639,1567
1.607654,1331
1.624642,1293
1.63892,1049
1.653089,1331
1.667858,1375
1.682432,1134
1.695341,1364
1.710746,1121
1.726163,875
1.739623,1152
1.756358,1174
1.772778,1445
1.785991,1210
1.801007,1201
1.816424,1188
1.8327,1136
1.846855,1129
1.861626,863
1.874858,1090
1.887396,1092
1.903106,828
1.915897,820
1.93018,777
1.945729,791
1.958232,814
1.972629,810
1.987776,1054
2.003268,1059
2.019376,846
2.034567,852
2.049453,1642
2.063449,1751
2.078066,1519
2.092868,2074
2.106059,2084
2.118993,5929
2.13166,7892
2.1445,8647
2.157134,7276
2.169879,5955
2.182662,4227
2.195632,4553
2.209092,1857
2.222024,1358
2.234732,1586
2.248455,1819
2.263752,1743
2.277132,1900
2.290168,2505
2.302724,1416
2.316398,1510
2.330617,1080
2.34419,1080
2.357748,1598
2.371624,1590
2.38449,1856
2.398145,2091
2.411519,1860
2.424447,2622
2.437695,1379
2.450744,1595
2.465716,1068
2.478928,1269
2.492375,1227
2.505286,968
2.51781,972
2.532147,985
2.54531,781
2.558577,1041
2.573257,1053
2.58889,1062
2.605557,845
2.620706,1080
2.633246,850
2.645859,867
2.662183,1116
2.676191,1151
2.689871,915
2.704585,1939
2.718332,4323
2.731785,4126
2.744362,4847
2.756959,4535
2.771197,2457
2.785493,1652
2.799201,1148
2.813992,1248
2.829607,779
2.84292,765
2.858473,734
2.872512,1056
2.887773,693
2.900363,1215
2.916741,1032
2.929732,1306
2.943516,848
2.956951,1114
2.970278,1130
2.983952,1390
2.999694,1408
3.013889,883
3.026933,1128
3.041422,1838
3.058306,1317
3.073913,1570
3.088626,1818
3.103906,1591
3.11688,1831
3.12979,1823
3.142937,1783
3.155485,1280
3.169193,799
3.183604,602
3.20014,614
3.214902,630
3.232432,383
3.246034,379
3.260848,392
3.277749,441
3.305136,403
3.323102,438
3.346943,402
3.363143,439
3.38338,458
3.409345,430
3.428881,735
3.459589,707
3.484943,709
3.513489,385
3.527776,387
3.542085,437
3.567394,389
3.581798,703
3.611499,667
3.63333,413
3.654914,694
3.683297,438
3.71171,685
3.738747,449
3.775248,654
3.810066,399
3.83438,663
3.873655,438
3.917565,431
3.967565,360
3.991758,422
