frame,value
0,1
0.001082,1.004786
0.002176,1.00999
0.002999,1.013471
0.003828,1.017111
0.004631,1.020385
0.005554,1.024058
0.006368,1.026939
0.007252,1.029868
0.00807,1.032168
0.00885,1.034251
0.00964,1.036092
0.010452,1.037785
0.011273,1.039373
0.012125,1.040897
0.012937,1.042231
0.013789,1.043504
0.014571,1.044621
0.015323,1.045628
0.016079,1.046782
0.016883,1.047609
0.017715,1.048381
0.018617,1.049196
0.019423,1.049835
0.020213,1.050383
0.020975,1.050836
0.021739,1.051263
0.022583,1.051782
0.023334,1.052572
0.024097,1.053068
0.024947,1.053198
0.025767,1.053275
0.026558,1.053345
0.027334,1.05344
0.028131,1.053439
0.028891,1.053405
0.029677,1.053316
0.03053,1.053264
0.031285,1.053281
0.032051,1.053669
0.03283,1.053694
0.033621,1.05398
0.034395,1.054392
0.035173,1.055046
0.03593,1.055789
0.036687,1.056706
0.037443,1.057941
0.038232,1.0593
0.038997,1.060816
0.039767,1.062566
0.040583,1.064577
0.041363,1.066361
0.042121,1.068269
0.042887,1.069881
0.043639,1.07151
0.044392,1.073036
0.045143,1.074582
0.045907,1.076124
0.046693,1.077325
0.04749,1.0789
0.048255,1.080469
0.049017,1.081731
0.049778,1.082763
0.05055,1.083446
0.051363,1.083791
0.052216,1.084011
0.052987,1.08412
0.053813,1.083994
0.054563,1.083724
0.055321,1.083492
0.056073,1.083164
0.056881,1.082959
0.057632,1.082745
0.058403,1.082513
0.05916,1.08235
0.059952,1.082177
0.060712,1.081985
0.061506,1.081693
0.062272,1.081475
0.063039,1.081285
0.063799,1.081054
0.064559,1.080807
0.06531,1.080702
0.066073,1.080714
0.06686,1.08039
0.067619,1.080092
0.068379,1.079732
0.069231,1.079383
0.070008,1.079015
0.070939,1.078521
0.071703,1.07804
0.072454,1.077484
0.073273,1.076849
0.07418,1.076241
0.074939,1.075709
0.075864,1.075112
0.076639,1.074599
0.077497,1.074059
0.07832,1.073581
0.079249,1.073136
0.080043,1.07274
0.080797,1.07248
0.081564,1.072307
0.082322,1.072032
0.083229,1.071735
0.084094,1.071557
0.084868,1.071528
0.085663,1.071469
0.086473,1.071581
0.087291,1.071796
0.088051,1.072364
0.088808,1.07312
0.089574,1.073685
0.090412,1.074164
0.091192,1.074561
0.092,1.074882
0.092802,1.07496
0.093552,1.074863
0.094317,1.074363
0.095086,1.07365
0.095873,1.072883
0.096776,1.07175
0.097679,1.07056
0.098501,1.069481
0.099298,1.068483
0.100218,1.067372
0.101206,1.066235
0.102021,1.065343
0.10296,1.064369
0.103729,1.063665
0.104481,1.062985
0.105243,1.062364
0.105994,1.061899
0.106931,1.061054
0.107883,1.060227
0.109608,1.05884
0.110385,1.058245
0.111337,1.057555
0.112201,1.056947
0.113399,1.056129
0.11439,1.055475
0.115282,1.054918
0.116202,1.054344
0.117143,1.053768
0.117919,1.053313
0.118683,1.052884
0.119602,1.052362
0.120451,1.051896
0.121318,1.051412
0.122136,1.051016
0.123447,1.050297
0.124228,1.049875
0.125326,1.0493
0.12646,1.048755
0.127259,1.048399
0.128091,1.048023
0.128997,1.047656
0.129882,1.047341
0.130803,1.047045
0.131574,1.04689
0.132504,1.046629
0.133409,1.046372
0.134208,1.046105
0.134958,1.045882
0.135823,1.045613
0.136601,1.045368
0.13737,1.045196
0.138196,1.044961
0.138978,1.044763
0.13978,1.044625
0.140715,1.044483
0.141507,1.044394
0.142274,1.044348
0.143043,1.044255
0.143973,1.044222
0.144749,1.044212
0.14554,1.044158
0.146356,1.044137
0.147115,1.044071
0.14789,1.044096
0.148731,1.044181
0.149541,1.044291
0.150393,1.044442
0.151162,1.044652
0.151985,1.044948
0.152736,1.045185
0.153499,1.045636
0.1543,1.045802
0.155115,1.045907
0.155879,1.04594
0.156729,1.045745
0.157534,1.045396
0.158332,1.044971
0.15909,1.044471
0.160027,1.043749
0.160789,1.04325
0.161546,1.042751
0.162308,1.042098
0.163076,1.041435
0.163846,1.040766
0.164658,1.040073
0.165426,1.039478
0.166212,1.038841
0.166971,1.038252
0.167737,1.037688
0.168515,1.037147
0.169294,1.036633
0.170064,1.036149
0.170842,1.03568
0.171626,1.035232
0.172421,1.034802
0.173224,1.034393
0.174085,1.033982
0.174859,1.033633
0.175667,1.033269
0.176422,1.032974
0.177206,1.032641
0.178003,1.032315
0.178769,1.032068
0.179591,1.031757
0.180365,1.031479
0.181125,1.031213
0.181903,1.03096
0.182656,1.030729
0.183418,1.030617
0.18417,1.030443
0.18495,1.030238
0.185718,1.030153
0.186475,1.029958
0.187297,1.029763
0.18806,1.029623
0.188825,1.029408
0.189583,1.029195
0.190355,1.028986
0.191117,1.028863
0.191873,1.028724
0.192684,1.028554
0.193436,1.028392
0.194234,1.028232
0.195033,1.02806
0.195872,1.027877
0.196639,1.027764
0.197411,1.027627
0.198273,1.027443
0.199084,1.02732
0.199966,1.027228
0.200748,1.027238
0.201567,1.027115
0.202386,1.027017
0.203222,1.027006
0.204115,1.026834
0.204987,1.026766
0.205896,1.026807
0.206696,1.026892
0.207542,1.026938
0.208297,1.026956
0.209181,1.026948
0.210048,1.026986
0.210841,1.027044
0.211657,1.027221
0.21242,1.027312
0.213281,1.027483
0.214045,1.02753
0.214891,1.027434
0.215753,1.027306
0.216684,1.027045
0.217561,1.026823
0.218316,1.026586
0.219499,1.026146
0.220547,1.02572
0.221361,1.025502
0.222858,1.024883
0.224553,1.024223
0.225595,1.024
0.22696,1.02359
0.228407,1.02315
0.23015,1.022677
0.231699,1.022317
0.232752,1.022163
0.233877,1.021977
0.235249,1.021705
0.236601,1.021456
0.238225,1.021137
0.239529,1.020933
0.241553,1.020537
0.243531,1.02018
0.245478,1.019849
0.246946,1.019657
0.249495,1.019235
0.251114,1.019031
0.252922,1.018778
0.255922,1.018312
0.257192,1.018208
0.260192,1.017793
0.26163,1.017667
0.26463,1.017283
0.266268,1.017133
0.269268,1.01678
0.271994,1.016477
0.274994,1.016164
0.277994,1.015866
0.27931,1.015797
0.28231,1.01553
0.28531,1.015271
0.28831,1.015025
0.29131,1.014787
0.293947,1.014596
0.29508,1.014557
0.297192,1.01444
0.300192,1.014233
0.303192,1.014035
0.306109,1.013849
0.309109,1.013666
0.312109,1.013488
0.315109,1.013319
0.318109,1.013158
0.320221,1.013069
0.322702,1.012951
0.325396,1.012825
0.328396,1.012685
0.331396,1.012544
0.334396,1.012412
0.337396,1.012286
0.340396,1.012167
0.343396,1.012049
0.345133,1.01201
0.348133,1.011897
0.351133,1.011784
0.366619,1.011555
0.379933,1.01226
0.395701,1.013577
0.41192,1.014768
0.425643,1.015829
0.439624,1.016657
0.456441,1.017499
0.472978,1.01789
0.491567,1.018233
0.506905,1.018403
0.523123,1.018589
0.537547,1.018792
0.55226,1.01869
0.571054,1.018726
0.587823,1.018591
0.601995,1.018642
0.620944,1.018606
0.634301,1.018449
0.649017,1.018531
0.665206,1.018631
0.681014,1.018866
0.695987,1.018722
0.709912,1.01877
0.725562,1.018876
0.745464,1.018939
0.762442,1.018862
0.780573,1.019053
0.795387,1.019111
0.811291,1.019032
0.835492,1.019467
0.855375,1.019684
0.877876,1.019819
0.903398,1.019953
0.926412,1.019913
0.944877,1.019897
0.965181,1.01972
0.986928,1.019733
1.010713,1.019859
1.03147,1.019882
1.046352,1.019682
1.062629,1.019692
1.091297,1.019844
1.104867,1.019791
1.133433,1.019877
1.165907,1.019942
1.189039,1.019893
1.202643,1.019835
1.233808,1.019895
1.257822,1.019913
1.286631,1.019933
1.314766,1.019877
1.339559,1.019882
1.358124,1.019859
1.380951,1.019854
1.403361,1.01993
1.417184,1.020089
1.431201,1.020282
1.444307,1.02067
1.459573,1.021021
1.474597,1.02145
1.488727,1.0218
1.502648,1.021976
1.517006,1.022028
1.531331,1.021988
1.545907,1.021992
1.559265,1.021944
1.573005,1.021975
1.586709,1.022201
1.602993,1.022223
1.617866,1.022277
1.632809,1.022412
1.647633,1.022628
1.661775,1.02292
1.676139,1.023145
1.690337,1.023367
1.704297,1.023536
1.718973,1.023252
1.735333,1.023036
1.750303,1.022703
