frame,value
0,0.003
0.001082,0.003
0.002176,0.003
0.002999,0.003
0.003828,0.003
0.004631,0.003
0.005554,0.003
0.006368,0.003
0.007252,0.003
0.00807,0.003
0.00885,0.003
0.00964,0.003
0.010452,0.003
0.011273,0.003
0.012125,0.003
0.012937,0.003
0.013789,0.003
0.014571,0.003
0.015323,0.003
0.016079,0.003
0.016883,0.003
0.017715,0.003
0.018617,0.003
0.019423,0.003
0.020213,0.003
0.020975,0.003
0.021739,0.003
0.022583,0.003
0.023334,0.003
0.024097,0.003
0.024947,0.003
0.025767,0.003
0.026558,0.003
0.027334,0.003
0.028131,0.003
0.028891,0.003
0.029677,0.003
0.03053,0.003
0.031285,0.003
0.032051,0.003
0.03283,0.003
0.033621,0.003
0.034395,0.003
0.035173,0.003
0.03593,0.003
0.036687,0.003
0.037443,0.003
0.038232,0.003
0.038997,0.003
0.039767,0.003
0.040583,0.003
0.041363,0.003
0.042121,0.003
0.042887,0.003
0.043639,0.003
0.044392,0.003
0.045143,0.003
0.045907,0.003
0.046693,0.003
0.04749,0.003
0.048255,0.003
0.049017,0.003
0.049778,0.003
0.05055,0.003
0.051363,0.003
0.052216,0.003
0.052987,0.003
0.053813,0.003
0.054563,0.003
0.055321,0.003
0.056073,0.003
0.056881,0.003
0.057632,0.003
0.058403,0.003
0.05916,0.003
0.059952,0.003
0.060712,0.003
0.061506,0.003
0.062272,0.003
0.063039,0.003
0.063799,0.003
0.064559,0.003
0.06531,0.003
0.066073,0.003
0.06686,0.003
0.067619,0.003
0.068379,0.003
0.069231,0.003
0.070008,0.003
0.070939,0.003
0.071703,0.003
0.072454,0.003
0.073273,0.003
0.07418,0.003
0.074939,0.003
0.075864,0.003
0.076639,0.003
0.077497,0.003
0.07832,0.003
0.079249,0.003
0.080043,0.003
0.080797,0.003
0.081564,0.003
0.082322,0.003
0.083229,0.003
0.084094,0.003
0.084868,0.003
0.085663,0.003
0.086473,0.003
0.087291,0.003
0.088051,0.003
0.088808,0.003
0.089574,0.003
0.090412,0.003
0.091192,0.003
0.092,0.003
0.092802,0.003
0.093552,0.003
0.094317,0.003
0.095086,0.003
0.095873,0.003
0.096776,0.003
0.097679,0.003
0.098501,0.003
0.099298,0.003
0.100218,0.003
0.101206,0.003
0.102021,0.003
0.10296,0.003
0.103729,0.003
0.104481,0.003
0.105243,0.003
0.105994,0.003
0.106931,0.003
0.107883,0.003
0.109608,0.003
0.110385,0.003
0.111337,0.003
0.112201,0.003
0.113399,0.003
0.11439,0.003
0.115282,0.003
0.116202,0.003
0.117143,0.003
0.117919,0.003
0.118683,0.003
0.119602,0.003
0.120451,0.003
0.121318,0.003
0.122136,0.003
0.123447,0.003
0.124228,0.003
0.125326,0.003
0.12646,0.003
0.127259,0.003
0.128091,0.003
0.128997,0.003
0.129882,0.003
0.130803,0.003
0.131574,0.003
0.132504,0.003
0.133409,0.003
0.134208,0.003
0.134958,0.003
0.135823,0.003
