frame,value
0,1
0.001082,1.132087
0.002176,1.144885
0.002999,1.144813
0.003828,1.14683
0.004631,1.14669
0.005554,1.148253
0.006368,1.148484
0.007252,1.148643
0.00807,1.148951
0.00885,1.1492
0.00964,1.1495
0.010452,1.149151
0.011273,1.149335
0.012125,1.149133
0.012937,1.149451
0.013789,1.149098
0.014571,1.149704
0.015323,1.149701
0.016079,1.149407
0.016883,1.149544
0.017715,1.149398
0.018617,1.149606
0.019423,1.149689
0.020213,1.149459
0.020975,1.149241
0.021739,1.149524
0.022583,1.149585
0.023334,1.149457
0.024097,1.149803
0.024947,1.149283
0.025767,1.149584
0.026558,1.149676
0.027334,1.149681
0.028131,1.149367
0.028891,1.149655
0.029677,1.149511
0.03053,1.149567
0.031285,1.149755
0.032051,1.149832
0.03283,1.149422
0.033621,1.149687
0.034395,1.14955
0.035173,1.149766
0.03593,1.149525
0.036687,1.149713
0.037443,1.14978
0.038232,1.149307
0.038997,1.14953
0.039767,1.149678
0.040583,1.149602
0.041363,1.149713
0.042121,1.149383
0.042887,1.14973
0.043639,1.149254
0.044392,1.149782
0.045143,1.149374
0.045907,1.149428
0.046693,1.149539
0.04749,1.149665
0.048255,1.149622
0.049017,1.149421
0.049778,1.149789
0.05055,1.1498
0.051363,1.149553
0.052216,1.14957
0.052987,1.149584
0.053813,1.149422
0.054563,1.149799
0.055321,1.149681
0.056073,1.149551
0.056881,1.149805
0.057632,1.14976
0.058403,1.149836
0.05916,1.149674
0.059952,1.149697
0.060712,1.149701
0.061506,1.149677
0.062272,1.149606
0.063039,1.149661
0.063799,1.149246
0.064559,1.149397
0.06531,1.149722
0.066073,1.149294
0.06686,1.149368
0.067619,1.149471
0.068379,1.149668
0.069231,1.149356
0.070008,1.149424
0.070939,1.149383
0.071703,1.149734
0.072454,1.149541
0.073273,1.149395
0.07418,1.14968
0.074939,1.149672
0.075864,1.149383
0.076639,1.149627
0.077497,1.149398
0.07832,1.14943
0.079249,1.14967
0.080043,1.149235
0.080797,1.149752
0.081564,1.149754
0.082322,1.149727
0.083229,1.149491
0.084094,1.149291
0.084868,1.149723
0.085663,1.149611
0.086473,1.1496
0.087291,1.149388
0.088051,1.149801
0.088808,1.14979
0.089574,1.14974
0.090412,1.149366
0.091192,1.149523
0.092,1.149396
0.092802,1.149638
0.093552,1.149714
0.094317,1.149293
0.095086,1.149325
0.095873,1.149797
0.096776,1.149283
0.097679,1.14952
0.098501,1.149309
0.099298,1.149585
0.100218,1.149398
0.101206,1.149376
0.102021,1.149282
0.10296,1.149275
0.103729,1.149741
0.104481,1.149732
0.105243,1.149794
0.105994,1.149733
0.106931,1.149483
0.107883,1.14942
0.109608,1.149406
0.110385,1.149292
0.111337,1.149117
0.112201,1.149354
0.113399,1.149426
0.11439,1.149213
0.115282,1.149064
0.116202,1.14946
0.117143,1.149204
0.117919,1.149174
0.118683,1.149641
0.119602,1.149268
0.120451,1.149624
0.121318,1.149444
0.122136,1.149707
0.123447,1.149392
0.124228,1.149262
0.125326,1.149284
0.12646,1.149319
0.127259,1.149474
0.128091,1.149372
0.128997,1.149432
0.129882,1.149197
0.130803,1.149233
0.131574,1.149727
0.132504,1.149294
0.133409,1.149082
0.134208,1.149366
0.134958,1.14964
0.135823,1.149232
0.136601,1.149523
0.13737,1.149643
0.138196,1.149379
0.138978,1.149334
0.13978,1.149585
0.140715,1.149296
0.141507,1.149396
0.142274,1.149728
0.143043,1.149679
0.143973,1.148959
0.144749,1.149466
0.14554,1.149114
0.146356,1.149069
0.147115,1.149376
0.14789,1.149591
0.148731,1.149597
0.149541,1.149523
0.150393,1.149047
0.151162,1.149328
0.151985,1.149477
0.152736,1.149342
0.153499,1.149057
0.1543,1.149472
0.155115,1.149328
0.155879,1.14969
0.156729,1.149373
0.157534,1.149586
0.158332,1.149598
0.15909,1.149623
0.160027,1.149293
0.160789,1.149739
0.161546,1.149766
0.162308,1.149273
0.163076,1.149705
0.163846,1.149571
0.164658,1.149548
0.165426,1.149799
0.166212,1.149508
0.166971,1.149497
0.167737,1.149486
0.168515,1.149463
0.169294,1.149464
0.170064,1.149466
0.170842,1.149456
0.171626,1.149452
0.172421,1.149447
0.173224,1.149432
0.174085,1.149447
0.174859,1.149586
0.175667,1.149595
0.176422,1.149814
0.177206,1.149555
0.178003,1.14955
0.178769,1.149817
0.179591,1.149492
0.180365,1.149242
0.181125,1.149352
0.181903,1.14964
0.182656,1.149464
0.183418,1.149797
0.18417,1.149703
0.18495,1.14967
0.185718,1.149441
0.186475,1.149484
0.187297,1.149385
0.18806,1.149724
0.188825,1.149301
0.189583,1.149481
0.190355,1.149184
0.191117,1.149739
0.191873,1.149492
0.192684,1.149591
0.193436,1.149487
0.194234,1.149254
0.195033,1.149361
0.195872,1.149371
0.196639,1.149583
0.197411,1.149484
0.198273,1.149268
0.199084,1.149203
0.199966,1.149173
0.200748,1.149267
0.201567,1.149159
0.202386,1.149033
0.203222,1.146853
0.204115,1.145757
0.204987,1.144086
0.205896,1.145574
0.206696,1.146508
0.207542,1.143935
0.208297,1.140928
0.209181,1.138038
0.210048,1.134214
0.210841,1.133413
0.211657,1.13955
0.21242,1.140977
0.213281,1.141367
0.214045,1.142065
0.214891,1.136653
0.215753,1.140177
0.216684,1.135905
0.217561,1.138543
0.218316,1.136619
0.219499,1.134531
0.220547,1.138474
0.221361,1.145347
0.222858,1.136428
0.224553,1.131302
0.225595,1.136718
0.22696,1.143652
0.228407,1.128556
0.23015,1.131724
0.231699,1.140391
0.232752,1.144113
0.233877,1.14381
0.235249,1.142712
0.236601,1.142812
0.238225,1.141629
0.239529,1.143012
0.241553,1.139861
0.243531,1.140482
0.245478,1.140446
0.246946,1.14176
0.249495,1.136606
0.251114,1.140805
0.252922,1.126684
0.255922,1.14014
0.257192,1.136491
0.260192,1.135234
0.26163,1.139641
0.26463,1.134343
0.266268,1.141782
0.269268,1.134151
0.271994,1.137894
0.274994,1.135121
0.277994,1.136311
0.27931,1.130997
0.28231,1.136378
0.28531,1.135615
0.28831,1.13587
0.29131,1.135743
0.293947,1.137332
0.29508,1.121076
0.297192,1.134226
0.300192,1.13513
0.303192,1.136285
0.306109,1.135617
0.309109,1.135562
0.312109,1.135682
0.315109,1.135493
0.318109,1.135587
0.320221,1.139367
0.322702,1.136859
0.325396,1.136409
0.328396,1.125131
0.331396,1.138644
0.334396,1.134794
0.337396,1.135546
0.340396,1.120983
0.343396,1.137638
0.345133,1.122538
0.348133,1.138249
0.351133,1.134516
0.366619,1.117071
0.379933,1.113167
0.395701,1.11299
0.41192,1.114408
0.425643,1.115769
0.439624,1.116752
0.456441,1.119498
0.472978,1.120986
0.491567,1.122252
0.506905,1.123133
0.523123,1.123727
0.537547,1.124107
0.55226,1.124271
0.571054,1.124025
0.587823,1.123617
0.601995,1.123492
0.620944,1.122914
0.634301,1.122652
0.649017,1.122886
0.665206,1.122823
0.681014,1.122999
0.695987,1.123404
0.709912,1.123064
0.725562,1.126946
0.745464,1.123337
0.762442,1.123247
0.780573,1.123862
0.795387,1.123638
0.811291,1.123427
0.835492,1.124192
0.855375,1.124292
0.877876,1.124519
0.903398,1.124967
0.926412,1.125685
0.944877,1.12634
0.965181,1.12602
0.986928,1.127145
1.010713,1.128241
1.03147,1.128664
1.046352,1.128881
1.062629,1.129331
1.091297,1.129681
1.104867,1.130196
1.133433,1.130898
1.165907,1.131488
1.189039,1.131718
1.202643,1.132029
1.233808,1.132246
1.257822,1.132503
1.286631,1.13247
1.314766,1.133039
1.339559,1.133136
1.358124,1.133107
1.380951,1.133348
1.403361,1.133787
1.417184,1.13457
1.431201,1.134422
1.444307,1.134158
1.459573,1.133493
1.474597,1.133047
1.488727,1.131836
1.502648,1.132342
1.517006,1.132822
1.531331,1.132907
1.545907,1.132775
1.559265,1.132501
1.573005,1.132896
1.586709,1.133252
1.602993,1.141937
1.617866,1.133574
1.632809,1.133233
1.647633,1.134293
1.661775,1.131793
1.676139,1.130543
1.690337,1.129808
1.704297,1.129966
1.718973,1.132373
1.735333,1.134281
1.750303,1.135673
1.763916,1.136356
1.7807,1.136437
1.795227,1.136458
1.808545,1.135971
1.821827,1.136056
1.836606,1.135732
1.851602,1.135426
1.868103,1.134977
1.883282,1.134211
1.900175,1.133514
1.914957,1.132225
1.929415,1.130403
1.945485,1.126866
1.959336,1.125868
1.97444,1.127781
1.987886,1.128706
2.002213,1.128507
2.016948,1.128262
2.032377,1.13094
2.048775,1.133706
2.062473,1.13433
2.079923,1.134868
2.094071,1.135196
2.108198,1.135105
2.121726,1.134444
2.135215,1.148603
2.148328,1.149138
2.161733,1.147452
2.174881,1.148809
2.188231,1.14895
2.201739,1.143891
2.217275,1.142863
2.231083,1.142454
2.24662,1.141571
2.260762,1.141935
2.275539,1.142206
2.289515,1.142378
2.306557,1.142437
2.32187,1.142308
2.335443,1.142441
2.350408,1.142265
2.363529,1.141875
2.378926,1.141104
2.391978,1.140315
2.405213,1.139639
2.418975,1.138882
2.433168,1.138018
2.447563,1.137565
2.460674,1.136639
2.474381,1.136104
2.490221,1.134672
2.503344,1.133598
2.518118,1.132316
2.532697,1.131056
2.547595,1.129227
2.56417,1.1277
2.580246,1.126024
2.593542,1.127693
2.607096,1.128899
2.621128,1.130105
2.639692,1.130661
2.652807,1.129989
2.669178,1.131091
2.686305,1.131569
2.702465,1.131698
2.716081,1.136287
2.729684,1.146114
2.742773,1.14893
2.755941,1.149754
2.769096,1.14635
2.78284,1.138828
2.798164,1.135147
2.811316,1.134766
2.826608,1.134729
2.84211,1.135187
2.855699,1.135605
2.871567,1.135778
2.88515,1.136902
2.90162,1.137235
2.914815,1.138607
2.928447,1.138732
2.942131,1.140017
2.955546,1.139232
2.969539,1.139407
2.983032,1.139877
2.9965,1.139913
3.012004,1.139211
3.028366,1.138529
3.042894,1.138227
3.05812,1.137216
3.074374,1.136283
3.089009,1.135652
3.102765,1.13506
3.115957,1.134593
3.129583,1.133635
3.142591,1.133323
3.157958,1.13325
3.172164,1.132765
3.18688,1.132402
3.20182,1.131901
3.215969,1.131512
3.234505,1.131043
3.250459,1.129766
3.265913,1.12972
3.279543,1.129739
3.299278,1.12928
3.319876,1.129559
3.336627,1.129819
3.354596,1.129803
3.372804,1.129873
3.396875,1.128918
3.415716,1.127826
3.440544,1.129678
3.458731,1.129957
3.478118,1.130362
3.517758,1.130885
3.563543,1.133599
3.605492,1.130118
3.623117,1.134683
