frame,value
0,3
0.001082,2
0.002176,2
0.002999,3
0.003828,2
0.004631,4
0.005554,5
0.006368,4
0.007252,5
0.00807,6
0.00885,9
0.00964,9
0.010452,9
0.011273,9
0.012125,7
0.012937,9
0.013789,11
0.014571,11
0.015323,16
0.016079,12
0.016883,13
0.017715,12
0.018617,9
0.019423,9
0.020213,11
0.020975,13
0.021739,10
0.022583,10
0.023334,12
0.024097,14
0.024947,13
0.025767,12
0.026558,15
0.027334,11
0.028131,15
0.028891,12
0.029677,13
0.03053,15
0.031285,14
0.032051,15
0.03283,16
0.033621,12
0.034395,15
0.035173,16
0.03593,15
0.036687,16
0.037443,15
0.038232,18
0.038997,17
0.039767,17
0.040583,19
0.041363,20
0.042121,20
0.042887,20
0.043639,20
0.044392,18
0.045143,21
0.045907,16
0.046693,17
0.04749,18
0.048255,14
0.049017,18
0.049778,18
0.05055,17
0.051363,18
0.052216,19
0.052987,20
0.053813,17
0.054563,17
0.055321,17
0.056073,20
0.056881,16
0.057632,17
0.058403,19
0.05916,16
0.059952,16
0.060712,15
0.061506,17
0.062272,14
0.063039,18
0.063799,17
0.064559,22
0.06531,14
0.066073,14
0.06686,17
0.067619,16
0.068379,15
0.069231,13
0.070008,13
0.070939,14
0.071703,11
0.072454,10
0.073273,9
0.07418,7
0.074939,9
0.075864,9
0.076639,11
0.077497,8
0.07832,10
0.079249,8
0.080043,10
0.080797,10
0.081564,11
0.082322,13
0.083229,13
0.084094,14
0.084868,13
0.085663,13
0.086473,14
0.087291,11
0.088051,10
0.088808,13
0.089574,17
0.090412,11
0.091192,10
0.092,10
0.092802,12
0.093552,10
0.094317,9
0.095086,14
0.095873,11
0.096776,11
0.097679,10
0.098501,12
0.099298,11
0.100218,13
0.101206,12
0.102021,9
0.10296,9
0.103729,8
0.104481,9
0.105243,8
0.105994,10
0.106931,13
0.107883,10
0.109608,6
0.110385,8
0.111337,10
0.112201,11
0.113399,6
0.11439,11
0.115282,10
0.116202,7
0.117143,9
0.117919,12
0.118683,8
0.119602,9
0.120451,9
0.121318,8
0.122136,12
0.123447,6
0.124228,11
0.125326,10
0.12646,12
0.127259,10
0.128091,10
0.128997,11
0.129882,11
0.130803,13
0.131574,12
0.132504,10
0.133409,8
0.134208,11
0.134958,10
0.135823,9
0.136601,10
0.13737,9
0.138196,11
0.138978,10
0.13978,10
0.140715,11
0.141507,11
0.142274,10
0.143043,9
0.143973,11
0.144749,8
0.14554,8
0.146356,12
0.147115,13
0.14789,12
0.148731,11
0.149541,9
0.150393,10
0.151162,12
0.151985,9
0.152736,12
0.153499,12
0.1543,11
0.155115,11
0.155879,13
0.156729,10
0.157534,7
0.158332,11
0.15909,8
0.160027,10
0.160789,8
0.161546,10
0.162308,14
0.163076,13
0.163846,13
0.164658,12
0.165426,12
0.166212,11
0.166971,11
0.167737,11
0.168515,11
0.169294,11
0.170064,11
0.170842,11
0.171626,11
0.172421,11
0.173224,11
0.174085,13
0.174859,15
0.175667,14
0.176422,14
0.177206,13
0.178003,12
0.178769,12
0.179591,9
0.180365,11
0.181125,7
0.181903,11
0.182656,10
0.183418,8
0.18417,10
0.18495,8
0.185718,10
0.186475,7
0.187297,8
0.18806,8
0.188825,9
0.189583,7
0.190355,10
0.191117,12
0.191873,13
0.192684,11
0.193436,11
0.194234,10
0.195033,9
0.195872,9
0.196639,8
0.197411,8
0.198273,7
0.199084,7
0.199966,6
0.200748,6
0.201567,5
0.202386,4
0.203222,4
0.204115,5
0.204987,4
0.205896,4
0.206696,5
0.207542,4
0.208297,6
0.209181,6
0.210048,6
0.210841,6
0.211657,6
0.21242,5
0.213281,5
0.214045,5
0.214891,5
0.215753,3
0.216684,2
0.217561,2
0.218316,2
0.219499,1
0.220547,1
0.221361,2
0.222858,2
0.224553,1
0.225595,1
0.22696,2
0.228407,1
0.23015,1
0.231699,1
0.232752,1
0.233877,1
0.235249,1
0.236601,1
0.238225,1
0.239529,1
0.241553,1
0.243531,1
0.245478,1
0.246946,1
0.249495,1
0.251114,1
0.252922,1
0.255922,1
0.257192,1
0.260192,1
0.26163,1
0.26463,1
0.266268,1
0.269268,1
0.271994,1
0.274994,1
0.277994,1
0.27931,1
0.28231,1
0.28531,1
0.28831,1
0.29131,1
0.293947,1
0.29508,1
0.297192,1
0.300192,1
0.303192,1
0.306109,1
0.309109,1
0.312109,1
0.315109,1
0.318109,1
0.320221,1
0.322702,1
0.325396,1
0.328396,1
0.331396,1
0.334396,1
0.337396,1
0.340396,1
0.343396,2
0.345133,1
0.348133,1
0.351133,2
0.366619,2
0.379933,3
0.395701,4
0.41192,4
0.425643,3
0.439624,4
0.456441,5
0.472978,4
0.491567,4
0.506905,2
0.523123,2
0.537547,3
0.55226,4
0.571054,4
0.587823,3
0.601995,2
0.620944,3
0.634301,3
0.649017,2
0.665206,2
0.681014,2
0.695987,1
0.709912,3
0.725562,3
0.745464,2
0.762442,2
0.780573,1
0.795387,2
0.811291,3
0.835492,2
0.855375,2
0.877876,2
0.903398,2
0.926412,1
0.944877,1
0.965181,2
0.986928,2
1.010713,1
1.03147,2
1.046352,2
1.062629,2
1.091297,1
1.104867,2
1.133433,2
1.165907,2
1.189039,1
1.202643,2
1.233808,2
1.257822,2
1.286631,2
1.314766,3
1.339559,2
1.358124,2
1.380951,2
1.403361,4
1.417184,6
1.431201,10
1.444307,9
1.459573,8
1.474597,4
1.488727,4
1.502648,7
1.517006,9
1.531331,7
1.545907,7
1.559265,6
1.573005,7
1.586709,9
1.602993,7
1.617866,6
1.632809,6
1.647633,6
1.661775,6
1.676139,5
1.690337,3
1.704297,5
1.718973,4
1.735333,4
1.750303,3
1.763916,4
1.7807,4
1.795227,3
1.808545,3
1.821827,3
1.836606,4
1.851602,4
1.868103,4
1.883282,4
1.900175,5
1.914957,5
1.929415,4
1.945485,4
1.959336,3
1.97444,5
1.987886,5
2.002213,3
2.016948,4
2.032377,4
2.048775,3
2.062473,5
2.079923,5
2.094071,7
2.108198,7
2.121726,36
2.135215,47
2.148328,51
2.161733,42
2.174881,57
2.188231,21
2.201739,13
2.217275,8
2.231083,7
2.24662,8
2.260762,7
2.275539,6
2.289515,5
2.306557,4
2.32187,4
2.335443,6
2.350408,4
2.363529,6
2.378926,10
2.391978,9
2.405213,10
2.418975,10
2.433168,6
2.447563,5
2.460674,4
2.474381,6
2.490221,4
2.503344,4
2.518118,4
2.532697,4
2.547595,4
