frame,value
0,0
0,0
0,0
0,0
0.001083,0
0.001083,0
0.001083,0
0.002177,0
0.002177,0
0.002177,0
0.003002,0
0.003002,0
0.003002,0
0.003002,0
0.003827,1
0.003827,2
0.003827,2
0.004628,2
0.004628,2
0.004628,2
0.004628,2
0.004628,2
0.005551,2
0.005551,2
0.005551,3
0.005551,6
0.005551,6
0.005551,6
0.006372,6
0.006372,6
0.006372,6
0.006372,6
0.006372,4
0.007255,5
0.007255,6
0.007255,6
0.007255,6
0.007255,6
0.007255,6
0.007255,6
0.00813,6
0.00813,6
0.00813,6
0.00813,6
0.00813,7
0.00813,8
0.008931,8
0.008931,8
0.008931,8
0.008931,8
0.008931,8
0.008931,8
0.008931,8
0.008931,9
0.009808,10
0.009808,10
0.009808,10
0.009808,10
0.009808,10
0.009808,10
0.009808,10
0.009808,10
0.010589,10
0.010589,10
0.010589,10
0.010589,10
0.010589,10
0.010589,10
0.010589,10
0.010589,10
0.010589,10
0.010589,10
0.010589,10
0.011369,10
0.011369,10
0.011369,10
0.011369,10
0.011369,10
0.011369,10
0.011369,10
0.011369,13
0.011369,14
0.011369,14
0.011369,14
0.011369,14
0.011369,14
0.012191,12
0.012191,13
0.012191,14
0.012191,14
0.012191,12
0.012191,13
0.012191,16
0.012191,18
0.012191,18
0.012946,18
0.012946,18
0.012946,18
0.012946,18
0.012946,18
0.012946,18
0.012946,18
0.012946,18
0.012946,18
0.012946,18
0.012946,18
0.013866,18
0.013866,18
0.013866,18
0.013866,18
0.013866,19
0.013866,20
0.013866,20
0.013866,20
0.013866,20
0.013866,20
0.01469,18
0.01469,18
0.01469,18
0.01469,18
0.01469,18
0.01469,18
0.01469,16
0.01469,16
0.015441,16
0.015441,16
0.015441,16
0.015441,16
0.015441,16
0.015441,17
0.015441,18
0.015441,18
0.015441,18
0.015441,18
0.015441,18
0.015441,18
0.016299,18
0.016299,19
0.016299,16
0.016299,17
0.016299,18
0.016299,20
0.016299,22
0.016299,22
0.016299,22
0.016299,22
0.016299,22
0.017095,20
0.017095,20
0.017095,20
0.017095,20
0.017095,20
0.017095,20
0.017095,20
0.017095,22
0.017095,24
0.017095,27
0.017845,28
0.017845,28
0.017845,28
0.017845,28
0.017845,28
0.017845,28
0.017845,28
0.017845,29
0.017845,28
0.017845,29
0.018601,31
0.018601,32
0.018601,32
0.018601,32
0.018601,32
0.018601,32
0.018601,30
0.018601,30
0.018601,30
0.018601,30
0.018601,28
0.018601,28
0.019383,28
0.019383,32
0.019383,30
0.019383,30
0.019383,30
0.019383,30
0.019383,31
0.019383,32
0.019383,32
0.019383,32
0.019383,32
0.020142,32
0.020142,32
0.020142,32
0.020142,32
0.020142,32
