frame,value
0,0.02382367
0,0.02538416
0,0.02934721
0,0.02985946
0.001083,0.0333372
0.001083,0.03260947
0.001083,0.02575177
0.002177,0.03276899
0.002177,0.02998827
0.002177,0.0241669
0.003002,0.03184734
0.003002,0.02832414
0.003002,0.02788829
0.003002,0.02695338
0.003827,0.03048955
0.003827,0.02949738
0.003827,0.02199036
0.004628,0.0318121
0.004628,0.02812766
0.004628,0.026087
0.004628,0.0261928
0.004628,0.0185558
0.005551,0.0269934
0.005551,0.02532231
0.005551,0.02565172
0.005551,0.02605204
0.005551,0.0270834
0.005551,0.0175621
0.006372,0.02759444
0.006372,0.02902608
0.006372,0.02573715
0.006372,0.02608859
0.006372,0.01728656
0.007255,0.02764273
0.007255,0.02667532
0.007255,0.02599314
0.007255,0.02573235
0.007255,0.02570173
0.007255,0.02531022
0.007255,0.01655294
0.00813,0.02626284
0.00813,0.02557229
0.00813,0.02541128
0.00813,0.02476375
0.00813,0.02441252
0.00813,0.018932
0.008931,0.02659504
0.008931,0.02653344
0.008931,0.02675964
0.008931,0.02711601
0.008931,0.02732352
0.008931,0.02641508
0.008931,0.02634487
0.008931,0.01903136
0.009808,0.02625782
0.009808,0.02513923
0.009808,0.0254317
0.009808,0.02655733
0.009808,0.02695616
0.009808,0.02950362
0.009808,0.03143629
0.009808,0.01878954
0.010589,0.03257992
0.010589,0.03371131
0.010589,0.03394495
0.010589,0.03322925
0.010589,0.03289643
0.010589,0.02767151
0.010589,0.02407414
0.010589,0.0227499
0.010589,0.02259318
0.010589,0.02226948
0.010589,0.01851502
0.011369,0.02656156
0.011369,0.02477368
0.011369,0.0252798
0.011369,0.0251253
0.011369,0.02502104
0.011369,0.02460509
0.011369,0.02446653
0.011369,0.02392628
0.011369,0.02409901
0.011369,0.02443876
0.011369,0.02410175
0.011369,0.02381344
0.011369,0.01833333
0.012191,0.02530198
0.012191,0.02255535
0.012191,0.02290328
0.012191,0.02410719
0.012191,0.02318665
0.012191,0.02397093
0.012191,0.02354287
0.012191,0.02202256
0.012191,0.01720017
0.012946,0.02788684
0.012946,0.02622456
0.012946,0.02256269
0.012946,0.02311326
0.012946,0.02498404
0.012946,0.02367406
0.012946,0.02134107
0.012946,0.02398873
0.012946,0.02656784
0.012946,0.02462004
0.012946,0.02161657
0.013866,0.02341807
0.013866,0.02469938
0.013866,0.02467323
0.013866,0.0229702
0.013866,0.02309213
0.013866,0.02345392
0.013866,0.02290835
0.013866,0.02161867
0.013866,0.02156061
0.013866,0.01903656
0.01469,0.02344493
0.01469,0.02192891
0.01469,0.02199418
0.01469,0.02253613
0.01469,0.02236197
0.01469,0.02160984
0.01469,0.02163066
0.01469,0.02016879
0.015441,0.02388765
0.015441,0.02182556
0.015441,0.02222415
0.015441,0.02164579
0.015441,0.02198045
0.015441,0.02378712
0.015441,0.02156829
0.015441,0.02063164
0.015441,0.02170628
0.015441,0.02040296
0.015441,0.02098748
0.015441,0.01970949
0.016299,0.02356393
0.016299,0.02175196
0.016299,0.02213356
0.016299,0.02187585
0.016299,0.02212917
0.016299,0.02032827
0.016299,0.02153801
0.016299,0.02136174
0.016299,0.02163691
0.016299,0.02128627
0.016299,0.01890104
0.017095,0.02315034
0.017095,0.022973
0.017095,0.02121091
0.017095,0.0215797
0.017095,0.02183855
0.017095,0.02159508
0.017095,0.02177718
0.017095,0.02152321
0.017095,0.02265451
0.017095,0.01859541
0.017845,0.0253294
0.017845,0.02373588
0.017845,0.02264607
0.017845,0.02435136
0.017845,0.02402937
0.017845,0.02354613
0.017845,0.02274709
0.017845,0.02376366
0.017845,0.02177141
0.017845,0.02002778
0.018601,0.02235247
0.018601,0.02532355
0.018601,0.02143346
0.018601,0.0216272
0.018601,0.0207654
0.018601,0.02400599
0.018601,0.02082399
0.018601,0.0233335
0.018601,0.02100996
0.018601,0.0203675
0.018601,0.01989144
0.018601,0.01813867
0.019383,0.02223934
0.019383,0.02470381
0.019383,0.02138457
0.019383,0.02237719
0.019383,0.02062142
0.019383,0.02269569
0.019383,0.02101719
0.019383,0.02046258
0.019383,0.019604
0.019383,0.01956823
0.019383,0.01838399
0.020142,0.02201292
0.020142,0.0216135
0.020142,0.02144419
0.020142,0.02112047
0.020142,0.02233176
0.020142,0.02088864
0.020142,0.02058649
0.020142,0.01961124
0.020142,0.01951036
0.020142,0.01982238
0.020142,0.01954686
0.020142,0.01900887
0.020908,0.02228302
0.020908,0.0212331
0.020908,0.02141105
0.020908,0.02134095
0.020908,0.02112106
0.020908,0.0203357
0.020908,0.02021642
0.020908,0.02050841
0.020908,0.02002537
0.020908,0.01936811
0.021687,0.02191783
0.021687,0.0208334
0.021687,0.0207199
0.021687,0.02043237
0.021687,0.02023161
0.021687,0.02111815
0.021687,0.02006551
0.021687,0.02004753
0.021687,0.02015317
0.021687,0.01997028
0.021687,0.0201567
0.021687,0.01997741
0.022452,0.02608365
0.022452,0.02388902
0.022452,0.02180914
0.022452,0.02145936
0.022452,0.02129164
0.022452,0.02524353
0.022452,0.02403027
0.022452,0.01975339
0.022452,0.01988922
0.022452,0.01969458
0.023209,0.02280687
0.023209,0.02172721
0.023209,0.02174399
0.023209,0.02307137
0.023209,0.02188229
0.023209,0.02013233
0.023209,0.02041533
0.023209,0.02176149
0.023209,0.02094113
0.023209,0.01943603
0.023209,0.01974298
0.023209,0.02123023
0.023209,0.0203371
0.023209,0.01855761
0.024055,0.02223892
0.024055,0.02216581
0.024055,0.02176172
0.024055,0.02083657
0.024055,0.02073824
0.024055,0.02095708
0.024055,0.01996426
0.024055,0.02025417
0.024055,0.0203158
0.024055,0.02013599
