frame,value
0,0
0,0
0,0
0,0
0.001083,0
0.001083,0
0.001083,0
0.002177,1
0.002177,1
0.002177,0
0.003002,2
0.003002,3
0.003002,5
0.003002,5
0.003827,7
0.003827,7
0.003827,8
0.004628,8
0.004628,8
0.004628,8
0.004628,8
0.004628,9
0.005551,10
0.005551,10
0.005551,14
0.005551,13
0.005551,13
0.005551,13
0.006372,14
0.006372,10
0.006372,9
0.006372,9
0.006372,8
0.007255,11
0.007255,10
0.007255,14
0.007255,15
0.007255,18
0.007255,17
0.007255,22
0.00813,21
0.00813,23
0.00813,22
0.00813,23
0.00813,22
0.00813,27
0.008931,28
0.008931,33
0.008931,36
0.008931,41
0.008931,40
0.008931,44
0.008931,44
0.008931,48
0.009808,48
0.009808,54
0.009808,56
0.009808,54
0.009808,53
0.009808,55
0.009808,55
0.009808,55
0.010589,55
0.010589,61
0.010589,61
0.010589,63
0.010589,62
0.010589,62
0.010589,65
0.010589,63
0.010589,65
0.010589,71
0.010589,72
0.011369,74
0.011369,79
0.011369,79
0.011369,77
0.011369,77
0.011369,75
0.011369,73
0.011369,75
0.011369,81
0.011369,80
0.011369,81
0.011369,82
0.011369,84
0.012191,87
0.012191,95
0.012191,92
0.012191,84
0.012191,82
0.012191,77
0.012191,80
0.012191,83
0.012191,86
0.012946,89
0.012946,91
0.012946,95
0.012946,96
0.012946,102
0.012946,99
0.012946,94
0.012946,95
0.012946,97
0.012946,98
0.012946,95
0.013866,94
0.013866,96
0.013866,96
0.013866,106
0.013866,109
0.013866,117
0.013866,117
0.013866,126
0.013866,131
0.013866,131
0.01469,129
0.01469,135
0.01469,132
0.01469,133
0.01469,137
0.01469,139
0.01469,137
0.01469,140
0.015441,144
0.015441,145
0.015441,149
0.015441,150
0.015441,149
0.015441,145
0.015441,148
0.015441,168
0.015441,168
0.015441,175
0.015441,175
0.015441,179
0.016299,183
0.016299,187
0.016299,184
0.016299,187
0.016299,189
0.016299,199
0.016299,202
0.016299,207
0.016299,214
0.016299,214
0.016299,215
0.017095,219
0.017095,221
0.017095,218
0.017095,218
0.017095,214
0.017095,215
0.017095,217
0.017095,216
0.017095,223
0.017095,220
0.017845,224
0.017845,232
0.017845,231
0.017845,237
0.017845,238
0.017845,228
0.017845,228
0.017845,230
0.017845,232
0.017845,233
0.018601,232
0.018601,243
0.018601,242
0.018601,244
0.018601,244
0.018601,237
0.018601,235
0.018601,228
0.018601,232
0.018601,233
0.018601,246
0.018601,245
0.019383,244
0.019383,246
0.019383,245
0.019383,250
0.019383,249
0.019383,271
0.019383,276
0.019383,276
0.019383,275
0.019383,283
0.019383,287
0.020142,300
0.020142,296
0.020142,302
0.020142,296
0.020142,295
