frame,value
0,0.3609018
0.001083,0.3649071
0.002177,0.2748319
0.003002,0.2749158
0.003827,0.2671895
0.004628,0.3075987
0.005551,0.2735636
0.006372,0.294284
0.007255,0.2917071
0.00813,0.2670535
0.008931,0.2922612
0.009808,0.2603043
0.010589,0.2601495
0.011369,0.2741561
0.012191,0.2515826
0.012946,0.3065846
0.013866,0.2745415
0.01469,0.2505248
0.015441,0.2860646
0.016299,0.2651534
0.017095,0.2500257
0.017845,0.2518966
0.018601,0.2607143
0.019383,0.2531682
0.020142,0.2552687
0.020908,0.2596638
0.021687,0.2550225
0.022452,0.2522591
0.023209,0.2821209
0.024055,0.2591391
0.024833,0.2895681
0.025701,0.253593
0.026462,0.2618948
0.027248,0.279864
0.028087,0.2569444
0.028858,0.2542384
0.029621,0.2518784
0.030377,0.2761501
0.031205,0.2939622
0.032087,0.2535522
0.032848,0.2505448
0.033599,0.2509248
0.034352,0.2848288
0.035206,0.2611776
0.03599,0.2575888
0.036763,0.2573873
0.037535,0.2565756
0.038305,0.2727909
0.039123,0.2685292
0.039929,0.2644743
0.040722,0.2605948
0.041504,0.261512
0.042288,0.2501929
0.043039,0.2530439
0.043798,0.2500461
0.044548,0.2555982
0.045315,0.2642404
0.046108,0.2539112
0.046869,0.2502769
0.04762,0.2584345
0.048396,0.2581613
0.04917,0.2550026
0.049935,0.2590559
0.050712,0.2517777
0.051468,0.2569191
0.052238,0.2757612
0.053066,0.2694614
0.053874,0.2655294
0.054671,0.2628993
0.055459,0.2601462
0.05624,0.2665151
0.057039,0.2522238
0.057796,0.254888
0.058561,0.2728663
0.059379,0.2512293
0.060133,0.2654535
0.060929,0.251917
0.061685,0.2624901
0.062473,0.2521383
0.063229,0.2710528
0.064042,0.2619871
0.064828,0.2739816
0.06565,0.2760425
0.066478,0.2594734
0.067257,0.2566726
0.068027,0.2501175
0.068777,0.2544309
0.06954,0.2822099
0.070387,0.2509189
0.07114,0.2700747
0.07195,0.2521078
0.072706,0.2536055
0.073467,0.2841145
0.074319,0.2549672
0.075084,0.2997124
0.075983,0.2672939
0.076785,0.2575928
0.077558,0.26236
0.078345,0.2595297
0.079124,0.2738777
0.079945,0.2598196
0.080725,0.2640967
0.081517,0.2505362
0.082269,0.2818702
0.083114,0.2721806
0.083931,0.2637107
0.084722,0.2642408
0.085515,0.2697116
0.086324,0.2519768
0.08708,0.2535676
0.08784,0.2645795
0.088634,0.2788388
0.089471,0.2948901
0.090355,0.2540211
0.091117,0.2540406
0.09188,0.252647
0.092637,0.2593496
0.093416,0.2676568
0.094219,0.2614103
0.095003,0.2841533
0.095855,0.309457
0.096784,0.2585166
0.097559,0.2522295
0.098316,0.2511736
0.099069,0.2711788
0.099883,0.2729817
0.100702,0.2568996
0.101473,0.2717754
0.102288,0.2910375
0.103161,0.2614799
0.103945,0.2821261
0.104792,0.2721611
0.105608,0.25759
0.106381,0.2735603
0.107202,0.2556542
0.107969,0.3606332
0.109051,0.3088255
0.109977,0.2980997
0.110871,0.2546707
0.111635,0.2533954
0.112396,0.2515595
0.11315,0.3472364
0.114192,0.2572665
0.114964,0.2613085
0.115748,0.4147554
0.116992,0.3458423
0.118029,0.3726855
0.119147,0.2620439
0.119934,0.255258
0.120699,0.2707405
0.121512,0.3548997
0.122576,0.3448853
0.123611,0.2528344
0.124369,0.3467207
0.12541,0.2668934
0.12621,0.2517917
0.126966,0.2652498
0.127761,0.2839033
0.128613,0.2597499
0.129392,0.272728
0.130211,0.2786987
0.131047,0.298868
0.131943,0.2598574
0.132723,0.2509978
0.133476,0.252165
0.134232,0.2668958
0.135033,0.2512187
0.135787,0.3255935
0.136763,0.2535083
0.137524,0.250206
0.138275,0.2690086
0.139082,0.2882233
0.139946,0.2620254
0.140732,0.2697845
0.141542,0.2547456
0.142306,0.3165398
0.143256,0.2569758
0.144027,0.2865622
0.144886,0.2523531
0.145643,0.2958814
0.146531,0.2711904
0.147344,0.2560263
0.148113,0.2811298
0.148956,0.2742022
0.149779,0.2561861
0.150547,0.2760626
0.151375,0.2579903
0.152149,0.2622363
0.152936,0.26887
0.153743,0.2620965
0.154529,0.3056208
0.155446,0.276146
0.156274,0.2519028
0.15703,0.2669384
0.157831,0.2515213
0.158585,0.2724968
0.159403,0.2581001
0.160177,0.250704
0.160929,0.3471908
0.161971,0.2593117
0.162749,0.2545679
0.163512,0.2520236
0.164268,0.2868698
0.165129,0.281754
0.165974,0.2719443
0.16679,0.2764308
0.167619,0.2814694
0.168464,0.2844619
0.169317,0.2528525
0.170076,0.2767463
0.170906,0.280236
0.171747,0.2754586
0.172573,0.2794514
0.173411,0.2504679
0.174163,0.2922089
0.17504,0.2713533
0.175854,0.2560972
0.176622,0.26812
0.177426,0.2672403
0.178228,0.2676086
0.179031,0.267797
0.179834,0.2556878
0.180601,0.2930138
0.18148,0.2548879
0.182245,0.2530322
0.183004,0.2578602
0.183778,0.2511398
0.184531,0.2566589
0.185301,0.2952956
0.186187,0.2551003
0.186952,0.2588819
0.187729,0.2503898
0.18848,0.2633522
0.18927,0.2627405
0.190058,0.2539433
0.19082,0.2514325
0.191574,0.2541178
0.192337,0.2717593
0.193152,0.26399
0.193944,0.284699
0.194798,0.2682062
0.195603,0.2572336
0.196374,0.2565406
0.197144,0.2823907
0.197991,0.2596208
0.19877,0.2862658
0.199629,0.2533679
0.200389,0.2879091
0.201253,0.2723175
0.20207,0.3441022
0.203102,0.3056631
0.204019,0.253917
0.204781,0.252987
0.20554,0.2858542
0.206397,0.2576427
0.20717,0.2858109
0.208028,0.2652592
0.208823,0.2587798
0.2096,0.2692169
0.210407,0.2781207
0.211242,0.2525395
0.211999,0.2819319
0.212845,0.2517394
0.2136,0.2628366
0.214389,0.285447
0.215245,0.2789378
0.216082,0.3092515
0.21701,0.4019787
0.218216,0.3069477
0.219137,0.5655045
0.220833,0.3188835
0.22179,0.2936611
0.222671,0.334196
0.223673,0.4393968
0.224991,0.4410284
0.226315,0.3983634
0.22751,0.4901065
0.22898,0.4103391
0.230211,0.647271
0.232153,0.6319907
0.234049,0.4683133
0.235454,0.5909382
0.237227,0.9044129
0.23994,0.754299
0.242203,0.5882849
0.243968,0.5364035
0.245577,0.3959414
0.246765,0.8394272
0.249283,0.954235
0.252146,0.9443351
0.254979,0.9243519
0.257752,0.8231691
0.260221,0.9597681
0.2631,0.8628459
0.265689,1
0.268689,1
0.271689,0.7972578
0.274081,0.8340025
0.276583,0.9917277
0.279558,1
0.282558,1
0.285558,0.630788
0.28745,1
0.29045,1
0.29345,1
0.29645,1
0.29945,1
0.30245,1
0.30545,1
0.30845,1
0.31145,1
0.31445,1
0.31745,1
0.32045,1
0.32345,0.8220508
0.325916,0.6232958
0.327786,0.6405026
0.329708,0.9996568
0.332707,1
0.335707,1
0.338707,0.7244352
0.34088,0.8123077
0.343317,0.5683149
0.345022,1
0.348022,1
0.351022,0.3138482
0.368284,0.2547832
0.382297,0.2949224
0.398517,0.2891914
0.414423,0.2627781
0.428876,0.2817928
0.444374,0.3089952
0.461369,0.332245
0.479643,0.3537777
0.4991,0.2582235
0.513303,0.3473578
0.532407,0.2966457
0.548723,0.3553773
0.568269,0.3777431
0.589044,0.3187654
0.606577,0.3485722
0.625748,0.3145792
0.64305,0.3868334
0.664326,0.3700003
0.684676,0.3912331
0.706194,0.3357199
0.724658,0.2651865
0.739243,0.3342744
0.757628,0.2815845
0.773116,0.2637193
0.78762,0.3498087
0.80686,0.3013196
0.823432,0.295794
0.839701,0.278136
0.854998,0.3018292
0.871599,0.4821343
0.898116,0.3029589
0.914779,0.4008318
0.936825,0.3881454
0.958173,0.4098262
0.980713,0.3005222
0.997242,0.4920201
1.024303,0.3030099
1.040969,0.2846518
1.056625,0.5867817
1.088898,0.2750732
1.104027,0.4538888
1.12899,0.5112852
1.157111,0.2614469
1.171491,0.3323769
1.189771,0.340146
1.208479,0.3252219
1.226367,0.4609284
1.251718,0.3336574
1.270069,0.3233019
1.287851,0.321957
1.305558,0.2887682
1.32144,0.320888
1.339089,0.5589112
1.369829,0.26634
1.384478,0.2817252
1.399973,0.2669122
1.414653,0.2747954
1.429767,0.2723602
1.444747,0.2649336
1.459318,0.2972286
1.475666,0.3196668
1.493247,0.2582233
1.50745,0.2506446
1.521235,0.2609982
1.53559,0.2971101
1.551931,0.2683772
1.566692,0.3040326
1.583413,0.2708912
1.598313,0.317256
1.615762,0.3106559
1.632848,0.251658
1.646689,0.2648272
1.661254,0.2806422
1.67669,0.3168319
1.694115,0.3388948
1.712755,0.2513538
1.726579,0.2880157
1.74242,0.2825673
1.757961,0.258068
1.772155,0.2670488
1.786843,0.281998
1.802352,0.2821917
1.817873,0.2811448
1.833336,0.2893568
1.849251,0.2520422
1.863113,0.2514224
1.876941,0.2540004
1.890911,0.3180001
1.908401,0.317735
1.925877,0.2585787
1.940098,0.2749513
1.955221,0.2660756
1.969855,0.2836784
1.985457,0.2959043
2.001732,0.3209808
2.019386,0.3049075
2.036156,0.305987
2.052985,0.2587107
2.067214,0.3075127
2.084127,0.2706185
2.099011,0.2602432
2.113325,0.2520667
2.127188,0.2553002
2.14123,0.2514013
2.155057,0.2541708
2.169036,0.2519098
2.182891,0.259862
2.197184,0.2690452
2.211981,0.2764987
2.227189,0.2756245
2.242348,0.2887454
2.258229,0.2597833
2.272517,0.2525173
2.286406,0.2616645
2.300797,0.2503381
2.314566,0.2501956
2.328327,0.2635422
2.342821,0.2773146
2.358074,0.2521474
2.371942,0.2753176
2.387084,0.2529044
2.400994,0.2596319
2.415274,0.2749564
2.430396,0.2690392
2.445194,0.2915907
2.461231,0.2651328
2.475813,0.2761068
2.490999,0.2826515
2.506545,0.2910574
