frame,value
0,3
0.001082,2
0.002177,2
0.002993,3
0.003817,2
0.004591,4
0.005599,5
0.006353,4
0.007227,5
0.008029,5
0.008792,7
0.009717,7
0.010476,7
0.011246,11
0.012099,7
0.012947,8
0.013708,11
0.014494,9
0.015289,11
0.01614,8
0.016906,13
0.01767,10
0.018448,9
0.019296,11
0.02015,9
0.020929,10
0.021682,12
0.022454,12
0.023321,11
0.024075,12
0.024896,14
0.025649,16
0.026416,12
0.027192,15
0.027947,14
0.028704,15
0.029454,14
0.030266,12
0.031039,15
0.031792,15
0.032556,17
0.033383,14
0.034203,17
0.035026,14
0.035865,15
0.036687,13
0.037443,16
0.038224,19
0.039028,17
0.03978,17
0.040574,18
0.041341,21
0.042141,21
0.042892,18
0.043688,20
0.044441,18
0.045203,19
0.046013,18
0.046769,17
0.047528,19
0.048298,19
0.049098,19
0.049853,18
0.050605,20
0.051479,20
0.052247,16
0.053186,20
0.05402,13
0.054793,15
0.055613,15
0.056368,13
0.057135,15
0.05796,18
0.058794,17
0.059562,18
0.060388,18
0.061216,16
0.06197,17
0.062729,18
0.063506,18
0.06431,17
0.065082,20
0.065832,20
0.066599,18
0.067354,19
0.068129,17
0.06889,19
0.069656,18
0.070412,18
0.071165,17
0.071958,17
0.072793,14
0.073548,16
0.074325,10
0.075104,10
0.075888,10
0.076648,11
0.077445,12
0.078308,16
0.079103,9
0.079897,11
0.080728,10
0.081502,9
0.082354,12
0.083136,9
0.083896,12
0.084679,11
0.085452,11
0.08621,10
0.087029,15
0.087839,11
0.088659,13
0.089466,10
0.090244,13
0.091065,11
0.091867,11
0.092622,12
0.093375,11
0.094125,10
0.094913,10
0.095687,13
0.096543,10
0.097309,12
0.098251,7
0.099079,5
0.09984,10
0.10061,13
0.101372,8
0.102221,4
0.103325,6
0.104114,13
0.104866,7
0.105765,6
0.106559,7
0.107986,8
0.108748,14
0.109523,8
0.110552,10
0.111417,11
0.112356,6
0.113575,10
0.114414,8
0.115269,10
0.116251,11
0.117081,7
0.118108,7
0.11888,9
0.119918,11
0.120693,5
0.121589,13
0.122344,10
0.123181,4
0.124105,8
0.124901,9
0.125677,9
0.126528,7
0.127338,9
0.128102,7
0.128899,7
0.129652,11
0.130578,8
0.131338,9
0.13224,9
0.133131,7
0.133884,10
0.134669,12
0.135529,10
0.136311,8
0.137113,11
0.137903,11
0.138667,12
0.139546,7
0.140314,13
0.141186,10
0.141994,10
0.142798,13
0.143562,10
0.144333,12
0.145238,12
0.146107,13
0.146999,10
0.147757,12
0.14861,11
0.149475,12
0.150316,11
0.151068,13
0.151818,12
0.152569,14
0.153377,11
0.154165,11
0.154922,11
0.15582,11
0.156576,10
0.157342,12
0.158286,7
0.159158,9
0.15998,9
0.161177,12
0.161946,15
0.162712,9
0.163521,14
0.164287,17
0.165054,17
0.165831,16
0.16664,15
0.167453,13
0.168214,13
0.168997,13
0.169821,13
0.170637,13
0.17147,11
0.172258,11
0.173061,11
0.173867,5
0.174624,10
0.175439,11
0.176238,15
0.177003,9
0.177758,10
0.178555,9
0.179323,10
0.180139,13
0.180906,8
0.181663,8
0.182541,9
0.183317,9
0.184067,8
0.184846,7
0.185636,6
0.186417,8
0.187281,9
0.188135,9
0.188963,10
0.189714,13
0.190518,6
0.191312,11
0.192098,10
0.1929,12
0.193664,11
0.194453,10
0.19525,8
0.196042,7
0.19683,7
0.197615,7
0.198466,7
0.199332,6
0.200165,6
0.201086,5
0.201898,4
0.202705,4
0.203612,4
0.204497,5
0.205371,5
0.206216,4
0.206966,6
0.207798,7
0.208702,6
0.209494,7
0.2103,7
0.211163,5
0.211965,5
0.212724,4
0.213548,5
0.214494,4
0.215391,3
0.216249,2
0.217224,2
0.218504,2
0.21986,1
0.221028,2
0.222837,2
0.224434,1
0.225216,2
0.226846,1
0.228056,1
0.229354,1
0.230197,1
0.231479,1
0.232906,1
0.234645,1
0.237031,1
0.238211,1
0.238994,1
0.240494,1
0.243076,1
0.245739,1
0.246697,1
0.248057,1
0.250624,1
0.252813,1
0.255622,1
0.258622,1
0.26062,1
0.263171,1
0.264453,1
0.267453,1
0.270453,1
0.273453,1
0.276453,1
0.278124,1
0.281124,1
0.283221,1
0.286221,1
0.288664,1
0.290758,1
0.293758,1
0.296758,1
0.299758,1
0.302715,1
0.304988,1
0.307129,1
0.308863,2
0.310841,1
0.313841,1
0.316841,1
0.319841,1
0.322841,1
0.325841,1
0.328841,1
0.331841,1
0.333376,1
0.336376,1
0.338986,1
0.341292,1
0.342927,1
0.345927,1
0.348927,1
0.351352,2
0.364692,2
0.376224,3
0.389196,4
0.403717,4
0.414992,4
0.426326,4
0.438409,3
0.450376,4
0.4626,5
0.474974,4
0.490229,2
0.503697,2
0.515729,4
0.5279,3
0.539948,4
0.555109,3
0.566987,2
0.578403,3
0.592949,2
0.609076,2
0.622275,2
0.63699,2
0.651059,2
0.664174,2
0.681208,2
0.702175,4
0.720691,2
0.738026,1
0.749292,1
0.761404,2
0.77389,2
0.788293,3
0.80941,2
0.826282,2
0.842872,1
0.856144,2
0.874297,1
0.887247,1
0.900367,1
0.913127,1
0.925626,2
0.944689,1
0.960232,2
0.97655,2
0.994629,2
1.015533,1
1.0393,1
1.053739,1
1.070956,1
1.082395,2
1.097225,2
1.128498,1
1.151831,1
1.171098,1
1.189625,1
1.210111,1
1.2247,1
1.248699,1
1.267905,1
1.279208,2
1.301357,1
1.3167,2
1.332595,1
1.354691,2
1.375443,1
1.387872,2
1.400911,3
1.414561,5
1.425988,6
1.437471,5
1.449763,6
1.462266,7
1.476026,6
1.488662,8
1.500618,9
1.514015,7
1.52547,11
1.53769,12
1.550183,5
1.561579,6
1.573826,5
1.586233,4
1.598065,5
1.611439,4
1.624432,4
1.636752,4
1.648031,5
1.661324,3
1.673192,5
1.685494,3
1.699298,4
1.71124,4
1.725046,2
1.73653,3
1.748876,3
1.762224,3
1.774998,4
1.787245,4
1.801027,3
1.813298,3
1.825175,4
1.838402,4
1.850782,4
1.863504,2
1.875352,4
1.888935,4
1.903688,3
1.919355,2
1.93065,3
1.942097,3
1.954634,3
1.967084,3
1.980768,3
1.994164,3
2.00734,3
2.019121,4
2.03291,2
2.045875,4
2.058762,4
2.072148,5
2.083902,6
2.097167,6
2.109364,7
2.12117,30
2.132516,33
2.143791,35
2.155224,40
2.166533,36
2.178215,20
2.189495,8
2.202442,7
2.2147,7
2.227382,5
2.238897,7
