frame,value
0,0
0,0
0,0
0,0
0.001082,0
0.001082,0
0.001082,0
0.002176,1
0.002176,1
0.002176,0
0.002998,1
0.002998,3
0.002998,4
0.002998,5
0.003825,7
0.003825,7
0.003825,8
0.004633,8
0.004633,8
0.004633,8
0.004633,8
0.004633,9
0.005554,10
0.005554,10
0.005554,13
0.005554,13
0.005554,12
0.005554,12
0.00637,14
0.00637,9
0.00637,8
0.00637,9
0.00637,9
0.00725,10
0.00725,11
0.00725,14
0.00725,16
0.00725,16
0.00725,19
0.008051,18
0.008051,20
0.008051,20
0.008051,21
0.008051,22
0.008051,26
0.008051,29
0.008051,34
0.008966,34
0.008966,37
0.008966,39
0.008966,44
0.008966,45
0.008966,49
0.008966,51
0.009738,51
0.009738,52
0.009738,52
0.009738,56
0.009738,59
0.009738,60
0.009738,60
0.009738,62
0.009738,65
0.009738,67
0.010523,67
0.010523,72
0.010523,71
0.010523,72
0.010523,75
0.010523,76
0.010523,75
0.010523,85
0.011305,87
0.011305,89
0.011305,88
0.011305,89
0.011305,92
0.011305,91
0.011305,92
0.011305,97
0.012101,99
0.012101,103
0.012101,100
0.012101,100
0.012101,99
0.012101,92
0.012101,92
0.012101,86
0.012101,87
0.012101,90
0.012921,88
0.012921,93
0.012921,93
0.012921,100
0.012921,103
0.012921,104
0.012921,101
0.012921,98
0.012921,97
0.012921,97
0.013745,94
0.013745,103
0.013745,104
0.013745,106
0.013745,109
0.013745,110
0.013745,113
0.013745,116
0.013745,116
0.013745,117
0.013745,116
0.014514,121
0.014514,122
0.014514,126
0.014514,126
0.014514,130
0.014514,132
0.014514,141
0.014514,141
0.014514,145
0.014514,149
0.014514,152
0.014514,149
0.015274,149
0.015274,153
0.015274,157
0.015274,155
0.015274,162
0.015274,169
0.015274,168
0.015274,164
0.015274,163
0.015274,158
0.015274,162
0.016039,175
0.016039,175
0.016039,185
0.016039,185
0.016039,186
0.016039,185
0.016039,192
0.016039,200
0.016039,199
0.016039,197
0.016861,200
0.016861,203
0.016861,200
0.016861,201
0.016861,208
0.016861,209
0.016861,212
0.016861,213
0.016861,219
0.016861,218
0.016861,217
0.016861,218
0.016861,232
0.017642,234
0.017642,236
0.017642,237
0.017642,230
0.017642,230
0.017642,237
0.017642,237
0.017642,239
0.017642,240
0.017642,243
0.018446,242
0.018446,249
0.018446,254
0.018446,258
0.018446,254
0.018446,251
0.018446,251
0.018446,252
0.018446,253
0.018446,257
0.018446,264
0.018446,269
0.019243,273
0.019243,272
0.019243,272
0.019243,272
0.019243,270
0.019243,271
0.019243,270
0.019243,268
0.019243,268
0.019243,276
0.019243,272
0.019243,278
0.019996,279
0.019996,283
0.019996,292
0.019996,298
