frame,value
0,0
0,0
0,0
0,0
0.001082,0
0.001082,0
0.001082,0
0.002176,0
0.002176,0
0.002176,0
0.003003,0
0.003003,0
0.003003,0
0.003003,0
0.003825,1e-07
0.003825,1e-07
0.003825,1e-07
0.004624,1e-07
0.004624,1e-07
0.004624,1e-07
0.004624,1e-07
0.004624,1e-07
0.005564,2e-07
0.005564,2e-07
0.005564,5e-07
0.005564,7e-07
0.005564,7e-07
0.005564,7e-07
0.006369,8e-07
0.006369,8e-07
0.006369,6e-07
0.006369,6e-07
0.006369,9e-07
0.007252,8e-07
0.007252,8e-07
0.007252,1.7e-06
0.007252,1.4e-06
0.007252,1.1e-06
0.007252,1.2e-06
0.008068,1.4e-06
0.008068,1.5e-06
0.008068,1.4e-06
0.008068,1.3e-06
0.008068,1.4e-06
0.008068,2.6e-06
0.008891,2.7e-06
0.008891,2.7e-06
0.008891,3.4e-06
0.008891,3.1e-06
0.008891,2.4e-06
0.008891,4.2e-06
0.009734,3.6e-06
0.009734,3.8e-06
0.009734,3.6e-06
0.009734,3.8e-06
0.009734,3.6e-06
0.009734,4.3e-06
0.009734,4.4e-06
0.009734,4.7e-06
0.0106,4.4e-06
0.0106,4.6e-06
0.0106,4.5e-06
0.0106,4.6e-06
0.0106,4.2e-06
0.0106,4.2e-06
0.0106,5e-06
0.0106,4.9e-06
0.0106,4.9e-06
0.0106,5.3e-06
0.0106,5e-06
0.011354,5.2e-06
0.011354,5.2e-06
0.011354,5.2e-06
0.011354,5.4e-06
0.011354,6.3e-06
0.011354,5.9e-06
0.011354,6.6e-06
0.011354,6.7e-06
0.011354,8.8e-06
0.011354,7.4e-06
0.011354,7.6e-06
0.011354,7.7e-06
0.011354,7.7e-06
0.012171,7.5e-06
0.012171,8.5e-06
0.012171,8.1e-06
0.012171,8.3e-06
0.012171,8e-06
0.012171,8e-06
0.012171,8.9e-06
0.012171,8e-06
0.012171,8.5e-06
0.012951,8.1e-06
0.012951,9.3e-06
0.012951,9.1e-06
0.012951,9.8e-06
0.012951,9.4e-06
0.012951,9.8e-06
0.012951,9.1e-06
0.012951,9.9e-06
0.013711,9.8e-06
0.013711,1e-05
0.013711,1e-05
0.013711,1.06e-05
0.013711,1.06e-05
0.013711,1.14e-05
0.013711,1.14e-05
0.013711,1.27e-05
0.013711,1.23e-05
0.013711,1.46e-05
0.014486,1.36e-05
0.014486,1.57e-05
0.014486,1.49e-05
0.014486,1.57e-05
0.014486,1.53e-05
0.014486,1.61e-05
0.014486,1.55e-05
0.014486,1.58e-05
0.014486,1.55e-05
0.014486,1.6e-05
0.015352,1.44e-05
0.015352,1.47e-05
0.015352,1.42e-05
0.015352,1.76e-05
