frame,value
0,37
0,87
0,88
0,50
0.001082,95
0.001082,97
0.001082,50
0.002176,101
0.002176,98
0.002176,43
0.003003,99
0.003003,101
0.003003,89
0.003003,42
0.003825,98
0.003825,93
0.003825,43
0.004624,101
0.004624,85
0.004624,83
0.004624,82
0.004624,48
0.005564,83
0.005564,85
0.005564,92
0.005564,87
0.005564,87
0.005564,43
0.006369,93
0.006369,92
0.006369,94
0.006369,92
0.006369,42
0.007252,91
0.007252,90
0.007252,91
0.007252,89
0.007252,88
0.007252,38
0.008068,93
0.008068,88
0.008068,88
0.008068,88
0.008068,88
0.008068,42
0.008891,90
0.008891,90
0.008891,89
0.008891,88
0.008891,87
0.008891,41
0.009734,91
0.009734,88
0.009734,88
0.009734,88
0.009734,88
0.009734,85
0.009734,85
0.009734,44
0.0106,89
0.0106,88
0.0106,89
0.0106,88
0.0106,88
0.0106,88
0.0106,86
0.0106,90
0.0106,87
0.0106,92
0.0106,40
0.011354,88
0.011354,98
0.011354,90
0.011354,87
0.011354,88
0.011354,86
0.011354,85
0.011354,85
0.011354,86
0.011354,84
0.011354,85
0.011354,83
0.011354,44
0.012171,78
0.012171,89
0.012171,86
0.012171,87
0.012171,86
0.012171,86
0.012171,88
0.012171,85
0.012171,37
0.012951,86
0.012951,85
0.012951,85
0.012951,91
0.012951,86
0.012951,85
0.012951,85
0.012951,37
0.013711,85
0.013711,86
0.013711,84
0.013711,85
0.013711,85
0.013711,85
0.013711,83
0.013711,86
0.013711,86
0.013711,38
0.014486,87
0.014486,87
0.014486,88
0.014486,89
0.014486,87
0.014486,85
0.014486,85
0.014486,87
0.014486,85
0.014486,40
0.015352,83
0.015352,85
0.015352,87
0.015352,85
0.015352,82
0.015352,84
0.015352,84
0.015352,83
0.015352,83
0.015352,85
0.015352,83
0.015352,39
0.016163,84
0.016163,84
0.016163,84
0.016163,87
0.016163,84
0.016163,84
0.016163,86
0.016163,85
0.016163,39
0.016951,94
0.016951,95
0.016951,99
0.016951,98
0.016951,99
0.016951,101
0.016951,98
0.016951,97
0.016951,98
0.016951,44
0.017777,98
0.017777,99
0.017777,99
0.017777,99
0.017777,101
0.017777,100
0.017777,98
0.017777,95
0.017777,99
0.017777,43
0.018594,96
0.018594,97
0.018594,98
0.018594,96
0.018594,93
0.018594,96
0.018594,97
0.018594,97
0.018594,92
0.018594,91
0.018594,91
0.018594,41
0.019414,94
0.019414,95
0.019414,94
0.019414,94
0.019414,95
0.019414,95
0.019414,94
0.019414,94
0.019414,94
0.019414,95
0.019414,95
0.019414,41
0.020228,94
0.020228,94
0.020228,95
0.020228,95
0.020228,95
0.020228,95
0.020228,95
0.020228,95
0.020228,96
0.020228,92
0.020228,46
0.021073,96
0.021073,97
0.021073,97
0.021073,100
0.021073,97
0.021073,98
0.021073,99
0.021073,99
0.021073,94
0.021073,94
0.021073,94
0.021073,93
0.021073,92
0.021073,41
0.02184,97
0.02184,96
0.02184,98
0.02184,96
0.02184,97
0.02184,96
0.02184,97
0.02184,95
0.02184,98
0.02184,96
0.02184,96
0.02184,95
0.02184,47
0.022716,98
0.022716,97
0.022716,100
0.022716,99
0.022716,98
0.022716,98
0.022716,101
0.022716,100
0.022716,102
0.022716,101
0.022716,102
0.022716,103
0.022716,102
0.022716,45
0.023516,100
0.023516,100
0.023516,100
0.023516,98
0.023516,98
0.023516,100
0.023516,95
0.023516,99
0.023516,95
0.023516,96
0.023516,95
0.023516,96
0.023516,45
0.024272,100
0.024272,99
0.024272,95
0.024272,94
0.024272,95
0.024272,95
0.024272,94
0.024272,93
0.024272,94
0.024272,93
0.024272,94
0.024272,93
0.024272,42
0.025029,98
0.025029,95
0.025029,93
0.025029,93
0.025029,97
0.025029,94
0.025029,92
0.025029,91
0.025029,92
0.025029,90
0.025029,90
0.025029,91
0.025029,94
0.025029,90
0.025029,40
0.02578,98
0.02578,91
0.02578,93
0.02578,92
0.02578,94
0.02578,94
0.02578,93
0.02578,93
0.02578,93
0.02578,92
0.02578,96
0.02578,92
0.02578,95
0.02578,95
0.02578,93
0.02578,95
0.02578,42
0.026539,100
0.026539,100
0.026539,100
0.026539,102
0.026539,103
0.026539,104
0.026539,104
0.026539,103
0.026539,104
0.026539,103
0.026539,104
0.026539,103
0.026539,103
0.026539,102
0.026539,102
0.026539,44
0.027294,101
0.027294,101
0.027294,101
0.027294,101
0.027294,103
0.027294,103
0.027294,102
0.027294,107
0.027294,102
0.027294,101
0.027294,103
0.027294,103
0.027294,103
0.027294,46
0.028074,97
0.028074,99
0.028074,102
0.028074,102
0.028074,107
0.028074,106
0.028074,107
0.028074,106
0.028074,105
0.028074,102
0.028074,103
0.028074,48
0.028931,104
0.028931,104
0.028931,109
0.028931,108
0.028931,108
0.028931,108
0.028931,108
0.028931,109
0.028931,108
0.028931,108
0.028931,108
0.028931,109
0.028931,108
0.028931,48
0.02972,105
0.02972,108
0.02972,107
0.02972,109
0.02972,108
0.02972,108
0.02972,103
0.02972,103
0.02972,103
0.02972,103
0.02972,109
0.02972,103
0.02972,45
0.030485,101
0.030485,102
0.030485,104
0.030485,105
0.030485,106
0.030485,106
0.030485,106
0.030485,104
0.030485,104
0.030485,103
0.030485,103
0.030485,99
0.030485,103
0.030485,99
0.030485,103
0.030485,104
0.030485,44
0.031255,103
0.031255,99
0.031255,100
0.031255,102
0.031255,103
0.031255,103
0.031255,103
0.031255,103
0.031255,107
0.031255,105
0.031255,105
0.031255,104
0.031255,104
0.031255,101
0.031255,44
0.032042,100
0.032042,103
0.032042,102
0.032042,103
0.032042,102
0.032042,100
0.032042,104
0.032042,101
0.032042,101
0.032042,97
0.032042,97
0.032042,103
0.032042,104
0.032042,107
0.032042,108
0.032042,46
0.032858,103
0.032858,107
0.032858,102
0.032858,107
0.032858,108
0.032858,108
0.032858,108
0.032858,108
0.032858,108
0.032858,105
0.032858,106
0.032858,103
0.032858,106
0.032858,103
0.032858,108
0.032858,106
0.032858,45
0.033645,104
0.033645,105
0.033645,105
0.033645,105
0.033645,104
0.033645,103
0.033645,99
0.033645,104
0.033645,104
0.033645,99
0.033645,99
0.033645,104
0.033645,106
0.033645,106
0.033645,46
0.034414,102
0.034414,102
0.034414,105
0.034414,105
0.034414,107
0.034414,102
0.034414,101
0.034414,101
0.034414,97
0.034414,98
0.034414,96
0.034414,98
0.034414,97
0.034414,96
0.034414,96
0.034414,45
0.035174,103
0.035174,97
0.035174,102
0.035174,101
0.035174,95
0.035174,96
0.035174,96
0.035174,104
0.035174,98
0.035174,99
0.035174,98
0.035174,100
0.035174,99
0.035174,48
0.036004,95
0.036004,98
0.036004,97
0.036004,99
0.036004,99
0.036004,98
0.036004,100
0.036004,100
0.036004,100
0.036004,100
0.036004,103
0.036004,100
0.036004,99
0.036004,98
0.036004,98
0.036004,48
0.036791,96
0.036791,98
0.036791,97
0.036791,99
0.036791,99
0.036791,102
0.036791,104
0.036791,104
0.036791,102
0.036791,102
0.036791,98
0.036791,97
0.036791,102
0.036791,100
0.036791,98
0.036791,50
0.037664,93
0.037664,92
0.037664,90
0.037664,93
0.037664,92
0.037664,94
0.037664,94
0.037664,86
0.037664,87
0.037664,87
0.037664,87
0.037664,87
0.037664,88
0.037664,93
0.037664,88
0.037664,92
0.037664,87
0.037664,45
0.03847,87
0.03847,84
0.03847,85
0.03847,92
0.03847,91
0.03847,91
0.03847,94
0.03847,98
0.03847,98
0.03847,97
0.03847,99
0.03847,97
0.03847,97
0.03847,96
0.03847,96
0.03847,97
0.03847,96
0.03847,98
0.03847,45
0.039229,93
0.039229,90
0.039229,95
0.039229,97
0.039229,99
0.039229,101
0.039229,101
0.039229,100
0.039229,98
0.039229,99
0.039229,101
0.039229,100
0.039229,102
0.039229,101
0.039229,100
0.039229,99
0.039229,102
0.039229,44
0.039989,90
0.039989,91
0.039989,94
0.039989,95
0.039989,97
0.039989,98
0.039989,96
0.039989,98
0.039989,100
0.039989,100
0.039989,98
0.039989,98
0.039989,98
0.039989,99
0.039989,102
0.039989,102
0.039989,101
0.039989,100
0.039989,50
0.040772,94
0.040772,98
0.040772,97
0.040772,101
0.040772,100
0.040772,91
0.040772,92
0.040772,94
0.040772,99
0.040772,98
0.040772,99
0.040772,100
0.040772,102
0.040772,100
0.040772,102
0.040772,100
0.040772,100
0.040772,101
0.040772,46
0.041533,99
0.041533,96
0.041533,89
0.041533,91
0.041533,100
0.041533,103
0.041533,105
0.041533,106
0.041533,110
0.041533,103
0.041533,112
0.041533,108
0.041533,109
0.041533,112
0.041533,107
0.041533,111
0.041533,109
0.041533,104
0.041533,104
0.041533,102
0.041533,101
0.041533,44
0.042284,101
0.042284,99
0.042284,101
0.042284,103
0.042284,102
0.042284,100
0.042284,101
0.042284,102
0.042284,107
0.042284,107
0.042284,105
0.042284,107
0.042284,107
0.042284,105
0.042284,109
0.042284,107
0.042284,108
0.042284,106
0.042284,109
0.042284,109
0.042284,107
0.042284,50
0.043049,101
0.043049,101
0.043049,96
0.043049,99
0.043049,102
0.043049,101
0.043049,102
0.043049,102
0.043049,107
0.043049,109
0.043049,110
0.043049,111
0.043049,110
0.043049,110
0.043049,111
0.043049,111
0.043049,110
0.043049,110
0.043049,108
0.043049,47
0.043812,98
0.043812,98
0.043812,96
0.043812,98
0.043812,108
0.043812,101
0.043812,101
0.043812,100
0.043812,99
0.043812,94
0.043812,108
0.043812,109
0.043812,109
0.043812,109
0.043812,106
0.043812,108
0.043812,109
0.043812,108
0.043812,109
0.043812,108
0.043812,46
0.044584,98
0.044584,90
0.044584,92
0.044584,99
0.044584,96
0.044584,106
0.044584,104
0.044584,105
0.044584,105
0.044584,104
0.044584,104
0.044584,100
0.044584,103
0.044584,103
0.044584,105
0.044584,109
0.044584,106
0.044584,105
0.044584,106
0.044584,48
0.045377,98
0.045377,89
0.045377,92
0.045377,97
0.045377,98
0.045377,99
0.045377,101
0.045377,103
0.045377,103
0.045377,103
0.045377,110
0.045377,110
0.045377,104
0.045377,106
0.045377,102
0.045377,105
0.045377,105
0.045377,102
0.045377,101
0.045377,48
0.046133,96
0.046133,97
0.046133,89
0.046133,91
0.046133,93
0.046133,92
0.046133,97
0.046133,99
0.046133,102
0.046133,101
0.046133,101
0.046133,108
0.046133,109
0.046133,108
0.046133,109
0.046133,95
0.046133,99
0.046133,100
0.046133,99
0.046133,47
0.046905,96
0.046905,88
0.046905,94
0.046905,108
0.046905,105
0.046905,106
0.046905,108
0.046905,108
0.046905,111
0.046905,111
0.046905,111
0.046905,107
0.046905,111
0.046905,109
0.046905,110
0.046905,108
0.046905,50
0.047747,96
0.047747,102
0.047747,105
0.047747,108
0.047747,108
0.047747,108
0.047747,107
0.047747,108
0.047747,101
0.047747,110
0.047747,110
0.047747,113
0.047747,113
0.047747,116
0.047747,115
0.047747,113
0.047747,112
0.047747,118
0.047747,112
0.047747,111
0.047747,113
0.047747,47
0.048549,95
0.048549,89
0.048549,94
0.048549,100
0.048549,100
0.048549,102
0.048549,102
0.048549,111
0.048549,110
0.048549,109
0.048549,111
0.048549,111
0.048549,111
0.048549,111
0.048549,111
0.048549,113
0.048549,44
0.049315,94
0.049315,101
0.049315,103
0.049315,106
0.049315,106
0.049315,106
0.049315,105
0.049315,98
0.049315,98
0.049315,105
0.049315,109
0.049315,104
0.049315,105
0.049315,107
0.049315,109
0.049315,108
0.049315,108
0.049315,108
0.049315,46
0.050095,91
0.050095,91
0.050095,95
0.050095,97
0.050095,98
0.050095,103
0.050095,104
0.050095,100
0.050095,102
0.050095,101
0.050095,103
0.050095,102
0.050095,102
0.050095,108
0.050095,102
0.050095,104
0.050095,46
0.050921,88
0.050921,91
0.050921,94
0.050921,95
0.050921,97
0.050921,100
0.050921,102
0.050921,102
0.050921,102
0.050921,103
0.050921,102
0.050921,102
0.050921,98
0.050921,98
0.050921,98
0.050921,99
0.050921,97
0.050921,97
0.050921,41
0.051675,84
0.051675,85
0.051675,91
0.051675,94
0.051675,94
0.051675,96
0.051675,97
0.051675,97
0.051675,100
0.051675,100
0.051675,99
0.051675,101
0.051675,99
0.051675,101
0.051675,101
0.051675,103
0.051675,101
0.051675,41
0.052426,82
0.052426,84
0.052426,90
0.052426,91
0.052426,95
0.052426,95
0.052426,96
0.052426,95
0.052426,95
0.052426,94
0.052426,95
0.052426,94
0.052426,95
0.052426,96
0.052426,97
0.052426,96
0.052426,96
0.052426,96
0.052426,41
0.053189,83
0.053189,81
0.053189,84
0.053189,85
0.053189,87
0.053189,87
0.053189,87
0.053189,90
0.053189,93
0.053189,94
0.053189,93
0.053189,94
0.053189,94
0.053189,93
0.053189,94
0.053189,95
0.053189,92
0.053189,92
0.053189,41
0.05402,78
0.05402,79
0.05402,82
0.05402,85
0.05402,85
0.05402,88
0.05402,93
0.05402,93
0.05402,94
0.05402,91
0.05402,93
0.05402,93
0.05402,93
0.05402,94
0.05402,95
0.05402,93
0.05402,93
0.05402,92
0.05402,95
0.05402,43
0.054803,79
0.054803,80
0.054803,81
0.054803,91
0.054803,91
0.054803,90
0.054803,91
0.054803,94
0.054803,96
0.054803,97
0.054803,95
0.054803,96
0.054803,96
0.054803,97
0.054803,95
0.054803,97
0.054803,97
0.054803,43
0.055584,80
0.055584,82
0.055584,88
0.055584,93
0.055584,91
0.055584,93
0.055584,94
0.055584,96
0.055584,98
0.055584,97
0.055584,99
0.055584,95
0.055584,97
0.055584,102
0.055584,100
0.055584,98
0.055584,95
0.055584,96
0.055584,41
0.056368,78
0.056368,80
0.056368,81
0.056368,84
0.056368,84
0.056368,94
0.056368,93
0.056368,94
0.056368,94
0.056368,95
0.056368,91
0.056368,94
0.056368,94
0.056368,97
0.056368,95
0.056368,95
0.056368,98
0.056368,98
0.056368,39
0.05715,78
0.05715,79
0.05715,80
0.05715,89
0.05715,91
0.05715,92
0.05715,92
0.05715,92
0.05715,92
0.05715,94
0.05715,93
0.05715,92
0.05715,93
0.05715,85
0.05715,94
0.05715,93
0.05715,94
0.05715,97
0.05715,94
0.05715,39
0.057909,77
0.057909,77
0.057909,78
0.057909,79
0.057909,86
0.057909,90
0.057909,91
0.057909,92
0.057909,92
0.057909,92
0.057909,91
0.057909,91
0.057909,93
0.057909,92
0.057909,94
0.057909,93
0.057909,94
0.057909,92
0.057909,93
0.057909,42
0.058693,77
0.058693,79
0.058693,80
0.058693,88
0.058693,88
0.058693,87
0.058693,90
0.058693,91
0.058693,91
0.058693,91
0.058693,92
0.058693,84
0.058693,93
0.058693,91
0.058693,93
0.058693,93
0.058693,93
0.058693,93
0.058693,93
0.058693,39
0.059465,75
0.059465,77
0.059465,78
0.059465,80
0.059465,81
0.059465,88
0.059465,90
0.059465,84
0.059465,92
0.059465,93
0.059465,95
0.059465,93
0.059465,92
0.059465,94
0.059465,95
0.059465,88
0.059465,93
0.059465,94
0.059465,94
0.059465,41
0.060223,73
0.060223,74
0.060223,76
0.060223,78
0.060223,79
0.060223,82
0.060223,83
0.060223,87
0.060223,88
0.060223,87
0.060223,88
0.060223,89
0.060223,88
0.060223,88
0.060223,89
0.060223,89
0.060223,89
0.060223,86
0.060223,87
0.060223,39
0.061021,72
0.061021,75
0.061021,77
0.061021,81
0.061021,81
0.061021,82
0.061021,82
0.061021,86
0.061021,87
0.061021,88
0.061021,89
0.061021,87
0.061021,89
0.061021,89
0.061021,89
0.061021,88
0.061021,90
0.061021,84
0.061021,84
0.061021,35
0.061776,71
0.061776,74
0.061776,76
0.061776,80
0.061776,81
0.061776,81
0.061776,81
0.061776,84
0.061776,83
0.061776,81
0.061776,82
0.061776,83
0.061776,89
0.061776,83
0.061776,83
0.061776,83
0.061776,82
0.061776,83
0.061776,86
0.061776,39
0.06256,72
0.06256,73
0.06256,74
0.06256,78
0.06256,79
0.06256,83
0.06256,85
0.06256,87
0.06256,88
0.06256,86
0.06256,88
0.06256,89
0.06256,89
0.06256,89
0.06256,90
0.06256,90
0.06256,38
0.063332,71
0.063332,71
0.063332,72
0.063332,75
0.063332,81
0.063332,82
0.063332,84
0.063332,84
0.063332,86
0.063332,87
0.063332,81
0.063332,81
0.063332,85
0.063332,87
0.063332,84
0.063332,84
0.063332,84
0.063332,85
0.063332,35
0.064082,71
0.064082,72
0.064082,74
0.064082,79
0.064082,80
0.064082,82
0.064082,83
0.064082,88
0.064082,88
0.064082,89
0.064082,90
0.064082,90
0.064082,90
0.064082,90
0.064082,89
0.064082,90
0.064082,90
0.064082,35
0.064842,72
0.064842,73
0.064842,74
0.064842,80
0.064842,80
0.064842,86
0.064842,87
0.064842,86
0.064842,88
0.064842,87
0.064842,87
0.064842,88
0.064842,86
0.064842,87
0.064842,88
0.064842,33
0.065595,69
0.065595,71
0.065595,72
0.065595,77
0.065595,77
0.065595,80
0.065595,81
0.065595,84
0.065595,84
0.065595,88
0.065595,89
0.065595,88
0.065595,88
0.065595,89
0.065595,89
0.065595,84
0.065595,83
0.065595,35
0.06641,69
0.06641,70
0.06641,72
0.06641,72
0.06641,77
0.06641,77
0.06641,81
0.06641,78
0.06641,79
0.06641,79
0.06641,82
0.06641,81
0.06641,82
0.06641,82
0.06641,81
0.06641,83
0.06641,35
0.067188,69
0.067188,71
0.067188,70
0.067188,75
0.067188,76
0.067188,77
0.067188,78
0.067188,78
0.067188,78
0.067188,78
0.067188,79
0.067188,79
0.067188,80
0.067188,37
0.067945,69
0.067945,72
0.067945,72
0.067945,77
0.067945,77
0.067945,79
0.067945,79
0.067945,79
0.067945,78
0.067945,78
0.067945,78
0.067945,77
0.067945,75
0.067945,68
0.067945,69
0.067945,33
0.068728,67
0.068728,70
0.068728,70
0.068728,69
0.068728,68
0.068728,73
0.068728,70
0.068728,70
0.068728,70
0.068728,69
0.068728,70
0.068728,74
0.068728,70
0.068728,33
0.069494,69
0.069494,69
0.069494,70
0.069494,75
0.069494,75
0.069494,70
0.069494,75
0.069494,75
0.069494,75
0.069494,69
0.069494,69
0.069494,72
0.069494,71
0.069494,34
0.070254,70
0.070254,70
0.070254,70
0.070254,72
