frame,value
0,0.3605528
0.001082,0.3647987
0.002176,0.2755832
0.003003,0.2739048
0.003825,0.2663347
0.004624,0.3133467
0.005564,0.268446
0.006369,0.294509
0.007252,0.2718765
0.008068,0.2743456
0.008891,0.2808481
0.009734,0.2888321
0.0106,0.2514248
0.011354,0.2721312
0.012171,0.2599701
0.012951,0.2533695
0.013711,0.2582361
0.014486,0.2889246
0.015352,0.2702187
0.016163,0.2625572
0.016951,0.2753283
0.017777,0.2724893
0.018594,0.2734071
0.019414,0.2713458
0.020228,0.2816597
0.021073,0.2556325
0.02184,0.2919301
0.022716,0.266547
0.023516,0.252232
0.024272,0.2523156
0.025029,0.2503457
0.02578,0.2530514
0.026539,0.2514227
0.027294,0.2601196
0.028074,0.285506
0.028931,0.2630853
0.02972,0.2551326
0.030485,0.2565023
0.031255,0.262539
0.032042,0.2718221
0.032858,0.2624518
0.033645,0.2562351
0.034414,0.2534086
0.035174,0.276778
0.036004,0.262292
0.036791,0.2909072
0.037664,0.2684724
0.03847,0.2530321
0.039229,0.2533325
0.039989,0.2610548
0.040772,0.2536727
0.041533,0.2504231
0.042284,0.2550586
0.043049,0.2541329
0.043812,0.2572949
0.044584,0.2643296
0.045377,0.2521429
0.046133,0.2572912
0.046905,0.2808222
0.047747,0.2671189
0.048549,0.2554125
0.049315,0.2601352
0.050095,0.2752016
0.050921,0.2512782
0.051675,0.2503992
0.052426,0.254233
0.053189,0.2771096
0.05402,0.2608927
0.054803,0.2604859
0.055584,0.2614047
0.056368,0.260701
0.05715,0.2527045
0.057909,0.2615642
0.058693,0.2572473
0.059465,0.2527996
0.060223,0.2658262
0.061021,0.2516445
0.061776,0.261328
0.06256,0.2575207
0.063332,0.2500587
0.064082,0.2531793
0.064842,0.2508482
0.065595,0.2716692
0.06641,0.2595015
0.067188,0.2522573
0.067945,0.2610956
0.068728,0.2551345
0.069494,0.2534377
0.070254,0.265781
0.071051,0.2516102
0.071806,0.268419
0.072611,0.2794225
0.07345,0.3193139
0.074407,0.2502676
0.075158,0.2524002
0.075915,0.250902
0.076668,0.2559378
0.077436,0.2531551
0.078195,0.2638847
0.078987,0.258814
0.079764,0.2527051
0.080522,0.2514445
0.081276,0.280602
0.082118,0.2600831
0.082898,0.278311
0.083733,0.2558306
0.0845,0.3065319
0.08542,0.2501388
0.086171,0.2550084
0.086936,0.2514894
0.08769,0.2728715
0.088509,0.2577404
0.089282,0.2979168
0.090176,0.2707762
0.090988,0.2798994
0.091828,0.2702485
0.092638,0.2737868
0.09346,0.2620211
0.094246,0.2585036
0.095021,0.2890624
0.095888,0.2923726
0.096766,0.3454232
0.097802,0.2847928
0.098656,0.2603322
0.099437,0.2526575
0.100195,0.2519431
0.100951,0.2526934
0.101709,0.2640357
0.102501,0.2580193
0.103275,0.2997641
0.104175,0.2554635
0.104941,0.251538
0.105696,0.2577523
0.106469,0.3189385
0.107426,0.2789387
0.108262,0.2944337
0.109146,0.2516222
0.109901,0.3123362
0.110838,0.4117295
0.112073,0.3564316
0.113142,0.4019086
0.114348,0.264746
0.115142,0.3409177
0.116165,0.342292
0.117192,0.3006472
0.118094,0.3657471
0.119191,0.2552555
0.119957,0.2730618
0.120776,0.2733307
0.121596,0.261984
0.122382,0.2735913
0.123203,0.2561742
0.123971,0.2670425
0.124772,0.2900534
0.125642,0.2618349
0.126428,0.3095082
0.127356,0.254983
0.128121,0.2652557
0.128917,0.2688262
0.129724,0.2677008
0.130527,0.2955066
0.131413,0.2712109
0.132227,0.2680233
0.133031,0.2695951
0.13384,0.3118116
0.134775,0.2739296
0.135597,0.2557209
0.136364,0.2816029
0.137209,0.2518993
0.137965,0.2518864
0.13872,0.268927
0.139527,0.3426137
0.140555,0.2520906
0.141311,0.2885857
0.142177,0.2815074
0.143021,0.2586619
0.143797,0.2605109
0.144579,0.2533975
0.145339,0.2743404
0.146162,0.2530133
0.146921,0.2518097
0.147677,0.2686641
0.148483,0.2675412
0.149285,0.2603344
0.150066,0.2576892
0.150839,0.2626777
0.151627,0.2700803
0.152438,0.2749106
0.153262,0.262181
0.154049,0.2532215
0.154809,0.2586741
0.155585,0.2586389
0.15636,0.2590778
0.157138,0.2921363
0.158014,0.2728408
0.158833,0.2546891
0.159597,0.2580548
0.160371,0.2643611
0.161164,0.270578
0.161976,0.2686394
0.162782,0.263189
0.163571,0.25571
0.164338,0.258979
0.165115,0.2633107
0.165905,0.2677136
0.166708,0.2741632
0.167531,0.2557187
0.168298,0.2654867
0.169094,0.2593444
0.169872,0.2631184
0.170662,0.2663538
0.171461,0.2701834
0.172271,0.2681244
0.173076,0.274548
0.173899,0.2527449
0.174658,0.2527613
0.175416,0.2587404
0.176192,0.2706496
0.177004,0.2696869
0.177813,0.2662826
0.178612,0.25106
0.179365,0.3289615
0.180352,0.2520337
0.181108,0.277087
0.181939,0.2560691
0.182708,0.2775701
0.18354,0.2619623
0.184326,0.2589005
0.185103,0.2794835
0.185941,0.2649461
0.186736,0.2553203
0.187502,0.3153244
0.188448,0.2507401
0.1892,0.2665467
0.19,0.2704442
0.190811,0.2641013
0.191604,0.2520422
0.19236,0.2538281
0.193121,0.2601455
0.193902,0.2556972
0.194669,0.2711094
0.195482,0.3037573
0.196393,0.2607298
0.197176,0.2588829
0.197952,0.2694018
0.19876,0.2739633
0.199582,0.2511383
0.200336,0.2562371
0.201105,0.2584831
0.20188,0.3111598
