frame,value
0,1
0.00094,1.003916
0.002047,1.008463
0.003078,1.012165
0.004002,1.015653
0.004874,1.018761
0.005858,1.022198
0.006911,1.025172
0.007903,1.027874
0.008842,1.030251
0.009746,1.032359
0.010921,1.034876
0.011714,1.036496
0.013049,1.038955
0.013822,1.04063
0.014573,1.041823
0.015401,1.043452
0.016197,1.044659
0.017156,1.045919
0.017997,1.046786
0.018819,1.04768
0.019583,1.048462
0.020346,1.04921
0.021121,1.050269
0.021945,1.050771
0.022951,1.051241
0.023915,1.051583
0.024737,1.052453
0.025644,1.053276
0.026613,1.053241
0.027651,1.053323
0.028667,1.053479
0.029589,1.054417
0.030414,1.054411
0.031419,1.054453
0.032214,1.055128
0.03307,1.05575
0.033843,1.056421
0.034697,1.057279
0.035535,1.058343
0.036291,1.0594
0.037052,1.060281
0.037967,1.060786
0.038828,1.061304
0.03965,1.061998
0.040404,1.062969
0.041281,1.064295
0.042042,1.065452
0.042938,1.066364
0.0439,1.066762
0.044744,1.067312
0.045712,1.067911
0.046486,1.069456
0.047341,1.069585
0.048105,1.069694
0.048872,1.070415
0.04965,1.070274
0.050432,1.070095
0.051323,1.06978
0.052167,1.0695
0.052956,1.069233
0.053726,1.069082
0.054498,1.068897
0.055353,1.068515
0.056186,1.068146
0.056937,1.068045
0.057693,1.068614
0.058593,1.067954
0.059611,1.067399
0.060542,1.067082
0.061314,1.067172
0.062194,1.066795
0.062955,1.066625
0.063949,1.066023
0.064912,1.065806
0.06603,1.065594
0.067103,1.065334
0.067871,1.065211
0.068627,1.066156
0.069442,1.06597
0.07043,1.065578
0.071287,1.06576
0.07213,1.065797
0.072922,1.065752
0.073672,1.065881
0.074443,1.066139
0.075238,1.066109
0.076031,1.06604
0.076881,1.066264
0.077772,1.066345
0.078552,1.066834
0.079348,1.067329
0.080108,1.06756
0.080899,1.068209
0.081685,1.068752
0.082445,1.069408
0.083259,1.070155
0.084158,1.070583
0.084922,1.071015
0.085714,1.07147
0.086478,1.072109
0.087288,1.072702
0.088057,1.072846
0.088832,1.072971
0.089782,1.072722
0.090584,1.072312
0.091511,1.071887
0.092275,1.071278
0.093444,1.07031
0.094289,1.06941
0.09513,1.068858
0.095933,1.068233
0.096783,1.067672
0.097799,1.066533
0.09862,1.065667
0.099816,1.064388
0.100853,1.063395
0.101778,1.062592
0.102691,1.061793
0.103895,1.060772
0.104889,1.059958
0.105924,1.059183
0.107312,1.058162
0.108065,1.058068
0.109071,1.057326
0.110616,1.056289
0.1116,1.055686
0.112465,1.055366
0.113787,1.054631
0.114556,1.054893
0.115409,1.054394
0.116208,1.053911
0.117418,1.053305
0.118794,1.052689
0.119937,1.052297
0.12115,1.051767
0.121967,1.051813
0.122902,1.051621
0.123671,1.051612
0.124445,1.051333
0.125246,1.051662
0.126106,1.051635
0.126985,1.051425
0.127801,1.051546
0.128953,1.051076
0.129766,1.051194
0.130641,1.051114
0.13145,1.05118
0.132459,1.051173
0.133504,1.05088
0.134504,1.050771
0.135484,1.050599
0.136263,1.050721
0.137144,1.050803
0.138089,1.050911
0.139075,1.051001
0.139849,1.050983
0.140612,1.051056
0.141488,1.051094
0.14227,1.050971
0.143177,1.050816
0.144015,1.050638
0.144844,1.050408
0.145741,1.05022
0.146559,1.049753
0.14734,1.049335
0.148236,1.048793
0.14902,1.04826
0.14984,1.047527
0.150722,1.046771
0.152066,1.045649
0.153159,1.044831
0.153912,1.044593
0.15476,1.044193
0.155535,1.043659
0.156366,1.043358
0.157124,1.042866
0.157896,1.042363
0.159166,1.041564
0.160185,1.041008
0.161184,1.040492
0.16228,1.039978
0.163547,1.03942
0.164628,1.038996
0.16589,1.038503
0.16711,1.038063
0.168173,1.037706
0.169041,1.037589
0.169911,1.037374
0.170887,1.037205
0.171847,1.036904
0.172856,1.036742
0.17378,1.03652
0.174612,1.036322
0.175569,1.036088
0.176415,1.035951
0.177498,1.035766
0.178577,1.035609
0.17938,1.035473
0.18019,1.035411
0.180984,1.035306
0.181798,1.035258
0.182698,1.035018
0.183683,1.034948
0.184494,1.034932
0.185631,1.034695
0.186564,1.034706
0.187483,1.034672
0.188383,1.034476
0.18925,1.034409
0.190103,1.034328
0.191037,1.03421
0.191958,1.033985
0.193035,1.033762
0.193884,1.033606
0.194782,1.033394
0.195537,1.033253
0.196755,1.032934
0.198102,1.032596
0.198996,1.032387
0.199898,1.032255
0.201375,1.031842
0.202532,1.031618
0.203811,1.031186
0.204868,1.030851
0.205981,1.030514
0.207086,1.030201
0.208227,1.029894
0.209648,1.029513
0.210932,1.029201
0.212762,1.028751
0.214736,1.028301
0.215638,1.028149
0.216734,1.027946
0.217989,1.027711
0.220053,1.027311
0.221134,1.027147
0.223112,1.026803
0.225025,1.026494
0.227263,1.026144
0.229618,1.025797
0.232298,1.02542
0.234382,1.025155
0.237382,1.024777
0.238629,1.024656
0.239458,1.024604
0.241284,1.024412
0.243123,1.024222
0.24574,1.023947
0.248565,1.02366
0.250629,1.023468
0.253629,1.023189
0.25533,1.023051
0.25833,1.022789
0.261102,1.022558
0.264102,1.022318
0.266209,1.022165
0.268901,1.021966
0.270476,1.021868
0.27285,1.021706
0.275767,1.021508
0.277547,1.021397
0.280547,1.021202
0.2832,1.021037
0.2862,1.020854
0.288113,1.02075
0.291113,1.020577
0.292833,1.020492
0.294466,1.020411
0.297466,1.020248
0.300466,1.020089
0.303466,1.019934
0.306466,1.019787
0.309445,1.019642
0.311468,1.019554
0.314468,1.019417
0.317468,1.019282
0.320468,1.019148
0.323468,1.019021
0.326468,1.018894
0.328859,1.018801
0.331859,1.018681
0.333881,1.018608
0.336881,1.018493
0.339641,1.018389
0.342641,1.018277
0.344895,1.0182
0.347895,1.018092
0.350637,1.017998
0.363167,1.016894
0.373927,1.016183
0.382732,1.015882
0.39323,1.015917
0.404629,1.01668
0.414213,1.01789
0.423516,1.019198
0.433892,1.020319
0.44538,1.021073
0.455129,1.02152
0.466574,1.021637
0.477819,1.02158
0.488637,1.021431
0.498407,1.021175
0.508295,1.020964
0.520342,1.020693
0.529786,1.020502
0.539605,1.020336
0.550653,1.020196
0.560474,1.020124
0.571044,1.020074
0.583648,1.020129
0.592578,1.020089
0.601917,1.019988
0.610732,1.019956
0.619713,1.019997
0.63275,1.020082
0.646906,1.020219
0.659047,1.020282
0.669967,1.020257
0.67953,1.020235
0.690545,1.020306
0.702144,1.020268
0.715664,1.020288
0.728993,1.020364
0.743678,1.020422
0.753984,1.020428
0.772378,1.020553
0.781728,1.020523
0.793588,1.020533
0.812524,1.020572
0.837596,1.020644
0.866915,1.020547
0.88508,1.020448
0.899146,1.020432
0.910832,1.020418
0.931557,1.020424
0.947442,1.020423
0.961418,1.020419
0.978739,1.020436
0.999164,1.020449
1.019808,1.020446
1.03189,1.020418
1.051436,1.020415
1.068312,1.020306
1.091716,1.020368
1.108991,1.02044
1.119153,1.020391
1.141138,1.020361
1.157725,1.020385
1.171602,1.020357
1.181246,1.020337
1.19916,1.020332
1.22352,1.020308
1.243566,1.020283
1.276564,1.020297
1.287424,1.0203
1.305848,1.020325
1.318569,1.020302
1.337895,1.020262
1.357204,1.02022
1.369417,1.020121
1.380477,1.020122
1.389821,1.020167
1.399268,1.020241
1.413127,1.020409
1.424432,1.020473
1.433431,1.020689
1.44232,1.020846
1.452155,1.020986
1.461759,1.020711
1.471048,1.020403
1.480865,1.020133
1.489732,1.020052
1.498955,1.020063
1.5088,1.02024
1.517974,1.02048
1.528099,1.020858
1.539804,1.021216
1.5493,1.021489
1.559068,1.021734
1.57083,1.021859
1.580452,1.022333
1.590063,1.022683
1.600803,1.022812
1.610041,1.022874
1.618977,1.022868
1.627769,1.022791
1.637563,1.022845
1.647253,1.022861
1.656561,1.022961
1.667246,1.023085
1.677063,1.023353
1.688344,1.023476
1.697535,1.023558
1.707341,1.02353
1.719079,1.023122
1.728372,1.022956
1.73993,1.02257
1.750442,1.022262
1.76118,1.021934
1.772895,1.021461
1.782115,1.021324
1.791929,1.02099
1.80359,1.020705
1.814643,1.020562
1.824547,1.020387
1.836919,1.020255
1.849868,1.020116
1.860112,1.020111
1.870858,1.020089
1.882248,1.020126
1.893908,1.020311
1.905889,1.020587
1.920445,1.020991
1.930306,1.021674
1.939348,1.022234
1.950495,1.02286
1.961338,1.023153
1.970951,1.023391
1.980021,1.023532
1.992446,1.023727
2.003355,1.023573
2.013858,1.023271
2.024749,1.022806
2.033702,1.02257
2.044662,1.022
2.057212,1.021478
2.067771,1.02108
2.07736,1.020971
2.087416,1.020994
2.097102,1.021165
2.106937,1.021384
2.116338,1.021464
2.125123,1.021595
2.134034,1.022031
2.143297,1.022296
2.152155,1.022747
2.161131,1.022897
2.170772,1.023078
2.180947,1.022538
2.191248,1.022324
2.201476,1.022366
2.212203,1.022741
2.22308,1.023269
2.232741,1.023286
2.243139,1.023355
2.253385,1.023364
2.262335,1.023383
2.271862,1.02338
2.281698,1.023304
2.291377,1.023301
2.300785,1.023096
2.311016,1.02278
2.320207,1.022482
2.330831,1.022232
2.340334,1.021893
2.350326,1.021562
2.359963,1.02127
2.369235,1.020882
2.378441,1.020586
2.389123,1.020336
2.398556,1.02007
2.408876,1.019927
2.418075,1.019841
2.427263,1.019924
2.437197,1.020174
2.44628,1.020472
2.455796,1.020656
2.466525,1.020953
2.476453,1.021127
2.487679,1.021451
2.497006,1.021681
2.507524,1.021775
2.517282,1.021685
2.526639,1.021624
2.538818,1.021354
2.547821,1.021337
2.562475,1.021276
2.57498,1.02172
2.587027,1.022018
2.598672,1.022285
2.608141,1.022516
2.617136,1.022536
2.62758,1.022371
2.637239,1.022137
2.648947,1.021661
2.661433,1.021177
2.674137,1.020749
2.686508,1.020413
2.695837,1.020191
2.705549,1.020036
2.714796,1.020027
2.723728,1.020208
2.732552,1.020325
2.741948,1.020329
2.751839,1.020281
2.761332,1.020277
2.771484,1.020378
2.781352,1.02059
2.790321,1.020858
2.800694,1.021011
2.813192,1.021054
2.82445,1.021225
2.833421,1.021526
2.8451,1.021817
2.855751,1.022034
2.865086,1.022247
2.876802,1.022265
2.887489,1.022347
2.900126,1.022425
2.908895,1.022595
2.920359,1.022419
2.93057,1.022319
2.941239,1.022299
2.9528,1.022293
2.962542,1.022558
2.973178,1.022637
2.982847,1.022932
2.991833,1.023126
3.001191,1.02317
3.010325,1.023357
3.021768,1.023265
3.033924,1.023233
3.043297,1.023186
3.053082,1.023282
3.064312,1.023227
3.07519,1.02312
3.084677,1.023196
3.094518,1.023198
3.103436,1.023198
3.113091,1.023172
3.123992,1.023079
3.133044,1.02304
3.143603,1.022989
3.15399,1.022858
3.164265,1.022668
3.175737,1.022311
3.190306,1.021824
