frame,value
0,2
0,4
0,4
0.00094,4
0.00094,4
0.00094,4
0.002047,4
0.002047,4
0.003079,11
0.003079,4
0.003079,4
0.004002,4
0.004002,4
0.004002,4
0.004874,4
0.004874,4
0.004874,4
0.005858,4
0.005858,4
0.005858,4
0.006912,4
0.006912,4
0.006912,4
0.006912,4
0.007902,4
0.007902,4
0.007902,4
0.007902,4
0.008842,4
0.008842,4
0.008842,4
0.008842,4
0.009746,4
0.009746,4
0.009746,4
0.009746,4
0.010921,4
0.010921,4
0.010921,4
0.010921,4
0.011714,4
0.011714,4
0.011714,4
0.011714,4
0.013048,4
0.013048,4
0.013048,4
0.013048,4
0.013821,4
0.013821,4
0.013821,4
0.013821,4
0.014575,4
0.014575,4
0.014575,4
0.014575,4
0.014575,4
0.015391,4
0.015391,4
0.015391,4
0.015391,4
0.015391,4
0.016185,4
0.016185,4
0.016185,4
0.016185,4
0.016185,4
0.017157,4
0.017157,4
0.017157,4
0.017157,4
0.017157,4
0.017157,4
0.018329,4
0.018329,4
0.018329,4
0.018329,4
0.018329,4
0.018329,4
0.019202,4
0.019202,4
0.019202,4
0.019202,4
0.019202,4
0.020264,4
0.020264,4
0.020264,4
0.020264,4
0.020264,4
0.021089,4
0.021089,4
0.021089,4
0.021089,4
0.021089,4
0.021089,4
0.021992,4
0.021992,4
0.021992,4
0.021992,4
0.021992,4
0.022904,4
0.022904,4
0.022904,4
0.022904,4
0.02385,4
0.02385,4
0.02385,4
0.02385,4
0.02385,4
0.024663,4
0.024663,4
0.024663,4
0.024663,4
0.024663,4
0.025615,4
0.025615,4
0.025615,4
0.025615,4
0.026563,4
0.026563,4
0.026563,4
0.026563,4
0.026563,4
0.026563,4
0.027639,4
0.027639,4
0.027639,4
0.027639,4
0.027639,4
0.028414,4
0.028414,5
0.028414,5
0.028414,4
0.028414,4
0.028414,4
0.029203,4
0.029203,5
0.029203,5
0.029203,4
0.029203,4
0.029203,4
0.03001,4
0.03001,5
0.03001,5
0.03001,5
0.03001,5
0.030866,4
0.030866,5
0.030866,5
0.030866,4
0.030866,5
0.030866,4
0.031838,4
0.031838,5
0.031838,4
0.031838,4
0.031838,4
0.031838,4
0.032824,4
0.032824,5
0.032824,5
0.032824,4
0.032824,4
0.032824,4
0.033649,4
0.033649,5
0.033649,5
0.033649,4
0.033649,4
0.033649,4
0.033649,4
0.033649,4
0.033649,4
0.034471,4
0.034471,5
0.034471,5
0.034471,5
0.034471,5
0.034471,4
0.034471,4
0.034471,4
0.035325,4
0.035325,5
0.035325,5
0.035325,4
0.035325,4
0.035325,4
0.035325,5
0.03608,4
0.03608,5
0.03608,5
0.03608,5
0.03608,5
0.03608,5
0.03608,5
0.036856,4
0.036856,5
0.036856,5
0.036856,5
0.036856,5
0.036856,5
0.037636,4
0.037636,5
0.037636,5
0.037636,5
0.037636,5
0.037636,5
0.038449,4
0.038449,5
0.038449,5
0.038449,5
0.038449,5
0.038449,5
0.039202,4
0.039202,5
0.039202,5
0.039202,5
0.039202,5
0.039202,5
0.039979,4
0.039979,5
0.039979,5
0.039979,5
0.039979,5
0.040759,4
0.040759,5
0.040759,5
0.040759,5
0.040759,5
0.040759,5
0.041531,4
0.041531,5
0.041531,5
0.041531,5
0.041531,5
0.041531,5
0.041531,5
0.042399,4
0.042399,5
0.042399,5
0.042399,5
0.042399,5
0.043238,5
0.043238,5
0.043238,5
0.043238,5
0.043238,5
0.043238,5
0.04409,5
0.04409,5
0.04409,5
0.04409,5
0.04409,5
0.04409,5
0.045029,4
0.045029,5
0.045029,5
0.045029,5
0.045029,5
0.045029,5
0.04603,5
0.04603,5
0.04603,5
0.04603,5
0.04603,5
0.04603,5
0.04603,5
0.046898,5
0.046898,5
0.046898,5
0.046898,5
0.046898,5
0.047648,4
0.047648,5
0.047648,5
0.047648,5
0.047648,5
0.047648,5
0.047648,5
0.047648,5
0.048552,5
0.048552,5
0.048552,5
0.048552,5
0.048552,5
0.048552,5
0.049365,4
0.049365,5
0.049365,5
0.049365,5
0.049365,5
0.049365,5
0.050278,5
0.050278,5
0.050278,5
0.050278,5
0.050278,5
0.050278,5
0.050278,5
0.05115,5
0.05115,5
0.05115,5
0.05115,5
0.05115,5
0.052027,5
0.052027,5
0.052027,5
0.052027,5
0.052027,5
0.052027,5
0.052027,5
0.052781,5
0.052781,5
0.052781,5
0.052781,5
0.052781,5
0.052781,5
0.052781,5
0.052781,5
0.052781,5
0.053873,5
0.053873,5
0.053873,5
0.053873,5
0.053873,5
0.053873,5
0.053873,5
0.054623,5
0.054623,5
0.054623,5
0.054623,5
0.054623,5
0.054623,5
0.054623,5
0.054623,5
0.055585,5
0.055585,5
0.055585,5
0.055585,5
0.056347,5
0.056347,5
0.056347,5
0.056347,5
0.056347,5
0.056347,5
0.056347,5
0.057344,5
0.057344,5
0.057344,5
0.057344,5
0.058144,5
0.058144,5
0.058144,5
0.058144,5
0.058144,5
0.058144,5
0.058144,5
0.059178,5
0.059178,5
0.059178,5
0.059178,5
0.059178,5
0.059178,5
0.060057,5
0.060057,5
0.060057,5
0.060057,5
0.060909,5
0.060909,5
0.060909,5
0.060909,5
0.060909,5
0.060909,5
0.060909,5
0.060909,5
0.060909,5
0.062193,5
0.062193,5
0.062193,5
0.062193,5
0.062193,5
0.062193,5
0.062193,5
0.062193,5
0.062977,5
0.062977,5
0.062977,5
0.062977,5
0.062977,5
0.06378,5
0.06378,5
0.06378,5
0.06378,5
0.06378,5
0.06378,5
0.064567,5
0.064567,5
0.064567,5
0.064567,5
0.064567,5
0.064567,5
0.064567,5
