frame,value
0,0
0.00094,9.454631
0.002047,9.622332
0.003079,8.121048
0.004002,8.538745
0.004874,8.202093
0.005858,8.279563
0.006912,7.727758
0.007902,7.850574
0.008842,7.674066
0.009746,7.492215
0.010921,7.511394
0.011714,7.347234
0.013048,7.338603
0.013821,7.258279
0.014575,7.107652
0.015391,7.282037
0.016185,7.1058
0.017157,7.032223
0.018329,6.948752
0.019202,6.97263
0.020264,6.926425
0.021089,7.3163
0.021992,7.502038
0.022904,7.283469
0.02385,7.292269
0.024663,7.694647
0.025615,7.500981
0.026563,7.363424
0.027639,7.624584
0.028414,7.949007
0.029203,8.205112
0.03001,8.931497
0.030866,7.650504
0.031838,9.495884
0.032824,8.640138
0.033649,8.772593
0.034471,7.969921
0.035325,8.598713
0.03608,9.428505
0.036856,8.071205
0.037636,7.982835
0.038449,7.909708
0.039202,7.76962
0.039979,8.098275
0.040759,8.083444
0.041531,8.541574
0.042399,8.507587
0.043238,8.382503
0.04409,7.818278
0.045029,7.318826
0.04603,6.584945
0.046898,5.774574
0.047648,5.253563
0.048552,4.760541
0.049365,4.269474
0.050278,4.137331
0.05115,3.960971
0.052027,3.786196
0.052781,3.599249
0.053873,3.604845
0.054623,3.33798
0.055585,3.371239
0.056347,3.098401
0.057344,3.016173
0.058144,2.863855
0.059178,3.066213
0.060057,3.027769
0.060909,2.950131
0.062193,3.296557
0.062977,4.439199
0.06378,3.610885
0.064567,3.530215
0.065743,3.49621
0.066504,3.488557
0.067287,3.532444
0.068328,3.54105
0.069378,3.713308
0.070545,4.042305
0.071623,4.266079
0.072502,4.325658
0.073274,5.939439
0.074047,4.92204
0.074801,5.086427
0.075586,4.992816
0.076339,6.276658
0.077123,5.263737
0.0779,5.756288
0.078665,5.763947
0.079533,5.731712
0.080291,5.991454
0.081143,5.604576
0.082053,6.420282
0.082819,6.891632
0.083619,7.226671
0.084374,7.302765
0.085162,7.815084
0.085949,7.191997
0.086774,6.942408
0.08761,7.03421
0.088401,6.168496
0.089178,6.399708
0.090209,4.703465
0.090985,4.159904
0.091939,3.835746
0.092781,2.727313
0.093738,2.660853
0.094574,2.677441
0.095326,2.777009
0.096202,2.648195
0.09729,2.465776
0.098156,2.651804
0.099115,2.711795
0.100158,2.728991
0.101138,2.808208
0.102365,2.777205
0.103848,2.914056
0.104642,4.494292
0.105428,4.833292
0.106221,3.810681
0.107129,3.138481
0.107887,3.373875
0.109523,3.227886
0.110374,3.415816
0.111834,3.29948
0.112744,4.103969
0.113883,3.421602
0.114651,4.454184
0.115962,3.85437
0.116913,4.429529
0.117913,4.894055
0.119205,4.869187
0.120045,5.091312
0.120881,4.61551
0.121981,4.342566
0.123005,4.069496
0.123913,5.111031
0.124877,6.330996
0.125683,6.332902
0.126466,5.486514
0.127589,5.056211
0.128827,5.084744
0.130005,5.091835
0.130865,6.11523
0.131789,6.825794
0.132621,7.04939
0.133814,6.936193
0.134898,6.682637
0.135841,7.437165
0.136719,7.603232
0.137526,7.821411
0.138415,7.637137
0.139168,8.001344
0.139987,7.423378
0.140902,6.59028
0.141746,5.805863
0.142699,6.576464
0.143541,5.724788
0.14432,4.128809
0.145197,4.903871
0.145978,4.321144
0.146945,3.436816
0.147759,3.068236
0.148655,2.964401
0.149636,2.94053
0.150728,2.958174
0.151624,3.081071
0.152637,3.073898
0.153693,3.078626
0.154879,3.141529
0.15599,3.229468
0.157095,3.301157
0.158208,3.391567
0.15931,3.429188
0.16045,3.360997
0.161791,3.332991
0.162867,3.544468
0.16409,3.71154
0.164861,5.382332
0.166032,4.515109
0.166959,4.208961
0.167804,4.322546
0.168713,4.524007
0.169502,4.874743
0.170508,5.270949
0.171645,4.952085
0.17245,5.484369
0.173279,5.197952
0.17412,5.200606
0.175057,4.930014
0.176193,5.749027
0.17698,5.777705
0.178238,5.957024
0.179335,5.992029
0.18021,6.198291
0.181205,6.184386
0.182046,6.592858
0.182797,6.678482
0.183561,6.408185
0.184552,6.791705
0.185517,7.187418
0.186329,7.511942
0.187347,7.589235
0.188232,6.447566
0.188991,6.17625
0.189782,6.11314
0.19073,5.814356
0.191499,5.358269
0.192325,5.023948
0.193127,4.707112
0.193968,3.880537
0.194803,3.47349
0.195763,3.266838
0.196671,2.692305
0.197607,2.041719
0.198705,2.241533
0.199788,1.57944
0.200777,1.487681
0.20215,1.3778
0.203036,1.096875
0.204444,1.1393
0.205352,1.036031
0.206286,0.9700505
0.208587,1.084503
0.209558,0.7581847
0.211545,1.290133
0.214028,0.8906379
0.21539,0.722525
0.216855,0.7027411
0.218798,0.6859192
0.22047,0.6082652
0.222234,0.5767798
0.223278,0.4596555
0.225237,0.5311598
0.227501,0.5403498
0.22931,0.5097698
0.232085,0.5029325
0.234759,0.5190381
0.237072,0.4828186
0.239133,0.4276217
0.24036,0.3434344
0.242374,0.356269
0.245269,0.3420063
0.246807,0.3000116
0.24884,0.3173498
0.250645,0.2992039
0.253592,0.3104037
0.254956,0.4195909
0.255855,0.4531544
0.258855,0.3164414
0.260388,0.2657414
0.263388,0.2992572
0.266388,0.3096215
0.269012,0.2881833
0.270846,0.2544219
0.273846,0.2448936
0.276648,0.2493719
0.279648,0.2559761
0.281223,0.2420159
0.283305,0.2735849
0.286305,0.3453855
0.287784,0.3310216
0.28987,0.2732959
0.29287,0.3095207
0.294387,0.3591066
0.296673,0.377139
0.299673,0.363409
0.301092,0.4369932
0.302928,0.4076674
0.305928,0.3386523
0.307682,0.3100966
0.310483,0.3472661
0.313483,0.3509395
0.316412,0.2893811
0.319412,0.2229167
0.322412,0.1787145
0.325412,0.1795815
0.328207,0.1683425
0.331207,0.1555147
0.333787,0.1607779
0.336787,0.1734631
0.33943,0.1744099
0.34243,0.1749451
0.344721,0.1871312
0.347721,0.2015613
0.350023,0.2182613
