frame,value
0,116
0.00094,129
0.002047,80
0.003079,148
0.004002,124
0.004874,123
0.005858,122
0.006912,165
0.007902,159
0.008842,160
0.009746,163
0.010921,156
0.011714,160
0.013048,155
0.013821,156
0.014575,201
0.015391,200
0.016185,202
0.017157,252
0.018329,251
0.019202,206
0.020264,200
0.021089,249
0.021992,211
0.022904,163
0.02385,205
0.024663,213
0.025615,167
0.026563,261
0.027639,210
0.028414,262
0.029203,266
0.03001,224
0.030866,266
0.031838,269
0.032824,256
0.033649,390
0.034471,343
0.035325,297
0.03608,305
0.036856,249
0.037636,253
0.038449,250
0.039202,252
0.039979,211
0.040759,260
0.041531,308
0.042399,213
0.043238,260
0.04409,259
0.045029,262
0.04603,313
0.046898,212
0.047648,355
0.048552,257
0.049365,259
0.050278,305
0.05115,211
0.052027,298
0.052781,414
0.053873,297
0.054623,354
0.055585,158
0.056347,302
0.057344,158
0.058144,290
0.059178,252
0.060057,156
0.060909,383
0.062193,342
0.062977,200
0.06378,246
0.064567,380
0.065743,372
0.066504,336
0.067287,285
0.068328,280
0.069378,194
0.070545,195
0.071623,365
0.072502,366
0.073274,277
0.074047,281
0.074801,364
0.075586,288
0.076339,419
0.077123,326
0.0779,372
0.078665,416
0.079533,329
0.080291,287
0.081143,389
0.082053,337
0.082819,336
0.083619,245
0.084374,203
0.085162,248
0.085949,247
0.086774,243
0.08761,199
0.088401,244
0.089178,198
0.090209,194
0.090985,198
0.091939,151
0.092781,151
0.093738,149
0.094574,147
0.095326,148
0.096202,70
0.09729,147
0.098156,145
0.099115,145
0.100158,142
0.101138,144
0.102365,145
0.103848,174
0.104642,139
0.105428,137
0.106221,102
0.107129,64
0.107887,145
0.109523,99
0.110374,141
0.111834,134
0.112744,139
0.113883,100
0.114651,101
0.115962,102
0.116913,130
0.117913,135
0.119205,95
0.120045,133
0.120881,103
0.121981,137
0.123005,132
0.123913,137
0.124877,136
0.125683,97
0.126466,136
0.127589,102
0.128827,140
0.130005,136
0.130865,103
0.131789,109
0.132621,188
0.133814,141
0.134898,140
0.135841,150
0.136719,153
0.137526,201
0.138415,155
0.139168,246
0.139987,295
0.140902,253
0.141746,257
0.142699,244
0.143541,196
0.14432,198
0.145197,157
0.145978,203
0.146945,165
0.147759,162
0.148655,163
0.149636,159
0.150728,153
0.151624,155
0.152637,156
0.153693,157
0.154879,160
0.15599,156
0.157095,157
0.158208,154
0.15931,153
0.16045,159
0.161791,155
0.162867,150
0.16409,112
0.164861,200
0.166032,155
0.166959,155
0.167804,153
0.168713,116
0.169502,109
0.170508,146
0.171645,108
0.17245,106
0.173279,107
0.17412,104
0.175057,104
0.176193,102
0.17698,104
0.178238,105
0.179335,104
0.18021,144
0.181205,105
0.182046,67
0.182797,109
0.183561,152
0.184552,192
0.185517,159
0.186329,159
0.187347,157
0.188232,113
0.188991,151
0.189782,245
0.19073,202
0.191499,156
0.192325,237
0.193127,151
0.193968,109
0.194803,109
0.195763,106
0.196671,106
0.197607,105
0.198705,101
0.199788,67
0.200777,102
0.20215,63
0.203036,100
0.204444,63
0.205352,62
0.206286,103
0.208587,67
0.209558,108
0.211545,102
0.214028,65
0.21539,68
0.216855,61
0.218798,61
0.22047,65
0.222234,61
0.223278,60
0.225237,61
0.227501,61
0.22931,63
0.232085,63
0.234759,64
0.237072,61
0.239133,63
0.24036,66
0.242374,64
0.245269,60
0.246807,60
0.24884,61
0.250645,66
0.253592,60
0.254956,56
0.255855,92
0.258855,58
0.260388,62
0.263388,61
0.266388,61
0.269012,58
0.270846,61
0.273846,61
0.276648,62
0.279648,58
0.281223,59
0.283305,61
0.286305,57
0.287784,59
0.28987,64
0.29287,57
0.294387,59
0.296673,62
0.299673,58
0.301092,59
0.302928,62
0.305928,58
0.307682,64
0.310483,62
0.313483,62
0.316412,61
0.319412,60
0.322412,60
0.325412,59
0.328207,60
0.331207,59
0.333787,60
0.336787,59
0.33943,60
0.34243,58
0.344721,60
0.347721,59
0.350023,235
0.363776,275
0.375243,409
0.388903,566
0.402421,581
0.417077,620
0.431338,489
0.446482,306
0.458679,288
0.475541,368
0.488017,352
0.499341,391
0.511456,461
0.524862,554
0.537818,418
0.554014,474
0.569489,328
0.582823,274
0.59532,439
0.610414,389
0.627561,326
0.642636,432
0.659714,392
0.673642,293
0.687646,278
0.704696,205
0.716552,298
0.729962,360
0.745838,163
0.757442,260
0.771954,305
0.786766,275
0.803523,318
0.82334,325
0.84427,195
0.85633,173
0.879309,193
0.897493,181
0.921785,196
0.946645,304
0.972482,186
0.99093,167
1.013114,161
1.02632,159
1.037603,271
1.065312,194
1.082563,321
1.10772,174
1.122421,159
1.136344,170
1.156241,274
1.178857,272
1.203549,181
1.234624,159
1.246993,156
1.26003,265
1.280253,274
1.30474,153
1.31796,260
1.337148,262
1.358353,162
1.376046,265
1.399168,453
1.411293,652
1.42414,880
1.436827,658
1.449119,767
1.46038,688
1.47315,1045
1.485332,1310
1.496767,1159
1.508333,932
1.520291,736
1.532628,651
1.5445,563
1.557743,863
1.57008,928
1.583386,789
1.59739,777
1.611015,871
1.622999,745
1.635655,762
1.650485,583
1.663488,526
1.675597,521
1.691155,409
1.705816,414
1.721371,304
1.733522,400
1.746381,412
1.760276,412
1.775044,409
1.789578,416
1.80328,402
1.816497,402
1.83055,412
1.843402,420
1.857626,413
1.871166,400
1.882657,391
1.894254,428
1.907203,438
1.921328,393
1.936434,381
1.948541,386
1.961092,390
1.973535,538
1.987125,521
2.001469,416
2.015413,463
2.028501,442
2.044046,431
2.056044,684
2.067605,718
2.079706,758
2.091123,957
2.105368,1196
2.11875,2301
2.13061,3663
2.142136,5089
2.153793,4080
2.165682,3512
2.177049,1677
2.188554,874
2.200479,766
2.213539,753
2.225653,872
2.23705,748
2.248528,740
2.259786,696
2.271427,678
2.284158,771
2.296657,777
2.308333,784
2.321537,723
2.334602,600
2.349043,487
2.361957,940
2.373852,737
2.386277,607
2.397759,685
2.410201,602
2.421525,607
2.433188,703
2.445509,708
2.457315,733
2.468699,615
2.481638,691
2.495468,589
2.507901,569
2.519401,658
2.533015,592
2.546142,397
2.558796,391
2.574754,383
2.58771,394
2.601646,384
2.616925,279
2.628517,299
2.643236,408
2.656771,266
2.668816,262
2.680193,271
2.692893,580
2.706063,784
2.717466,1440
2.72879,1926
2.740494,1468
2.751773,1113
2.763806,1084
2.776306,662
2.78816,479
2.802926,464
2.814672,561
2.829425,354
2.842122,380
2.857806,371
2.873413,633
2.885859,439
2.89841,471
2.912414,384
2.926232,386
2.939019,513
2.952558,544
2.965945,462
2.979664,541
2.992312,658
3.006076,535
3.019142,419
3.031428,410
3.04632,632
3.059905,400
3.073472,603
3.08639,477
3.099039,892
3.110399,911
3.122234,1222
3.134978,675
3.148578,540
3.161715,429
3.174302,242
3.187767,252
3.206592,147
3.220217,273
3.238728,175
3.261415,196
3.280929,266
3.303897,188
3.325356,182
