frame,value
0,0.003
0.00094,0.003
0.002047,0.003
0.003078,0.003
0.004002,0.003
0.004874,0.003
0.005858,0.003
0.006912,0.003
0.007903,0.003
0.008842,0.003
0.009746,0.003
0.010921,0.003
0.011714,0.003
0.013048,0.003
0.013821,0.003
0.014573,0.003
0.015399,0.003
0.016198,0.003
0.017155,0.003
0.017978,0.003
0.018858,0.003
0.019618,0.003
0.020606,0.003
0.021413,0.003
0.022319,0.003
0.023364,0.003
0.024165,0.003
0.024933,0.003
0.025738,0.003
0.026534,0.003
0.027375,0.003
0.02821,0.003
0.028992,0.003
0.029867,0.003
0.030864,0.003
0.031748,0.003
0.032726,0.003
0.033515,0.003
0.034286,0.003
0.035057,0.003
0.035878,0.003
0.036649,0.003
0.037489,0.003
0.038296,0.003
0.039061,0.003
0.039856,0.003
0.040654,0.003
0.041533,0.003
0.042319,0.003
0.043107,0.003
0.043977,0.003
0.04489,0.003
0.045719,0.003
0.04666,0.003
0.047616,0.003
0.048531,0.003
0.049518,0.003
0.050306,0.003
0.051082,0.003
0.051955,0.003
0.052806,0.003
0.053826,0.003
0.054589,0.003
0.055361,0.003
0.056296,0.003
0.057055,0.003
0.057806,0.003
0.058654,0.003
0.059429,0.003
0.060407,0.003
0.06141,0.003
0.062456,0.003
0.063271,0.003
0.064214,0.003
0.064988,0.003
0.065759,0.003
0.066809,0.003
0.067792,0.003
0.068722,0.003
0.069822,0.003
0.070691,0.003
0.071551,0.003
0.072327,0.003
0.073095,0.003
0.07385,0.003
0.074614,0.003
0.075371,0.003
0.076205,0.003
0.076992,0.003
0.07776,0.003
0.078567,0.003
0.079383,0.003
0.080222,0.003
0.081008,0.003
0.081785,0.003
0.082547,0.003
0.083344,0.003
0.084191,0.003
0.085015,0.003
0.085857,0.003
0.086659,0.003
0.087493,0.003
0.088373,0.003
0.08913,0.003
0.089894,0.003
0.091053,0.003
0.092104,0.003
0.092993,0.003
0.093775,0.003
0.094843,0.003
0.095942,0.003
0.096796,0.003
0.097906,0.003
0.099117,0.003
0.100045,0.003
0.101199,0.003
0.102134,0.003
0.102913,0.003
0.103717,0.003
0.104521,0.003
0.105329,0.003
0.106924,0.003
0.107705,0.003
0.108804,0.003
0.10981,0.003
0.110569,0.003
0.111558,0.003
0.112505,0.003
0.113341,0.003
0.114328,0.003
0.115219,0.003
0.116401,0.003
0.117197,0.003
0.117973,0.003
0.1194,0.003
0.120332,0.003
0.121376,0.003
0.122429,0.003
0.12339,0.003
0.12425,0.003
0.125074,0.003
0.125882,0.003
0.126757,0.003
0.127993,0.003
0.128926,0.003
0.129963,0.003
0.13108,0.003
0.132371,0.003
0.133424,0.003
0.134186,0.003
0.134969,0.003
0.135832,0.003
0.13668,0.003
0.137538,0.003
0.138383,0.003
0.139148,0.003
0.139912,0.003
0.140761,0.003
0.141594,0.003
0.142361,0.003
0.14323,0.003
0.144091,0.003
0.145021,0.003
0.145882,0.003
0.146887,0.003
0.147656,0.003
0.148548,0.003
0.149316,0.003
0.15023,0.003
0.151238,0.003
0.152358,0.003
0.153694,0.003
0.154921,0.003
0.155689,0.003
0.156538,0.003
0.157358,0.003
0.158719,0.003
0.160002,0.003
0.16096,0.003
0.161869,0.003
0.163086,0.003
0.164123,0.003
0.165264,0.003
0.166422,0.003
0.16744,0.003
0.168559,0.003
0.169335,0.003
0.170235,0.003
0.171134,0.003
0.172018,0.003
0.172789,0.003
0.173668,0.003
0.174634,0.003
0.175785,0.003
0.176879,0.003
0.17784,0.003
0.179063,0.003
0.17994,0.003
0.18082,0.003
0.181759,0.003
0.182614,0.003
0.183592,0.003
0.184424,0.003
0.185231,0.003
0.186231,0.003
0.187009,0.003
0.187913,0.003
0.188706,0.003
0.189518,0.003
0.19031,0.003
0.19116,0.003
0.192011,0.003
0.193052,0.003
0.19408,0.003
0.195079,0.003
0.196042,0.003
0.197144,0.003
0.198185,0.003
0.199511,0.003
0.200884,0.003
0.201985,0.003
0.202994,0.003
0.203858,0.003
0.206095,0.003
0.206971,0.003
0.208658,0.003
0.210035,0.003
0.211569,0.003
0.212876,0.003
0.213819,0.003
0.214898,0.003
0.215676,0.003
0.217716,0.003
0.219606,0.003
0.221647,0.003
0.223137,0.003
0.22548,0.003
0.227441,0.003
0.229148,0.003
0.23115,0.003
0.233466,0.003
0.236466,0.003
0.239466,0.003
0.240917,0.003
0.242386,0.003
0.243422,0.003
0.245529,0.003
0.247815,0.003
0.249259,0.003
0.251264,0.003
0.253456,0.003
0.256456,0.003
0.259456,0.003
0.262116,0.003
0.264797,0.003
0.267719,0.003
0.270719,0.003
0.272709,0.003
0.275709,0.003
0.277493,0.003
0.28034,0.003
0.28334,0.003
0.28634,0.003
0.288754,0.003
0.291154,0.003
0.293827,0.003
0.296827,0.003
0.298485,0.003
0.301485,0.003
0.30373,0.003
0.30673,0.003
0.308111,0.003
0.309379,0.003
0.311922,0.003
0.314922,0.003
0.31724,0.003
0.32024,0.003
0.322154,0.003
0.325154,0.003
0.328154,0.003
0.331154,0.003
0.334154,0.003
0.336504,0.003
0.339244,0.003
0.342244,0.003
0.345244,0.003
0.348244,0.003
0.351244,0.047
0.366756,0.047
0.382382,0.047
0.394506,0.047
0.407041,0.047
0.419376,0.047
0.433193,0.047
0.445213,0.047
0.459474,0.047
0.475248,0.047
0.488676,0.047
0.504501,0.047
0.517156,0.047
0.529041,0.047
0.541849,0.047
0.555662,0.047
0.570805,0.047
0.590192,0.047
0.606164,0.047
0.623352,0.047
0.635421,0.047
0.650542,0.047
0.664929,0.047
0.679891,0.047
0.698017,0.047
0.713997,0.047
0.732659,0.047
0.752641,0.047
0.771861,0.047
0.792575,0.047
0.804634,0.047
0.830152,0.047
0.847651,0.047
0.86378,0.047
0.876755,0.047
0.892395,0.047
0.919326,0.047
0.948634,0.047
0.97291,0.047
0.996818,0.047
1.009607,0.047
1.030553,0.047
1.046851,0.047
1.07102,0.047
1.084576,0.047
1.10485,0.047
1.123564,0.047
1.14013,0.047
1.15568,0.047
1.171369,0.047
1.200987,0.047
1.227793,0.047
1.253631,0.047
1.268098,0.047
1.287041,0.047
1.305206,0.047
1.324721,0.047
1.349044,0.047
1.373874,0.047
1.386676,0.047
1.402004,0.047
1.416229,0.047
1.428277,0.047
1.440247,0.047
1.452216,0.047
1.467119,0.047
1.480643,0.047
1.493518,0.047
1.505913,0.047
1.517974,0.047
1.532222,0.047
1.545731,0.047
1.558618,0.047
1.571289,0.047
1.5841,0.047
1.598684,0.047
1.61201,0.047
1.624567,0.047
1.636623,0.047
1.64995,0.047
1.662194,0.047
1.674574,0.047
1.686822,0.047
1.702274,0.047
1.715369,0.047
1.73176,0.047
1.746691,0.047
1.758564,0.047
1.771793,0.047
1.784268,0.047
1.796271,0.047
1.809178,0.047
1.821786,0.047
1.83642,0.047
1.848531,0.047
1.864432,0.047
1.876616,0.047
1.890962,0.047
1.907242,0.047
1.919033,0.047
1.931906,0.047
1.943697,0.047
1.955685,0.047
1.968606,0.047
1.982118,0.047
1.996656,0.047
2.010117,0.047
2.02252,0.047
2.036585,0.047
2.049902,0.047
2.062023,0.047
2.077054,0.047
2.08965,0.047
2.103317,0.047
2.117451,0.047
2.129209,0.047
2.141068,0.047
2.152927,0.047
2.164815,0.047
2.176636,0.047
2.188966,0.047
2.202215,0.047
2.214909,0.047
2.228704,0.047
2.242923,0.047
2.255588,0.047
2.268418,0.047
2.282264,0.047
2.294291,0.047
2.307583,0.047
2.320289,0.047
2.334522,0.047
2.346652,0.047
2.359398,0.047
2.372379,0.047
2.385576,0.047
2.397645,0.047
2.412929,0.047
2.426597,0.047
2.438636,0.047
2.451509,0.047
2.464682,0.047
2.47771,0.047
2.490746,0.047
2.502754,0.047
2.516831,0.047
2.529175,0.047
2.541217,0.047
2.55564,0.047
2.567567,0.047
2.581404,0.047
2.596719,0.047
2.609054,0.047
2.623885,0.047
2.638881,0.047
2.653642,0.047
2.66689,0.047
2.680817,0.047
2.693404,0.047
2.707137,0.047
2.72002,0.047
2.731825,0.047
2.744162,0.047
2.756061,0.047
2.768002,0.047
2.780347,0.047
2.794269,0.047
2.807313,0.047
2.824655,0.047
2.842141,0.047
2.855515,0.047
2.867738,0.047
2.880843,0.047
2.896649,0.047
2.909325,0.047
2.921207,0.047
2.93437,0.047
2.946811,0.047
2.960928,0.047
2.976321,0.047
2.98809,0.047
3.001417,0.047
3.014626,0.047
3.029753,0.047
3.041682,0.047
3.054655,0.047
3.068124,0.047
3.080665,0.047
3.094111,0.047
3.106423,0.047
3.118262,0.047
3.130374,0.047
3.144258,0.047
3.15795,0.047
3.17235,0.047
3.186705,0.047
3.199379,0.047
3.213547,0.047
3.235316,0.047
3.248085,0.047
3.266349,0.047
3.28717,0.047
3.301265,0.047
3.319035,0.047
3.347601,0.047
3.366079,0.047
3.382009,0.047
3.4058,0.047
3.435551,0.047
3.469405,0.047
3.48309,0.047
3.502178,0.047
3.532524,0.047
3.549132,0.047
3.568608,0.047
3.596764,0.047
3.617729,0.047
3.65313,0.047
3.692554,0.047
3.73393,0.047
3.78093,0.047
3.80551,0.047
3.838798,0.047
3.879047,0.047
3.904129,0.047
3.924091,0.047
3.942139,0.047
3.968354,0.047
