frame,value
0,28
0,32
0,17
0.00094,37
0.00094,37
0.00094,19
0.002047,37
0.002047,19
0.003078,37
0.003078,34
0.003078,17
0.004002,35
0.004002,35
0.004002,16
0.004874,35
0.004874,34
0.004874,17
0.005858,34
0.005858,33
0.005858,18
0.006912,33
0.006912,34
0.006912,32
0.006912,18
0.007903,33
0.007903,32
0.007903,32
0.007903,16
0.008842,32
0.008842,32
0.008842,32
0.008842,15
0.009746,34
0.009746,32
0.009746,32
0.009746,16
0.010921,32
0.010921,31
0.010921,32
0.010921,12
0.011714,32
0.011714,31
0.011714,31
0.011714,18
0.013048,32
0.013048,32
0.013048,31
0.013048,12
0.013821,34
0.013821,31
0.013821,32
0.013821,12
0.014573,32
0.014573,32
0.014573,32
0.014573,32
0.014573,13
0.015399,33
0.015399,32
0.015399,31
0.015399,31
0.015399,12
0.016198,32
0.016198,31
0.016198,33
0.016198,31
0.016198,14
0.017155,31
0.017155,33
0.017155,34
0.017155,32
0.017155,33
0.017155,16
0.017978,35
0.017978,31
0.017978,33
0.017978,31
0.017978,32
0.017978,16
0.018858,34
0.018858,30
0.018858,32
0.018858,31
0.018858,14
0.019618,33
0.019618,32
0.019618,32
0.019618,31
0.019618,15
0.020606,31
0.020606,31
0.020606,31
0.020606,30
0.020606,13
0.021413,32
0.021413,32
0.021413,31
0.021413,32
0.021413,31
0.021413,16
0.022319,34
0.022319,32
0.022319,31
0.022319,32
0.022319,17
0.023364,32
0.023364,32
0.023364,32
0.023364,15
0.024165,32
0.024165,31
0.024165,31
0.024165,31
0.024165,13
0.024933,35
0.024933,33
0.024933,32
0.024933,32
0.024933,13
0.025738,33
0.025738,32
0.025738,14
0.026534,35
0.026534,32
0.026534,33
0.026534,34
0.026534,32
0.026534,16
0.027375,37
0.027375,35
0.027375,32
0.027375,32
0.027375,14
0.02821,35
0.02821,32
0.02821,32
0.02821,32
0.02821,33
0.02821,14
0.028992,35
0.028992,35
0.028992,33
0.028992,34
0.028992,35
0.028992,15
0.029867,36
0.029867,33
0.029867,34
0.029867,32
0.029867,34
0.029867,16
0.030864,33
0.030864,32
0.030864,35
0.030864,32
0.030864,34
0.030864,18
0.031748,34
0.031748,33
0.031748,34
0.031748,32
0.031748,33
0.031748,17
0.032726,31
0.032726,32
0.032726,32
0.032726,36
0.032726,32
0.032726,16
0.033515,31
0.033515,35
0.033515,32
0.033515,32
0.033515,31
0.033515,32
0.033515,32
0.033515,15
0.034286,31
0.034286,31
0.034286,32
0.034286,33
0.034286,33
0.034286,33
0.034286,16
0.035057,34
0.035057,33
0.035057,32
0.035057,32
0.035057,32
0.035057,32
0.035057,16
0.035878,33
0.035878,32
0.035878,31
0.035878,32
0.035878,32
0.035878,32
0.035878,15
0.036649,33
0.036649,29
0.036649,32
0.036649,31
0.036649,31
0.036649,16
0.037489,30
0.037489,31
0.037489,33
0.037489,31
0.037489,32
0.037489,17
0.038296,29
0.038296,32
0.038296,31
0.038296,32
0.038296,16
0.039061,31
0.039061,30
0.039061,32
0.039061,32
0.039061,32
0.039061,16
0.039856,31
0.039856,32
0.039856,32
0.039856,32
0.039856,32
0.039856,32
0.039856,16
0.040654,30
0.040654,34
0.040654,33
0.040654,33
0.040654,33
0.040654,17
0.041533,31
0.041533,32
0.041533,32
0.041533,34
0.041533,34
0.041533,17
0.042319,31
0.042319,32
0.042319,31
0.042319,31
0.042319,16
0.043107,31
0.043107,32
0.043107,32
0.043107,35
0.043107,35
0.043107,16
0.043977,31
0.043977,34
0.043977,32
0.043977,34
0.043977,33
0.043977,17
0.04489,32
0.04489,32
0.04489,32
0.04489,34
0.04489,35
0.04489,16
0.045719,32
0.045719,34
0.045719,31
0.045719,33
0.045719,33
0.045719,17
0.04666,31
0.04666,31
0.04666,33
0.04666,33
0.04666,33
0.04666,17
0.047616,31
0.047616,31
0.047616,33
0.047616,34
0.047616,34
0.047616,17
0.048531,30
0.048531,32
0.048531,34
0.048531,33
0.048531,34
0.048531,34
0.048531,17
0.049518,30
0.049518,32
0.049518,32
0.049518,33
0.049518,33
0.049518,17
0.050306,29
0.050306,31
0.050306,31
0.050306,33
0.050306,32
0.050306,15
0.051082,29
0.051082,32
0.051082,31
0.051082,32
0.051082,15
0.051955,27
0.051955,30
0.051955,31
0.051955,32
0.051955,32
0.051955,17
0.052806,28
0.052806,29
0.052806,30
0.052806,22
0.053826,28
0.053826,29
0.053826,32
0.053826,30
0.053826,37
0.053826,32
0.053826,15
0.054589,27
0.054589,30
0.054589,32
0.054589,30
0.054589,31
0.054589,38
0.054589,31
0.054589,37
0.054589,23
0.055361,28
0.055361,30
0.055361,30
0.055361,34
0.055361,31
0.055361,35
0.055361,31
0.055361,32
0.055361,16
0.056296,28
0.056296,31
0.056296,30
0.056296,30
0.056296,31
0.056296,17
0.057055,28
0.057055,29
0.057055,31
0.057055,30
0.057055,30
0.057055,31
0.057055,35
0.057055,31
0.057055,23
0.057806,29
0.057806,29
0.057806,30
0.057806,31
0.057806,35
0.057806,31
0.057806,32
0.057806,36
0.057806,18
0.058654,28
0.058654,30
0.058654,30
0.058654,30
0.058654,35
0.058654,30
0.058654,36
0.058654,35
0.058654,19
0.059429,28
0.059429,30
0.059429,29
0.059429,33
0.059429,31
0.059429,31
0.059429,19
0.060407,28
0.060407,29
0.060407,30
0.060407,33
0.060407,30
0.060407,33
0.060407,30
0.060407,36
0.060407,16
0.06141,27
0.06141,29
0.06141,29
0.06141,19
0.062456,28
0.062456,28
0.062456,29
0.062456,30
0.062456,30
0.062456,29
0.062456,15
0.063271,27
0.063271,28
0.063271,28
0.063271,18
0.064214,27
0.064214,27
0.064214,29
0.064214,30
0.064214,29
0.064214,34
0.064214,17
0.064988,27
0.064988,28
0.064988,30
0.064988,29
0.064988,33
0.064988,30
0.064988,33
0.064988,35
0.064988,31
0.064988,21
0.065759,26
0.065759,27
0.065759,28
0.065759,31
0.065759,29
0.065759,34
0.065759,16
0.066809,25
0.066809,26
0.066809,28
0.066809,28
0.066809,17
0.067792,26
0.067792,30
0.067792,28
0.067792,29
0.067792,35
0.067792,15
0.068722,26
0.068722,28
0.068722,28
0.068722,28
0.068722,28
0.068722,16
0.069822,26
0.069822,27
0.069822,28
0.069822,28
0.069822,29
0.069822,31
0.069822,15
0.070691,26
0.070691,27
0.070691,27
0.070691,32
0.070691,27
0.070691,28
0.070691,14
0.071551,25
0.071551,27
0.071551,28
0.071551,29
0.071551,28
0.071551,34
0.071551,28
0.071551,35
0.071551,30
0.071551,14
0.072327,26
0.072327,27
0.072327,29
0.072327,29
0.072327,29
0.072327,29
0.072327,14
0.073095,26
0.073095,27
0.073095,27
0.073095,31
0.073095,28
0.073095,35
0.073095,29
0.073095,30
0.073095,30
0.073095,19
0.07385,27
0.07385,27
0.07385,28
0.07385,34
0.07385,28
0.07385,28
0.07385,31
0.07385,29
0.07385,14
0.074614,27
0.074614,28
0.074614,29
0.074614,29
0.074614,31
0.074614,35
0.074614,30
0.074614,13
0.075371,26
0.075371,26
