frame,value
0,0.1005323
0,0.236472
0,0.09925239
0.00094,0.1744881
0.00094,0.2356967
0.00094,0.1087382
0.002047,0.3440191
0.002047,0.07081267
0.003079,0.2261096
0.003079,0.1055144
0.003079,0.08133008
0.004002,0.1451326
0.004002,0.170347
0.004002,0.0668173
0.004874,0.146936
0.004874,0.2127603
0.004874,0.08230899
0.00586,0.1572566
0.00586,0.2301123
0.00586,0.02956245
0.006913,0.1324957
0.006913,0.1109171
0.006913,0.1307202
0.006913,0.03581571
0.007902,0.1745594
0.007902,0.06800465
0.007902,0.2260678
0.007902,0.03849276
0.008842,0.208645
0.008842,0.06861995
0.008842,0.2632758
0.008842,0.03676594
0.009746,0.1760399
0.009746,0.06349525
0.009746,0.2367811
0.009746,0.02843103
0.010921,0.1322336
0.010921,0.07948744
0.010921,0.2915155
0.010921,0.04021453
0.011715,0.1716287
0.011715,0.0541949
0.011715,0.3003819
0.011715,0.02285561
0.013048,0.05654699
0.013048,0.2459453
0.013048,0.03763991
0.013048,0.07659586
0.013822,0.1182341
0.013822,0.06668882
0.013822,0.08966634
0.013822,0.03212202
0.014574,0.2735359
0.014574,0.06075091
0.014574,0.2599639
0.014574,0.09317395
0.014574,0.07377437
0.015425,0.07362172
0.015425,0.1235603
0.015425,0.03757813
0.015425,0.2708811
0.015425,0.04675298
0.016228,0.1271254
0.016228,0.02300538
0.016228,0.1137047
0.016228,0.1001647
0.016228,0.03847665
0.017188,0.09928463
0.017188,0.02242956
0.017188,0.1433545
0.017188,0.04843744
0.017188,0.05527833
0.017188,0.01942717
0.018035,0.09606446
0.018035,0.02595953
0.018035,0.1142616
0.018035,0.02222193
0.018035,0.1244551
0.018035,0.02325571
0.018988,0.08064125
0.018988,0.05199121
0.018988,0.07901696
0.018988,0.05797848
0.018988,0.09893413
0.018988,0.03181591
0.019944,0.08160461
0.019944,0.0391994
0.019944,0.1256828
0.019944,0.02983492
0.019944,0.2855973
0.019944,0.03918028
0.020902,0.07084266
0.020902,0.1047181
0.020902,0.0498939
0.020902,0.1933025
0.020902,0.03041904
0.021822,0.09121551
0.021822,0.1693098
0.021822,0.05093678
0.021822,0.1538144
0.021822,0.05225378
0.022671,0.08028267
0.022671,0.1219962
0.022671,0.08476768
0.022671,0.09999079
0.022671,0.03064201
0.023559,0.1129855
0.023559,0.05187647
0.023559,0.1548729
0.023559,0.02436795
0.024427,0.08922401
0.024427,0.06320958
0.024427,0.2506116
0.024427,0.03498548
0.024427,0.08460527
0.02522,0.04573712
0.02522,0.220103
0.02522,0.02664716
0.02522,0.2104243
0.02522,0.05623642
0.026059,0.1143207
0.026059,0.03918982
0.026059,0.2418499
0.026059,0.02733713
0.026825,0.1125039
0.026825,0.03654293
0.026825,0.2231947
0.026825,0.0527238
0.026825,0.2280575
0.026825,0.0245086
0.02788,0.1424773
0.02788,0.03450966
0.02788,0.2494507
0.02788,0.1202048
0.02788,0.100443
0.028771,0.03307258
0.028771,0.1084919
0.028771,0.1430908
0.028771,0.2828521
