frame,value
0,0.3132312
0.00094,0.3690585
0.002047,0.3440191
0.003079,0.3077661
0.004002,0.2907567
0.004874,0.3284341
0.00586,0.3511822
0.006913,0.329539
0.007902,0.3133576
0.008842,0.301388
0.009746,0.3915319
0.010921,0.2646036
0.011715,0.4444811
0.013048,0.2578953
0.013822,0.25083
0.014574,0.2834336
0.015425,0.2678139
0.016228,0.3198801
0.017188,0.282408
0.018035,0.3176807
0.018988,0.3186561
0.019944,0.3192496
0.020902,0.3069572
0.021822,0.2826974
0.022671,0.296173
0.023559,0.2892487
0.024427,0.2644159
0.02522,0.2795559
0.026059,0.2553156
0.026825,0.3519123
0.02788,0.2968947
0.028771,0.2754163
0.029597,0.2942894
0.03048,0.3114955
0.031415,0.2855933
0.032271,0.2839123
0.033123,0.2658323
0.033921,0.2807291
0.034763,0.2544404
0.035526,0.3098523
0.036456,0.2607235
0.037238,0.27233
0.038055,0.2922804
0.038932,0.2599892
0.039712,0.2721084
0.040528,0.2611877
0.041312,0.2848449
0.042166,0.2692715
0.042974,0.3064915
0.043893,0.3183963
0.044849,0.2831942
0.045698,0.3110353
0.046631,0.2969518
0.047522,0.2500162
0.048272,0.3131787
0.049212,0.2810623
0.050055,0.2660186
0.050853,0.256712
0.051623,0.2750796
0.052448,0.2919164
0.053324,0.2750857
0.054149,0.2613286
0.054933,0.3292256
0.055921,0.2812171
0.056765,0.2773081
0.057597,0.3733135
0.058717,0.3180186
0.059671,0.334708
0.060675,0.2505269
0.061426,0.2773817
0.062258,0.2514137
0.063013,0.2765837
0.063842,0.2679366
0.064646,0.2536671
0.065407,0.3030855
0.066317,0.252797
0.067075,0.3440036
0.068107,0.3653444
0.069203,0.3651822
0.070299,0.3665066
0.071398,0.2632941
0.072188,0.2503206
0.072939,0.2660309
0.073737,0.3091685
0.074664,0.2576682
0.075438,0.2708851
0.07625,0.2789087
0.077087,0.2700484
0.077897,0.2553947
0.078663,0.2847326
0.079517,0.2938252
0.080399,0.2575219
0.081171,0.2953344
0.082057,0.2612852
0.082841,0.2632218
0.083631,0.2662461
0.08443,0.2844462
0.085283,0.2789368
0.08612,0.2625688
0.086908,0.2937649
0.087789,0.2511869
0.088542,0.3244381
0.089516,0.2606257
0.090298,0.2834923
0.091148,0.2860966
0.092006,0.3150473
0.092952,0.2741856
0.093774,0.2575432
0.094547,0.2944684
0.09543,0.2658254
0.096228,0.3817067
0.097373,0.3176501
0.098326,0.3243884
0.099299,0.3155775
0.100246,0.2506413
0.100997,0.2517519
0.101753,0.3109611
0.102686,0.408058
0.10391,0.3462536
0.104949,0.4568428
0.106319,0.3989758
0.107516,0.5316132
0.109111,0.2750808
0.109936,0.2715347
0.110751,0.263373
0.111541,0.2889441
0.112408,0.4387346
0.113724,0.4178157
0.114977,0.3750859
0.116103,0.2953262
0.116989,0.2833862
0.117839,0.2933042
0.118719,0.2621174
0.119505,0.3679627
0.120609,0.3100627
0.121539,0.2838497
0.122391,0.2863523
0.12325,0.2536277
0.124011,0.3335772
0.125011,0.2533691
0.125771,0.2797646
0.126611,0.265166
0.127406,0.2625202
0.128194,0.3611312
0.129277,0.2598286
0.130057,0.3570143
0.131128,0.3804247
0.132269,0.3393329
0.133287,0.3133072
0.134227,0.333486
0.135227,0.4026792
0.136435,0.3080166
0.137359,0.2691645
0.138167,0.2595332
0.138945,0.2868578
0.139806,0.2591653
0.140584,0.2684939
0.141389,0.2821241
0.142235,0.2558193
0.143003,0.2739329
0.143825,0.3004352
0.144726,0.3069304
0.145647,0.2715283
0.146461,0.2749227
0.147286,0.349414
0.148334,0.2781002
0.149169,0.2588964
0.149945,0.2571384
0.150717,0.2986263
