frame,value
0,9
0,7
0,7
0.001086,7
0.001086,7
0.00214,7
0.00214,7
0.00348,7
0.00348,7
0.004704,7
0.004704,7
0.004704,7
0.005798,7
0.005798,7
0.005798,7
0.007126,7
0.007126,7
0.007126,7
0.00799,7
0.00799,7
0.00799,7
0.009009,7
0.009009,7
0.009009,7
0.009826,7
0.009826,7
0.009826,7
0.010803,7
0.010803,7
0.010803,7
0.011633,7
0.011633,7
0.011633,7
0.012411,7
0.012411,7
0.012411,7
0.013241,7
0.013241,7
0.013241,7
0.014033,7
0.014033,7
0.014033,7
0.014806,7
0.014806,7
0.014806,7
0.014806,7
0.015826,7
0.015826,7
0.015826,7
0.016595,7
0.016595,7
0.016595,7
0.016595,7
0.017485,7
0.017485,7
0.017485,7
0.017485,7
0.018268,7
0.018268,7
0.018268,7
0.018268,7
0.019118,7
0.019118,7
0.019118,7
0.020258,7
0.020258,7
0.020258,7
0.021014,7
0.021014,7
0.021014,7
0.021014,7
0.021949,7
0.021949,7
0.022841,7
0.022841,7
0.022841,7
0.023674,7
0.023674,7
0.024489,7
0.024489,7
0.024489,7
0.024489,7
0.025538,7
0.025538,7
0.025538,7
0.025538,7
0.026616,7
0.026616,7
0.026616,7
0.026616,7
0.026616,7
0.027512,7
0.027512,7
0.027512,7
0.027512,7
0.027512,7
0.027512,7
0.028363,7
0.028363,7
0.028363,7
0.028363,7
0.028363,7
0.028363,7
0.029368,7
0.029368,7
0.029368,7
0.029368,7
0.030237,7
0.030237,7
0.030237,7
0.030237,7
0.031045,7
0.031045,7
0.031045,7
0.0319,7
0.0319,7
0.0319,7
0.0319,7
0.033028,7
0.033028,7
0.033028,7
0.033028,7
0.033953,7
0.033953,7
0.033953,7
0.034727,7
0.034727,7
0.034727,7
0.034727,7
0.034727,7
0.036158,7
0.036158,7
0.036158,7
0.036158,7
0.037274,7
0.037274,7
0.037274,7
0.037274,7
0.038142,7
0.038142,7
0.038142,7
0.038142,7
0.038985,7
0.038985,7
0.038985,7
0.038985,7
0.039807,7
0.039807,8
0.039807,7
