frame,value
0,0.01889277
0,0.01663057
0,0.01427047
0.001086,0.01801687
0.001086,0.01439885
0.00214,0.01763553
0.00214,0.01458751
0.00348,0.0163303
0.00348,0.012774
0.004704,0.0162795
0.004704,0.01559541
0.004704,0.01064773
0.005798,0.01646282
0.005798,0.01565345
0.005798,0.00979687
0.007126,0.01588949
0.007126,0.01517743
0.007126,0.009475155
0.00799,0.01639695
0.00799,0.01525691
0.00799,0.009231918
0.009009,0.01614257
0.009009,0.0150273
0.009009,0.009150035
0.009826,0.01657963
0.009826,0.01516732
0.009826,0.008947541
0.010803,0.01607594
0.010803,0.01520422
0.010803,0.008852759
0.011633,0.01679075
0.011633,0.01500063
0.011633,0.008497094
0.012411,0.01604383
0.012411,0.01502283
0.012411,0.008788318
0.013241,0.01675358
0.013241,0.01583087
0.013241,0.008603796
0.014033,0.01715182
0.014033,0.01579338
0.014033,0.008540555
0.014806,0.01582146
0.014806,0.01452318
0.014806,0.01380859
0.014806,0.009183003
0.015826,0.01574713
0.015826,0.01457992
0.015826,0.009267879
0.016595,0.01650632
0.016595,0.01399932
0.016595,0.01378947
0.016595,0.009017868
0.017485,0.01696799
0.017485,0.01464402
0.017485,0.01366083
0.017485,0.009563854
0.018268,0.01691398
0.018268,0.0142235
0.018268,0.01383318
0.018268,0.01001038
0.019118,0.01730391
0.019118,0.01482276
0.019118,0.009813239
0.020258,0.01501954
0.020258,0.01365395
0.020258,0.01051834
0.021014,0.01640797
0.021014,0.01382724
0.021014,0.01332419
0.021014,0.01114945
0.021949,0.01569433
0.021949,0.01076695
0.022841,0.01502845
0.022841,0.01435439
0.022841,0.01183054
0.023674,0.01521735
0.023674,0.0117234
0.024489,0.01480106
0.024489,0.0139609
0.024489,0.01358945
0.024489,0.01284963
0.025538,0.01512888
0.025538,0.01397454
0.025538,0.01347629
0.025538,0.01282401
0.026616,0.01492901
0.026616,0.01447873
0.026616,0.01366088
0.026616,0.01292413
0.026616,0.01254216
0.027512,0.0151893
0.027512,0.01448608
0.027512,0.01429391
0.027512,0.0133684
0.027512,0.01311541
0.027512,0.01261274
0.028363,0.01509525
0.028363,0.01417574
0.028363,0.01404959
0.028363,0.01354944
0.028363,0.0132531
0.028363,0.01292573
0.029368,0.01546655
0.029368,0.01481092
0.029368,0.01335576
0.029368,0.01283949
0.030237,0.01569477
0.030237,0.01530216
0.030237,0.01359667
0.030237,0.01240241
0.031045,0.01609756
0.031045,0.01551362
0.031045,0.01127752
0.0319,0.01575506
0.0319,0.01451782
0.0319,0.01408377
0.0319,0.01162619
0.033028,0.01564253
0.033028,0.01509174
0.033028,0.01454381
0.033028,0.01070759
0.033953,0.01564015
0.033953,0.01389284
0.033953,0.01054567
0.034727,0.01620815
0.034727,0.01544181
0.034727,0.01445915
0.034727,0.01415172
0.034727,0.01148057
0.036158,0.01584187
0.036158,0.01486528
0.036158,0.01422423
0.036158,0.01159357
0.037274,0.01541505
0.037274,0.01519003
0.037274,0.01641022
0.037274,0.01164915
0.038142,0.01691229
0.038142,0.01544896
0.038142,0.01521239
0.038142,0.01162953
0.038985,0.01663067
0.038985,0.01563292
0.038985,0.01536427
0.038985,0.01142638
0.039807,0.01648339
0.039807,0.01523268
0.039807,0.01503184
0.039807,0.01120467
0.040678,0.01644321
0.040678,0.01595894
0.040678,0.01509269
0.040678,0.01015236
0.041467,0.01663915
0.041467,0.01597855
0.041467,0.01532628
0.041467,0.01500103
0.041467,0.009233812
0.042293,0.01725483
0.042293,0.01675719
0.042293,0.01587024
0.042293,0.01450766
0.042293,0.01422422
0.042293,0.01476261
0.042293,0.010077
0.043139,0.01939213
0.043139,0.01900087
0.043139,0.01844789
0.043139,0.01813627
0.043139,0.009221534
0.043986,0.01940607
0.043986,0.0193412
0.043986,0.01905745
0.043986,0.01828001
0.043986,0.00958009
0.04483,0.02047262
0.04483,0.02007926
0.04483,0.01942197
0.04483,0.01766219
0.04483,0.01643889
0.04483,0.01516223
0.04483,0.01369416
0.045732,0.01675611
0.045732,0.01586385
0.045732,0.01561962
0.045732,0.01483357
0.045732,0.01691044
0.046571,0.01771533
0.046571,0.01675564
0.046571,0.01581527
0.046571,0.01747881
0.046571,0.01170035
0.047349,0.01709349
0.047349,0.01651714
0.047349,0.01585398
0.047349,0.01782111
0.047349,0.01740617
0.048185,0.01686092
0.048185,0.01590549
0.048185,0.01583939
0.048185,0.0171494
0.048185,0.01142171
0.048976,0.01769463
0.048976,0.01737595
0.048976,0.01655396
0.048976,0.02037399
0.048976,0.01328205
0.049779,0.01725108
0.049779,0.01529441
0.049779,0.01572156
0.049779,0.01218088
0.050798,0.0170936
0.050798,0.01603295
0.050798,0.0194965
0.050798,0.019004
0.050798,0.01934671
0.051659,0.018053
0.051659,0.01776156
0.051659,0.01648151
0.051659,0.01685716
0.051659,0.01761695
0.05254,0.01842955
0.05254,0.01740405
0.05254,0.01678563
0.05254,0.01528473
0.05254,0.01246942
0.053356,0.01891886
0.053356,0.0180419
0.053356,0.01546803
0.053356,0.01502245
0.053356,0.008757934
0.054251,0.01808378
0.054251,0.01673474
0.054251,0.01602875
0.054251,0.007960252
0.055025,0.01782612
0.055025,0.01592215
0.055025,0.015142
0.055025,0.007636844
0.055835,0.01715791
0.055835,0.01577408
0.055835,0.01493492
0.055835,0.01375209
0.055835,0.007138965
0.05663,0.01608573
0.05663,0.01591161
0.05663,0.01447514
0.05663,0.01396017
0.05663,0.00625263
0.057558,0.01534876
0.057558,0.01413297
0.057558,0.01335151
0.057558,0.005338812
0.058328,0.01454603
0.058328,0.01273112
0.058328,0.01249205
0.058328,0.01594069
0.059159,0.0133713
0.059159,0.01258603
0.059159,0.01221788
0.059159,0.01301968
0.059159,0.01209794
0.059159,0.005603029
0.06011,0.01258791
0.06011,0.01085617
0.06011,0.0107038
0.06011,0.006112495
0.061046,0.01157851
0.061046,0.01107704
0.061046,0.009508459
0.061046,0.009121472
0.061046,0.005028551
0.061913,0.01067834
0.061913,0.009984686
0.061913,0.009523025
0.061913,0.01501755
0.061913,0.00807219
0.061913,0.00598554
0.062787,0.009657893
0.062787,0.01238741
0.062787,0.009071338
0.062787,0.009761946
0.062787,0.008030327
0.062787,0.005252246
0.063628,0.009366904
0.063628,0.008323219
0.063628,0.008247771
0.063628,0.0097127
0.064392,0.009213502
0.064392,0.01334236
0.064392,0.008666732
0.064392,0.006637651
0.065288,0.00874274
0.065288,0.008521584
0.065288,0.007750772
0.065288,0.007694148
0.065288,0.00552765
0.066157,0.008581194
0.066157,0.008022005
0.066157,0.007843995
0.066157,0.008928399
0.066927,0.008379609
0.066927,0.008011917
0.066927,0.00784384
0.066927,0.02265364
0.066927,0.006930994
0.066927,0.006876638
0.066927,0.009612154
0.068069,0.008142948
0.068069,0.007748833
0.068069,0.007560539
0.068069,0.01949706
0.068069,0.006818877
0.068069,0.01290272
0.068069,0.005697083
0.068821,0.008114922
0.068821,0.007941948
0.068821,0.02740033
0.068821,0.01538432
0.068821,0.007722554
0.068821,0.006381602
0.069899,0.007810844
0.069899,0.01211412
0.069899,0.01107137
0.069899,0.01206128
0.069899,0.008675587
0.069899,0.0148011
0.069899,0.008275479
0.069899,0.01810273
0.070954,0.02204344
0.070954,0.0113191
0.070954,0.0104608
0.070954,0.0115013
0.070954,0.01023761
0.070954,0.01165502
0.070954,0.01019347
0.070954,0.01171035
0.070954,0.01026395
0.070954,0.01161206
0.070954,0.01079336
0.070954,0.01078607
0.070954,0.01297709
0.070954,0.005900037
0.071711,0.01601247
0.071711,0.007441156
0.071711,0.007289946
0.071711,0.01325877
0.072465,0.007037251
0.072465,0.01913887
0.072465,0.006747105
0.072465,0.007072891
0.073347,0.006952017
0.073347,0.01261112
0.073347,0.01450606
0.073347,0.007340014
0.073347,0.01905826
0.073347,0.006197726
0.073347,0.01350076
0.0742,0.006891676
0.0742,0.006606914
0.0742,0.01288692
0.0742,0.006173647
0.074971,0.006609779
0.074971,0.006450006
0.074971,0.008284333
0.076062,0.006354982
0.076062,0.006271741
0.076062,0.006053501
0.076062,0.006007167
0.076062,0.006503106
0.077014,0.006374951
0.077014,0.006201149
0.077014,0.006128526
0.077014,0.007389738
0.078046,0.006370017
0.078046,0.01351111
0.078046,0.006191345
0.078046,0.006108825
0.078046,0.007485637
0.078046,0.00905924
0.079025,0.006397575
0.079025,0.006318523
0.079025,0.008863387
0.079955,0.006464693
0.079955,0.006319281
0.079955,0.008171012
0.079955,0.01090938
0.079955,0.01058844
0.08096,0.006892499
0.08096,0.02235505
0.08096,0.01111346
0.08096,0.01056606
0.08096,0.01999266
0.08096,0.006489301
0.08096,0.01108397
0.081952,0.006681687
0.081952,0.008624939
0.083144,0.006852145
0.083144,0.006622928
0.083144,0.01018004
0.083144,0.01023475
0.083144,0.007457623
