frame,value
0,0.3621611
0.001086,0.3512265
0.00214,0.4467299
0.00348,0.4079898
0.004704,0.3644405
0.005798,0.4427326
0.007126,0.2882036
0.00799,0.3393766
0.009009,0.2724991
0.009826,0.3255636
0.010803,0.2768433
0.011633,0.2592245
0.012411,0.2768066
0.013241,0.2639961
0.014033,0.2574816
0.014806,0.3401386
0.015826,0.2561744
0.016595,0.2966608
0.017485,0.2611898
0.018268,0.283152
0.019118,0.3802334
0.020258,0.2517873
0.021014,0.3116034
0.021949,0.2976084
0.022841,0.2774301
0.023674,0.2718076
0.024489,0.3497391
0.025538,0.3591634
0.026616,0.2988651
0.027512,0.2836112
0.028363,0.3349794
0.029368,0.2895098
0.030237,0.2693811
0.031045,0.2851246
0.0319,0.3758121
0.033028,0.3084143
0.033953,0.2578446
0.034727,0.4772706
0.036158,0.3718168
0.037274,0.2894964
0.038142,0.2810592
0.038985,0.2738146
0.039807,0.2904815
0.040678,0.262773
0.041467,0.2754775
0.042293,0.2818471
0.043139,0.282376
0.043986,0.2814942
0.04483,0.3005207
0.045732,0.2796022
0.046571,0.2594161
0.047349,0.2788349
0.048185,0.2636551
0.048976,0.2674271
0.049779,0.3397313
0.050798,0.2869198
0.051659,0.2939121
0.05254,0.2720082
0.053356,0.2983551
0.054251,0.2579722
0.055025,0.269779
0.055835,0.2651294
0.05663,0.3091735
0.057558,0.2567821
0.058328,0.276984
0.059159,0.3171938
0.06011,0.311968
0.061046,0.2889342
0.061913,0.2914263
0.062787,0.280345
0.063628,0.2543737
0.064392,0.2988524
0.065288,0.2894752
0.066157,0.2568692
0.066927,0.3806085
0.068069,0.2506307
0.068821,0.3592266
0.069899,0.3517835
0.070954,0.2523355
0.071711,0.2514945
0.072465,0.2937017
0.073347,0.2845559
0.0742,0.2569819
0.074971,0.3637327
0.076062,0.3173453
0.077014,0.3438263
0.078046,0.3262329
0.079025,0.3101074
0.079955,0.3351931
0.08096,0.3306159
0.081952,0.397234
0.083144,0.3065162
0.084064,0.2624866
0.084851,0.2951235
0.085736,0.2620053
0.086522,0.2536342
0.087283,0.3867874
0.088444,0.2817511
0.089289,0.3228683
0.090257,0.3137538
0.091199,0.2851394
0.092054,0.2687827
0.092861,0.2735721
0.093681,0.3035389
0.094592,0.283507
0.095442,0.2677484
0.096246,0.2689534
0.097052,0.2603997
0.097834,0.3005654
0.098735,0.329984
0.099725,0.2930987
0.100605,0.2919981
0.101481,0.2650681
0.102276,0.2587354
0.103052,0.2662212
0.103851,0.2767597
0.104681,0.2575543
0.105454,0.2634952
0.106244,0.2670965
0.107045,0.3127561
0.107984,0.258481
0.108759,0.2742143
0.109582,0.2638242
0.110373,0.2829921
0.111222,0.3335057
0.112223,0.3214681
0.113187,0.2945545
0.114071,0.3154099
0.115017,0.3259655
0.115995,0.3093659
0.116923,0.2596711
0.117702,0.3190985
0.118659,0.2570932
0.119431,0.3282723
0.120415,0.3571203
0.121487,0.2514616
0.122241,0.2883117
0.123106,0.251359
0.12386,0.4853011
0.125316,0.2608432
0.126099,0.4370762
0.12741,0.2626553
0.128198,0.2846711
0.129052,0.2710915
0.129865,0.2743121
0.130688,0.2543422
0.131451,0.5538327
0.133113,0.4549319
0.134477,0.298829
0.135374,0.4445134
0.136707,0.4450253
0.138042,0.278001
0.138876,0.2835478
0.139727,0.2722511
0.140544,0.4869682
0.142005,0.2946876
0.142889,0.626894
0.14477,0.3965928
0.145959,0.2544523
0.146723,0.3939219
0.147904,0.2961548
0.148793,0.4091908
0.15002,0.4584253
0.151396,0.6123572
0.153233,0.3259496
0.154211,0.3495298
0.155259,0.3704134
0.15637,0.3838952
0.157522,0.3560433
0.15859,0.5085313
0.160116,0.2519908
0.160872,0.3217104
0.161837,0.2838625
0.162689,0.356988
0.16376,0.2781278
0.164594,0.5227042
0.166162,0.3442291
0.167195,0.3037919
0.168106,0.3292859
0.169094,0.2911333
0.169967,0.4297118
0.171256,0.3592876
0.172334,0.2768752
0.173165,0.5068229
0.174685,0.2775775
0.175518,0.4456071
0.176855,0.3676303
0.177958,0.2751006
0.178783,0.2683553
0.179588,0.2641371
0.180381,0.25955
0.181159,0.3056961
0.182076,0.2678977
0.18288,0.2594503
0.183658,0.2954332
0.184545,0.2755863
0.185372,0.3169822
0.186322,0.2911058
0.187196,0.3088369
0.188122,0.2949154
0.189007,0.3494259
0.190055,0.3193934
0.191013,0.2803927
0.191855,0.2522671
0.192611,0.3454796
0.193648,0.328947
0.194635,0.2981665
0.195529,0.2588432
0.196306,0.3467926
0.197346,0.337346
0.198358,0.2765296
0.199188,0.3974719
0.20038,0.3169615
0.201331,0.2893999
0.202199,0.3737539
0.203321,0.2870137
0.204182,0.3380633
0.205196,0.2503362
0.205947,0.2916782
0.206822,0.2603268
0.207603,0.2840414
0.208455,0.2584161
0.20923,0.3006322
0.210132,0.2526365
0.21089,0.340007
0.21191,0.2724841
0.212727,0.3951537
0.213913,0.2927566
0.214791,0.4393213
0.216109,0.3315767
0.217104,0.3893135
0.218272,0.4008869
0.219474,0.5290024
0.221061,0.483463
0.222512,0.5136
0.224053,0.2634121
0.224843,0.3074374
0.225765,0.4256535
0.227042,0.2524577
0.2278,0.5479026
0.229443,0.3117521
0.230379,0.2916676
0.231254,0.2892759
0.232121,0.3930585
0.233301,0.3427501
0.234329,0.4068279
0.235549,0.3200044
0.236509,0.3921377
0.237686,0.3618562
0.238771,0.4071296
0.239993,0.4178359
0.241246,0.3753735
0.242372,0.3282811
0.243357,0.3684703
0.244463,0.2576043
0.245235,0.3307996
0.246228,0.3530708
0.247287,0.3186533
0.248243,0.4104294
0.249474,0.3965621
0.250664,0.4745573
0.252088,0.4097611
0.253317,0.2922345
0.254194,0.4280071
0.255478,0.2714636
0.256292,0.592321
0.258069,0.4388041
0.259385,0.6595696
0.261364,0.4404629
0.262685,0.4161141
0.263934,0.5415159
0.265558,0.6411432
0.267482,0.7415481
0.269706,0.399535
0.270905,0.6969908
0.272996,0.4645171
0.27439,0.4302777
0.27568,0.6588985
0.277657,0.8303459
0.280148,0.8193216
0.282606,0.9873644
0.285568,0.5987155
0.287364,1
0.290364,0.8205228
0.292826,1
0.295826,0.5517361
0.297481,0.5168931
0.299032,0.5223856
0.300599,0.6931643
0.302678,1
0.305678,0.8464425
0.308218,1
0.311218,0.8932142
0.313897,0.7724014
0.316215,1
0.319215,0.6775423
0.321247,1
0.324247,0.4082612
0.325472,0.3367466
0.326482,0.3984902
0.327678,0.8954313
0.330364,1
0.333364,0.6365896
0.335274,1
0.338274,0.4623506
0.339661,0.6923274
0.341738,1
0.344738,0.5133781
0.346278,0.6633116
0.348268,1
0.351268,0.3356663
0.368051,0.2602188
0.381062,0.2572289
0.393924,0.3673187
0.412289,0.2633199
0.425455,0.2658415
0.438748,0.3878064
0.458138,0.2843203
0.472354,0.3236374
0.488536,0.270413
0.502056,0.2614282
0.515128,0.2815605
0.529206,0.27083
0.542747,0.2538844
0.555442,0.2952821
0.570206,0.2752242
0.583967,0.2571638
0.596825,0.4069477
0.617172,0.3461936
0.634482,0.2663002
0.647797,0.359514
0.665773,0.2823805
0.679892,0.3864559
0.699215,0.4224618
0.720338,0.3874707
0.739711,0.2701379
0.753218,0.4061865
0.773528,0.2611749
0.786586,0.5192992
0.812551,0.4746656
0.836285,0.4342497
0.857997,0.5574084
0.885867,0.4468513
0.90821,0.3064324
0.923532,0.3876743
0.942915,0.5135769
0.968594,0.5084071
0.994015,0.6040511
1.024217,0.3083299
1.039634,0.5344608
1.066357,0.5216199
1.092438,0.4865714
1.116766,0.3906923
1.136301,0.4753308
1.160067,0.4117754
1.180656,0.4971582
1.205514,0.4175333
1.226391,0.2828011
1.240531,0.3244196
1.256752,0.3534591
1.274425,0.488181
1.298834,0.4388156
1.320775,0.2728026
1.334415,0.2799872
1.348414,0.3436806
1.365598,0.3430437
1.38275,0.402187
1.40286,0.2713417
1.416427,0.2554257
1.429198,0.2827911
1.443337,0.2662672
1.456651,0.2666648
1.469984,0.252742
1.482621,0.323772
1.49881,0.2567875
1.511649,0.2954976
1.526424,0.3161998
1.542234,0.320705
1.558269,0.2507412
1.570806,0.2812404
1.584868,0.25938
1.597837,0.3051793
1.613096,0.3278433
1.629488,0.2783785
1.643407,0.2860909
1.657712,0.3258259
1.674003,0.3075758
1.689382,0.2521368
1.701989,0.3242117
1.718199,0.3124465
1.733822,0.3296635
1.750305,0.2524248
1.762926,0.2776938
1.776811,0.2819661
1.790909,0.3109714
1.806458,0.3250563
1.822711,0.3254508
1.838983,0.2665743
1.852312,0.2645237
1.865538,0.2932647
1.880201,0.275467
1.893975,0.2557533
1.906762,0.2896705
1.921246,0.3177537
1.937134,0.3191682
1.953092,0.3332384
1.969754,0.2803815
1.983773,0.3399639
2.000771,0.2500742
2.013275,0.2985862
2.028204,0.3575244
2.04608,0.3604314
2.064102,0.2519104
2.076697,0.2691418
2.090155,0.2581403
2.103062,0.2865047
2.117387,0.2519683
2.129985,0.2506706
2.142519,0.2548295
2.15526,0.2514105
2.167831,0.2528321
2.180472,0.2517416
2.193059,0.3171349
2.208916,0.2892257
2.223377,0.2833588
2.237545,0.2708074
2.251086,0.2996211
2.266067,0.3133268
2.281733,0.2715747
2.295312,0.2624154
2.308433,0.2585448
2.32136,0.3269883
2.337709,0.3444728
2.354933,0.2599752
2.367932,0.2727202
2.381568,0.2552716
2.394331,0.2557638
2.407119,0.2835575
2.421297,0.2868293
2.435639,0.298969
2.450587,0.3185012
2.466512,0.2522044
2.479123,0.2927944
2.493762,0.3021293
2.508869,0.3206406
2.524901,0.2747011
2.538636,0.2889398
2.553083,0.2768358
2.566925,0.26758
2.580304,0.2749146
2.594049,0.2892218
2.60851,0.3203746
2.624529,0.273962
2.638227,0.3563988
2.656047,0.331617
2.672628,0.3326178
2.689259,0.2837474
2.703446,0.2928646
2.71809,0.2526047
2.73072,0.2635059
2.743895,0.2506488
2.756428,0.2621606
2.769536,0.2783763
2.783454,0.2617444
2.796542,0.3140553
2.812244,0.3310613
2.828797,0.3572754
2.846661,0.280365
2.860679,0.2868371
2.875021,0.2550099
2.887772,0.3752575
2.906535,0.302911
2.92168,0.2549849
2.934429,0.3086837
2.949864,0.2819992
2.963964,0.2537161
2.976649,0.2548095
2.98939,0.2818846
3.003484,0.285453
3.017757,0.3086485
3.033189,0.2876987
3.047574,0.3211443
3.063631,0.2713445
3.077199,0.2506357
3.08973,0.2626925
3.102865,0.2794582
3.116838,0.2853436
3.131105,0.3155236
3.146881,0.2612503
3.159944,0.2666413
3.173276,0.3244633
3.189499,0.3150376
3.205251,0.3442824
3.222465,0.3556316
3.240247,0.493945
3.264944,0.5431701
3.292102,0.2621397
3.305209,0.6166677
3.336043,0.4373929
3.357912,0.3061189
3.373218,0.4579952
3.396118,0.5268129
3.422459,0.6328351
3.4541,0.9548244
3.501842,0.6715742
3.53542,0.6644804
3.568644,1
3.618644,1
3.668644,1
3.718644,1
