frame,value
0,1
0.001086,1.125181
0.00214,1.136722
0.00348,1.134707
0.004702,1.135631
0.005796,1.137596
0.00712,1.13722
0.007986,1.138039
0.009004,1.138223
0.00982,1.137344
0.010798,1.138334
0.011627,1.138167
0.012409,1.13805
0.013239,1.138138
0.01403,1.138301
0.014804,1.137771
0.015826,1.138013
0.016604,1.137655
0.017493,1.138734
0.018271,1.138753
0.019118,1.138807
0.020217,1.13652
0.021341,1.138171
0.022408,1.138681
0.023387,1.136962
0.024247,1.138438
0.025266,1.138029
0.026104,1.138943
0.02692,1.13833
0.027748,1.138741
0.028671,1.137398
0.029694,1.137707
0.030462,1.137961
0.031212,1.136803
0.032609,1.13597
0.033388,1.138463
0.034308,1.138238
0.035137,1.138334
0.036344,1.136954
0.037226,1.137817
0.038397,1.13614
0.039204,1.138442
0.040075,1.13802
0.040882,1.138312
0.04177,1.138361
0.042552,1.138494
0.043344,1.138317
0.044189,1.136643
0.044992,1.137629
0.045881,1.136474
0.04664,1.13878
0.04741,1.137754
0.048233,1.138141
0.04903,1.138667
0.050011,1.137241
0.051002,1.137925
0.05179,1.138367
0.052632,1.136252
0.053486,1.138539
0.054289,1.138094
0.055101,1.138034
0.055928,1.138665
0.056788,1.138152
0.057562,1.138646
0.058475,1.137919
0.059262,1.139121
0.060071,1.138309
0.060847,1.1386
0.061899,1.138167
0.062705,1.137778
0.063489,1.139081
0.064555,1.138982
0.065777,1.137529
0.066595,1.138417
0.06736,1.139042
0.068142,1.138443
0.069481,1.137308
0.07044,1.137897
0.071602,1.138449
0.072464,1.137967
0.073221,1.139109
0.073981,1.138985
0.074759,1.139354
0.075674,1.138137
0.076504,1.138447
0.07757,1.138863
0.078393,1.139119
0.079288,1.138744
0.080065,1.138907
0.080915,1.137025
0.081926,1.139051
0.082678,1.137986
0.083447,1.139174
0.084207,1.139107
0.0856,1.137485
0.086751,1.138116
0.087896,1.137644
0.088913,1.138999
0.090268,1.138159
0.091145,1.137535
0.092002,1.138863
0.093169,1.137773
0.093946,1.139078
0.094984,1.138492
0.095803,1.137602
0.096595,1.138378
0.09735,1.137986
0.098424,1.137828
0.099237,1.138147
0.100024,1.138963
0.100852,1.138734
0.10163,1.138291
0.102388,1.138466
0.10329,1.138487
0.104071,1.136822
0.104995,1.138481
0.105857,1.136112
0.10667,1.137962
0.107611,1.138991
0.108381,1.138571
0.109182,1.13872
0.109988,1.137018
0.110931,1.138515
0.111931,1.138226
0.112726,1.136116
0.11374,1.138063
0.114696,1.138109
0.115736,1.137465
0.116535,1.138543
0.117464,1.136697
0.118225,1.138391
0.119067,1.13813
0.119891,1.137107
0.120779,1.138757
0.121714,1.136328
0.122638,1.137653
0.123406,1.138772
0.124941,1.136804
0.12576,1.137003
0.126901,1.13725
0.127968,1.137227
0.129352,1.136624
0.130219,1.138282
0.131721,1.135687
0.132595,1.136955
0.13388,1.13693
0.134776,1.136938
0.135919,1.136911
0.137345,1.138308
0.138168,1.135394
0.13943,1.136006
0.140244,1.137412
0.141106,1.138732
0.141879,1.138652
0.142636,1.138219
0.143429,1.137688
0.144354,1.135947
0.145154,1.137288
0.145984,1.137234
0.147107,1.135631
0.148004,1.137427
0.148803,1.136525
0.150109,1.136119
0.150879,1.136796
0.152056,1.135728
0.152854,1.138322
0.1543,1.135945
0.155349,1.136667
0.156438,1.135402
0.157261,1.134074
0.158275,1.138063
0.159465,1.135359
0.160341,1.135146
0.161178,1.135453
0.162005,1.135822
0.162965,1.137688
0.163991,1.136017
0.165473,1.135911
0.166996,1.13484
0.167887,1.133993
0.168687,1.137012
0.169887,1.134847
0.171036,1.136204
0.172297,1.136815
0.173474,1.135587
0.174426,1.133358
0.175524,1.1365
0.176402,1.133517
0.177244,1.137931
0.17824,1.136087
0.179061,1.136726
0.179867,1.136206
0.180709,1.135197
0.181469,1.134755
0.182417,1.135999
0.183321,1.136158
0.18422,1.135964
0.184988,1.132405
0.185915,1.135715
0.186711,1.13344
0.187629,1.137085
0.188618,1.13692
0.189547,1.137559
0.190353,1.137678
0.191112,1.138072
0.192133,1.136623
0.192896,1.138162
0.193983,1.13666
0.194739,1.138234
0.195846,1.136835
0.196604,1.138227
0.19765,1.136724
0.198453,1.13823
0.199618,1.136444
0.200468,1.138297
0.201715,1.136477
0.202565,1.138348
0.203734,1.13668
0.204498,1.138474
0.205499,1.137208
0.206531,1.137722
0.207639,1.13762
0.208417,1.137585
0.209323,1.13748
0.210139,1.135416
0.211192,1.136881
0.212044,1.134758
0.213303,1.136362
0.214232,1.134376
0.215743,1.13609
0.21678,1.134564
0.218154,1.136125
0.219343,1.135142
0.220778,1.135567
0.221773,1.135229
0.222631,1.134585
0.223542,1.13421
0.225138,1.133735
0.22589,1.13456
0.227227,1.134705
0.228233,1.134864
0.229707,1.134106
0.230746,1.133812
0.232105,1.134807
0.233046,1.135177
0.233923,1.135348
0.234693,1.135414
0.235657,1.1349
0.236596,1.12942
0.23772,1.128177
0.238752,1.131112
0.239572,1.135841
0.240412,1.132221
0.241304,1.134964
0.242323,1.131836
0.243222,1.135715
0.244123,1.132771
0.245031,1.131945
0.24587,1.12724
0.246787,1.134077
0.247549,1.134467
0.248544,1.132758
0.249652,1.133184
0.251182,1.135623
0.252474,1.136547
0.25357,1.134472
0.254531,1.135017
0.255443,1.135186
0.257017,1.132648
0.258562,1.133137
0.2602,1.132677
0.261481,1.133828
0.262602,1.134246
0.265475,1.128722
0.266355,1.135116
0.268209,1.13288
0.269805,1.13277
0.271562,1.132238
0.273463,1.131877
0.275893,1.130193
0.278893,1.129545
0.281147,1.132041
0.284147,1.127865
0.286047,1.133813
0.289047,1.126636
0.292047,1.133042
0.295002,1.127384
0.298002,1.132393
0.301002,1.127531
0.302237,1.135247
0.303009,1.135815
0.306009,1.126424
0.307919,1.133473
0.309633,1.132012
0.31223,1.128737
0.314619,1.131091
0.317619,1.127602
0.319082,1.133691
0.320472,1.133138
0.323446,1.128445
0.326446,1.130638
0.329446,1.128309
0.3311,1.133661
0.333874,1.127898
0.336874,1.130659
0.338867,1.13154
0.341516,1.128724
0.342985,1.13331
0.345985,1.126755
0.346993,1.134812
0.349993,1.127389
0.351714,1.13347
0.369443,1.121134
0.386384,1.12036
0.402394,1.119801
0.41739,1.120098
0.43179,1.120055
0.445009,1.120297
0.458601,1.120363
0.477185,1.120333
0.492937,1.120284
0.512113,1.119898
0.527258,1.119177
0.54134,1.119571
0.558051,1.119244
0.574486,1.119289
0.590196,1.119651
0.60519,1.119728
0.619348,1.119791
0.641698,1.119457
0.655326,1.120776
0.671987,1.120546
0.695778,1.121142
0.711074,1.121485
0.730868,1.121379
0.749993,1.122176
0.769296,1.122086
0.787905,1.12202
0.802496,1.122749
0.821695,1.123485
0.835081,1.12784
0.861341,1.134744
0.885392,1.133698
0.904663,1.134645
0.925528,1.134272
0.946375,1.134351
0.970718,1.133684
0.995065,1.133824
1.011142,1.135399
1.03436,1.13389
1.06048,1.133492
1.090731,1.132927
1.10666,1.135697
1.122501,1.131225
1.150397,1.135934
1.188627,1.131407
1.203602,1.1361
1.221322,1.135106
1.254372,1.131978
1.273998,1.135687
1.310095,1.130886
1.330704,1.136044
1.355526,1.135011
1.37817,1.135964
1.399948,1.135552
1.41457,1.128086
1.429945,1.127542
1.443476,1.130328
1.457858,1.131302
1.471991,1.132684
1.489035,1.124309
1.50258,1.124358
1.518046,1.125266
1.531738,1.125222
1.546777,1.125404
1.560299,1.125898
1.573832,1.126152
1.588123,1.126369
1.602271,1.128069
1.6162,1.126764
1.631534,1.126354
1.644565,1.126602
1.659585,1.12587
1.677449,1.12457
1.6932,1.123998
1.709483,1.121525
1.726598,1.123435
1.744586,1.124953
1.764305,1.12562
1.779336,1.126172
1.794236,1.126206
1.809122,1.126837
1.824187,1.127014
1.84016,1.127237
1.85668,1.127274
1.876523,1.126621
1.892761,1.126459
1.906739,1.126051
1.921671,1.125586
1.939145,1.124329
1.952278,1.12177
1.971196,1.118847
1.986059,1.116083
2.002198,1.118655
2.017801,1.121959
2.035384,1.124353
2.05307,1.125299
2.067675,1.125908
2.083153,1.126485
2.097506,1.126756
2.115675,1.127316
2.128988,1.136707
2.142475,1.13649
2.155874,1.139116
2.168896,1.137635
2.182084,1.13752
2.195344,1.136157
2.209267,1.130059
2.222977,1.126354
2.238756,1.126596
2.252377,1.128665
2.267417,1.130274
2.282097,1.131159
2.296763,1.131528
2.311108,1.131688
2.326202,1.131454
2.341524,1.131522
2.355587,1.131269
2.371303,1.130981
2.384784,1.130659
2.399924,1.129895
2.415255,1.129216
2.428847,1.128761
2.442856,1.128582
2.460112,1.128201
2.473885,1.127539
2.487921,1.127424
2.501052,1.126338
2.516262,1.125432
2.529988,1.124335
2.543004,1.121932
2.557824,1.122203
2.573022,1.119569
2.591758,1.118411
2.611972,1.118377
2.625859,1.119034
2.643466,1.120923
2.662257,1.122301
2.677079,1.122713
2.690127,1.123711
2.705892,1.124194
2.720823,1.130787
2.734202,1.139609
2.747302,1.137098
2.760878,1.13648
2.774458,1.127223
2.788615,1.124803
2.801867,1.126083
2.818242,1.131069
2.831923,1.133922
2.851878,1.126302
2.871846,1.125643
2.890266,1.126755
2.90647,1.127699
2.9209,1.128624
2.935516,1.129298
2.94901,1.12928
2.965643,1.129467
2.980006,1.129986
2.996425,1.130146
3.011817,1.130184
3.028012,1.130293
3.041297,1.1301
3.056263,1.129723
3.072595,1.129381
3.086347,1.128784
3.100997,1.128009
3.114039,1.127852
3.127265,1.127413
3.142926,1.126499
3.158421,1.126103
3.172526,1.126056
3.189397,1.125158
3.206532,1.124725
3.223213,1.123803
3.244007,1.123227
3.25892,1.122517
3.274276,1.122151
3.296221,1.124632
3.329349,1.132992
3.355323,1.132819
3.380016,1.133116
3.419204,1.122312
3.449673,1.124909
3.486147,1.133691
3.511917,1.132843
3.540718,1.132113
3.565235,1.133103
3.612433,1.128484
3.63374,1.135074
3.658331,1.132957
3.678428,1.134155
3.718516,1.129404
3.751112,1.133022
3.803112,1.127168
3.851259,1.132477
3.903259,1.127491
3.927364,1.134966
3.942979,1.135257
3.958098,1.135383
3.971469,1.13582
