frame,value
0,0
0,0
0,0
0.000888,0
0.000888,0
0.001657,0
0.001657,0
0.002768,0
0.002768,0
0.003804,0
0.003804,0
0.004839,0
0.004839,0
0.004839,0
0.005733,0
0.005733,0
0.005733,0
0.006905,0
0.006905,0
0.006905,0
0.007725,0
0.007725,0
0.007725,0
0.008718,0
0.008718,0
0.008718,0
0.009701,0
0.009701,0
0.009701,0
0.010621,0
0.010621,0
0.010621,0
0.010621,0
0.010621,9e-07
0.011571,8e-07
0.011571,8e-07
0.011571,8e-07
0.01247,6e-07
0.01247,1.3e-06
0.01247,1.4e-06
0.01247,1.4e-06
0.013259,1.4e-06
0.013259,1.5e-06
0.014163,1.5e-06
0.014163,1.4e-06
0.014163,1.6e-06
0.014163,2.1e-06
0.015236,2e-06
0.015236,2.6e-06
0.015236,3.2e-06
0.016217,3.2e-06
0.016217,3.2e-06
0.016217,4e-06
0.017382,3.2e-06
0.017382,3.2e-06
0.017382,3.5e-06
0.018258,3.6e-06
0.018258,4.4e-06
0.018258,4.3e-06
0.018258,4.3e-06
0.019234,4e-06
0.019234,4.3e-06
0.019234,4.5e-06
0.020118,4.4e-06
0.020118,5.3e-06
0.020118,5.4e-06
0.021071,5.7e-06
0.021071,6e-06
0.021071,6e-06
0.021071,7e-06
0.022324,7e-06
0.022324,7.7e-06
0.022324,7.8e-06
0.022324,8.5e-06
0.02313,8.3e-06
0.02313,1e-05
0.02313,9.7e-06
0.02313,1.01e-05
0.024114,1.05e-05
0.024114,1.15e-05
0.024114,1.18e-05
0.024904,1.27e-05
0.024904,1.21e-05
0.024904,1.19e-05
0.024904,1.28e-05
0.024904,1.22e-05
0.024904,1.53e-05
0.026156,1.41e-05
0.026156,1.41e-05
0.026156,1.39e-05
0.026156,1.52e-05
0.026156,1.43e-05
0.026966,1.44e-05
0.026966,1.41e-05
0.026966,1.4e-05
0.026966,1.4e-05
0.026966,1.66e-05
0.027786,1.58e-05
0.027786,1.78e-05
0.027786,1.74e-05
0.027786,1.92e-05
0.027786,1.9e-05
0.027786,2.06e-05
0.028722,2.04e-05
0.028722,2.03e-05
0.028722,2.12e-05
0.028722,1.98e-05
0.028722,2.23e-05
0.030071,2.07e-05
0.030071,2.26e-05
0.030071,2.29e-05
0.030071,2.91e-05
0.031228,2.69e-05
0.031228,2.64e-05
0.031228,2.91e-05
0.031228,2.87e-05
0.032136,2.83e-05
0.032136,2.81e-05
0.032136,3.25e-05
0.032136,3.01e-05
0.03292,3.15e-05
0.03292,2.97e-05
0.03292,3.19e-05
0.03292,3.25e-05
0.03292,3.44e-05
0.034281,3.2e-05
0.034281,3.37e-05
0.034281,3.56e-05
0.034281,3.46e-05
