frame,value
0,0.0997121
0,0.2180799
0,0.1061532
0.000888,0.256211
0.000888,0.0650465
0.001657,0.3705515
0.001657,0.09680714
0.002768,0.3451255
0.002768,0.05819516
0.003804,0.3449571
0.003804,0.05872755
0.004839,0.1746767
0.004839,0.1495343
0.004839,0.1270158
0.005733,0.1807595
0.005733,0.2562785
0.005733,0.04940871
0.006905,0.1791495
0.006905,0.1146737
0.006905,0.09790295
0.007725,0.1347184
0.007725,0.2267962
0.007725,0.04524817
0.008718,0.1032543
0.008718,0.2503402
0.008718,0.07004076
0.009701,0.1547928
0.009701,0.1795472
0.009701,0.1096223
0.010621,0.07787684
0.010621,0.1370423
0.010621,0.04552629
0.010621,0.1006682
0.010621,0.08552181
0.011571,0.07242942
0.011571,0.2449305
0.011571,0.03761125
0.01247,0.09049164
0.01247,0.08508076
0.01247,0.1141462
0.01247,0.03073705
0.013259,0.3012874
0.013259,0.04881705
0.014163,0.1421928
0.014163,0.07028659
0.014163,0.1946974
0.014163,0.02659509
0.015236,0.1607101
0.015236,0.1980231
0.015236,0.08014373
0.016217,0.09433521
0.016217,0.3248134
0.016217,0.04243394
0.017382,0.07305095
0.017382,0.2362617
0.017382,0.05374984
0.018258,0.118957
0.018258,0.1476453
0.018258,0.1015171
0.018258,0.069443
0.019234,0.07573386
0.019234,0.2368883
0.019234,0.05196763
0.020118,0.2488787
0.020118,0.0914939
0.020118,0.09816496
0.021071,0.1893926
0.021071,0.0479522
0.021071,0.2455376
0.021071,0.04677803
0.022324,0.08734661
0.022324,0.05490726
0.022324,0.1520139
0.022324,0.01962218
0.02313,0.2091918
0.02313,0.04843667
0.02313,0.1067563
0.02313,0.04159244
0.024114,0.2450929
0.024114,0.02413882
0.024114,0.08972923
0.024904,0.081357
0.024904,0.05564327
0.024904,0.07722951
0.024904,0.02755679
0.024904,0.251705
0.024904,0.02160537
0.026156,0.07447412
0.026156,0.01995009
0.026156,0.1449729
0.026156,0.05878525
0.026156,0.04689739
0.026966,0.0322633
0.026966,0.05015421
0.026966,0.02346207
0.026966,0.1903466
0.026966,0.04703704
0.027786,0.1032036
0.027786,0.0159025
0.027786,0.06432094
0.027786,0.03321319
0.027786,0.1382034
0.027786,0.05349468
0.028722,0.04255113
0.028722,0.1623654
0.028722,0.04898024
0.028722,0.2786869
0.028722,0.0315724
0.030071,0.2059863
0.030071,0.04895569
0.030071,0.1865065
0.030071,0.0385152
0.031228,0.09176148
0.031228,0.1628254
0.031228,0.08267079
0.031228,0.09952156
0.032136,0.07440024
0.032136,0.1644013
0.032136,0.0451536
0.032136,0.1213423
0.03292,0.0611107
0.03292,0.1113592
0.03292,0.06335022
0.03292,0.3008011
0.03292,0.02790376
0.034281,0.1078938
0.034281,0.1136111
0.034281,0.07251622
0.034281,0.09922118
0.035081,0.1065443
0.035081,0.09471382
0.035081,0.07598189
0.035081,0.09285571
0.035839,0.07331243
0.035839,0.1633207
0.035839,0.03797155
0.035839,0.09196096
0.036601,0.07409661
0.036601,0.1552439
0.036601,0.03787373
0.036601,0.08123881
0.036601,0.08464887
0.037527,0.115782
0.037527,0.05188138
0.037527,0.07860124
0.037527,0.09563284
0.037527,0.09822572
0.038431,0.05863761
0.038431,0.11695
0.038431,0.04866957
0.038431,0.1245357
0.038431,0.04758598
0.039354,0.07721942
0.039354,0.09990276
0.039354,0.08056612
0.039354,0.07833908
0.039354,0.09453361
0.040243,0.06395685
0.040243,0.09704138
0.040243,0.05539205
0.040243,0.0693946
0.040243,0.08143633
0.041014,0.05163154
0.041014,0.1290787
0.041014,0.04723841
0.041014,0.08392963
0.041014,0.09899488
0.041851,0.070475
0.041851,0.1324431
0.041851,0.04002833
0.041851,0.07141127
0.041851,0.1103542
0.042694,0.05329754
0.042694,0.05791496
0.042694,0.06913815
0.042694,0.07390852
0.042694,0.1142572
0.042694,0.07689239
0.043651,0.05734142
0.043651,0.07475601
0.043651,0.05878176
0.043651,0.07036214
0.043651,0.1047194
0.043651,0.07492588
0.044602,0.06189995
0.044602,0.08000241
0.044602,0.04422281
0.044602,0.06707574
0.044602,0.08256961
0.044602,0.0861361
0.045484,0.05942538
0.045484,0.05024911
0.045484,0.04834884
0.045484,0.04267975
0.045484,0.05882933
0.045484,0.06907208
0.045484,0.1186672
0.046344,0.05371503
0.046344,0.09988819
0.046344,0.07606857
0.046344,0.1041392
0.046344,0.0797474
0.047229,0.08462343
0.047229,0.05848648
0.047229,0.1053253
0.047229,0.04728767
0.047229,0.09856506
0.048026,0.05425327
0.048026,0.1206908
0.048026,0.03821329
0.048026,0.1292444
0.048026,0.04630424
0.048936,0.1426726
0.048936,0.04150864
0.048936,0.1382405
0.048936,0.05060567
0.049812,0.104835
0.049812,0.04616682
0.049812,0.1273608
0.049812,0.05675539
0.050577,0.1035774
0.050577,0.04548465
0.050577,0.1435452
0.050577,0.05034103
0.051378,0.1061057
0.051378,0.04614815
0.051378,0.111875
0.051378,0.04500709
0.051378,0.09611357
0.052209,0.03941182
0.052209,0.1300737
0.052209,0.04869743
0.052209,0.05622958
0.052209,0.07718585
0.052209,0.1006135
0.053132,0.06395408
0.053132,0.1480879
0.053132,0.03582321
0.053132,0.156216
0.053132,0.04472182
0.054185,0.1882627
0.054185,0.03242669
0.054185,0.1654562
0.054185,0.04787804
0.055219,0.1058649
0.055219,0.04592075
0.055219,0.1614864
0.055219,0.04653836
0.056073,0.1291346
0.056073,0.04033189
0.056073,0.1593803
0.056073,0.04879453
0.056965,0.125521
0.056965,0.03146808
0.056965,0.1473876
0.056965,0.02774346
0.057799,0.107774
0.057799,0.03581422
0.057799,0.106104
0.057799,0.03629737
0.057799,0.1668696
0.058576,0.01754974
0.058576,0.08752527
0.058576,0.07399259
0.058576,0.05688191
0.058576,0.12339
0.058576,0.02803331
0.059517,0.1079039
0.059517,0.03496306
0.059517,0.1360228
0.059517,0.0250585
0.060285,0.1096795
0.060285,0.02984444
0.060285,0.1916944
0.060285,0.01980322
0.061191,0.03525568
0.061191,0.1447716
0.061191,0.01947568
