frame,value
0,1
0.000833,1.002796
0.001702,1.005785
0.002525,1.008337
0.003403,1.01087
0.004401,1.013819
0.005211,1.015994
0.006036,1.01828
0.006824,1.020119
0.00779,1.022402
0.008597,1.024062
0.009389,1.025537
0.010556,1.027577
0.011429,1.028899
0.012221,1.029998
0.013134,1.031315
0.013947,1.032295
0.014721,1.03321
0.015555,1.03414
0.016369,1.034939
0.017147,1.035519
0.018091,1.035955
0.018873,1.036441
0.019698,1.036899
0.02047,1.037087
0.021332,1.037385
0.022141,1.037558
0.022998,1.03764
0.024007,1.037761
0.02489,1.037918
0.025672,1.038158
0.026483,1.038385
0.027377,1.038384
0.028315,1.038344
0.029067,1.038263
0.029938,1.038452
0.031023,1.038386
0.032118,1.038316
0.032958,1.038247
0.033872,1.038142
0.034759,1.038059
0.035796,1.037995
0.036698,1.03786
0.037473,1.037718
0.038511,1.037563
0.039411,1.037406
0.040371,1.03733
0.041123,1.037329
0.041873,1.037383
0.042745,1.037681
0.043679,1.038193
0.044538,1.038749
0.045318,1.039217
0.046131,1.039616
0.046974,1.040184
0.047744,1.040752
0.048531,1.041172
0.049302,1.041992
0.050162,1.042384
0.050919,1.043179
0.051701,1.043796
0.052484,1.044091
0.053401,1.044463
0.054154,1.04525
0.054969,1.045516
0.055845,1.046047
0.056742,1.046755
0.057548,1.04759
0.058311,1.048322
0.059116,1.049013
0.05988,1.04948
0.060727,1.050077
0.061489,1.050388
0.062257,1.050712
0.063058,1.050992
0.063859,1.051106
0.064623,1.051438
0.065494,1.051298
0.066253,1.051161
0.067028,1.050759
0.06779,1.05023
0.068622,1.049785
0.069375,1.049316
0.070141,1.049167
0.070994,1.048784
0.071928,1.048259
0.072738,1.047839
0.073508,1.047463
0.074271,1.047154
0.075139,1.046647
0.075897,1.046482
0.076798,1.046188
0.077629,1.046008
0.078473,1.045698
0.079333,1.045465
0.08028,1.045441
0.081083,1.045343
0.081921,1.045105
0.082811,1.044923
0.083786,1.044848
0.085033,1.04468
0.085967,1.044608
0.086731,1.044841
0.087625,1.044704
0.088902,1.044632
0.089889,1.044515
0.09105,1.044367
0.091801,1.04422
0.092585,1.044368
0.093786,1.044195
0.094851,1.04388
0.09566,1.043788
0.096432,1.043737
0.097287,1.043688
0.098199,1.043648
0.098994,1.043774
0.099768,1.043833
0.100776,1.043855
0.101674,1.043847
0.102502,1.043886
0.103265,1.043835
0.10406,1.043867
0.104971,1.043971
0.105748,1.044221
0.106553,1.04427
0.107354,1.044424
0.108114,1.044868
0.108888,1.045142
0.109652,1.045401
0.110479,1.04586
0.111253,1.04667
0.112033,1.047284
0.112866,1.047908
0.113663,1.048772
0.114562,1.04959
0.115313,1.050245
0.116066,1.051029
0.11689,1.051707
0.117754,1.052255
0.118751,1.052796
0.119632,1.053238
