frame,value
0,0.003
0.000833,0.003
0.001702,0.003
0.002525,0.003
0.003403,0.003
0.004401,0.003
0.005211,0.003
0.006036,0.003
0.006824,0.003
0.00779,0.003
0.008597,0.003
0.009389,0.003
0.010556,0.003
0.011429,0.003
0.012221,0.003
0.013134,0.003
0.013947,0.003
0.014721,0.003
0.015555,0.003
0.016369,0.003
0.017147,0.003
0.018091,0.003
0.018873,0.003
0.019698,0.003
0.02047,0.003
0.021332,0.003
0.022141,0.003
0.022998,0.003
0.024007,0.003
0.02489,0.003
0.025672,0.003
0.026483,0.003
0.027377,0.003
0.028315,0.003
0.029067,0.003
0.029938,0.003
0.031023,0.003
0.032118,0.003
0.032958,0.003
0.033872,0.003
0.034759,0.003
0.035796,0.003
0.036698,0.003
0.037473,0.003
0.038511,0.003
0.039411,0.003
0.040371,0.003
0.041123,0.003
0.041873,0.003
0.042745,0.003
0.043679,0.003
0.044538,0.003
0.045318,0.003
0.046131,0.003
0.046974,0.003
0.047744,0.003
0.048531,0.003
0.049302,0.003
0.050162,0.003
0.050919,0.003
0.051701,0.003
0.052484,0.003
0.053401,0.003
0.054154,0.003
0.054969,0.003
0.055845,0.003
0.056742,0.003
0.057548,0.003
0.058311,0.003
0.059116,0.003
0.05988,0.003
0.060727,0.003
0.061489,0.003
0.062257,0.003
0.063058,0.003
0.063859,0.003
0.064623,0.003
0.065494,0.003
0.066253,0.003
0.067028,0.003
0.06779,0.003
0.068622,0.003
0.069375,0.003
0.070141,0.003
0.070994,0.003
0.071928,0.003
0.072738,0.003
0.073508,0.003
0.074271,0.003
0.075139,0.003
0.075897,0.003
0.076798,0.003
0.077629,0.003
0.078473,0.003
0.079333,0.003
0.08028,0.003
0.081083,0.003
0.081921,0.003
0.082811,0.003
0.083786,0.003
0.085033,0.003
0.085967,0.003
0.086731,0.003
0.087625,0.003
0.088902,0.003
0.089889,0.003
0.09105,0.003
0.091801,0.003
0.092585,0.003
0.093786,0.003
0.094851,0.003
0.09566,0.003
0.096432,0.003
0.097287,0.003
0.098199,0.003
0.098994,0.003
0.099768,0.003
0.100776,0.003
0.101674,0.003
0.102502,0.003
0.103265,0.003
0.10406,0.003
0.104971,0.003
0.105748,0.003
0.106553,0.003
0.107354,0.003
0.108114,0.003
0.108888,0.003
0.109652,0.003
0.110479,0.003
0.111253,0.003
0.112033,0.003
0.112866,0.003
0.113663,0.003
0.114562,0.003
0.115313,0.003
0.116066,0.003
0.11689,0.003
0.117754,0.003
0.118751,0.003
0.119632,0.003
0.120406,0.003
0.121223,0.003
0.122031,0.003
0.122835,0.003
0.123602,0.003
0.124388,0.003
0.125193,0.003
0.125987,0.003
0.127001,0.003
0.127757,0.003
0.128521,0.003
0.129322,0.003
0.130173,0.003
0.130926,0.003
0.131708,0.003
0.132525,0.003
0.133374,0.003
0.134252,0.003
0.135008,0.003
0.135894,0.003
0.13673,0.003
0.137628,0.003
0.138622,0.003
0.14017,0.003
0.141114,0.003
0.14199,0.003
0.143152,0.003
0.143945,0.003
0.144803,0.003
0.145566,0.003
0.146364,0.003
0.147158,0.003
0.147915,0.003
0.148738,0.003
0.149514,0.003
0.150344,0.003
0.151177,0.003
0.15194,0.003
0.15269,0.003
0.153541,0.003
0.154426,0.003
0.155201,0.003
0.15633,0.003
0.157128,0.003
0.157889,0.003
0.1588,0.003
0.159829,0.003
0.160711,0.003
0.161508,0.003
0.162258,0.003
0.163397,0.003
0.164635,0.003
0.165439,0.003
0.166382,0.003
0.167138,0.003
0.167926,0.003
0.168743,0.003
0.169534,0.003
0.17031,0.003
0.171084,0.003
0.17184,0.003
0.1726,0.003
0.173372,0.003
0.174127,0.003
0.174989,0.003
0.175872,0.003
0.176641,0.003
0.177487,0.003
0.178468,0.003
0.179277,0.003
0.18031,0.003
0.181084,0.003
0.181883,0.003
0.182761,0.003
0.1836,0.003
0.184446,0.003
0.18522,0.003
0.186068,0.003
0.186836,0.003
0.18762,0.003
0.188525,0.003
0.189455,0.003
0.190244,0.003
0.191109,0.003
0.191881,0.003
0.192663,0.003
0.193458,0.003
0.194255,0.003
0.195082,0.003
0.195884,0.003
0.196664,0.003
0.197429,0.003
0.198218,0.003
0.199077,0.003
0.199908,0.003
0.20076,0.003
0.201655,0.003
0.202593,0.003
0.203368,0.003
0.204205,0.003
0.205039,0.003
0.205829,0.003
0.206585,0.003
0.207348,0.003
0.208106,0.003
0.208882,0.003
0.209723,0.003
0.210589,0.003
0.211353,0.003
0.212105,0.003
0.212939,0.003
0.213714,0.003
0.214524,0.003
0.215308,0.003
0.216111,0.003
0.216887,0.003
0.217774,0.003
0.218589,0.003
0.219385,0.003
0.220302,0.003
0.221151,0.003
0.222128,0.003
0.223119,0.003
0.223869,0.003
0.224626,0.003
0.225623,0.003
0.226636,0.003
0.227496,0.003
0.228448,0.003
0.229375,0.003
0.230224,0.003
0.231013,0.003
0.232134,0.003
0.233022,0.003
0.234111,0.003
0.23491,0.003
0.235827,0.003
0.2366,0.003
0.237547,0.003
0.238642,0.003
0.239416,0.003
0.240171,0.003
0.240948,0.003
0.241761,0.003
0.242596,0.003
0.243546,0.003
0.244312,0.003
0.245066,0.003
0.246027,0.003
0.246823,0.003
0.247698,0.003
0.248636,0.003
0.249577,0.003
0.250545,0.003
0.251723,0.003
0.252799,0.003
0.253588,0.003
0.254431,0.003
0.255232,0.003
0.256043,0.003
0.25701,0.003
0.257769,0.003
0.258696,0.003
0.259752,0.003
0.260518,0.003
0.261458,0.003
0.262419,0.003
0.263383,0.003
0.264304,0.003
0.265128,0.003
0.265915,0.003
0.266756,0.003
0.267597,0.003
0.268374,0.003
0.269171,0.003
0.27004,0.003
0.270823,0.003
0.271606,0.003
0.272418,0.003
0.273322,0.003
0.274192,0.003
0.275052,0.003
0.276097,0.003
0.27708,0.003
0.277854,0.003
0.279284,0.003
0.28054,0.003
0.281372,0.003
0.283576,0.003
0.284937,0.003
0.285972,0.003
0.287306,0.003
0.289361,0.003
0.290593,0.003
0.292371,0.003
0.293979,0.003
0.295796,0.003
0.297456,0.003
0.299764,0.003
0.300731,0.003
0.301637,0.003
0.302736,0.003
0.305428,0.003
0.307157,0.003
0.310157,0.003
0.311112,0.003
0.313088,0.003
0.316088,0.003
0.316946,0.003
0.319409,0.003
0.320633,0.003
0.322763,0.003
0.324416,0.003
0.327013,0.003
0.327994,0.003
0.328834,0.003
0.331834,0.003
0.333642,0.003
0.334916,0.003
0.336493,0.003
0.339493,0.003
0.340763,0.003
0.341586,0.003
0.344586,0.003
0.347586,0.003
0.34858,0.003
0.35158,0.02
0.358998,0.02
0.366185,0.02
0.37386,0.02
0.381552,0.02
0.388691,0.02
0.39533,0.02
0.400988,0.02
0.406964,0.02
0.412227,0.02
0.41971,0.02
0.425013,0.02
0.430943,0.02
0.438922,0.02
0.447897,0.02
0.458144,0.02
0.464111,0.02
0.469994,0.02
0.476921,0.02
0.482882,0.02
0.489928,0.02
0.495322,0.02
0.502854,0.02
0.508935,0.02
0.514506,0.02
0.522185,0.02
0.528128,0.02
0.534257,0.02
0.54043,0.02
0.546507,0.02
0.554948,0.02
0.563003,0.02
0.569473,0.02
0.575253,0.02
0.58267,0.02
0.589544,0.02
0.594842,0.02
0.599957,0.02
0.605045,0.02
0.613815,0.02
0.61886,0.02
0.626688,0.02
0.633427,0.02
0.639164,0.02
0.648152,0.02
0.658923,0.02
0.668408,0.02
0.675573,0.02
0.682956,0.02
0.69118,0.02
0.700349,0.02
0.713539,0.02
0.727599,0.02
0.739105,0.02
0.744466,0.02
0.755932,0.02
0.766985,0.02
0.780989,0.02
0.790208,0.02
0.805473,0.02
0.813253,0.02
0.820909,0.02
0.832209,0.02
0.843919,0.02
0.854519,0.02
0.867314,0.02
0.878327,0.02
0.886228,0.02
0.898565,0.02
0.908377,0.02
0.919885,0.02
0.930743,0.02
0.946466,0.02
0.955873,0.02
0.964218,0.02
0.975725,0.02
0.984565,0.02
0.993668,0.02
1.003551,0.02
1.012581,0.02
1.025115,0.02
1.03776,0.02
1.045026,0.02
1.053825,0.02
1.063086,0.02
1.072032,0.02
1.084383,0.02
1.094389,0.02
1.107588,0.02
1.114605,0.02
1.12023,0.02
1.129549,0.02
1.14433,0.02
1.151215,0.02
1.158512,0.02
1.167842,0.02
1.17927,0.02
1.184626,0.02
1.193217,0.02
1.203286,0.02
1.215916,0.02
1.224677,0.02
1.23424,0.02
1.245302,0.02
1.252953,0.02
1.264515,0.02
1.272525,0.02
1.28359,0.02
1.30359,0.02
1.311574,0.02
1.321732,0.02
1.33384,0.02
1.340596,0.02
1.348696,0.02
1.361499,0.02
1.36758,0.02
1.37281,0.02
1.380282,0.02
1.385725,0.02
1.393648,0.02
1.399641,0.02
1.407926,0.02
1.413973,0.02
1.420208,0.02
1.426094,0.02
1.431666,0.02
1.438236,0.02
1.443838,0.02
1.44962,0.02
1.455988,0.02
1.461655,0.02
1.468815,0.02
1.475285,0.02
1.480854,0.02
1.486296,0.02
1.491732,0.02
1.496996,0.02
1.502251,0.02
1.507831,0.02
1.513714,0.02
1.520225,0.02
1.526229,0.02
1.532326,0.02
1.538802,0.02
1.546244,0.02
1.554275,0.02
1.563105,0.02
1.570028,0.02
1.57949,0.02
1.585924,0.02
1.593917,0.02
1.599144,0.02
1.606083,0.02
1.612295,0.02
1.619671,0.02
1.625647,0.02
1.63175,0.02
1.637815,0.02
1.643788,0.02
1.650402,0.02
1.656528,0.02
1.662884,0.02
1.668526,0.02
1.675235,0.02
1.681354,0.02
1.689543,0.02
1.695411,0.02
1.703026,0.02
1.708671,0.02
1.714799,0.02
1.720373,0.02
1.72913,0.02
1.735472,0.02
1.741565,0.02
1.749191,0.02
1.757485,0.02
1.763311,0.02
1.76836,0.02
1.77433,0.02
1.780575,0.02
1.789292,0.02
1.796417,0.02
1.802718,0.02
1.808818,0.02
1.813861,0.02
1.820761,0.02
1.827131,0.02
1.833333,0.02
1.841459,0.02
1.848144,0.02
1.85484,0.02
1.859952,0.02
1.865598,0.02
1.872154,0.02
1.879279,0.02
1.886042,0.02
1.893688,0.02
1.899305,0.02
1.905881,0.02
1.91163,0.02
1.920752,0.02
1.928298,0.02
1.934388,0.02
1.940943,0.02
1.947898,0.02
1.955751,0.02
1.96157,0.02
1.96803,0.02
