frame,value
0,2
0.000833,2
0.001702,1
0.002525,1
0.003403,2
0.004401,2
0.005211,2
0.006036,2
0.006824,4
0.00779,4
0.008597,3
0.009389,4
0.010556,3
0.011429,4
0.012221,5
0.013134,4
0.013947,4
0.014721,5
0.015555,5
0.016369,4
0.017147,5
0.018091,5
0.018873,6
0.019698,7
0.02047,6
0.021332,6
0.022141,5
0.022998,5
0.024007,5
0.02489,4
0.025672,5
0.026483,5
0.027377,5
0.028315,3
0.029067,5
0.029938,7
0.031023,5
0.032118,5
0.032958,5
0.033872,5
0.034759,5
0.035796,5
0.036698,5
0.037473,5
0.038511,7
0.039411,7
0.040371,5
0.041123,5
0.041873,7
0.042745,5
0.043679,5
0.044538,7
0.045318,5
0.046131,7
0.046974,6
0.047744,6
0.048531,6
0.049302,6
0.050162,6
0.050919,8
0.051701,6
0.052484,7
0.053401,6
0.054154,6
0.054969,7
0.055845,6
0.056742,7
0.057548,7
0.058311,8
0.059116,7
0.05988,7
0.060727,8
0.061489,6
0.062257,11
0.063058,6
0.063859,9
0.064623,10
0.065494,9
0.066253,7
0.067028,7
0.06779,8
0.068622,7
0.069375,6
0.070141,10
0.070994,6
0.071928,5
0.072738,7
0.073508,7
0.074271,4
0.075139,9
0.075897,10
0.076798,12
0.077629,8
0.078473,9
0.079333,12
0.08028,6
0.081083,6
0.081921,8
0.082811,10
0.083786,8
0.085033,9
0.085967,10
0.086731,9
0.087625,10
0.088902,6
0.089889,8
0.09105,7
0.091801,5
0.092585,7
0.093786,3
0.094851,8
0.09566,4
0.096432,10
0.097287,7
0.098199,7
0.098994,7
0.099768,8
0.100776,8
0.101674,8
0.102502,5
0.103265,8
0.10406,5
0.104971,9
0.105748,8
0.106553,7
0.107354,6
0.108114,8
0.108888,8
0.109652,6
0.110479,6
0.111253,7
0.112033,9
0.112866,7
0.113663,8
0.114562,5
0.115313,5
0.116066,6
0.11689,9
0.117754,7
0.118751,7
0.119632,6
0.120406,6
0.121223,7
0.122031,7
0.122835,7
0.123602,5
0.124388,6
0.125193,7
0.125987,7
0.127001,6
0.127757,7
0.128521,4
0.129322,6
0.130173,7
0.130926,7
0.131708,6
0.132525,7
0.133374,6
0.134252,8
0.135008,5
0.135894,6
0.13673,5
0.137628,7
0.138622,7
0.14017,8
0.141114,5
0.14199,3
0.143152,7
0.143945,8
0.144803,7
0.145566,7
0.146364,5
0.147158,4
0.147915,4
0.148738,7
0.149514,7
0.150344,8
0.151177,7
0.15194,7
0.15269,7
0.153541,8
0.154426,6
0.155201,7
0.15633,8
0.157128,6
0.157889,5
0.1588,9
0.159829,6
0.160711,6
0.161508,7
0.162258,7
0.163397,7
0.164635,7
0.165439,9
0.166382,10
0.167138,9
0.167926,7
0.168743,6
0.169534,8
