frame,value
0,0
0.001049,8.088901
0.001943,8.085814
0.002987,8.107874
0.004136,8.93294
0.005006,9.118484
0.005865,8.837576
0.006875,8.405176
0.007851,8.393212
0.008641,8.709949
0.00948,8.035522
0.010518,8.80438
0.011423,8.023878
0.012264,8.036321
0.013019,7.749563
0.014058,7.788623
0.014825,7.534374
0.015607,7.451747
0.016388,7.366258
0.017236,7.175928
0.018005,6.959357
0.018891,6.924067
0.019896,6.673738
0.020725,6.668618
0.021632,6.549536
0.022583,6.396526
0.023415,6.515381
0.024169,6.611631
0.024925,6.160046
0.025799,6.144671
0.02667,6.080338
0.027667,6.054195
0.028503,5.934703
0.029256,5.860486
0.030199,6.049422
0.03115,6.009374
0.031984,6.280863
0.032921,6.649511
0.033749,6.727062
0.034548,6.630333
0.035419,6.544962
0.036214,7.080588
0.037001,7.701504
0.037759,8.149446
0.038592,7.669988
0.039405,7.219369
0.040168,8.106822
0.040942,8.1538
0.041697,7.556451
0.04248,7.55234
0.043289,7.359511
0.044155,7.382178
0.044954,7.332116
0.045726,8.659175
0.046488,8.529931
0.047322,9.214859
0.04816,10.07089
0.048927,10.34881
0.049751,10.86123
0.050666,11.0632
0.051453,10.82947
0.052218,11.05328
0.052972,10.87061
0.053768,10.81373
0.054544,10.83188
0.055434,10.01594
0.056226,9.115264
0.05698,8.324968
0.057772,7.379128
0.058524,7.042964
0.059298,7.49549
0.060059,8.006534
0.060863,7.889416
0.061641,7.976388
0.062409,7.85299
0.063201,7.570058
0.063997,6.797892
0.064821,5.889239
0.065609,4.779637
0.066428,4.058274
0.067259,3.504861
0.068118,3.123596
0.068894,3.375329
0.069696,2.795178
0.070522,2.788763
0.071335,2.574882
0.072085,2.223213
0.072836,2.289482
0.073615,2.362801
0.074458,2.579844
0.075248,2.367542
0.076114,2.43365
0.076963,2.744147
0.077734,2.226877
0.078544,2.299474
0.079328,2.120034
0.080158,2.315549
0.081192,2.453493
0.082062,2.739831
0.083171,2.620802
0.084108,2.508424
0.08511,2.527349
0.085958,2.3208
0.086907,2.381624
0.087695,2.364467
0.088464,2.519125
0.08956,2.486872
0.090346,2.50016
0.091125,2.672344
0.09202,2.639068
0.092785,2.842223
0.093592,2.885035
0.094344,2.960219
0.095117,3.128968
0.09591,3.066559
0.096722,3.199081
0.097537,2.951563
0.098402,2.932703
0.099197,2.924775
0.099988,3.064103
0.100866,3.367644
0.101653,3.653087
0.102533,3.85898
0.103432,3.474625
0.10445,3.502944
0.105209,3.761665
0.105979,4.055774
0.106952,4.004419
0.107706,4.01219
0.108474,4.766973
0.109258,5.053139
0.110037,4.884703
0.1108,4.613971
0.111568,4.908957
0.112417,5.423765
0.113202,5.593338
0.113992,6.976881
0.114959,7.880731
0.115922,7.475103
0.116797,8.359534
0.117599,6.706254
0.11841,7.683155
0.119221,6.968087
0.120007,6.52127
0.12078,5.789157
0.121595,4.668459
0.12238,4.400399
0.123175,3.647218
0.123979,3.088933
0.12482,2.563658
0.125583,2.298013
0.126426,2.188505
0.127194,1.871668
0.128293,1.992745
0.12906,2.024256
0.12993,1.870057
0.130727,1.869966
0.131497,1.924382
0.132344,1.880065
0.13311,2.082665
0.133904,1.921595
0.134955,1.908876
0.135758,1.910075
0.13653,2.157333
0.137324,1.91754
0.138313,1.960128
0.139105,1.947716
0.139999,1.953053
0.140767,2.11533
0.141521,1.938337
0.142286,1.911662
0.14308,1.993595
0.143891,1.941801
0.144687,1.998109
0.145551,2.038053
0.146308,1.960311
0.147184,2.032619
0.147939,2.010967
0.148698,2.750586
0.149607,2.055996
0.150392,2.025757
0.151275,2.06676
0.152235,1.99796
0.152992,2.181178
0.153759,1.934878
0.154768,2.147431
0.155554,2.119264
0.156384,2.14896
0.15719,2.141526
0.158156,2.29337
0.159023,2.367171
0.15978,3.523157
0.160887,2.873903
0.161922,3.062188
0.162722,3.19004
0.163482,3.943239
0.164402,3.635916
0.165354,3.552959
0.166351,3.540109
0.167113,3.342263
0.16788,3.467296
0.168652,3.422474
0.169536,3.545561
0.170511,4.187114
0.171263,3.666179
0.172041,3.874854
0.172963,3.73402
0.173717,3.377743
0.174564,3.94929
0.175319,4.201289
0.17627,4.708935
0.177097,3.779732
0.177886,3.479988
0.178645,4.010159
0.179399,4.46663
0.180166,4.442552
0.18101,4.018864
0.181763,4.79519
0.182536,5.357776
0.183355,5.554114
0.184356,4.5688
0.185326,4.737641
0.186112,4.600407
0.186882,3.921217
0.187684,4.803243
0.188549,4.807256
0.189312,6.346841
0.1902,5.462782
0.19095,5.281025
0.191704,5.17655
0.192474,4.98676
0.193231,5.390882
0.194058,5.513262
0.19485,5.637551
0.195601,6.221153
0.196366,6.142204
0.197142,6.838708
0.1979,6.344156
0.198707,5.805135
0.199466,5.894388
0.200236,5.606923
0.201093,7.297946
0.201895,5.255375
0.202659,5.966097
0.203438,5.669483
0.20419,4.738595
0.204946,4.185147
0.205697,3.378154
0.206578,3.500084
0.207361,4.115369
0.208115,2.473476
0.209096,1.965403
0.210066,2.010713
0.210932,1.968559
0.211728,1.98301
0.212558,1.935143
0.213416,2.028646
0.214361,2.042191
0.21551,2.03961
0.216288,1.997954
0.217218,2.086522
0.217984,2.048393
0.218785,2.068462
0.219568,2.075253
0.220545,2.164403
0.221375,2.124991
0.222163,2.144805
0.222913,2.114833
0.223694,2.08986
0.224453,2.087496
0.225286,2.092841
0.226102,2.079765
0.226854,2.068316
0.227748,2.108174
0.228502,2.128604
0.229254,2.552523
0.230006,2.10459
0.23088,2.151094
0.231689,2.204087
0.232443,2.261231
0.233241,2.289335
0.233993,2.438276
0.234755,2.336308
0.23562,2.391248
0.236389,2.386633
0.237142,2.377402
0.237893,2.709013
0.238774,2.676589
0.239527,2.996466
0.240282,3.116898
0.241334,3.087234
0.242286,2.70842
0.243147,2.626353
0.243907,2.560621
0.244671,2.608622
0.245423,2.698484
0.246228,2.778179
0.246978,3.02887
0.247735,3.070425
0.248498,3.004767
0.249374,2.967341
0.250161,3.141115
0.250913,3.22497
0.251666,4.2245
0.252427,3.999422
0.253189,3.582032
0.253941,3.581439
0.254699,3.615842
0.255517,3.48904
0.256476,3.602484
0.25723,3.344611
0.257984,4.424968
0.258772,3.863516
0.259704,3.640878
0.260462,3.70492
0.261218,4.132912
0.26216,4.2739
0.262975,4.357429
0.263774,4.302164
0.264837,4.275273
0.26586,4.327065
0.266836,4.482944
0.267602,4.562705
0.268361,4.496732
0.269379,4.473808
0.270131,4.348075
0.270894,4.105347
0.271658,4.371539
0.272503,4.54581
0.273286,4.76242
0.274135,4.532923
0.274906,4.699327
0.27566,5.296645
0.276411,5.658702
0.277227,5.309576
0.277998,5.591285
0.278762,6.0479
0.27954,8.119964
0.280299,6.117329
0.28108,6.965572
0.281874,5.913702
0.282638,6.816701
0.283456,7.414524
0.284261,7.282091
0.285088,6.613608
0.285897,4.066359
0.286658,3.44505
0.287445,4.19897
0.288219,3.439216
0.288972,1.989017
0.289735,1.795268
0.290993,1.810432
0.291782,1.65526
0.292735,1.746269
0.293571,1.452259
0.294358,1.150763
0.295183,1.09907
0.296007,0.8807475
