frame,value
0,9.350659e-07
0,9.950135e-07
0,9.802271e-07
0,9.788562e-07
0.001049,9.862231e-07
0.001049,9.719146e-07
0.00194,9.900671e-07
0.00194,9.9253e-07
0.002981,9.633463e-07
0.002981,9.873256e-07
0.002981,9.788109e-07
0.002981,9.986132e-07
0.004139,9.824896e-07
0.004139,9.85415e-07
0.004139,9.786161e-07
0.004996,9.880744e-07
0.004996,9.807991e-07
0.004996,9.692509e-07
0.005839,9.812624e-07
0.005839,9.803024e-07
0.005839,9.809719e-07
0.005839,9.981801e-07
0.006762,9.991534e-07
0.006762,9.97121e-07
0.006762,9.892369e-07
0.006762,9.981919e-07
0.007695,9.802642e-07
0.007695,9.955702e-07
0.007695,9.841636e-07
0.007695,9.805462e-07
0.007695,9.914164e-07
0.007695,9.717759e-07
0.008517,9.843532e-07
0.008517,9.931879e-07
0.008517,9.955985e-07
0.008517,9.901926e-07
0.008517,9.877259e-07
0.009317,9.843783e-07
0.009317,9.950891e-07
0.009317,9.852075e-07
0.009317,9.673514e-07
0.009317,9.794135e-07
0.010331,9.951391e-07
0.010331,9.993659e-07
0.010331,9.730653e-07
0.010331,9.93927e-07
0.011157,9.694967e-07
0.011157,9.958374e-07
0.011157,9.809954e-07
0.011157,9.871584e-07
0.011157,9.91442e-07
0.012004,9.972862e-07
0.012004,9.590253e-07
0.012004,9.718867e-07
0.012004,9.932979e-07
0.012004,9.357592e-07
0.012004,9.785234e-07
0.013075,9.785206e-07
0.013075,9.971766e-07
0.013075,9.849023e-07
0.013075,9.926736e-07
0.013075,9.852175e-07
0.013075,9.971944e-07
0.013991,9.613433e-07
0.013991,9.742033e-07
0.013991,9.682192e-07
0.013991,9.672953e-07
0.013991,9.890668e-07
0.014745,9.475222e-07
0.014745,9.71458e-07
0.014745,9.73989e-07
0.014745,9.910063e-07
0.014745,9.973312e-07
0.014745,9.239685e-07
0.014745,9.906021e-07
0.0156,9.444002e-07
0.0156,9.834936e-07
0.0156,9.828706e-07
0.0156,9.569521e-07
0.0156,9.700246e-07
0.0156,9.672539e-07
0.0156,9.595753e-07
0.016388,9.762177e-07
0.016388,9.858446e-07
0.016388,9.980855e-07
0.016388,9.893445e-07
0.016388,9.999227e-07
0.016388,9.439268e-07
0.017139,9.969295e-07
0.017139,9.960887e-07
0.017139,9.794356e-07
0.017139,9.741365e-07
0.017139,9.813617e-07
0.017139,9.894567e-07
0.017139,9.95911e-07
0.017139,9.494204e-07
0.018035,9.983091e-07
0.018035,9.949437e-07
0.018035,9.942428e-07
0.018035,9.555952e-07
0.018035,9.721826e-07
0.018035,9.900995e-07
0.018035,9.434286e-07
0.018035,9.460949e-07
0.018035,9.995019e-07
0.018035,9.752803e-07
0.018841,9.552557e-07
0.018841,9.896969e-07
0.018841,9.620322e-07
0.018841,9.653004e-07
0.018841,9.98626e-07
0.018841,9.950185e-07
0.018841,9.958563e-07
0.019623,9.917711e-07
0.019623,9.884238e-07
0.019623,9.78775e-07
0.019623,9.533154e-07
0.019623,9.882032e-07
0.019623,9.812027e-07
0.019623,9.906875e-07
0.019623,9.985321e-07
0.019623,9.856202e-07
0.020621,9.862663e-07
0.020621,9.909267e-07
0.020621,9.914708e-07
0.020621,9.581623e-07
0.020621,9.345433e-07
0.020621,9.908822e-07
0.021382,9.751819e-07
0.021382,9.885639e-07
0.021382,9.906054e-07
0.021382,9.708931e-07
0.021382,9.848274e-07
0.021382,9.889624e-07
0.022137,9.268063e-07
0.022137,9.641491e-07
0.022137,9.848121e-07
0.022137,9.929228e-07
0.022137,9.929678e-07
0.022137,9.373376e-07
0.023006,9.860596e-07
0.023006,9.068439e-07
0.023006,9.977621e-07
0.023006,9.866208e-07
0.023006,9.662012e-07
0.023006,9.392234e-07
0.023006,9.991981e-07
0.023773,9.629532e-07
0.023773,9.800038e-07
0.023773,9.880156e-07
0.023773,9.18726e-07
0.023773,9.907774e-07
0.023773,9.535821e-07
0.023773,9.75335e-07
0.024601,9.802285e-07
0.024601,9.629141e-07
0.024601,9.468767e-07
0.024601,9.797876e-07
0.024601,9.990733e-07
0.024601,9.780341e-07
0.025376,9.801169e-07
0.025376,9.949356e-07
0.025376,9.810711e-07
0.025376,9.240171e-07
0.025376,9.885584e-07
0.025376,9.986293e-07
0.026208,9.981611e-07
0.026208,9.574705e-07
0.026208,9.531567e-07
0.026208,9.677797e-07
0.026208,9.615737e-07
0.026208,9.759646e-07
0.02708,9.776594e-07
0.02708,9.987914e-07
0.02708,9.588447e-07
0.02708,9.727236e-07
0.02708,9.948266e-07
0.02708,9.858704e-07
0.027864,9.732396e-07
0.027864,9.967613e-07
0.027864,9.683775e-07
0.027864,9.990548e-07
0.027864,9.893673e-07
0.027864,9.666803e-07
0.028665,9.840099e-07
0.028665,9.927262e-07
0.028665,9.841283e-07
0.028665,9.935876e-07
0.028665,9.956593e-07
0.028665,8.945095e-07
0.029415,9.975728e-07
0.029415,9.838828e-07
0.029415,9.605282e-07
0.029415,9.783215e-07
0.029415,9.808318e-07
0.029415,9.148183e-07
0.03018,9.806641e-07
0.03018,9.889145e-07
0.03018,9.58927e-07
0.03018,9.559971e-07
0.03018,9.617718e-07
0.03018,9.913931e-07
0.03018,9.850341e-07
0.03018,9.910517e-07
