frame,value
0,0
1,6950
2,11074
3,13493
4,16439
5,13487
6,10296
7,12034
8,10302
9,13733
10,17639
11,22436
12,27881
13,29350
14,24104
15,19096
16,16053
17,12581
18,10387
19,8982
20,8601
21,3873
22,849
23,437
24,444
25,602
26,1016
27,577
28,327
29,334
30,450
31,973
32,502
33,894
34,380
35,378
36,381
37,544
38,804
39,399
40,402
41,243
42,413
43,245
44,643
46,409
48,826
49,246
50,241
51,391
52,412
53,243
54,245
55,251
56,247
57,251
59,394
60,388
61,238
62,250
63,237
64,247
65,235
67,246
68,381
69,390
70,388
71,232
72,256
73,225
74,370
75,232
76,239
78,256
80,254
81,240
83,500
84,513
85,658
86,1381
87,821
88,1092
89,1621
90,1296
91,1012
92,1348
93,2447
94,989
95,1014
96,1925
97,894
98,737
99,585
100,1359
101,779
102,618
103,610
104,606
105,1392
106,442
107,773
108,589
109,420
110,570
111,723
112,1114
113,396
114,540
115,521
116,376
117,778
118,538
119,549
120,392
121,537
122,542
123,924
124,395
125,1570
126,876
127,1208
128,9164
129,5461
130,10214
131,2380
132,1270
133,1723
134,561
135,1953
136,940
137,1063
138,1558
139,508
140,520
141,1227
142,559
143,1305
144,830
145,2321
146,1032
147,1041
148,704
149,1262
150,539
151,838
152,1271
153,712
154,415
155,574
156,1127
157,578
158,411
159,575
160,415
161,1306
162,902
163,1378
164,5553
165,2350
166,2915
167,922
168,587
169,585
170,840
171,555
172,547
173,686
174,1364
175,554
176,565
177,402
178,1046
179,447
180,448
181,610
182,620
183,619
184,1341
185,896
186,1084
187,896
188,1777
189,850
190,690
191,390
192,397
193,470
194,242
195,241
196,243
197,232
198,237
200,259
201,250
203,247
205,275
207,262
208,233
209,245
211,258
214,272
216,255
218,466
220,257
222,255
223,253
226,267
229,274
231,457
232,247
235,264
237,271
238,217
240,232
