frame,value
0,1
0,1
0,1
0,1
0.001049,2
0.001049,1
0.001941,2
0.001941,1
0.002981,2
0.002981,2
0.002981,2
0.002981,1
0.004139,2
0.004139,2
0.004139,1
0.004995,2
0.004995,2
0.004995,1
0.005843,2
0.005843,2
0.005843,2
0.005843,1
0.006768,2
0.006768,2
0.006768,2
0.006768,1
0.007701,2
0.007701,2
0.007701,2
0.007701,2
0.007701,2
0.007701,2
0.008526,2
0.008526,2
0.008526,2
0.008526,2
0.008526,2
0.008526,2
0.009583,2
0.009583,2
0.009583,2
0.010435,2
0.010435,2
0.010435,2
0.010435,2
0.011219,2
0.011219,2
0.011219,2
0.011219,2
0.011219,2
0.012066,2
0.012066,2
0.012066,2
0.012066,2
0.012825,2
0.012825,2
0.012825,2
0.012825,2
0.012825,2
0.012825,2
0.012825,2
0.013702,2
0.013702,2
0.013702,2
0.013702,2
0.013702,2
0.013702,2
0.014569,2
0.014569,2
0.014569,2
0.014569,2
0.014569,2
0.014569,2
0.014569,2
0.015397,2
0.015397,2
0.015397,2
0.015397,2
0.015397,2
0.015397,2
0.015397,2
0.016272,2
0.016272,2
0.016272,2
0.016272,2
0.016272,2
0.016272,2
0.016272,2
0.017084,2
0.017084,2
0.017084,2
0.017084,2
0.017084,2
0.017084,2
0.017084,2
0.017084,2
0.017939,2
0.017939,2
0.017939,2
0.017939,2
0.017939,2
0.017939,2
0.017939,2
0.017939,2
0.017939,2
0.017939,2
0.017939,2
0.018927,2
0.018927,2
0.018927,2
0.018927,2
0.018927,2
0.018927,2
0.018927,2
0.018927,2
0.019887,2
0.019887,2
0.019887,2
0.019887,2
0.019887,2
0.020648,2
0.020648,2
0.020648,2
0.020648,2
0.020648,2
0.020648,2
0.021438,2
0.021438,2
0.021438,2
0.021438,2
0.021438,2
0.021438,3
0.022217,2
0.022217,2
0.022217,2
0.022217,2
0.022217,2
0.022217,2
0.022971,2
0.022971,2
0.022971,2
0.022971,2
0.022971,2
0.022971,2
0.023765,2
0.023765,2
0.023765,2
0.023765,2
0.023765,2
0.023765,3
0.023765,3
0.023765,2
0.024667,3
0.024667,2
0.024667,3
0.024667,3
0.024667,3
0.024667,2
0.025421,3
0.025421,2
0.025421,2
0.025421,3
0.025421,3
0.025421,3
0.025421,3
0.025421,3
0.025421,3
0.026201,3
0.026201,2
0.026201,2
0.026201,3
0.026201,3
0.026201,2
0.027018,3
0.027018,2
0.027018,3
0.027018,3
0.027018,3
0.027018,2
0.027784,3
0.027784,3
0.027784,3
0.027784,3
0.027784,3
0.027784,3
0.028656,3
0.028656,3
0.028656,3
0.028656,3
0.028656,3
0.028656,3
0.028656,2
0.029504,3
0.029504,3
0.029504,3
0.029504,3
0.029504,3
0.029504,2
0.030312,3
0.030312,3
0.030312,3
0.030312,3
0.030312,3
0.030312,3
0.030312,3
0.030312,2
0.031157,3
0.031157,3
0.031157,3
0.031157,3
0.031157,3
0.031157,3
0.031924,3
0.031924,3
0.031924,3
0.031924,3
0.031924,3
0.031924,3
0.031924,3
0.031924,3
0.032798,3
0.032798,3
0.032798,3
0.032798,3
0.032798,3
0.032798,3
0.033565,3
0.033565,3
0.033565,3
0.033565,3
0.033565,4
0.033565,4
0.033565,3
0.034336,3
0.034336,3
0.034336,3
0.034336,4
0.034336,4
0.034336,3
0.035107,3
0.035107,3
0.035107,3
0.035107,4
0.035107,4
0.035107,4
0.035107,4
0.035107,3
0.035965,3
0.035965,3
0.035965,3
0.035965,4
0.035965,4
0.035965,4
0.035965,4
0.035965,3
0.03677,3
0.03677,4
0.03677,4
0.03677,4
0.03677,4
0.03677,3
0.037526,3
0.037526,3
0.037526,3
0.037526,4
0.037526,4
0.037526,4
0.037526,3
0.038285,3
0.038285,3
0.038285,3
0.038285,4
0.038285,4
0.038285,4
0.038285,4
0.038285,4
0.038285,3
0.039082,3
0.039082,4
0.039082,4
0.039082,4
0.039082,4
0.039082,4
0.039082,4
0.039082,3
0.039922,3
0.039922,4
0.039922,4
0.039922,4
0.039922,4
0.039922,4
0.039922,4
0.039922,3
0.040694,3
0.040694,4
0.040694,4
0.040694,4
0.040694,4
0.040694,4
0.040694,4
0.040694,4
0.040694,4
0.040694,3
0.041604,3
0.041604,4
0.041604,4
0.041604,4
0.041604,4
0.041604,4
0.041604,4
0.041604,4
0.041604,4
0.041604,3
0.042513,3
0.042513,3
0.042513,3
0.042513,3
0.042513,4
0.042513,3
0.042513,3
0.042513,3
0.042513,3
0.04327,4
0.04327,4
0.04327,3
0.04327,3
0.04327,3
0.04327,3
0.04327,3
0.04327,3
0.04327,4
0.04327,3
0.044042,4
0.044042,4
0.044042,4
0.044042,3
0.044042,4
0.044042,4
0.044042,4
0.044042,3
0.044042,3
0.044862,3
0.044862,3
0.044862,4
0.044862,4
0.044862,3
0.044862,4
0.044862,3
0.044862,3
0.044862,3
0.044862,3
0.045783,3
0.045783,3
0.045783,3
0.045783,3
0.045783,3
0.045783,3
0.045783,3
0.045783,3
0.045783,3
0.046538,4
0.046538,3
0.046538,3
0.046538,4
0.046538,3
0.046538,3
0.046538,3
0.046538,3
0.046538,3
0.04743,3
0.04743,3
0.04743,3
0.04743,3
0.04743,4
0.04743,3
0.04743,3
0.04743,3
0.04743,2
0.048232,3
0.048232,3
0.048232,3
0.048232,3
0.048232,3
0.048232,3
0.048232,3
0.048232,3
0.048232,3
0.049009,3
0.049009,3
0.049009,3
0.049009,4
0.049009,3
0.049009,3
0.049009,3
0.049009,3
0.049009,3
0.049791,3
0.049791,3
0.049791,3
0.049791,3
0.049791,3
0.049791,3
0.049791,3
0.049791,3
0.050564,3
0.050564,3
0.050564,3
0.050564,3
0.050564,3
0.050564,3
0.050564,3
0.050564,4
0.050564,4
0.050564,3
0.051475,3
0.051475,3
0.051475,3
0.051475,3
0.051475,3
0.051475,3
0.051475,3
0.051475,3
0.051475,4
0.051475,3
0.052228,3
0.052228,3
0.052228,3
0.052228,3
0.052228,3
0.052228,3
0.052228,4
0.052228,4
0.052228,4
0.052228,3
0.052995,3
0.052995,3
0.052995,3
0.052995,3
0.052995,3
0.052995,3
0.052995,3
0.052995,4
0.052995,3
0.053802,3
0.053802,3
0.053802,3
0.053802,3
0.053802,3
0.053802,3
0.053802,3
0.053802,4
0.053802,4
0.053802,3
0.054613,3
0.054613,3
0.054613,3
0.054613,3
0.054613,3
0.054613,3
0.054613,3
0.054613,3
0.05539,3
0.05539,3
0.05539,3
0.05539,3
0.05539,3
0.05539,4
0.05539,3
0.05539,4
0.05539,4
0.05539,3
0.05624,3
0.05624,3
0.05624,3
0.05624,3
0.05624,3
0.05624,3
0.05624,3
0.05624,4
0.05624,4
0.05624,4
0.05624,3
0.057047,3
0.057047,3
0.057047,3
0.057047,3
0.057047,3
0.057047,3
0.057047,3
0.057047,3
0.057047,4
0.057047,4
0.057047,3
0.057861,3
0.057861,3
0.057861,3
0.057861,3
0.057861,3
0.057861,3
0.057861,3
0.057861,3
0.058657,3
0.058657,3
0.058657,3
0.058657,3
0.058657,3
0.058657,3
0.058657,3
0.058657,4
0.058657,3
0.058657,3
0.05952,3
0.05952,3
0.05952,3
0.05952,3
0.05952,3
0.05952,3
0.05952,3
0.05952,4
0.05952,4
0.05952,3
0.06031,3
0.06031,3
0.06031,3
0.06031,3
0.06031,4
0.06031,3
0.06031,3
0.06031,4
0.06031,4
0.06031,3
0.061133,3
0.061133,3
0.061133,3
0.061133,3
0.061133,3
0.061133,3
0.061133,4
0.061133,4
0.061133,3
0.0619,3
0.0619,3
0.0619,3
0.0619,3
0.0619,3
0.0619,3
0.0619,3
0.0619,4
0.0619,3
0.0619,3
0.0619,3
0.062764,3
0.062764,3
0.062764,3
0.062764,3
0.062764,3
0.062764,3
0.062764,3
0.062764,3
0.062764,3
0.063522,3
0.063522,3
0.063522,3
0.063522,3
0.063522,3
0.063522,3
0.063522,3
0.063522,3
0.063522,3
0.064286,2
0.064286,2
0.064286,2
0.064286,3
0.064286,3
0.064286,3
0.064286,3
0.064286,3
0.06504,2
0.06504,2
0.06504,2
0.06504,3
