frame,value
0,524
0,805
0,800
0,477
0.001049,931
0.001049,404
0.001941,921
0.001941,427
0.002981,988
0.002981,997
0.002981,992
0.002981,469
0.004139,982
0.004139,973
0.004139,397
0.004995,962
0.004995,930
0.004995,387
0.005843,946
0.005843,939
0.005843,925
0.005843,408
0.006768,932
0.006768,905
0.006768,917
0.006768,408
0.007701,952
0.007701,906
0.007701,922
0.007701,919
0.007701,894
0.007701,402
0.008526,910
0.008526,891
0.008526,893
0.008526,835
0.008526,846
0.008526,447
0.009583,863
0.009583,844
0.009583,404
0.010435,856
0.010435,834
0.010435,837
0.010435,379
0.011219,876
0.011219,831
0.011219,866
0.011219,855
0.011219,413
0.012066,942
0.012066,937
0.012066,941
0.012066,394
0.012825,965
0.012825,937
0.012825,946
0.012825,945
0.012825,945
0.012825,957
0.012825,410
0.013702,977
0.013702,901
0.013702,952
0.013702,946
0.013702,913
0.013702,405
0.014569,1000
0.014569,957
0.014569,969
0.014569,940
0.014569,962
0.014569,904
0.014569,401
0.015397,916
0.015397,989
0.015397,940
0.015397,954
0.015397,937
0.015397,929
0.015397,401
0.016272,913
0.016272,865
0.016272,936
0.016272,894
0.016272,908
0.016272,854
0.016272,382
0.017084,907
0.017084,939
0.017084,916
0.017084,845
0.017084,939
0.017084,845
0.017084,892
0.017084,390
0.017939,863
0.017939,918
0.017939,872
0.017939,932
0.017939,869
0.017939,913
0.017939,828
0.017939,912
0.017939,848
0.017939,904
0.017939,425
0.018927,876
0.018927,885
0.018927,885
0.018927,878
0.018927,905
0.018927,862
0.018927,875
0.018927,436
0.019887,914
0.019887,926
0.019887,895
0.019887,904
0.019887,378
0.020648,904
0.020648,896
0.020648,911
0.020648,920
0.020648,910
0.020648,389
0.021438,911
0.021438,913
0.021438,926
0.021438,907
0.021438,916
0.021438,386
0.022217,916
0.022217,914
0.022217,919
0.022217,891
0.022217,876
0.022217,398
0.022971,913
0.022971,963
0.022971,927
0.022971,876
0.022971,878
0.022971,391
0.023765,922
0.023765,901
0.023765,902
0.023765,875
0.023765,875
0.023765,869
0.023765,867
0.023765,424
0.024667,906
0.024667,922
0.024667,876
0.024667,876
0.024667,872
0.024667,392
0.025421,890
0.025421,916
0.025421,884
0.025421,905
0.025421,871
0.025421,875
0.025421,854
0.025421,855
0.025421,395
0.026201,908
0.026201,858
0.026201,863
0.026201,863
0.026201,853
0.026201,398
0.027018,896
0.027018,868
0.027018,897
0.027018,884
0.027018,889
0.027018,391
0.027784,927
0.027784,907
0.027784,915
0.027784,922
0.027784,918
0.027784,416
0.028656,902
0.028656,902
0.028656,909
0.028656,923
0.028656,915
0.028656,902
0.028656,423
0.029504,909
0.029504,869
0.029504,919
0.029504,925
0.029504,920
0.029504,403
0.030312,908
0.030312,906
0.030312,908
0.030312,863
0.030312,864
0.030312,860
0.030312,859
0.030312,420
0.031157,911
0.031157,876
0.031157,883
0.031157,849
0.031157,874
0.031157,389
0.031924,907
0.031924,889
0.031924,943
0.031924,884
0.031924,917
0.031924,897
0.031924,868
0.031924,437
0.032798,901
0.032798,866
0.032798,874
0.032798,863
0.032798,859
0.032798,379
0.033565,900
0.033565,918
0.033565,934
0.033565,901
0.033565,871
0.033565,872
0.033565,398
0.034336,929
0.034336,906
0.034336,910
0.034336,903
0.034336,914
0.034336,393
0.035107,902
0.035107,912
0.035107,904
0.035107,945
0.035107,905
0.035107,922
0.035107,909
0.035107,432
0.035965,888
0.035965,896
0.035965,905
0.035965,935
0.035965,927
0.035965,939
0.035965,943
0.035965,426
0.03677,929
0.03677,915
0.03677,919
0.03677,939
0.03677,947
0.03677,388
0.037526,908
0.037526,898
0.037526,937
0.037526,923
0.037526,952
0.037526,963
0.037526,412
0.038285,882
0.038285,888
0.038285,905
0.038285,902
0.038285,912
0.038285,923
0.038285,931
0.038285,917
0.038285,393
0.039082,869
0.039082,875
0.039082,890
0.039082,924
0.039082,911
0.039082,924
0.039082,922
0.039082,432
0.039922,886
0.039922,892
0.039922,896
0.039922,947
0.039922,904
0.039922,900
0.039922,903
0.039922,392
0.040694,906
0.040694,894
0.040694,906
0.040694,876
0.040694,900
0.040694,903
0.040694,901
0.040694,899
0.040694,890
0.040694,424
0.041604,902
0.041604,892
0.041604,881
0.041604,885
0.041604,894
0.041604,908
0.041604,912
0.041604,926
0.041604,927
0.041604,462
0.042513,928
0.042513,913
0.042513,921
0.042513,930
0.042513,895
0.042513,916
0.042513,904
0.042513,904
0.042513,404
0.04327,925
0.04327,918
0.04327,928
0.04327,934
0.04327,901
0.04327,901
0.04327,902
0.04327,904
0.04327,917
0.04327,450
0.044042,907
0.044042,895
0.044042,882
0.044042,872
0.044042,904
0.044042,904
0.044042,889
0.044042,909
0.044042,451
0.044862,876
0.044862,877
0.044862,865
0.044862,848
0.044862,868
0.044862,892
0.044862,891
0.044862,883
0.044862,871
0.044862,481
0.045783,872
