frame,value
0,1
0.001048,1.00351
0.001942,1.006341
0.002987,1.009511
0.003742,1.011764
0.004704,1.014484
0.00564,1.017078
0.006673,1.01974
0.00754,1.021848
0.008421,1.023793
0.009187,1.025103
0.010057,1.026564
0.010913,1.028028
0.011737,1.029214
0.012803,1.030713
0.013836,1.032133
0.014621,1.033001
0.015386,1.033774
0.016159,1.034552
0.016942,1.035205
0.017809,1.035638
0.018871,1.036166
0.019631,1.036477
0.020406,1.036623
0.021172,1.036704
0.021949,1.036989
0.022836,1.037053
0.02359,1.037094
0.024354,1.037145
0.025173,1.037203
0.025988,1.037358
0.026817,1.037446
0.027716,1.03755
0.028539,1.037598
0.02933,1.037596
0.030203,1.037611
0.031144,1.037611
0.031937,1.037766
0.032699,1.037694
0.033557,1.037622
0.034335,1.037551
0.035239,1.037439
0.036028,1.037439
0.03678,1.037645
0.037577,1.037405
0.038357,1.037178
0.039118,1.037
0.03993,1.037072
0.040742,1.036885
0.041577,1.036765
0.042378,1.036874
0.043179,1.037086
0.043944,1.037877
0.044713,1.038643
0.045544,1.038944
0.046392,1.039421
0.047143,1.040141
0.047897,1.040561
0.048719,1.041163
0.049554,1.041674
0.050329,1.042423
0.051192,1.042922
0.051967,1.043662
0.052744,1.044433
0.053564,1.044971
0.054317,1.045753
0.055068,1.046061
0.055853,1.046921
0.056655,1.047291
0.057516,1.047773
0.058271,1.048678
0.059051,1.049622
0.059938,1.050061
0.060762,1.05043
0.061605,1.050985
0.062436,1.051612
0.063193,1.052288
0.063978,1.052416
0.064801,1.05238
0.065631,1.05228
0.066386,1.052127
0.067171,1.052078
0.067954,1.051648
0.068724,1.051184
0.069496,1.050863
0.070361,1.050331
0.071132,1.049954
0.071967,1.049531
0.072853,1.049019
0.073624,1.048509
0.074527,1.048082
0.07529,1.047716
0.076104,1.04738
0.076874,1.046925
0.077651,1.046658
0.078429,1.046337
0.079234,1.046056
0.07999,1.045742
0.081031,1.045141
0.081786,1.045084
0.082606,1.044912
0.083357,1.044771
0.084276,1.044504
0.085037,1.044503
0.086074,1.044466
0.086943,1.044389
0.087837,1.044312
0.088593,1.044237
0.089345,1.044899
0.090235,1.044666
0.091478,1.044575
0.092316,1.044403
0.093071,1.044275
0.093941,1.044014
0.094721,1.044173
0.095542,1.044
0.096338,1.043812
0.097171,1.043619
0.097955,1.043601
0.098958,1.043569
0.099721,1.043538
0.100476,1.043466
0.101253,1.043425
0.102139,1.043544
0.102957,1.043781
0.103728,1.043771
0.104672,1.043888
0.105431,1.044196
0.106199,1.044195
0.106984,1.044556
0.107886,1.044841
0.108651,1.045005
0.109409,1.045144
0.110164,1.045341
0.110925,1.045656
0.111844,1.046056
0.112597,1.046529
0.113397,1.047035
0.114193,1.047723
0.114978,1.048399
0.115754,1.049096
0.11651,1.049788
0.117337,1.050499
0.118169,1.051262
0.118998,1.051815
0.119825,1.052274
0.120589,1.05264
0.121347,1.052616
0.122115,1.052505
0.123103,1.051928
0.12398,1.051282
0.124806,1.050533
0.125623,1.049717
0.126548,1.048775
0.127324,1.048133
0.128159,1.047354
0.129027,1.04654
0.129851,1.045817
0.130657,1.045136
0.131415,1.044798
0.132225,1.044171
0.133081,1.043529
0.134106,1.042851
0.134882,1.042345
0.135805,1.041798
0.136632,1.041312
0.137443,1.040847
0.138301,1.040408
0.139088,1.04004
0.139895,1.039634
0.140706,1.039313
0.141459,1.038981
0.142307,1.038652
0.143115,1.038341
0.143939,1.038039
0.14516,1.037679
0.146052,1.037366
0.146805,1.037171
0.147744,1.036846
0.148576,1.036579
0.14935,1.036356
0.150108,1.036125
0.150903,1.035903
0.151787,1.035641
0.152926,1.035421
0.153793,1.035194
0.154556,1.035003
0.15537,1.034788
0.156374,1.034568
0.157129,1.034382
0.157881,1.0343
0.158639,1.034184
0.159444,1.033999
0.160212,1.033824
0.160989,1.03365
0.161808,1.033512
0.162577,1.033361
0.163337,1.033222
0.164323,1.033043
0.165106,1.032887
0.165888,1.032732
0.16671,1.032609
0.167604,1.032457
0.168396,1.032328
0.169185,1.032195
0.170048,1.032092
0.170799,1.031981
0.171549,1.031883
0.172332,1.031785
0.173125,1.031699
0.173959,1.03161
0.17496,1.031501
0.175718,1.031364
0.176484,1.031254
0.177495,1.031157
0.178249,1.031057
0.179017,1.030969
0.179802,1.030894
0.180579,1.030816
0.181336,1.030762
0.182092,1.030728
0.182934,1.030688
0.183729,1.03063
0.184698,1.030629
0.185482,1.030582
0.186239,1.030545
0.186997,1.030525
0.187765,1.030527
0.188535,1.030502
0.189286,1.030483
0.190044,1.03047
0.190874,1.030473
0.191624,1.030465
0.192418,1.030469
0.193171,1.03059
0.194093,1.030582
0.19485,1.030533
0.195611,1.030528
0.1964,1.030555
0.197152,1.030616
0.197909,1.030644
0.198666,1.030618
0.199417,1.030671
0.20032,1.030767
0.201074,1.030833
0.201825,1.030907
0.202736,1.031031
