frame,value
0,0
0,0
0,0
0,0
0.001048,0
0.001048,0
0.001942,0
0.001942,0
0.002987,0
0.002987,0
0.002987,0
0.003742,0
0.003742,0
0.003742,0
0.004704,0
0.004704,0
0.004704,0
0.00564,0
0.00564,0
0.00564,0
0.00564,0
0.006673,0
0.006673,0
0.006673,0
0.006673,3
0.00754,4
0.00754,4
0.00754,4
0.00754,4
0.00754,6
0.00754,6
0.008421,6
0.008421,6
0.008421,6
0.008421,6
0.008421,6
0.009187,6
0.009187,6
0.009187,6
0.010057,6
0.010057,6
0.010057,7
0.010057,8
0.010913,8
0.010913,10
0.010913,10
0.010913,13
0.011737,16
0.011737,16
0.011737,16
0.011737,17
0.011737,18
0.011737,18
0.012803,18
0.012803,18
0.012803,18
0.012803,18
0.012803,18
0.012803,18
0.013836,18
0.013836,18
0.013836,18
0.013836,18
0.013836,16
0.013836,16
0.014621,16
0.014621,16
0.014621,16
0.014621,16
0.014621,16
0.014621,14
0.015386,15
0.015386,16
0.015386,14
0.015386,14
0.015386,14
0.015386,14
0.015386,14
0.016159,15
0.016159,16
0.016159,16
0.016159,16
0.016159,16
0.016159,17
0.016159,18
0.016942,18
0.016942,18
0.016942,18
0.016942,18
0.016942,18
0.016942,18
0.016942,18
0.016942,18
0.016942,18
0.017809,18
0.017809,18
0.017809,18
0.017809,18
0.017809,18
0.017809,18
0.017809,18
0.017809,18
0.017809,18
0.018871,18
0.018871,18
0.018871,16
0.018871,16
0.018871,17
0.018871,18
0.019631,16
0.019631,18
0.019631,16
0.019631,16
0.019631,16
0.019631,16
0.019631,17
0.020406,17
0.020406,20
0.020406,18
0.020406,18
0.020406,18
0.020406,18
0.021172,20
0.021172,22
0.021172,22
0.021172,22
0.021172,22
0.021172,22
0.021172,18
0.021949,20
0.021949,22
0.021949,22
0.021949,18
0.021949,18
0.021949,18
0.021949,19
0.022836,18
0.022836,18
0.022836,18
0.022836,19
0.022836,18
0.022836,18
0.02359,18
0.02359,18
0.02359,20
0.02359,20
0.02359,20
0.02359,23
0.024354,22
0.024354,23
0.024354,24
0.024354,24
0.024354,24
0.024354,24
0.025173,20
0.025173,20
0.025173,20
0.025173,20
0.025173,20
0.025173,20
0.025988,21
0.025988,22
0.025988,21
0.025988,22
0.025988,22
0.025988,22
0.026817,22
0.026817,22
0.026817,22
0.026817,22
0.026817,22
0.026817,22
0.027716,22
0.027716,20
0.027716,20
0.027716,20
0.027716,20
0.027716,20
0.028539,20
0.028539,20
0.028539,20
0.028539,20
0.028539,20
0.028539,20
0.02933,20
0.02933,20
0.02933,20
0.02933,21
0.02933,20
0.02933,23
0.030203,26
0.030203,26
0.030203,26
0.030203,26
0.030203,26
