frame,value
0,0.01899481
0,0.0191317
0,0.02181615
0,0.01862056
0.001048,0.0220625
0.001048,0.01928148
0.001942,0.02203509
0.001942,0.01922147
0.002987,0.02360819
0.002987,0.0229165
0.002987,0.02096124
0.003742,0.02454399
0.003742,0.02203233
0.003742,0.02160257
0.004704,0.0232496
0.004704,0.02415654
0.004704,0.01891707
0.00564,0.02312265
0.00564,0.02220234
0.00564,0.02177146
0.00564,0.01508403
0.006673,0.02190377
0.006673,0.02087298
0.006673,0.02051734
0.006673,0.01410571
0.00754,0.02269406
0.00754,0.02233404
0.00754,0.02155029
0.00754,0.02408455
0.00754,0.02268267
0.00754,0.01488232
0.008421,0.02221546
0.008421,0.0224668
0.008421,0.02181803
0.008421,0.02113323
0.008421,0.01397365
0.009187,0.02199587
0.009187,0.02074574
0.009187,0.01411613
0.010057,0.02171552
0.010057,0.02137669
0.010057,0.02004193
0.010057,0.01436974
0.010913,0.02215864
0.010913,0.02049096
0.010913,0.02030731
0.010913,0.01447679
0.011737,0.02183222
0.011737,0.02055351
0.011737,0.02013198
0.011737,0.01913516
0.011737,0.01938511
0.011737,0.01511938
0.012803,0.02250339
0.012803,0.02095886
0.012803,0.01871472
0.012803,0.01926443
0.012803,0.01934867
0.012803,0.013407
0.013836,0.02243647
0.013836,0.02087248
0.013836,0.02047847
0.013836,0.01883533
0.013836,0.01893217
0.013836,0.012172
0.014621,0.02200253
0.014621,0.01886391
0.014621,0.01971111
0.014621,0.01849828
0.014621,0.01882919
0.014621,0.0127856
0.015386,0.02187931
0.015386,0.01859766
0.015386,0.01958611
0.015386,0.01865796
0.015386,0.01856174
0.015386,0.01828523
0.015386,0.01348197
0.016159,0.02213673
0.016159,0.0204973
0.016159,0.01867789
0.016159,0.01848396
0.016159,0.01752488
0.016159,0.0178911
0.016159,0.01394142
0.016942,0.02184233
0.016942,0.0191968
0.016942,0.01942239
0.016942,0.01813078
0.016942,0.01815541
0.016942,0.01778205
0.016942,0.02106543
0.016942,0.01726459
0.016942,0.01486209
0.017809,0.01919446
0.017809,0.01868415
0.017809,0.01780671
0.017809,0.01768647
0.017809,0.02155054
0.017809,0.01715452
0.017809,0.01669426
0.017809,0.01638199
0.017809,0.01625731
0.018871,0.02015515
0.018871,0.01806573
0.018871,0.01728945
0.018871,0.01702854
0.018871,0.01645865
0.018871,0.01613391
0.019631,0.0207279
0.019631,0.01940815
0.019631,0.01737748
0.019631,0.01765612
0.019631,0.01656407
0.019631,0.01680483
0.019631,0.01589539
0.020406,0.01938106
0.020406,0.01604931
0.020406,0.01646216
0.020406,0.0173332
0.020406,0.01643992
0.020406,0.01623134
0.021172,0.01914917
0.021172,0.016437
0.021172,0.01667519
0.021172,0.0160377
0.021172,0.01624971
0.021172,0.01528181
0.021172,0.01619641
0.021949,0.02252992
0.021949,0.02046672
0.021949,0.01607194
0.021949,0.01621022
0.021949,0.01657559
0.021949,0.01673637
0.021949,0.01546494
0.022836,0.01850612
0.022836,0.0177804
0.022836,0.01856072
0.022836,0.01662445
0.022836,0.01723602
0.022836,0.01483305
0.02359,0.02027752
0.02359,0.0178815
0.02359,0.01723068
0.02359,0.01673092
0.02359,0.01710351
0.02359,0.01418143
0.024354,0.01768432
0.024354,0.01631033
0.024354,0.01593488
0.024354,0.01658082
0.024354,0.01563434
0.024354,0.01470427
0.025173,0.01793483
0.025173,0.01650429
0.025173,0.01628065
0.025173,0.01564469
0.025173,0.01573736
0.025173,0.01500734
0.025988,0.01832427
0.025988,0.01693717
0.025988,0.0154338
0.025988,0.01604203
0.025988,0.01568033
0.025988,0.0153924
0.026817,0.01805869
0.026817,0.01550558
0.026817,0.01580794
0.026817,0.01862002
0.026817,0.01560099
0.026817,0.01656084
0.027716,0.01730797
0.027716,0.01636249
0.027716,0.01534307
0.027716,0.01578267
0.027716,0.01547033
0.027716,0.01641905
0.028539,0.01662613
0.028539,0.01567816
0.028539,0.01554012
0.028539,0.01600168
0.028539,0.01557229
0.028539,0.01680921
0.02933,0.01697313
0.02933,0.01618773
0.02933,0.01622787
0.02933,0.01626854
0.02933,0.01562593
0.02933,0.01714772
0.030203,0.01891679
0.030203,0.01651215
0.030203,0.01676237
0.030203,0.01538839
0.030203,0.01582927
0.030203,0.01498258
0.030203,0.01488579
0.030203,0.0166704
0.031144,0.01734488
0.031144,0.01653284
0.031144,0.01639482
0.031144,0.01578167
0.031144,0.01616925
0.031144,0.01646848
0.031144,0.01568609
0.031937,0.01891305
0.031937,0.01831132
0.031937,0.01673826
0.031937,0.01681586
0.031937,0.01595094
0.031937,0.01611272
0.031937,0.01630874
0.032699,0.01876397
0.032699,0.01677967
0.032699,0.01683484
0.032699,0.01744422
0.032699,0.01721744
0.032699,0.01721346
0.032699,0.01702294
0.032699,0.01442871
0.033557,0.01966917
0.033557,0.01792078
0.033557,0.01784295
0.033557,0.01702674
0.033557,0.01698194
0.033557,0.01674115
0.034335,0.01845305
0.034335,0.01774937
0.034335,0.01783801
0.034335,0.0174716
0.034335,0.01715916
0.034335,0.01708842
0.034335,0.01710502
0.034335,0.01726275
0.035239,0.01804849
0.035239,0.01814361
0.035239,0.0184707
0.035239,0.01932611
0.035239,0.01943426
0.035239,0.01936962
0.035239,0.01902776
0.035239,0.01634102
0.036028,0.01986543
0.036028,0.01977868
0.036028,0.01982042
0.036028,0.02006274
0.036028,0.01992454
0.036028,0.01965132
0.036028,0.01680194
0.03678,0.02123062
0.03678,0.02124218
0.03678,0.02013609
0.03678,0.02021969
0.03678,0.02048977
0.03678,0.02010541
0.03678,0.01750818
0.037577,0.02099657
0.037577,0.02090458
0.037577,0.02054291
0.037577,0.01979483
0.037577,0.01975961
0.037577,0.0196592
0.037577,0.01961574
0.037577,0.01827249
0.038357,0.01970635
0.038357,0.01932651
0.038357,0.01923406
0.038357,0.01869805
0.038357,0.01868271
